simulation_id,strategy_id,strategy,rank,adaptive_learning_value,winner
70,AM004,Infrastructure Memory and Maintenance Analytics,6,6.94869,Adaptive Governance Decision-Trigger Framework
71,AM003,Community Knowledge and Early Warning Network,1,7.82345,Community Knowledge and Early Warning Network
71,AM005,Adaptive Governance Decision-Trigger Framework,2,7.68951,Community Knowledge and Early Warning Network
71,AM002,Institutional After-Action Learning System,3,7.36496,Community Knowledge and Early Warning Network
71,AM001,Ecological Monitoring and Threshold Review,4,7.24632,Community Knowledge and Early Warning Network
71,AM006,Safe-to-Fail Climate Adaptation Pilots,5,6.9706,Community Knowledge and Early Warning Network
71,AM004,Infrastructure Memory and Maintenance Analytics,6,6.88004,Community Knowledge and Early Warning Network
72,AM005,Adaptive Governance Decision-Trigger Framework,1,7.51227,Adaptive Governance Decision-Trigger Framework
72,AM002,Institutional After-Action Learning System,2,7.26632,Adaptive Governance Decision-Trigger Framework
72,AM004,Infrastructure Memory and Maintenance Analytics,3,7.22388,Adaptive Governance Decision-Trigger Framework
72,AM001,Ecological Monitoring and Threshold Review,4,7.20333,Adaptive Governance Decision-Trigger Framework
72,AM006,Safe-to-Fail Climate Adaptation Pilots,5,7.00248,Adaptive Governance Decision-Trigger Framework
72,AM003,Community Knowledge and Early Warning Network,6,6.896,Adaptive Governance Decision-Trigger Framework
73,AM005,Adaptive Governance Decision-Trigger Framework,1,7.38558,Adaptive Governance Decision-Trigger Framework
73,AM006,Safe-to-Fail Climate Adaptation Pilots,2,7.33065,Adaptive Governance Decision-Trigger Framework
73,AM002,Institutional After-Action Learning System,3,7.28756,Adaptive Governance Decision-Trigger Framework
73,AM004,Infrastructure Memory and Maintenance Analytics,4,6.9804,Adaptive Governance Decision-Trigger Framework
73,AM003,Community Knowledge and Early Warning Network,5,6.97482,Adaptive Governance Decision-Trigger Framework
73,AM001,Ecological Monitoring and Threshold Review,6,6.85728,Adaptive Governance Decision-Trigger Framework
74,AM005,Adaptive Governance Decision-Trigger Framework,1,7.66948,Adaptive Governance Decision-Trigger Framework
74,AM003,Community Knowledge and Early Warning Network,2,7.45154,Adaptive Governance Decision-Trigger Framework
74,AM002,Institutional After-Action Learning System,3,6.90445,Adaptive Governance Decision-Trigger Framework
74,AM006,Safe-to-Fail Climate Adaptation Pilots,4,6.88359,Adaptive Governance Decision-Trigger Framework
74,AM001,Ecological Monitoring and Threshold Review,5,6.85572,Adaptive Governance Decision-Trigger Framework
74,AM004,Infrastructure Memory and Maintenance Analytics,6,6.7934,Adaptive Governance Decision-Trigger Framework
75,AM005,Adaptive Governance Decision-Trigger Framework,1,7.67887,Adaptive Governance Decision-Trigger Framework
75,AM003,Community Knowledge and Early Warning Network,2,7.27718,Adaptive Governance Decision-Trigger Framework
75,AM002,Institutional After-Action Learning System,3,7.24049,Adaptive Governance Decision-Trigger Framework
75,AM001,Ecological Monitoring and Threshold Review,4,7.04948,Adaptive Governance Decision-Trigger Framework
75,AM004,Infrastructure Memory and Maintenance Analytics,5,7.01039,Adaptive Governance Decision-Trigger Framework
75,AM006,Safe-to-Fail Climate Adaptation Pilots,6,6.96999,Adaptive Governance Decision-Trigger Framework
76,AM005,Adaptive Governance Decision-Trigger Framework,1,7.6335,Adaptive Governance Decision-Trigger Framework
76,AM002,Institutional After-Action Learning System,2,7.23378,Adaptive Governance Decision-Trigger Framework
76,AM003,Community Knowledge and Early Warning Network,3,7.09128,Adaptive Governance Decision-Trigger Framework
76,AM004,Infrastructure Memory and Maintenance Analytics,4,7.04298,Adaptive Governance Decision-Trigger Framework
76,AM001,Ecological Monitoring and Threshold Review,5,6.84523,Adaptive Governance Decision-Trigger Framework
76,AM006,Safe-to-Fail Climate Adaptation Pilots,6,6.75865,Adaptive Governance Decision-Trigger Framework
77,AM006,Safe-to-Fail Climate Adaptation Pilots,1,7.63349,Safe-to-Fail Climate Adaptation Pilots
77,AM003,Community Knowledge and Early Warning Network,2,7.35697,Safe-to-Fail Climate Adaptation Pilots
77,AM002,Institutional After-Action Learning System,3,7.34739,Safe-to-Fail Climate Adaptation Pilots
77,AM004,Infrastructure Memory and Maintenance Analytics,4,7.33045,Safe-to-Fail Climate Adaptation Pilots
77,AM005,Adaptive Governance Decision-Trigger Framework,5,7.31478,Safe-to-Fail Climate Adaptation Pilots
77,AM001,Ecological Monitoring and Threshold Review,6,7.01472,Safe-to-Fail Climate Adaptation Pilots
78,AM005,Adaptive Governance Decision-Trigger Framework,1,7.52369,Adaptive Governance Decision-Trigger Framework
78,AM003,Community Knowledge and Early Warning Network,2,7.36455,Adaptive Governance Decision-Trigger Framework
78,AM002,Institutional After-Action Learning System,3,7.23108,Adaptive Governance Decision-Trigger Framework
78,AM006,Safe-to-Fail Climate Adaptation Pilots,4,7.1245,Adaptive Governance Decision-Trigger Framework
78,AM001,Ecological Monitoring and Threshold Review,5,7.04252,Adaptive Governance Decision-Trigger Framework
78,AM004,Infrastructure Memory and Maintenance Analytics,6,6.65878,Adaptive Governance Decision-Trigger Framework
79,AM005,Adaptive Governance Decision-Trigger Framework,1,7.63179,Adaptive Governance Decision-Trigger Framework
79,AM003,Community Knowledge and Early Warning Network,2,7.38354,Adaptive Governance Decision-Trigger Framework
79,AM004,Infrastructure Memory and Maintenance Analytics,3,7.36054,Adaptive Governance Decision-Trigger Framework
79,AM002,Institutional After-Action Learning System,4,7.2295,Adaptive Governance Decision-Trigger Framework
79,AM006,Safe-to-Fail Climate Adaptation Pilots,5,7.16402,Adaptive Governance Decision-Trigger Framework
79,AM001,Ecological Monitoring and Threshold Review,6,6.73185,Adaptive Governance Decision-Trigger Framework
80,AM002,Institutional After-Action Learning System,1,7.32162,Institutional After-Action Learning System
80,AM005,Adaptive Governance Decision-Trigger Framework,2,7.14859,Institutional After-Action Learning System
80,AM004,Infrastructure Memory and Maintenance Analytics,3,7.09695,Institutional After-Action Learning System
80,AM001,Ecological Monitoring and Threshold Review,4,7.06628,Institutional After-Action Learning System
80,AM006,Safe-to-Fail Climate Adaptation Pilots,5,7.0569,Institutional After-Action Learning System
80,AM003,Community Knowledge and Early Warning Network,6,7.04317,Institutional After-Action Learning System
81,AM003,Community Knowledge and Early Warning Network,1,7.55481,Community Knowledge and Early Warning Network
81,AM002,Institutional After-Action Learning System,2,7.37334,Community Knowledge and Early Warning Network
81,AM004,Infrastructure Memory and Maintenance Analytics,3,7.37125,Community Knowledge and Early Warning Network
81,AM006,Safe-to-Fail Climate Adaptation Pilots,4,7.04969,Community Knowledge and Early Warning Network
81,AM005,Adaptive Governance Decision-Trigger Framework,5,7.02607,Community Knowledge and Early Warning Network
81,AM001,Ecological Monitoring and Threshold Review,6,6.90948,Community Knowledge and Early Warning Network
82,AM003,Community Knowledge and Early Warning Network,1,7.7422,Community Knowledge and Early Warning Network
82,AM005,Adaptive Governance Decision-Trigger Framework,2,7.60429,Community Knowledge and Early Warning Network
82,AM004,Infrastructure Memory and Maintenance Analytics,3,7.45702,Community Knowledge and Early Warning Network
82,AM001,Ecological Monitoring and Threshold Review,4,7.34595,Community Knowledge and Early Warning Network
82,AM002,Institutional After-Action Learning System,5,7.19054,Community Knowledge and Early Warning Network
82,AM006,Safe-to-Fail Climate Adaptation Pilots,6,6.81575,Community Knowledge and Early Warning Network
83,AM003,Community Knowledge and Early Warning Network,1,7.74781,Community Knowledge and Early Warning Network
83,AM002,Institutional After-Action Learning System,2,7.41505,Community Knowledge and Early Warning Network
83,AM004,Infrastructure Memory and Maintenance Analytics,3,7.35221,Community Knowledge and Early Warning Network
83,AM006,Safe-to-Fail Climate Adaptation Pilots,4,7.31753,Community Knowledge and Early Warning Network
83,AM001,Ecological Monitoring and Threshold Review,5,7.29709,Community Knowledge and Early Warning Network
83,AM005,Adaptive Governance Decision-Trigger Framework,6,7.13167,Community Knowledge and Early Warning Network
84,AM002,Institutional After-Action Learning System,1,7.50063,Institutional After-Action Learning System
84,AM006,Safe-to-Fail Climate Adaptation Pilots,2,7.30355,Institutional After-Action Learning System
84,AM003,Community Knowledge and Early Warning Network,3,7.267,Institutional After-Action Learning System
84,AM005,Adaptive Governance Decision-Trigger Framework,4,7.1935,Institutional After-Action Learning System
84,AM001,Ecological Monitoring and Threshold Review,5,6.98324,Institutional After-Action Learning System
84,AM004,Infrastructure Memory and Maintenance Analytics,6,6.63654,Institutional After-Action Learning System
85,AM005,Adaptive Governance Decision-Trigger Framework,1,7.64914,Adaptive Governance Decision-Trigger Framework
85,AM003,Community Knowledge and Early Warning Network,2,7.34908,Adaptive Governance Decision-Trigger Framework
85,AM002,Institutional After-Action Learning System,3,7.30468,Adaptive Governance Decision-Trigger Framework
85,AM006,Safe-to-Fail Climate Adaptation Pilots,4,7.14246,Adaptive Governance Decision-Trigger Framework
85,AM001,Ecological Monitoring and Threshold Review,5,6.96687,Adaptive Governance Decision-Trigger Framework
85,AM004,Infrastructure Memory and Maintenance Analytics,6,6.89297,Adaptive Governance Decision-Trigger Framework
86,AM003,Community Knowledge and Early Warning Network,1,7.86286,Community Knowledge and Early Warning Network
86,AM005,Adaptive Governance Decision-Trigger Framework,2,7.54741,Community Knowledge and Early Warning Network
86,AM006,Safe-to-Fail Climate Adaptation Pilots,3,7.3538,Community Knowledge and Early Warning Network
86,AM004,Infrastructure Memory and Maintenance Analytics,4,7.22778,Community Knowledge and Early Warning Network
86,AM002,Institutional After-Action Learning System,5,7.1584,Community Knowledge and Early Warning Network
86,AM001,Ecological Monitoring and Threshold Review,6,6.95799,Community Knowledge and Early Warning Network
87,AM003,Community Knowledge and Early Warning Network,1,7.64769,Community Knowledge and Early Warning Network
87,AM005,Adaptive Governance Decision-Trigger Framework,2,7.29167,Community Knowledge and Early Warning Network
87,AM001,Ecological Monitoring and Threshold Review,3,7.06578,Community Knowledge and Early Warning Network
87,AM006,Safe-to-Fail Climate Adaptation Pilots,4,6.99195,Community Knowledge and Early Warning Network
87,AM004,Infrastructure Memory and Maintenance Analytics,5,6.9493,Community Knowledge and Early Warning Network
87,AM002,Institutional After-Action Learning System,6,6.72906,Community Knowledge and Early Warning Network
88,AM005,Adaptive Governance Decision-Trigger Framework,1,7.71772,Adaptive Governance Decision-Trigger Framework
88,AM002,Institutional After-Action Learning System,2,7.69008,Adaptive Governance Decision-Trigger Framework
88,AM001,Ecological Monitoring and Threshold Review,3,7.35363,Adaptive Governance Decision-Trigger Framework
88,AM003,Community Knowledge and Early Warning Network,4,7.31295,Adaptive Governance Decision-Trigger Framework
88,AM004,Infrastructure Memory and Maintenance Analytics,5,7.17121,Adaptive Governance Decision-Trigger Framework
88,AM006,Safe-to-Fail Climate Adaptation Pilots,6,7.1398,Adaptive Governance Decision-Trigger Framework
89,AM005,Adaptive Governance Decision-Trigger Framework,1,7.62162,Adaptive Governance Decision-Trigger Framework
89,AM004,Infrastructure Memory and Maintenance Analytics,2,7.20128,Adaptive Governance Decision-Trigger Framework
89,AM003,Community Knowledge and Early Warning Network,3,7.17226,Adaptive Governance Decision-Trigger Framework
89,AM002,Institutional After-Action Learning System,4,7.06919,Adaptive Governance Decision-Trigger Framework
89,AM006,Safe-to-Fail Climate Adaptation Pilots,5,6.87193,Adaptive Governance Decision-Trigger Framework
89,AM001,Ecological Monitoring and Threshold Review,6,6.84701,Adaptive Governance Decision-Trigger Framework
90,AM001,Ecological Monitoring and Threshold Review,1,7.66572,Ecological Monitoring and Threshold Review
90,AM005,Adaptive Governance Decision-Trigger Framework,2,7.48512,Ecological Monitoring and Threshold Review
90,AM006,Safe-to-Fail Climate Adaptation Pilots,3,7.04119,Ecological Monitoring and Threshold Review
90,AM004,Infrastructure Memory and Maintenance Analytics,4,7.00544,Ecological Monitoring and Threshold Review
90,AM003,Community Knowledge and Early Warning Network,5,6.88903,Ecological Monitoring and Threshold Review
90,AM002,Institutional After-Action Learning System,6,6.84438,Ecological Monitoring and Threshold Review
91,AM004,Infrastructure Memory and Maintenance Analytics,1,7.42337,Infrastructure Memory and Maintenance Analytics
91,AM003,Community Knowledge and Early Warning Network,2,7.39563,Infrastructure Memory and Maintenance Analytics
91,AM005,Adaptive Governance Decision-Trigger Framework,3,7.35058,Infrastructure Memory and Maintenance Analytics
91,AM001,Ecological Monitoring and Threshold Review,4,7.31337,Infrastructure Memory and Maintenance Analytics
91,AM006,Safe-to-Fail Climate Adaptation Pilots,5,7.13614,Infrastructure Memory and Maintenance Analytics
91,AM002,Institutional After-Action Learning System,6,6.946,Infrastructure Memory and Maintenance Analytics
92,AM005,Adaptive Governance Decision-Trigger Framework,1,7.54592,Adaptive Governance Decision-Trigger Framework
92,AM004,Infrastructure Memory and Maintenance Analytics,2,7.45514,Adaptive Governance Decision-Trigger Framework
92,AM003,Community Knowledge and Early Warning Network,3,7.39728,Adaptive Governance Decision-Trigger Framework
92,AM001,Ecological Monitoring and Threshold Review,4,7.0852,Adaptive Governance Decision-Trigger Framework
92,AM006,Safe-to-Fail Climate Adaptation Pilots,5,7.01147,Adaptive Governance Decision-Trigger Framework
92,AM002,Institutional After-Action Learning System,6,6.77249,Adaptive Governance Decision-Trigger Framework
93,AM005,Adaptive Governance Decision-Trigger Framework,1,7.45059,Adaptive Governance Decision-Trigger Framework
93,AM003,Community Knowledge and Early Warning Network,2,7.34806,Adaptive Governance Decision-Trigger Framework
93,AM004,Infrastructure Memory and Maintenance Analytics,3,7.32207,Adaptive Governance Decision-Trigger Framework
93,AM001,Ecological Monitoring and Threshold Review,4,7.28377,Adaptive Governance Decision-Trigger Framework
93,AM006,Safe-to-Fail Climate Adaptation Pilots,5,7.01709,Adaptive Governance Decision-Trigger Framework
93,AM002,Institutional After-Action Learning System,6,6.98019,Adaptive Governance Decision-Trigger Framework
94,AM005,Adaptive Governance Decision-Trigger Framework,1,7.50585,Adaptive Governance Decision-Trigger Framework
94,AM003,Community Knowledge and Early Warning Network,2,7.46406,Adaptive Governance Decision-Trigger Framework
94,AM006,Safe-to-Fail Climate Adaptation Pilots,3,7.16273,Adaptive Governance Decision-Trigger Framework
94,AM002,Institutional After-Action Learning System,4,7.03652,Adaptive Governance Decision-Trigger Framework
94,AM001,Ecological Monitoring and Threshold Review,5,6.96682,Adaptive Governance Decision-Trigger Framework
94,AM004,Infrastructure Memory and Maintenance Analytics,6,6.82262,Adaptive Governance Decision-Trigger Framework
95,AM002,Institutional After-Action Learning System,1,7.57643,Institutional After-Action Learning System
95,AM003,Community Knowledge and Early Warning Network,2,7.55876,Institutional After-Action Learning System
95,AM001,Ecological Monitoring and Threshold Review,3,7.2578,Institutional After-Action Learning System
95,AM006,Safe-to-Fail Climate Adaptation Pilots,4,7.03884,Institutional After-Action Learning System
95,AM005,Adaptive Governance Decision-Trigger Framework,5,7.01247,Institutional After-Action Learning System
95,AM004,Infrastructure Memory and Maintenance Analytics,6,6.96309,Institutional After-Action Learning System
96,AM005,Adaptive Governance Decision-Trigger Framework,1,7.50572,Adaptive Governance Decision-Trigger Framework
96,AM003,Community Knowledge and Early Warning Network,2,7.35731,Adaptive Governance Decision-Trigger Framework
96,AM004,Infrastructure Memory and Maintenance Analytics,3,7.31973,Adaptive Governance Decision-Trigger Framework
96,AM002,Institutional After-Action Learning System,4,7.29471,Adaptive Governance Decision-Trigger Framework
96,AM006,Safe-to-Fail Climate Adaptation Pilots,5,7.12403,Adaptive Governance Decision-Trigger Framework
96,AM001,Ecological Monitoring and Threshold Review,6,7.10959,Adaptive Governance Decision-Trigger Framework
97,AM005,Adaptive Governance Decision-Trigger Framework,1,7.25424,Adaptive Governance Decision-Trigger Framework
97,AM006,Safe-to-Fail Climate Adaptation Pilots,2,7.23944,Adaptive Governance Decision-Trigger Framework
97,AM003,Community Knowledge and Early Warning Network,3,7.17644,Adaptive Governance Decision-Trigger Framework
97,AM001,Ecological Monitoring and Threshold Review,4,7.15929,Adaptive Governance Decision-Trigger Framework
97,AM002,Institutional After-Action Learning System,5,7.07728,Adaptive Governance Decision-Trigger Framework
97,AM004,Infrastructure Memory and Maintenance Analytics,6,7.00837,Adaptive Governance Decision-Trigger Framework
98,AM003,Community Knowledge and Early Warning Network,1,7.64915,Community Knowledge and Early Warning Network
98,AM005,Adaptive Governance Decision-Trigger Framework,2,7.54891,Community Knowledge and Early Warning Network
98,AM004,Infrastructure Memory and Maintenance Analytics,3,7.50863,Community Knowledge and Early Warning Network
98,AM001,Ecological Monitoring and Threshold Review,4,7.43545,Community Knowledge and Early Warning Network
98,AM006,Safe-to-Fail Climate Adaptation Pilots,5,7.15052,Community Knowledge and Early Warning Network
98,AM002,Institutional After-Action Learning System,6,6.98787,Community Knowledge and Early Warning Network
99,AM006,Safe-to-Fail Climate Adaptation Pilots,1,7.60376,Safe-to-Fail Climate Adaptation Pilots
99,AM003,Community Knowledge and Early Warning Network,2,7.36861,Safe-to-Fail Climate Adaptation Pilots
99,AM005,Adaptive Governance Decision-Trigger Framework,3,7.35972,Safe-to-Fail Climate Adaptation Pilots
99,AM004,Infrastructure Memory and Maintenance Analytics,4,7.32259,Safe-to-Fail Climate Adaptation Pilots
99,AM002,Institutional After-Action Learning System,5,7.31527,Safe-to-Fail Climate Adaptation Pilots
99,AM001,Ecological Monitoring and Threshold Review,6,7.03313,Safe-to-Fail Climate Adaptation Pilots
100,AM005,Adaptive Governance Decision-Trigger Framework,1,7.6911,Adaptive Governance Decision-Trigger Framework
100,AM006,Safe-to-Fail Climate Adaptation Pilots,2,7.54262,Adaptive Governance Decision-Trigger Framework
100,AM003,Community Knowledge and Early Warning Network,3,7.43001,Adaptive Governance Decision-Trigger Framework
100,AM001,Ecological Monitoring and Threshold Review,4,7.07913,Adaptive Governance Decision-Trigger Framework
100,AM002,Institutional After-Action Learning System,5,7.01607,Adaptive Governance Decision-Trigger Framework
100,AM004,Infrastructure Memory and Maintenance Analytics,6,6.79832,Adaptive Governance Decision-Trigger Framework
101,AM003,Community Knowledge and Early Warning Network,1,7.66014,Community Knowledge and Early Warning Network
101,AM005,Adaptive Governance Decision-Trigger Framework,2,7.6225,Community Knowledge and Early Warning Network
101,AM006,Safe-to-Fail Climate Adaptation Pilots,3,7.48069,Community Knowledge and Early Warning Network
101,AM004,Infrastructure Memory and Maintenance Analytics,4,7.13046,Community Knowledge and Early Warning Network
101,AM002,Institutional After-Action Learning System,5,7.0966,Community Knowledge and Early Warning Network
101,AM001,Ecological Monitoring and Threshold Review,6,7.03553,Community Knowledge and Early Warning Network
102,AM004,Infrastructure Memory and Maintenance Analytics,1,7.58193,Infrastructure Memory and Maintenance Analytics
102,AM001,Ecological Monitoring and Threshold Review,2,7.28638,Infrastructure Memory and Maintenance Analytics
102,AM005,Adaptive Governance Decision-Trigger Framework,3,7.27103,Infrastructure Memory and Maintenance Analytics
102,AM002,Institutional After-Action Learning System,4,7.22392,Infrastructure Memory and Maintenance Analytics
102,AM003,Community Knowledge and Early Warning Network,5,6.97847,Infrastructure Memory and Maintenance Analytics
102,AM006,Safe-to-Fail Climate Adaptation Pilots,6,6.96932,Infrastructure Memory and Maintenance Analytics
103,AM005,Adaptive Governance Decision-Trigger Framework,1,7.29638,Adaptive Governance Decision-Trigger Framework
103,AM002,Institutional After-Action Learning System,2,7.21554,Adaptive Governance Decision-Trigger Framework
103,AM003,Community Knowledge and Early Warning Network,3,7.1312,Adaptive Governance Decision-Trigger Framework
103,AM004,Infrastructure Memory and Maintenance Analytics,4,7.07227,Adaptive Governance Decision-Trigger Framework
103,AM006,Safe-to-Fail Climate Adaptation Pilots,5,6.78335,Adaptive Governance Decision-Trigger Framework
103,AM001,Ecological Monitoring and Threshold Review,6,6.72651,Adaptive Governance Decision-Trigger Framework
104,AM003,Community Knowledge and Early Warning Network,1,7.94442,Community Knowledge and Early Warning Network
104,AM005,Adaptive Governance Decision-Trigger Framework,2,7.47439,Community Knowledge and Early Warning Network
104,AM001,Ecological Monitoring and Threshold Review,3,7.4109,Community Knowledge and Early Warning Network
104,AM002,Institutional After-Action Learning System,4,7.18983,Community Knowledge and Early Warning Network
104,AM006,Safe-to-Fail Climate Adaptation Pilots,5,7.06673,Community Knowledge and Early Warning Network
104,AM004,Infrastructure Memory and Maintenance Analytics,6,6.86651,Community Knowledge and Early Warning Network
105,AM003,Community Knowledge and Early Warning Network,1,7.6238,Community Knowledge and Early Warning Network
105,AM005,Adaptive Governance Decision-Trigger Framework,2,7.51536,Community Knowledge and Early Warning Network
105,AM002,Institutional After-Action Learning System,3,7.1112,Community Knowledge and Early Warning Network
105,AM006,Safe-to-Fail Climate Adaptation Pilots,4,7.09144,Community Knowledge and Early Warning Network
105,AM001,Ecological Monitoring and Threshold Review,5,6.98354,Community Knowledge and Early Warning Network
105,AM004,Infrastructure Memory and Maintenance Analytics,6,6.61435,Community Knowledge and Early Warning Network
106,AM003,Community Knowledge and Early Warning Network,1,7.5044,Community Knowledge and Early Warning Network
106,AM005,Adaptive Governance Decision-Trigger Framework,2,7.38789,Community Knowledge and Early Warning Network
106,AM001,Ecological Monitoring and Threshold Review,3,7.34464,Community Knowledge and Early Warning Network
106,AM002,Institutional After-Action Learning System,4,7.10147,Community Knowledge and Early Warning Network
106,AM006,Safe-to-Fail Climate Adaptation Pilots,5,7.05316,Community Knowledge and Early Warning Network
106,AM004,Infrastructure Memory and Maintenance Analytics,6,7.03686,Community Knowledge and Early Warning Network
107,AM003,Community Knowledge and Early Warning Network,1,7.50285,Community Knowledge and Early Warning Network
107,AM006,Safe-to-Fail Climate Adaptation Pilots,2,7.38019,Community Knowledge and Early Warning Network
107,AM002,Institutional After-Action Learning System,3,7.06412,Community Knowledge and Early Warning Network
107,AM005,Adaptive Governance Decision-Trigger Framework,4,7.0329,Community Knowledge and Early Warning Network
107,AM001,Ecological Monitoring and Threshold Review,5,6.97277,Community Knowledge and Early Warning Network
107,AM004,Infrastructure Memory and Maintenance Analytics,6,6.74552,Community Knowledge and Early Warning Network
108,AM005,Adaptive Governance Decision-Trigger Framework,1,7.43341,Adaptive Governance Decision-Trigger Framework
108,AM003,Community Knowledge and Early Warning Network,2,7.42853,Adaptive Governance Decision-Trigger Framework
108,AM001,Ecological Monitoring and Threshold Review,3,7.11069,Adaptive Governance Decision-Trigger Framework
108,AM006,Safe-to-Fail Climate Adaptation Pilots,4,7.09838,Adaptive Governance Decision-Trigger Framework
108,AM002,Institutional After-Action Learning System,5,6.9494,Adaptive Governance Decision-Trigger Framework
108,AM004,Infrastructure Memory and Maintenance Analytics,6,6.62708,Adaptive Governance Decision-Trigger Framework
109,AM003,Community Knowledge and Early Warning Network,1,7.69766,Community Knowledge and Early Warning Network
109,AM002,Institutional After-Action Learning System,2,7.46298,Community Knowledge and Early Warning Network
109,AM001,Ecological Monitoring and Threshold Review,3,7.39195,Community Knowledge and Early Warning Network
109,AM006,Safe-to-Fail Climate Adaptation Pilots,4,7.34977,Community Knowledge and Early Warning Network
109,AM005,Adaptive Governance Decision-Trigger Framework,5,7.2383,Community Knowledge and Early Warning Network
109,AM004,Infrastructure Memory and Maintenance Analytics,6,7.156,Community Knowledge and Early Warning Network
110,AM005,Adaptive Governance Decision-Trigger Framework,1,7.84433,Adaptive Governance Decision-Trigger Framework
110,AM006,Safe-to-Fail Climate Adaptation Pilots,2,7.37296,Adaptive Governance Decision-Trigger Framework
110,AM003,Community Knowledge and Early Warning Network,3,7.27437,Adaptive Governance Decision-Trigger Framework
110,AM002,Institutional After-Action Learning System,4,7.2414,Adaptive Governance Decision-Trigger Framework
110,AM004,Infrastructure Memory and Maintenance Analytics,5,7.232,Adaptive Governance Decision-Trigger Framework
110,AM001,Ecological Monitoring and Threshold Review,6,6.93081,Adaptive Governance Decision-Trigger Framework
111,AM003,Community Knowledge and Early Warning Network,1,7.61556,Community Knowledge and Early Warning Network
111,AM005,Adaptive Governance Decision-Trigger Framework,2,7.40746,Community Knowledge and Early Warning Network
111,AM002,Institutional After-Action Learning System,3,7.28798,Community Knowledge and Early Warning Network
111,AM004,Infrastructure Memory and Maintenance Analytics,4,7.26467,Community Knowledge and Early Warning Network
111,AM006,Safe-to-Fail Climate Adaptation Pilots,5,7.01977,Community Knowledge and Early Warning Network
111,AM001,Ecological Monitoring and Threshold Review,6,7.01227,Community Knowledge and Early Warning Network
112,AM005,Adaptive Governance Decision-Trigger Framework,1,7.70566,Adaptive Governance Decision-Trigger Framework
112,AM003,Community Knowledge and Early Warning Network,2,7.43906,Adaptive Governance Decision-Trigger Framework
112,AM004,Infrastructure Memory and Maintenance Analytics,3,7.33514,Adaptive Governance Decision-Trigger Framework
112,AM001,Ecological Monitoring and Threshold Review,4,7.28083,Adaptive Governance Decision-Trigger Framework
112,AM002,Institutional After-Action Learning System,5,7.26662,Adaptive Governance Decision-Trigger Framework
112,AM006,Safe-to-Fail Climate Adaptation Pilots,6,7.187,Adaptive Governance Decision-Trigger Framework
113,AM002,Institutional After-Action Learning System,1,7.38727,Institutional After-Action Learning System
113,AM001,Ecological Monitoring and Threshold Review,2,7.38489,Institutional After-Action Learning System
113,AM005,Adaptive Governance Decision-Trigger Framework,3,7.35084,Institutional After-Action Learning System
113,AM004,Infrastructure Memory and Maintenance Analytics,4,7.18159,Institutional After-Action Learning System
113,AM006,Safe-to-Fail Climate Adaptation Pilots,5,7.11062,Institutional After-Action Learning System
113,AM003,Community Knowledge and Early Warning Network,6,6.98856,Institutional After-Action Learning System
114,AM001,Ecological Monitoring and Threshold Review,1,7.55104,Ecological Monitoring and Threshold Review
114,AM003,Community Knowledge and Early Warning Network,2,7.33132,Ecological Monitoring and Threshold Review
114,AM002,Institutional After-Action Learning System,3,7.24994,Ecological Monitoring and Threshold Review
114,AM004,Infrastructure Memory and Maintenance Analytics,4,7.24869,Ecological Monitoring and Threshold Review
114,AM005,Adaptive Governance Decision-Trigger Framework,5,7.16707,Ecological Monitoring and Threshold Review
114,AM006,Safe-to-Fail Climate Adaptation Pilots,6,6.88698,Ecological Monitoring and Threshold Review
115,AM003,Community Knowledge and Early Warning Network,1,7.52861,Community Knowledge and Early Warning Network
115,AM002,Institutional After-Action Learning System,2,7.30982,Community Knowledge and Early Warning Network
115,AM005,Adaptive Governance Decision-Trigger Framework,3,7.14602,Community Knowledge and Early Warning Network
115,AM006,Safe-to-Fail Climate Adaptation Pilots,4,7.1092,Community Knowledge and Early Warning Network
115,AM004,Infrastructure Memory and Maintenance Analytics,5,7.06547,Community Knowledge and Early Warning Network
115,AM001,Ecological Monitoring and Threshold Review,6,6.83586,Community Knowledge and Early Warning Network
116,AM005,Adaptive Governance Decision-Trigger Framework,1,7.8353,Adaptive Governance Decision-Trigger Framework
116,AM004,Infrastructure Memory and Maintenance Analytics,2,7.17039,Adaptive Governance Decision-Trigger Framework
116,AM003,Community Knowledge and Early Warning Network,3,7.12783,Adaptive Governance Decision-Trigger Framework
116,AM001,Ecological Monitoring and Threshold Review,4,7.09522,Adaptive Governance Decision-Trigger Framework
116,AM002,Institutional After-Action Learning System,5,7.09073,Adaptive Governance Decision-Trigger Framework
116,AM006,Safe-to-Fail Climate Adaptation Pilots,6,6.65764,Adaptive Governance Decision-Trigger Framework
117,AM003,Community Knowledge and Early Warning Network,1,7.68422,Community Knowledge and Early Warning Network
117,AM005,Adaptive Governance Decision-Trigger Framework,2,7.63445,Community Knowledge and Early Warning Network
117,AM002,Institutional After-Action Learning System,3,7.62963,Community Knowledge and Early Warning Network
117,AM001,Ecological Monitoring and Threshold Review,4,7.35944,Community Knowledge and Early Warning Network
117,AM006,Safe-to-Fail Climate Adaptation Pilots,5,7.2678,Community Knowledge and Early Warning Network
117,AM004,Infrastructure Memory and Maintenance Analytics,6,6.89254,Community Knowledge and Early Warning Network
118,AM005,Adaptive Governance Decision-Trigger Framework,1,7.83316,Adaptive Governance Decision-Trigger Framework
118,AM002,Institutional After-Action Learning System,2,7.33227,Adaptive Governance Decision-Trigger Framework
