simulation_id,strategy_id,strategy,rank,adaptive_governance_value,winner
976,AG001,Adaptive Pathways and Decision Triggers,2,8.57417,Polycentric Cross-Scale Coordination Forum
976,AG005,Equity Accountability and Rights Safeguard,3,8.50154,Polycentric Cross-Scale Coordination Forum
976,AG004,Monitoring Feedback and Learning System,4,8.48544,Polycentric Cross-Scale Coordination Forum
976,AG003,Community Knowledge Co-Production Platform,5,8.48263,Polycentric Cross-Scale Coordination Forum
976,AG006,Responsible Policy Experimentation Portfolio,6,8.13967,Polycentric Cross-Scale Coordination Forum
977,AG003,Community Knowledge Co-Production Platform,1,8.56907,Community Knowledge Co-Production Platform
977,AG005,Equity Accountability and Rights Safeguard,2,8.55642,Community Knowledge Co-Production Platform
977,AG006,Responsible Policy Experimentation Portfolio,3,8.1651,Community Knowledge Co-Production Platform
977,AG002,Polycentric Cross-Scale Coordination Forum,4,8.14991,Community Knowledge Co-Production Platform
977,AG001,Adaptive Pathways and Decision Triggers,5,7.99469,Community Knowledge Co-Production Platform
977,AG004,Monitoring Feedback and Learning System,6,7.77943,Community Knowledge Co-Production Platform
978,AG005,Equity Accountability and Rights Safeguard,1,8.80892,Equity Accountability and Rights Safeguard
978,AG004,Monitoring Feedback and Learning System,2,8.38138,Equity Accountability and Rights Safeguard
978,AG003,Community Knowledge Co-Production Platform,3,8.19434,Equity Accountability and Rights Safeguard
978,AG001,Adaptive Pathways and Decision Triggers,4,8.17487,Equity Accountability and Rights Safeguard
978,AG002,Polycentric Cross-Scale Coordination Forum,5,8.11892,Equity Accountability and Rights Safeguard
978,AG006,Responsible Policy Experimentation Portfolio,6,8.06582,Equity Accountability and Rights Safeguard
979,AG004,Monitoring Feedback and Learning System,1,8.47666,Monitoring Feedback and Learning System
979,AG005,Equity Accountability and Rights Safeguard,2,8.44487,Monitoring Feedback and Learning System
979,AG006,Responsible Policy Experimentation Portfolio,3,8.29934,Monitoring Feedback and Learning System
979,AG001,Adaptive Pathways and Decision Triggers,4,8.07348,Monitoring Feedback and Learning System
979,AG002,Polycentric Cross-Scale Coordination Forum,5,8.07067,Monitoring Feedback and Learning System
979,AG003,Community Knowledge Co-Production Platform,6,7.97565,Monitoring Feedback and Learning System
980,AG004,Monitoring Feedback and Learning System,1,8.53315,Monitoring Feedback and Learning System
980,AG003,Community Knowledge Co-Production Platform,2,8.33132,Monitoring Feedback and Learning System
980,AG001,Adaptive Pathways and Decision Triggers,3,8.19052,Monitoring Feedback and Learning System
980,AG006,Responsible Policy Experimentation Portfolio,4,8.13874,Monitoring Feedback and Learning System
980,AG005,Equity Accountability and Rights Safeguard,5,8.07356,Monitoring Feedback and Learning System
980,AG002,Polycentric Cross-Scale Coordination Forum,6,8.04752,Monitoring Feedback and Learning System
981,AG004,Monitoring Feedback and Learning System,1,8.50828,Monitoring Feedback and Learning System
981,AG003,Community Knowledge Co-Production Platform,2,8.44038,Monitoring Feedback and Learning System
981,AG002,Polycentric Cross-Scale Coordination Forum,3,8.40613,Monitoring Feedback and Learning System
981,AG005,Equity Accountability and Rights Safeguard,4,8.31895,Monitoring Feedback and Learning System
981,AG001,Adaptive Pathways and Decision Triggers,5,8.1802,Monitoring Feedback and Learning System
981,AG006,Responsible Policy Experimentation Portfolio,6,7.71674,Monitoring Feedback and Learning System
982,AG004,Monitoring Feedback and Learning System,1,8.53821,Monitoring Feedback and Learning System
982,AG006,Responsible Policy Experimentation Portfolio,2,8.45037,Monitoring Feedback and Learning System
982,AG005,Equity Accountability and Rights Safeguard,3,8.29393,Monitoring Feedback and Learning System
982,AG003,Community Knowledge Co-Production Platform,4,8.20969,Monitoring Feedback and Learning System
982,AG001,Adaptive Pathways and Decision Triggers,5,7.99353,Monitoring Feedback and Learning System
982,AG002,Polycentric Cross-Scale Coordination Forum,6,7.98694,Monitoring Feedback and Learning System
983,AG003,Community Knowledge Co-Production Platform,1,8.48098,Community Knowledge Co-Production Platform
983,AG005,Equity Accountability and Rights Safeguard,2,8.25767,Community Knowledge Co-Production Platform
983,AG004,Monitoring Feedback and Learning System,3,7.99715,Community Knowledge Co-Production Platform
983,AG002,Polycentric Cross-Scale Coordination Forum,4,7.93454,Community Knowledge Co-Production Platform
983,AG006,Responsible Policy Experimentation Portfolio,5,7.84535,Community Knowledge Co-Production Platform
983,AG001,Adaptive Pathways and Decision Triggers,6,7.7555,Community Knowledge Co-Production Platform
984,AG003,Community Knowledge Co-Production Platform,1,8.62346,Community Knowledge Co-Production Platform
984,AG005,Equity Accountability and Rights Safeguard,2,8.48626,Community Knowledge Co-Production Platform
984,AG004,Monitoring Feedback and Learning System,3,8.3379,Community Knowledge Co-Production Platform
984,AG006,Responsible Policy Experimentation Portfolio,4,8.23561,Community Knowledge Co-Production Platform
984,AG001,Adaptive Pathways and Decision Triggers,5,8.13253,Community Knowledge Co-Production Platform
984,AG002,Polycentric Cross-Scale Coordination Forum,6,7.96877,Community Knowledge Co-Production Platform
985,AG002,Polycentric Cross-Scale Coordination Forum,1,8.41813,Polycentric Cross-Scale Coordination Forum
985,AG006,Responsible Policy Experimentation Portfolio,2,8.37525,Polycentric Cross-Scale Coordination Forum
985,AG005,Equity Accountability and Rights Safeguard,3,8.36868,Polycentric Cross-Scale Coordination Forum
985,AG004,Monitoring Feedback and Learning System,4,8.23508,Polycentric Cross-Scale Coordination Forum
985,AG001,Adaptive Pathways and Decision Triggers,5,8.11846,Polycentric Cross-Scale Coordination Forum
985,AG003,Community Knowledge Co-Production Platform,6,7.98084,Polycentric Cross-Scale Coordination Forum
986,AG003,Community Knowledge Co-Production Platform,1,8.48078,Community Knowledge Co-Production Platform
986,AG005,Equity Accountability and Rights Safeguard,2,8.45328,Community Knowledge Co-Production Platform
986,AG004,Monitoring Feedback and Learning System,3,8.24583,Community Knowledge Co-Production Platform
986,AG002,Polycentric Cross-Scale Coordination Forum,4,8.23985,Community Knowledge Co-Production Platform
986,AG001,Adaptive Pathways and Decision Triggers,5,7.98146,Community Knowledge Co-Production Platform
986,AG006,Responsible Policy Experimentation Portfolio,6,7.94004,Community Knowledge Co-Production Platform
987,AG005,Equity Accountability and Rights Safeguard,1,8.5954,Equity Accountability and Rights Safeguard
987,AG004,Monitoring Feedback and Learning System,2,8.27868,Equity Accountability and Rights Safeguard
987,AG003,Community Knowledge Co-Production Platform,3,8.05737,Equity Accountability and Rights Safeguard
987,AG001,Adaptive Pathways and Decision Triggers,4,7.97914,Equity Accountability and Rights Safeguard
987,AG002,Polycentric Cross-Scale Coordination Forum,5,7.88161,Equity Accountability and Rights Safeguard
987,AG006,Responsible Policy Experimentation Portfolio,6,7.8454,Equity Accountability and Rights Safeguard
988,AG005,Equity Accountability and Rights Safeguard,1,8.67358,Equity Accountability and Rights Safeguard
988,AG004,Monitoring Feedback and Learning System,2,8.44807,Equity Accountability and Rights Safeguard
988,AG003,Community Knowledge Co-Production Platform,3,8.39512,Equity Accountability and Rights Safeguard
988,AG006,Responsible Policy Experimentation Portfolio,4,8.21883,Equity Accountability and Rights Safeguard
988,AG001,Adaptive Pathways and Decision Triggers,5,8.02973,Equity Accountability and Rights Safeguard
988,AG002,Polycentric Cross-Scale Coordination Forum,6,7.83539,Equity Accountability and Rights Safeguard
989,AG005,Equity Accountability and Rights Safeguard,1,8.59473,Equity Accountability and Rights Safeguard
989,AG003,Community Knowledge Co-Production Platform,2,8.30846,Equity Accountability and Rights Safeguard
989,AG004,Monitoring Feedback and Learning System,3,8.25919,Equity Accountability and Rights Safeguard
989,AG002,Polycentric Cross-Scale Coordination Forum,4,8.22898,Equity Accountability and Rights Safeguard
989,AG001,Adaptive Pathways and Decision Triggers,5,8.11806,Equity Accountability and Rights Safeguard
989,AG006,Responsible Policy Experimentation Portfolio,6,8.0004,Equity Accountability and Rights Safeguard
990,AG005,Equity Accountability and Rights Safeguard,1,8.50604,Equity Accountability and Rights Safeguard
990,AG001,Adaptive Pathways and Decision Triggers,2,8.2515,Equity Accountability and Rights Safeguard
990,AG004,Monitoring Feedback and Learning System,3,8.23833,Equity Accountability and Rights Safeguard
990,AG006,Responsible Policy Experimentation Portfolio,4,8.07073,Equity Accountability and Rights Safeguard
990,AG003,Community Knowledge Co-Production Platform,5,8.03584,Equity Accountability and Rights Safeguard
990,AG002,Polycentric Cross-Scale Coordination Forum,6,7.85472,Equity Accountability and Rights Safeguard
991,AG004,Monitoring Feedback and Learning System,1,8.69057,Monitoring Feedback and Learning System
991,AG005,Equity Accountability and Rights Safeguard,2,8.46971,Monitoring Feedback and Learning System
991,AG003,Community Knowledge Co-Production Platform,3,8.38468,Monitoring Feedback and Learning System
991,AG001,Adaptive Pathways and Decision Triggers,4,8.37281,Monitoring Feedback and Learning System
991,AG006,Responsible Policy Experimentation Portfolio,5,7.96833,Monitoring Feedback and Learning System
991,AG002,Polycentric Cross-Scale Coordination Forum,6,7.64602,Monitoring Feedback and Learning System
992,AG004,Monitoring Feedback and Learning System,1,9.01138,Monitoring Feedback and Learning System
992,AG005,Equity Accountability and Rights Safeguard,2,8.46557,Monitoring Feedback and Learning System
992,AG001,Adaptive Pathways and Decision Triggers,3,8.23355,Monitoring Feedback and Learning System
992,AG003,Community Knowledge Co-Production Platform,4,8.1746,Monitoring Feedback and Learning System
992,AG006,Responsible Policy Experimentation Portfolio,5,7.61153,Monitoring Feedback and Learning System
992,AG002,Polycentric Cross-Scale Coordination Forum,6,7.38052,Monitoring Feedback and Learning System
993,AG003,Community Knowledge Co-Production Platform,1,8.36004,Community Knowledge Co-Production Platform
993,AG005,Equity Accountability and Rights Safeguard,2,8.28157,Community Knowledge Co-Production Platform
993,AG006,Responsible Policy Experimentation Portfolio,3,8.16499,Community Knowledge Co-Production Platform
993,AG002,Polycentric Cross-Scale Coordination Forum,4,8.10848,Community Knowledge Co-Production Platform
993,AG004,Monitoring Feedback and Learning System,5,8.10433,Community Knowledge Co-Production Platform
993,AG001,Adaptive Pathways and Decision Triggers,6,7.82403,Community Knowledge Co-Production Platform
994,AG004,Monitoring Feedback and Learning System,1,8.42723,Monitoring Feedback and Learning System
994,AG005,Equity Accountability and Rights Safeguard,2,8.36406,Monitoring Feedback and Learning System
994,AG001,Adaptive Pathways and Decision Triggers,3,8.04451,Monitoring Feedback and Learning System
994,AG002,Polycentric Cross-Scale Coordination Forum,4,8.03362,Monitoring Feedback and Learning System
994,AG003,Community Knowledge Co-Production Platform,5,8.01383,Monitoring Feedback and Learning System
994,AG006,Responsible Policy Experimentation Portfolio,6,7.81694,Monitoring Feedback and Learning System
995,AG004,Monitoring Feedback and Learning System,1,8.80038,Monitoring Feedback and Learning System
995,AG003,Community Knowledge Co-Production Platform,2,8.68455,Monitoring Feedback and Learning System
995,AG005,Equity Accountability and Rights Safeguard,3,8.50056,Monitoring Feedback and Learning System
995,AG001,Adaptive Pathways and Decision Triggers,4,8.28797,Monitoring Feedback and Learning System
995,AG002,Polycentric Cross-Scale Coordination Forum,5,8.13083,Monitoring Feedback and Learning System
995,AG006,Responsible Policy Experimentation Portfolio,6,8.12059,Monitoring Feedback and Learning System
996,AG003,Community Knowledge Co-Production Platform,1,8.41137,Community Knowledge Co-Production Platform
996,AG001,Adaptive Pathways and Decision Triggers,2,8.3663,Community Knowledge Co-Production Platform
996,AG004,Monitoring Feedback and Learning System,3,8.1589,Community Knowledge Co-Production Platform
996,AG006,Responsible Policy Experimentation Portfolio,4,8.12165,Community Knowledge Co-Production Platform
996,AG005,Equity Accountability and Rights Safeguard,5,8.00275,Community Knowledge Co-Production Platform
996,AG002,Polycentric Cross-Scale Coordination Forum,6,7.94709,Community Knowledge Co-Production Platform
997,AG003,Community Knowledge Co-Production Platform,1,8.50163,Community Knowledge Co-Production Platform
997,AG005,Equity Accountability and Rights Safeguard,2,8.25501,Community Knowledge Co-Production Platform
997,AG004,Monitoring Feedback and Learning System,3,8.03239,Community Knowledge Co-Production Platform
997,AG006,Responsible Policy Experimentation Portfolio,4,7.97659,Community Knowledge Co-Production Platform
997,AG001,Adaptive Pathways and Decision Triggers,5,7.68177,Community Knowledge Co-Production Platform
997,AG002,Polycentric Cross-Scale Coordination Forum,6,7.60397,Community Knowledge Co-Production Platform
998,AG002,Polycentric Cross-Scale Coordination Forum,1,8.5785,Polycentric Cross-Scale Coordination Forum
998,AG005,Equity Accountability and Rights Safeguard,2,8.5357,Polycentric Cross-Scale Coordination Forum
998,AG004,Monitoring Feedback and Learning System,3,8.31427,Polycentric Cross-Scale Coordination Forum
998,AG003,Community Knowledge Co-Production Platform,4,8.19648,Polycentric Cross-Scale Coordination Forum
998,AG006,Responsible Policy Experimentation Portfolio,5,8.10177,Polycentric Cross-Scale Coordination Forum
998,AG001,Adaptive Pathways and Decision Triggers,6,7.65865,Polycentric Cross-Scale Coordination Forum
999,AG002,Polycentric Cross-Scale Coordination Forum,1,8.71459,Polycentric Cross-Scale Coordination Forum
999,AG003,Community Knowledge Co-Production Platform,2,8.4446,Polycentric Cross-Scale Coordination Forum
999,AG005,Equity Accountability and Rights Safeguard,3,8.37576,Polycentric Cross-Scale Coordination Forum
999,AG004,Monitoring Feedback and Learning System,4,8.07834,Polycentric Cross-Scale Coordination Forum
999,AG001,Adaptive Pathways and Decision Triggers,5,8.063,Polycentric Cross-Scale Coordination Forum
999,AG006,Responsible Policy Experimentation Portfolio,6,7.93299,Polycentric Cross-Scale Coordination Forum
1000,AG004,Monitoring Feedback and Learning System,1,8.80929,Monitoring Feedback and Learning System
1000,AG005,Equity Accountability and Rights Safeguard,2,8.70617,Monitoring Feedback and Learning System
1000,AG002,Polycentric Cross-Scale Coordination Forum,3,8.21893,Monitoring Feedback and Learning System
1000,AG003,Community Knowledge Co-Production Platform,4,8.12396,Monitoring Feedback and Learning System
1000,AG001,Adaptive Pathways and Decision Triggers,5,8.01121,Monitoring Feedback and Learning System
1000,AG006,Responsible Policy Experimentation Portfolio,6,7.90827,Monitoring Feedback and Learning System
1001,AG002,Polycentric Cross-Scale Coordination Forum,1,8.48761,Polycentric Cross-Scale Coordination Forum
1001,AG003,Community Knowledge Co-Production Platform,2,8.40246,Polycentric Cross-Scale Coordination Forum
1001,AG004,Monitoring Feedback and Learning System,3,8.35441,Polycentric Cross-Scale Coordination Forum
1001,AG005,Equity Accountability and Rights Safeguard,4,8.34966,Polycentric Cross-Scale Coordination Forum
1001,AG006,Responsible Policy Experimentation Portfolio,5,7.99878,Polycentric Cross-Scale Coordination Forum
1001,AG001,Adaptive Pathways and Decision Triggers,6,7.74863,Polycentric Cross-Scale Coordination Forum
1002,AG005,Equity Accountability and Rights Safeguard,1,8.30259,Equity Accountability and Rights Safeguard
1002,AG003,Community Knowledge Co-Production Platform,2,8.27012,Equity Accountability and Rights Safeguard
1002,AG006,Responsible Policy Experimentation Portfolio,3,8.12445,Equity Accountability and Rights Safeguard
1002,AG002,Polycentric Cross-Scale Coordination Forum,4,8.10805,Equity Accountability and Rights Safeguard
1002,AG001,Adaptive Pathways and Decision Triggers,5,8.05444,Equity Accountability and Rights Safeguard
1002,AG004,Monitoring Feedback and Learning System,6,7.83839,Equity Accountability and Rights Safeguard
1003,AG003,Community Knowledge Co-Production Platform,1,8.52081,Community Knowledge Co-Production Platform
1003,AG005,Equity Accountability and Rights Safeguard,2,8.41657,Community Knowledge Co-Production Platform
1003,AG002,Polycentric Cross-Scale Coordination Forum,3,8.35273,Community Knowledge Co-Production Platform
1003,AG006,Responsible Policy Experimentation Portfolio,4,8.34873,Community Knowledge Co-Production Platform
1003,AG004,Monitoring Feedback and Learning System,5,8.08555,Community Knowledge Co-Production Platform
1003,AG001,Adaptive Pathways and Decision Triggers,6,7.73845,Community Knowledge Co-Production Platform
1004,AG005,Equity Accountability and Rights Safeguard,1,8.52183,Equity Accountability and Rights Safeguard
1004,AG003,Community Knowledge Co-Production Platform,2,8.33213,Equity Accountability and Rights Safeguard
1004,AG006,Responsible Policy Experimentation Portfolio,3,8.20383,Equity Accountability and Rights Safeguard
1004,AG001,Adaptive Pathways and Decision Triggers,4,8.17754,Equity Accountability and Rights Safeguard
1004,AG004,Monitoring Feedback and Learning System,5,8.15742,Equity Accountability and Rights Safeguard
1004,AG002,Polycentric Cross-Scale Coordination Forum,6,7.90409,Equity Accountability and Rights Safeguard
1005,AG005,Equity Accountability and Rights Safeguard,1,8.71749,Equity Accountability and Rights Safeguard
1005,AG004,Monitoring Feedback and Learning System,2,8.47815,Equity Accountability and Rights Safeguard
1005,AG001,Adaptive Pathways and Decision Triggers,3,8.33955,Equity Accountability and Rights Safeguard
1005,AG006,Responsible Policy Experimentation Portfolio,4,8.14847,Equity Accountability and Rights Safeguard
1005,AG002,Polycentric Cross-Scale Coordination Forum,5,8.07727,Equity Accountability and Rights Safeguard
1005,AG003,Community Knowledge Co-Production Platform,6,7.95586,Equity Accountability and Rights Safeguard
1006,AG005,Equity Accountability and Rights Safeguard,1,8.49769,Equity Accountability and Rights Safeguard
1006,AG003,Community Knowledge Co-Production Platform,2,8.46943,Equity Accountability and Rights Safeguard
1006,AG006,Responsible Policy Experimentation Portfolio,3,8.27182,Equity Accountability and Rights Safeguard
1006,AG001,Adaptive Pathways and Decision Triggers,4,8.27,Equity Accountability and Rights Safeguard
1006,AG002,Polycentric Cross-Scale Coordination Forum,5,8.12164,Equity Accountability and Rights Safeguard
1006,AG004,Monitoring Feedback and Learning System,6,7.80488,Equity Accountability and Rights Safeguard
1007,AG003,Community Knowledge Co-Production Platform,1,8.76756,Community Knowledge Co-Production Platform
1007,AG004,Monitoring Feedback and Learning System,2,8.57296,Community Knowledge Co-Production Platform
1007,AG005,Equity Accountability and Rights Safeguard,3,8.51174,Community Knowledge Co-Production Platform
1007,AG006,Responsible Policy Experimentation Portfolio,4,7.94963,Community Knowledge Co-Production Platform
1007,AG001,Adaptive Pathways and Decision Triggers,5,7.83341,Community Knowledge Co-Production Platform
1007,AG002,Polycentric Cross-Scale Coordination Forum,6,7.39758,Community Knowledge Co-Production Platform
1008,AG003,Community Knowledge Co-Production Platform,1,8.47836,Community Knowledge Co-Production Platform
1008,AG002,Polycentric Cross-Scale Coordination Forum,2,8.38742,Community Knowledge Co-Production Platform
1008,AG004,Monitoring Feedback and Learning System,3,8.1642,Community Knowledge Co-Production Platform
1008,AG001,Adaptive Pathways and Decision Triggers,4,8.15768,Community Knowledge Co-Production Platform
1008,AG005,Equity Accountability and Rights Safeguard,5,7.99361,Community Knowledge Co-Production Platform
1008,AG006,Responsible Policy Experimentation Portfolio,6,7.93984,Community Knowledge Co-Production Platform
1009,AG004,Monitoring Feedback and Learning System,1,8.33297,Monitoring Feedback and Learning System
1009,AG005,Equity Accountability and Rights Safeguard,2,8.30551,Monitoring Feedback and Learning System
1009,AG003,Community Knowledge Co-Production Platform,3,8.22104,Monitoring Feedback and Learning System
1009,AG001,Adaptive Pathways and Decision Triggers,4,7.92866,Monitoring Feedback and Learning System
1009,AG002,Polycentric Cross-Scale Coordination Forum,5,7.91821,Monitoring Feedback and Learning System
1009,AG006,Responsible Policy Experimentation Portfolio,6,7.78148,Monitoring Feedback and Learning System
1010,AG001,Adaptive Pathways and Decision Triggers,1,8.43121,Adaptive Pathways and Decision Triggers
1010,AG005,Equity Accountability and Rights Safeguard,2,8.30538,Adaptive Pathways and Decision Triggers
1010,AG004,Monitoring Feedback and Learning System,3,8.28019,Adaptive Pathways and Decision Triggers
1010,AG003,Community Knowledge Co-Production Platform,4,8.22572,Adaptive Pathways and Decision Triggers
1010,AG002,Polycentric Cross-Scale Coordination Forum,5,8.02422,Adaptive Pathways and Decision Triggers
1010,AG006,Responsible Policy Experimentation Portfolio,6,7.96493,Adaptive Pathways and Decision Triggers
1011,AG006,Responsible Policy Experimentation Portfolio,1,8.20714,Responsible Policy Experimentation Portfolio
1011,AG005,Equity Accountability and Rights Safeguard,2,8.17682,Responsible Policy Experimentation Portfolio
1011,AG004,Monitoring Feedback and Learning System,3,8.07533,Responsible Policy Experimentation Portfolio
1011,AG002,Polycentric Cross-Scale Coordination Forum,4,8.07513,Responsible Policy Experimentation Portfolio
1011,AG003,Community Knowledge Co-Production Platform,5,8.00173,Responsible Policy Experimentation Portfolio
1011,AG001,Adaptive Pathways and Decision Triggers,6,7.67597,Responsible Policy Experimentation Portfolio
1012,AG005,Equity Accountability and Rights Safeguard,1,8.48666,Equity Accountability and Rights Safeguard
1012,AG001,Adaptive Pathways and Decision Triggers,2,8.40467,Equity Accountability and Rights Safeguard
1012,AG004,Monitoring Feedback and Learning System,3,8.39037,Equity Accountability and Rights Safeguard
1012,AG003,Community Knowledge Co-Production Platform,4,8.30889,Equity Accountability and Rights Safeguard
1012,AG002,Polycentric Cross-Scale Coordination Forum,5,8.18071,Equity Accountability and Rights Safeguard
1012,AG006,Responsible Policy Experimentation Portfolio,6,8.03895,Equity Accountability and Rights Safeguard
1013,AG005,Equity Accountability and Rights Safeguard,1,8.38644,Equity Accountability and Rights Safeguard
1013,AG001,Adaptive Pathways and Decision Triggers,2,8.0246,Equity Accountability and Rights Safeguard
1013,AG003,Community Knowledge Co-Production Platform,3,7.95374,Equity Accountability and Rights Safeguard
1013,AG006,Responsible Policy Experimentation Portfolio,4,7.95239,Equity Accountability and Rights Safeguard
1013,AG002,Polycentric Cross-Scale Coordination Forum,5,7.77077,Equity Accountability and Rights Safeguard
1013,AG004,Monitoring Feedback and Learning System,6,7.75279,Equity Accountability and Rights Safeguard
1014,AG003,Community Knowledge Co-Production Platform,1,8.59059,Community Knowledge Co-Production Platform
1014,AG001,Adaptive Pathways and Decision Triggers,2,8.47511,Community Knowledge Co-Production Platform
1014,AG004,Monitoring Feedback and Learning System,3,8.3919,Community Knowledge Co-Production Platform
1014,AG006,Responsible Policy Experimentation Portfolio,4,8.17028,Community Knowledge Co-Production Platform
1014,AG005,Equity Accountability and Rights Safeguard,5,8.09957,Community Knowledge Co-Production Platform
1014,AG002,Polycentric Cross-Scale Coordination Forum,6,7.91957,Community Knowledge Co-Production Platform
1015,AG003,Community Knowledge Co-Production Platform,1,8.51749,Community Knowledge Co-Production Platform
1015,AG004,Monitoring Feedback and Learning System,2,8.41195,Community Knowledge Co-Production Platform
1015,AG005,Equity Accountability and Rights Safeguard,3,8.23807,Community Knowledge Co-Production Platform
1015,AG002,Polycentric Cross-Scale Coordination Forum,4,8.2129,Community Knowledge Co-Production Platform
1015,AG001,Adaptive Pathways and Decision Triggers,5,8.0692,Community Knowledge Co-Production Platform
1015,AG006,Responsible Policy Experimentation Portfolio,6,7.90623,Community Knowledge Co-Production Platform
1016,AG005,Equity Accountability and Rights Safeguard,1,8.68823,Equity Accountability and Rights Safeguard
1016,AG003,Community Knowledge Co-Production Platform,2,8.67586,Equity Accountability and Rights Safeguard
1016,AG004,Monitoring Feedback and Learning System,3,8.26102,Equity Accountability and Rights Safeguard
1016,AG001,Adaptive Pathways and Decision Triggers,4,8.24664,Equity Accountability and Rights Safeguard
1016,AG006,Responsible Policy Experimentation Portfolio,5,8.02463,Equity Accountability and Rights Safeguard
1016,AG002,Polycentric Cross-Scale Coordination Forum,6,7.84203,Equity Accountability and Rights Safeguard
1017,AG005,Equity Accountability and Rights Safeguard,1,8.65886,Equity Accountability and Rights Safeguard
1017,AG004,Monitoring Feedback and Learning System,2,8.49341,Equity Accountability and Rights Safeguard
1017,AG006,Responsible Policy Experimentation Portfolio,3,8.36196,Equity Accountability and Rights Safeguard
1017,AG002,Polycentric Cross-Scale Coordination Forum,4,8.18423,Equity Accountability and Rights Safeguard
1017,AG003,Community Knowledge Co-Production Platform,5,8.18377,Equity Accountability and Rights Safeguard
1017,AG001,Adaptive Pathways and Decision Triggers,6,7.68956,Equity Accountability and Rights Safeguard
1018,AG005,Equity Accountability and Rights Safeguard,1,8.61218,Equity Accountability and Rights Safeguard
1018,AG004,Monitoring Feedback and Learning System,2,8.61134,Equity Accountability and Rights Safeguard
1018,AG001,Adaptive Pathways and Decision Triggers,3,8.46938,Equity Accountability and Rights Safeguard
1018,AG006,Responsible Policy Experimentation Portfolio,4,8.25095,Equity Accountability and Rights Safeguard
1018,AG002,Polycentric Cross-Scale Coordination Forum,5,8.24774,Equity Accountability and Rights Safeguard
1018,AG003,Community Knowledge Co-Production Platform,6,7.79805,Equity Accountability and Rights Safeguard
1019,AG006,Responsible Policy Experimentation Portfolio,1,8.49797,Responsible Policy Experimentation Portfolio
1019,AG002,Polycentric Cross-Scale Coordination Forum,2,8.38546,Responsible Policy Experimentation Portfolio
1019,AG005,Equity Accountability and Rights Safeguard,3,8.32714,Responsible Policy Experimentation Portfolio
1019,AG003,Community Knowledge Co-Production Platform,4,8.29932,Responsible Policy Experimentation Portfolio
1019,AG001,Adaptive Pathways and Decision Triggers,5,8.20926,Responsible Policy Experimentation Portfolio
1019,AG004,Monitoring Feedback and Learning System,6,8.15936,Responsible Policy Experimentation Portfolio
1020,AG002,Polycentric Cross-Scale Coordination Forum,1,8.45749,Polycentric Cross-Scale Coordination Forum
1020,AG004,Monitoring Feedback and Learning System,2,8.40426,Polycentric Cross-Scale Coordination Forum
1020,AG005,Equity Accountability and Rights Safeguard,3,8.19747,Polycentric Cross-Scale Coordination Forum
1020,AG003,Community Knowledge Co-Production Platform,4,8.08149,Polycentric Cross-Scale Coordination Forum
1020,AG006,Responsible Policy Experimentation Portfolio,5,8.07811,Polycentric Cross-Scale Coordination Forum
1020,AG001,Adaptive Pathways and Decision Triggers,6,7.95902,Polycentric Cross-Scale Coordination Forum
1021,AG003,Community Knowledge Co-Production Platform,1,8.72552,Community Knowledge Co-Production Platform
1021,AG005,Equity Accountability and Rights Safeguard,2,8.38605,Community Knowledge Co-Production Platform
1021,AG006,Responsible Policy Experimentation Portfolio,3,8.26147,Community Knowledge Co-Production Platform
1021,AG001,Adaptive Pathways and Decision Triggers,4,8.07691,Community Knowledge Co-Production Platform
1021,AG004,Monitoring Feedback and Learning System,5,7.87874,Community Knowledge Co-Production Platform
1021,AG002,Polycentric Cross-Scale Coordination Forum,6,7.59566,Community Knowledge Co-Production Platform
1022,AG004,Monitoring Feedback and Learning System,1,8.63844,Monitoring Feedback and Learning System
1022,AG005,Equity Accountability and Rights Safeguard,2,8.32861,Monitoring Feedback and Learning System
1022,AG002,Polycentric Cross-Scale Coordination Forum,3,8.29331,Monitoring Feedback and Learning System
1022,AG003,Community Knowledge Co-Production Platform,4,8.27697,Monitoring Feedback and Learning System
1022,AG006,Responsible Policy Experimentation Portfolio,5,8.01379,Monitoring Feedback and Learning System
1022,AG001,Adaptive Pathways and Decision Triggers,6,7.90462,Monitoring Feedback and Learning System
1023,AG003,Community Knowledge Co-Production Platform,1,8.48706,Community Knowledge Co-Production Platform
1023,AG004,Monitoring Feedback and Learning System,2,8.4562,Community Knowledge Co-Production Platform
1023,AG006,Responsible Policy Experimentation Portfolio,3,8.38722,Community Knowledge Co-Production Platform
1023,AG002,Polycentric Cross-Scale Coordination Forum,4,8.32274,Community Knowledge Co-Production Platform
1023,AG005,Equity Accountability and Rights Safeguard,5,8.08762,Community Knowledge Co-Production Platform
1023,AG001,Adaptive Pathways and Decision Triggers,6,7.97074,Community Knowledge Co-Production Platform
1024,AG003,Community Knowledge Co-Production Platform,1,8.48351,Community Knowledge Co-Production Platform
1024,AG006,Responsible Policy Experimentation Portfolio,2,8.35951,Community Knowledge Co-Production Platform
1024,AG001,Adaptive Pathways and Decision Triggers,3,8.27859,Community Knowledge Co-Production Platform
1024,AG005,Equity Accountability and Rights Safeguard,4,8.25863,Community Knowledge Co-Production Platform
1024,AG002,Polycentric Cross-Scale Coordination Forum,5,8.21923,Community Knowledge Co-Production Platform
1024,AG004,Monitoring Feedback and Learning System,6,7.74248,Community Knowledge Co-Production Platform
1025,AG005,Equity Accountability and Rights Safeguard,1,8.70327,Equity Accountability and Rights Safeguard
