simulation_id,strategy_id,strategy,rank,adjusted_value,abandonment_risk
165,ROA004,Flood Defense for High-Value Assets,6,2.51528,3.1036
165,ROA001,Household Preparedness Campaign,7,-1.11529,4.76352
165,ROA007,Risk Mapping Dashboard Without Funding,8,-1.64058,5.09367
166,ROA006,Drainage Repair and Social Protection Package,1,7.69543,0.22187
166,ROA002,Public Housing Climate Retrofit,2,7.47595,0.21893
166,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.4716,0.34997
166,ROA005,Managed Retreat with Long-Term Support,4,7.34533,0.34257
166,ROA003,Community-Led Cooling and Care Network,5,7.12946,0.47343
166,ROA004,Flood Defense for High-Value Assets,6,3.10897,2.63556
166,ROA007,Risk Mapping Dashboard Without Funding,7,-1.14553,4.91775
166,ROA001,Household Preparedness Campaign,8,-1.63157,5.0172
167,ROA005,Managed Retreat with Long-Term Support,1,7.91794,0.42783
167,ROA006,Drainage Repair and Social Protection Package,2,7.44742,0.30201
167,ROA002,Public Housing Climate Retrofit,3,7.29083,0.47348
167,ROA008,Mutual Aid Network with Public Capacity Agreement,4,6.93433,0.53499
167,ROA003,Community-Led Cooling and Care Network,5,6.66282,0.57932
167,ROA004,Flood Defense for High-Value Assets,6,3.06722,2.73643
167,ROA001,Household Preparedness Campaign,7,-1.16243,4.6545
167,ROA007,Risk Mapping Dashboard Without Funding,8,-1.45715,4.85399
168,ROA002,Public Housing Climate Retrofit,1,7.88416,0.39182
168,ROA005,Managed Retreat with Long-Term Support,2,7.85977,0.45218
168,ROA006,Drainage Repair and Social Protection Package,3,7.6626,0.49071
168,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.06132,0.54117
168,ROA003,Community-Led Cooling and Care Network,5,6.95479,0.49634
168,ROA004,Flood Defense for High-Value Assets,6,2.93268,2.92359
168,ROA001,Household Preparedness Campaign,7,-0.85267,4.49204
168,ROA007,Risk Mapping Dashboard Without Funding,8,-1.52212,5.15162
169,ROA005,Managed Retreat with Long-Term Support,1,7.90855,0.38162
169,ROA006,Drainage Repair and Social Protection Package,2,7.44936,0.43115
169,ROA002,Public Housing Climate Retrofit,3,7.33805,0.42354
169,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.276,0.34794
169,ROA003,Community-Led Cooling and Care Network,5,7.2213,0.47367
169,ROA004,Flood Defense for High-Value Assets,6,2.34256,3.16067
169,ROA007,Risk Mapping Dashboard Without Funding,7,-0.91664,4.7817
169,ROA001,Household Preparedness Campaign,8,-2.30352,5.27439
170,ROA006,Drainage Repair and Social Protection Package,1,7.75278,0.29828
170,ROA002,Public Housing Climate Retrofit,2,7.49283,0.40838
170,ROA005,Managed Retreat with Long-Term Support,3,7.2127,0.61358
170,ROA008,Mutual Aid Network with Public Capacity Agreement,4,6.99807,0.65036
170,ROA003,Community-Led Cooling and Care Network,5,6.42843,0.78028
170,ROA004,Flood Defense for High-Value Assets,6,2.38047,3.22145
170,ROA007,Risk Mapping Dashboard Without Funding,7,-0.79803,4.47474
170,ROA001,Household Preparedness Campaign,8,-0.83667,4.44247
171,ROA002,Public Housing Climate Retrofit,1,7.47467,0.46925
171,ROA006,Drainage Repair and Social Protection Package,2,7.36755,0.48122
171,ROA005,Managed Retreat with Long-Term Support,3,6.87112,0.56284
171,ROA003,Community-Led Cooling and Care Network,4,6.66465,0.66162
171,ROA008,Mutual Aid Network with Public Capacity Agreement,5,6.63823,0.74384
171,ROA004,Flood Defense for High-Value Assets,6,3.13573,2.71229
171,ROA001,Household Preparedness Campaign,7,-0.37125,4.44915
171,ROA007,Risk Mapping Dashboard Without Funding,8,-1.20274,4.72578
172,ROA002,Public Housing Climate Retrofit,1,7.83021,0.32632
172,ROA005,Managed Retreat with Long-Term Support,2,7.52346,0.38724
172,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.11062,0.50922
172,ROA006,Drainage Repair and Social Protection Package,4,7.01101,0.60795
172,ROA003,Community-Led Cooling and Care Network,5,6.43431,0.75788
172,ROA004,Flood Defense for High-Value Assets,6,2.24081,3.26184
172,ROA001,Household Preparedness Campaign,7,-0.12165,4.1408
172,ROA007,Risk Mapping Dashboard Without Funding,8,-1.24965,4.7372
173,ROA005,Managed Retreat with Long-Term Support,1,7.7189,0.3902
173,ROA002,Public Housing Climate Retrofit,2,7.42226,0.50412
173,ROA006,Drainage Repair and Social Protection Package,3,7.19983,0.53574
173,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.18413,0.40148
173,ROA003,Community-Led Cooling and Care Network,5,6.25334,0.92686
173,ROA004,Flood Defense for High-Value Assets,6,2.06077,3.41139
173,ROA001,Household Preparedness Campaign,7,-0.42676,4.2378
173,ROA007,Risk Mapping Dashboard Without Funding,8,-1.28505,4.93471
174,ROA008,Mutual Aid Network with Public Capacity Agreement,1,7.87201,0.35842
174,ROA005,Managed Retreat with Long-Term Support,2,7.77147,0.4701
174,ROA006,Drainage Repair and Social Protection Package,3,7.75873,0.41707
174,ROA002,Public Housing Climate Retrofit,4,7.63546,0.36079
174,ROA003,Community-Led Cooling and Care Network,5,6.19965,0.94992
174,ROA004,Flood Defense for High-Value Assets,6,2.78113,2.9838
174,ROA007,Risk Mapping Dashboard Without Funding,7,-0.73713,4.2828
174,ROA001,Household Preparedness Campaign,8,-1.05167,4.652
175,ROA002,Public Housing Climate Retrofit,1,7.93874,0.34902
175,ROA005,Managed Retreat with Long-Term Support,2,7.50354,0.57025
175,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.35892,0.47154
175,ROA006,Drainage Repair and Social Protection Package,4,6.87026,0.71418
175,ROA003,Community-Led Cooling and Care Network,5,6.40295,0.73591
175,ROA004,Flood Defense for High-Value Assets,6,3.44044,2.6389
175,ROA001,Household Preparedness Campaign,7,-0.35199,4.25473
175,ROA007,Risk Mapping Dashboard Without Funding,8,-2.57288,5.69838
176,ROA006,Drainage Repair and Social Protection Package,1,7.74152,0.42026
176,ROA005,Managed Retreat with Long-Term Support,2,7.40595,0.39017
176,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.23309,0.37207
176,ROA002,Public Housing Climate Retrofit,4,7.21384,0.41351
176,ROA003,Community-Led Cooling and Care Network,5,6.41952,0.92598
176,ROA004,Flood Defense for High-Value Assets,6,2.86481,3.02776
176,ROA007,Risk Mapping Dashboard Without Funding,7,-1.03695,4.76796
176,ROA001,Household Preparedness Campaign,8,-2.04872,5.16627
177,ROA006,Drainage Repair and Social Protection Package,1,8.16821,0.3889
177,ROA005,Managed Retreat with Long-Term Support,2,7.84981,0.45589
177,ROA002,Public Housing Climate Retrofit,3,7.29932,0.45466
177,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.12688,0.59445
177,ROA003,Community-Led Cooling and Care Network,5,6.91791,0.59382
177,ROA004,Flood Defense for High-Value Assets,6,2.32218,3.19004
177,ROA001,Household Preparedness Campaign,7,-0.76384,4.46262
177,ROA007,Risk Mapping Dashboard Without Funding,8,-2.40725,5.56629
178,ROA006,Drainage Repair and Social Protection Package,1,7.45581,0.4925
178,ROA005,Managed Retreat with Long-Term Support,2,7.45408,0.44009
178,ROA002,Public Housing Climate Retrofit,3,7.3018,0.42066
178,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.05709,0.66319
178,ROA003,Community-Led Cooling and Care Network,5,6.49803,0.73411
178,ROA004,Flood Defense for High-Value Assets,6,2.69233,2.97093
178,ROA007,Risk Mapping Dashboard Without Funding,7,-0.91338,4.75577
178,ROA001,Household Preparedness Campaign,8,-1.41952,4.81436
179,ROA005,Managed Retreat with Long-Term Support,1,7.95158,0.44123
179,ROA002,Public Housing Climate Retrofit,2,7.85322,0.27982
179,ROA006,Drainage Repair and Social Protection Package,3,7.65135,0.44981
179,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.52042,0.44716
179,ROA003,Community-Led Cooling and Care Network,5,6.73678,0.54758
179,ROA004,Flood Defense for High-Value Assets,6,2.52381,3.18612
179,ROA001,Household Preparedness Campaign,7,-1.2344,4.74948
179,ROA007,Risk Mapping Dashboard Without Funding,8,-1.58669,5.00188
180,ROA006,Drainage Repair and Social Protection Package,1,7.5863,0.42466
180,ROA005,Managed Retreat with Long-Term Support,2,7.48792,0.43575
180,ROA002,Public Housing Climate Retrofit,3,7.45184,0.37501
180,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.20139,0.46578
180,ROA003,Community-Led Cooling and Care Network,5,6.44702,0.74748
180,ROA004,Flood Defense for High-Value Assets,6,2.46202,3.13336
180,ROA001,Household Preparedness Campaign,7,-0.29483,4.21621
180,ROA007,Risk Mapping Dashboard Without Funding,8,-1.61769,5.15837
181,ROA002,Public Housing Climate Retrofit,1,7.70923,0.43634
181,ROA006,Drainage Repair and Social Protection Package,2,7.33748,0.48834
181,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.07859,0.43848
181,ROA005,Managed Retreat with Long-Term Support,4,7.07563,0.58186
181,ROA003,Community-Led Cooling and Care Network,5,5.88075,0.82472
181,ROA004,Flood Defense for High-Value Assets,6,2.38918,3.05667
181,ROA001,Household Preparedness Campaign,7,-0.62661,4.43536
181,ROA007,Risk Mapping Dashboard Without Funding,8,-1.00053,4.74968
182,ROA005,Managed Retreat with Long-Term Support,1,7.79496,0.40777
182,ROA002,Public Housing Climate Retrofit,2,7.75124,0.33262
182,ROA006,Drainage Repair and Social Protection Package,3,7.66751,0.40766
182,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.18222,0.72811
182,ROA003,Community-Led Cooling and Care Network,5,6.60243,0.78221
182,ROA004,Flood Defense for High-Value Assets,6,2.34824,3.07324
182,ROA001,Household Preparedness Campaign,7,-1.22103,4.69223
182,ROA007,Risk Mapping Dashboard Without Funding,8,-1.41789,4.95995
183,ROA005,Managed Retreat with Long-Term Support,1,7.57602,0.57241
183,ROA002,Public Housing Climate Retrofit,2,7.51326,0.44647
183,ROA006,Drainage Repair and Social Protection Package,3,7.33202,0.55638
183,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.03161,0.49308
183,ROA003,Community-Led Cooling and Care Network,5,6.49614,0.9264
183,ROA004,Flood Defense for High-Value Assets,6,2.71317,3.07183
183,ROA007,Risk Mapping Dashboard Without Funding,7,-0.06544,4.37713
183,ROA001,Household Preparedness Campaign,8,-0.73854,4.38748
184,ROA005,Managed Retreat with Long-Term Support,1,7.6972,0.41986
184,ROA002,Public Housing Climate Retrofit,2,7.50473,0.43948
184,ROA006,Drainage Repair and Social Protection Package,3,7.4762,0.30448
184,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.06123,0.43368
184,ROA003,Community-Led Cooling and Care Network,5,6.90582,0.56297
184,ROA004,Flood Defense for High-Value Assets,6,1.76133,3.46748
184,ROA007,Risk Mapping Dashboard Without Funding,7,-0.94279,4.75977
184,ROA001,Household Preparedness Campaign,8,-1.63996,4.96997
185,ROA002,Public Housing Climate Retrofit,1,7.81135,0.42679
185,ROA008,Mutual Aid Network with Public Capacity Agreement,2,7.7242,0.24492
185,ROA005,Managed Retreat with Long-Term Support,3,7.61978,0.46624
185,ROA006,Drainage Repair and Social Protection Package,4,7.22155,0.47863
185,ROA003,Community-Led Cooling and Care Network,5,6.22903,1.08528
185,ROA004,Flood Defense for High-Value Assets,6,3.36254,2.80085
185,ROA007,Risk Mapping Dashboard Without Funding,7,-0.84039,4.85575
185,ROA001,Household Preparedness Campaign,8,-0.84273,4.55239
186,ROA005,Managed Retreat with Long-Term Support,1,8.00861,0.36964
186,ROA006,Drainage Repair and Social Protection Package,2,7.54084,0.46979
186,ROA002,Public Housing Climate Retrofit,3,7.24406,0.47132
186,ROA008,Mutual Aid Network with Public Capacity Agreement,4,6.92063,0.64302
186,ROA003,Community-Led Cooling and Care Network,5,6.61324,0.68159
186,ROA004,Flood Defense for High-Value Assets,6,2.62179,3.00108
186,ROA001,Household Preparedness Campaign,7,-0.30933,4.24612
186,ROA007,Risk Mapping Dashboard Without Funding,8,-1.49997,5.12187
187,ROA005,Managed Retreat with Long-Term Support,1,7.58358,0.47168
187,ROA002,Public Housing Climate Retrofit,2,7.53487,0.50824
187,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.47217,0.26438
187,ROA006,Drainage Repair and Social Protection Package,4,6.93668,0.56081
187,ROA003,Community-Led Cooling and Care Network,5,6.19021,0.7766
187,ROA004,Flood Defense for High-Value Assets,6,2.74083,2.97738
187,ROA007,Risk Mapping Dashboard Without Funding,7,-0.50588,4.55041
187,ROA001,Household Preparedness Campaign,8,-0.83358,4.51747
188,ROA005,Managed Retreat with Long-Term Support,1,7.76989,0.34687
188,ROA006,Drainage Repair and Social Protection Package,2,7.69093,0.36682
188,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.48095,0.37339
188,ROA002,Public Housing Climate Retrofit,4,6.99237,0.56864
188,ROA003,Community-Led Cooling and Care Network,5,6.52422,0.70839
188,ROA004,Flood Defense for High-Value Assets,6,3.00932,2.82024
188,ROA001,Household Preparedness Campaign,7,0.1593,3.85751
188,ROA007,Risk Mapping Dashboard Without Funding,8,-1.48774,5.03286
189,ROA005,Managed Retreat with Long-Term Support,1,7.74255,0.55206
189,ROA006,Drainage Repair and Social Protection Package,2,7.41137,0.35353
189,ROA002,Public Housing Climate Retrofit,3,7.14047,0.52161
189,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.13993,0.51365
189,ROA003,Community-Led Cooling and Care Network,5,6.20888,0.9736
189,ROA004,Flood Defense for High-Value Assets,6,2.59468,3.06988
189,ROA001,Household Preparedness Campaign,7,-0.59841,4.35464
189,ROA007,Risk Mapping Dashboard Without Funding,8,-1.91791,5.16617
190,ROA006,Drainage Repair and Social Protection Package,1,7.94454,0.26956
190,ROA008,Mutual Aid Network with Public Capacity Agreement,2,7.45931,0.38914
190,ROA005,Managed Retreat with Long-Term Support,3,7.4191,0.39257
190,ROA002,Public Housing Climate Retrofit,4,7.03582,0.54205
190,ROA003,Community-Led Cooling and Care Network,5,6.14215,0.79073
190,ROA004,Flood Defense for High-Value Assets,6,2.46,3.10027
190,ROA007,Risk Mapping Dashboard Without Funding,7,-1.05586,4.67164
190,ROA001,Household Preparedness Campaign,8,-1.16788,4.80182
191,ROA005,Managed Retreat with Long-Term Support,1,7.74086,0.46779
191,ROA002,Public Housing Climate Retrofit,2,7.29711,0.54014
191,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.14017,0.68072
191,ROA003,Community-Led Cooling and Care Network,4,7.01729,0.52761
191,ROA006,Drainage Repair and Social Protection Package,5,6.74983,0.86531
191,ROA004,Flood Defense for High-Value Assets,6,1.9913,3.42716
191,ROA007,Risk Mapping Dashboard Without Funding,7,-0.78701,4.53438
191,ROA001,Household Preparedness Campaign,8,-0.83684,4.57501
192,ROA008,Mutual Aid Network with Public Capacity Agreement,1,7.85436,0.41328
192,ROA002,Public Housing Climate Retrofit,2,7.42751,0.47518
192,ROA005,Managed Retreat with Long-Term Support,3,7.34543,0.46785
192,ROA006,Drainage Repair and Social Protection Package,4,7.27741,0.5445
192,ROA003,Community-Led Cooling and Care Network,5,6.71464,0.51302
192,ROA004,Flood Defense for High-Value Assets,6,2.11744,3.5045
192,ROA001,Household Preparedness Campaign,7,-1.03474,4.69405
192,ROA007,Risk Mapping Dashboard Without Funding,8,-1.39974,4.97039
193,ROA005,Managed Retreat with Long-Term Support,1,7.98334,0.35267
193,ROA006,Drainage Repair and Social Protection Package,2,7.9655,0.31101
193,ROA002,Public Housing Climate Retrofit,3,7.88238,0.24049
193,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.84734,0.463
193,ROA003,Community-Led Cooling and Care Network,5,6.82346,0.57966
193,ROA004,Flood Defense for High-Value Assets,6,3.03011,2.64011
193,ROA001,Household Preparedness Campaign,7,-0.18008,4.20407
193,ROA007,Risk Mapping Dashboard Without Funding,8,-0.84905,4.60724
194,ROA006,Drainage Repair and Social Protection Package,1,8.14171,0.29868
194,ROA005,Managed Retreat with Long-Term Support,2,7.58618,0.29207
194,ROA002,Public Housing Climate Retrofit,3,7.36958,0.2892
194,ROA008,Mutual Aid Network with Public Capacity Agreement,4,6.89367,0.63152
194,ROA003,Community-Led Cooling and Care Network,5,6.87074,0.66869
194,ROA004,Flood Defense for High-Value Assets,6,2.47574,3.14181
194,ROA001,Household Preparedness Campaign,7,-1.35157,5.01228
194,ROA007,Risk Mapping Dashboard Without Funding,8,-1.88849,5.26253
195,ROA002,Public Housing Climate Retrofit,1,8.18846,0.38032
195,ROA008,Mutual Aid Network with Public Capacity Agreement,2,7.62569,0.30426
195,ROA005,Managed Retreat with Long-Term Support,3,7.57641,0.46465
195,ROA006,Drainage Repair and Social Protection Package,4,7.37379,0.37459
195,ROA003,Community-Led Cooling and Care Network,5,6.34287,0.80771
195,ROA004,Flood Defense for High-Value Assets,6,2.84592,2.72967
195,ROA001,Household Preparedness Campaign,7,-0.70348,4.43372
195,ROA007,Risk Mapping Dashboard Without Funding,8,-1.61513,5.08837
196,ROA002,Public Housing Climate Retrofit,1,7.68287,0.47724
196,ROA005,Managed Retreat with Long-Term Support,2,7.26121,0.45043
196,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.25189,0.40146
196,ROA006,Drainage Repair and Social Protection Package,4,7.23071,0.43603
196,ROA003,Community-Led Cooling and Care Network,5,6.02644,0.99984
196,ROA004,Flood Defense for High-Value Assets,6,3.28448,2.78454
196,ROA001,Household Preparedness Campaign,7,-0.25351,4.05287
196,ROA007,Risk Mapping Dashboard Without Funding,8,-2.13081,5.28752
197,ROA002,Public Housing Climate Retrofit,1,7.61265,0.548
197,ROA006,Drainage Repair and Social Protection Package,2,7.3832,0.44877
197,ROA005,Managed Retreat with Long-Term Support,3,7.16248,0.4704
197,ROA008,Mutual Aid Network with Public Capacity Agreement,4,6.7875,0.65938
197,ROA003,Community-Led Cooling and Care Network,5,5.88713,1.09861
197,ROA004,Flood Defense for High-Value Assets,6,2.87206,3.03385
197,ROA001,Household Preparedness Campaign,7,0.12748,4.11776
197,ROA007,Risk Mapping Dashboard Without Funding,8,-1.21623,4.92373
198,ROA006,Drainage Repair and Social Protection Package,1,8.06738,0.28411
198,ROA008,Mutual Aid Network with Public Capacity Agreement,2,7.35045,0.53443
198,ROA005,Managed Retreat with Long-Term Support,3,7.34638,0.57922
198,ROA002,Public Housing Climate Retrofit,4,7.12519,0.45854
198,ROA003,Community-Led Cooling and Care Network,5,6.52168,0.68756
198,ROA004,Flood Defense for High-Value Assets,6,2.68958,3.10751
198,ROA007,Risk Mapping Dashboard Without Funding,7,-0.47156,4.48102
198,ROA001,Household Preparedness Campaign,8,-0.88442,4.76999
199,ROA002,Public Housing Climate Retrofit,1,7.41655,0.30159
199,ROA005,Managed Retreat with Long-Term Support,2,7.40946,0.54757
199,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.3588,0.52454
199,ROA006,Drainage Repair and Social Protection Package,4,7.25732,0.5229
199,ROA003,Community-Led Cooling and Care Network,5,6.8778,0.60961
199,ROA004,Flood Defense for High-Value Assets,6,2.25161,3.38647
199,ROA001,Household Preparedness Campaign,7,-0.5199,4.37396
199,ROA007,Risk Mapping Dashboard Without Funding,8,-1.52043,5.15813
200,ROA005,Managed Retreat with Long-Term Support,1,7.87503,0.31898
200,ROA002,Public Housing Climate Retrofit,2,7.61637,0.33632
200,ROA006,Drainage Repair and Social Protection Package,3,7.4083,0.46101
200,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.39072,0.41641
200,ROA003,Community-Led Cooling and Care Network,5,6.6442,0.77465
200,ROA004,Flood Defense for High-Value Assets,6,2.82182,2.96372
200,ROA001,Household Preparedness Campaign,7,-0.92994,4.67469
200,ROA007,Risk Mapping Dashboard Without Funding,8,-1.40864,5.03185
201,ROA005,Managed Retreat with Long-Term Support,1,7.91173,0.25345
201,ROA002,Public Housing Climate Retrofit,2,7.73256,0.36733
201,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.02709,0.56266
201,ROA003,Community-Led Cooling and Care Network,4,6.78248,0.57266
201,ROA006,Drainage Repair and Social Protection Package,5,6.7162,0.64204
201,ROA004,Flood Defense for High-Value Assets,6,3.02769,2.8363
201,ROA007,Risk Mapping Dashboard Without Funding,7,-1.04493,4.74471
201,ROA001,Household Preparedness Campaign,8,-1.21576,4.87561
202,ROA002,Public Housing Climate Retrofit,1,8.08524,0.33852
202,ROA005,Managed Retreat with Long-Term Support,2,7.58389,0.41693
202,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.50183,0.50354
202,ROA006,Drainage Repair and Social Protection Package,4,7.07421,0.49808
202,ROA003,Community-Led Cooling and Care Network,5,6.29661,0.80025
202,ROA004,Flood Defense for High-Value Assets,6,2.23766,3.18543
202,ROA001,Household Preparedness Campaign,7,-0.70554,4.43203
202,ROA007,Risk Mapping Dashboard Without Funding,8,-0.72151,4.60722
203,ROA006,Drainage Repair and Social Protection Package,1,7.64582,0.34686
203,ROA005,Managed Retreat with Long-Term Support,2,7.61331,0.32054
203,ROA002,Public Housing Climate Retrofit,3,7.44733,0.52255
203,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.25083,0.41724
203,ROA003,Community-Led Cooling and Care Network,5,6.55369,0.77172
203,ROA004,Flood Defense for High-Value Assets,6,3.06327,2.81826
203,ROA001,Household Preparedness Campaign,7,-0.8769,4.58434
203,ROA007,Risk Mapping Dashboard Without Funding,8,-1.4816,5.06483
204,ROA006,Drainage Repair and Social Protection Package,1,7.76047,0.46254
204,ROA005,Managed Retreat with Long-Term Support,2,7.44394,0.59893
204,ROA002,Public Housing Climate Retrofit,3,7.35278,0.43583
204,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.08921,0.59427
204,ROA003,Community-Led Cooling and Care Network,5,6.45999,0.78638
204,ROA004,Flood Defense for High-Value Assets,6,1.7588,3.53897
204,ROA007,Risk Mapping Dashboard Without Funding,7,-1.52485,5.10198
204,ROA001,Household Preparedness Campaign,8,-1.6474,4.93063
205,ROA005,Managed Retreat with Long-Term Support,1,7.55154,0.39408
205,ROA006,Drainage Repair and Social Protection Package,2,7.41843,0.48569
205,ROA002,Public Housing Climate Retrofit,3,7.37685,0.41885
205,ROA008,Mutual Aid Network with Public Capacity Agreement,4,6.69756,0.5376
205,ROA003,Community-Led Cooling and Care Network,5,6.104,0.82596
205,ROA004,Flood Defense for High-Value Assets,6,2.1879,3.27679
205,ROA001,Household Preparedness Campaign,7,-1.64348,4.93688
205,ROA007,Risk Mapping Dashboard Without Funding,8,-1.89798,5.20979
206,ROA005,Managed Retreat with Long-Term Support,1,7.80207,0.27562
206,ROA006,Drainage Repair and Social Protection Package,2,7.5161,0.43511
206,ROA008,Mutual Aid Network with Public Capacity Agreement,3,6.89378,0.5845
206,ROA002,Public Housing Climate Retrofit,4,6.85259,0.48902
206,ROA003,Community-Led Cooling and Care Network,5,6.69187,0.58438
206,ROA004,Flood Defense for High-Value Assets,6,2.49195,3.22563
206,ROA001,Household Preparedness Campaign,7,-0.59083,4.22452
206,ROA007,Risk Mapping Dashboard Without Funding,8,-0.92746,4.71968
207,ROA005,Managed Retreat with Long-Term Support,1,7.75405,0.35108
207,ROA006,Drainage Repair and Social Protection Package,2,7.4788,0.34848
207,ROA002,Public Housing Climate Retrofit,3,7.07319,0.59395
207,ROA008,Mutual Aid Network with Public Capacity Agreement,4,6.78744,0.67281
207,ROA003,Community-Led Cooling and Care Network,5,6.19007,0.94601
207,ROA004,Flood Defense for High-Value Assets,6,2.56027,3.1502
207,ROA001,Household Preparedness Campaign,7,-0.22947,4.23687
207,ROA007,Risk Mapping Dashboard Without Funding,8,-1.4249,4.8661
208,ROA006,Drainage Repair and Social Protection Package,1,8.03315,0.32117
208,ROA005,Managed Retreat with Long-Term Support,2,7.91964,0.14
208,ROA002,Public Housing Climate Retrofit,3,7.85857,0.31771
208,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.21725,0.4847
208,ROA003,Community-Led Cooling and Care Network,5,6.29075,0.81596
208,ROA004,Flood Defense for High-Value Assets,6,2.87055,2.82558
208,ROA001,Household Preparedness Campaign,7,-0.49415,4.35082
208,ROA007,Risk Mapping Dashboard Without Funding,8,-1.1559,4.95265
209,ROA006,Drainage Repair and Social Protection Package,1,7.7444,0.41461
209,ROA002,Public Housing Climate Retrofit,2,7.49203,0.33411
209,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.46056,0.35716
209,ROA005,Managed Retreat with Long-Term Support,4,7.22888,0.64821
209,ROA003,Community-Led Cooling and Care Network,5,6.33845,0.87244
209,ROA004,Flood Defense for High-Value Assets,6,1.78484,3.57034
209,ROA001,Household Preparedness Campaign,7,-0.75949,4.36347
209,ROA007,Risk Mapping Dashboard Without Funding,8,-1.92335,5.18959
210,ROA006,Drainage Repair and Social Protection Package,1,7.86175,0.31916
210,ROA008,Mutual Aid Network with Public Capacity Agreement,2,7.58643,0.4986
210,ROA002,Public Housing Climate Retrofit,3,7.54934,0.31947
210,ROA005,Managed Retreat with Long-Term Support,4,7.19787,0.46844
210,ROA003,Community-Led Cooling and Care Network,5,6.60383,0.83159
210,ROA004,Flood Defense for High-Value Assets,6,2.37995,3.18564
210,ROA007,Risk Mapping Dashboard Without Funding,7,-0.77922,4.53563
210,ROA001,Household Preparedness Campaign,8,-1.18126,4.8163
211,ROA008,Mutual Aid Network with Public Capacity Agreement,1,7.63296,0.33871
211,ROA005,Managed Retreat with Long-Term Support,2,7.57522,0.33682
211,ROA002,Public Housing Climate Retrofit,3,7.41219,0.40091
211,ROA006,Drainage Repair and Social Protection Package,4,7.3451,0.51757
211,ROA003,Community-Led Cooling and Care Network,5,6.13051,0.93037
211,ROA004,Flood Defense for High-Value Assets,6,2.6676,3.02906
211,ROA001,Household Preparedness Campaign,7,-0.13189,4.17949
211,ROA007,Risk Mapping Dashboard Without Funding,8,-1.40774,5.00466
212,ROA005,Managed Retreat with Long-Term Support,1,7.98269,0.262
212,ROA002,Public Housing Climate Retrofit,2,7.59325,0.31877
212,ROA006,Drainage Repair and Social Protection Package,3,7.23593,0.48029
212,ROA008,Mutual Aid Network with Public Capacity Agreement,4,6.83116,0.75586
212,ROA003,Community-Led Cooling and Care Network,5,6.76624,0.45555
212,ROA004,Flood Defense for High-Value Assets,6,3.12685,2.62331
212,ROA001,Household Preparedness Campaign,7,-0.08069,4.02889
212,ROA007,Risk Mapping Dashboard Without Funding,8,-0.38677,4.45097
213,ROA006,Drainage Repair and Social Protection Package,1,7.58829,0.46185
213,ROA008,Mutual Aid Network with Public Capacity Agreement,2,7.5613,0.27498
213,ROA002,Public Housing Climate Retrofit,3,7.46039,0.50797
213,ROA005,Managed Retreat with Long-Term Support,4,7.23081,0.57095
213,ROA003,Community-Led Cooling and Care Network,5,5.75866,1.1579
213,ROA004,Flood Defense for High-Value Assets,6,2.59904,3.20358
213,ROA001,Household Preparedness Campaign,7,-0.2466,4.17954
213,ROA007,Risk Mapping Dashboard Without Funding,8,-0.8011,4.70058
214,ROA005,Managed Retreat with Long-Term Support,1,7.28545,0.50618
214,ROA008,Mutual Aid Network with Public Capacity Agreement,2,7.01004,0.49081
214,ROA002,Public Housing Climate Retrofit,3,6.96333,0.46947
214,ROA006,Drainage Repair and Social Protection Package,4,6.91993,0.69439
214,ROA003,Community-Led Cooling and Care Network,5,6.55763,0.72713
214,ROA004,Flood Defense for High-Value Assets,6,2.64159,2.96254
214,ROA007,Risk Mapping Dashboard Without Funding,7,-1.51242,5.11806
214,ROA001,Household Preparedness Campaign,8,-1.75172,4.97183
215,ROA005,Managed Retreat with Long-Term Support,1,7.93244,0.38664
215,ROA006,Drainage Repair and Social Protection Package,2,7.80593,0.43925
215,ROA002,Public Housing Climate Retrofit,3,7.73214,0.35323
