simulation_id,pathway_id,pathway,rank,viability_value,winner
477,SR004,Climate-Resilient Food and Water Strategy,3,7.85428,Ecosystem Restoration and Livelihood Diversification
477,SR001,Distributed Renewable Infrastructure,4,7.76699,Ecosystem Restoration and Livelihood Diversification
477,SR002,Circular Regional Production System,5,7.72181,Ecosystem Restoration and Livelihood Diversification
477,SR003,Inclusive Urban Resilience Transition,6,7.27531,Ecosystem Restoration and Livelihood Diversification
478,SR006,Public Health Housing and Heat Resilience Compact,1,7.9761,Public Health Housing and Heat Resilience Compact
478,SR005,Ecosystem Restoration and Livelihood Diversification,2,7.80618,Public Health Housing and Heat Resilience Compact
478,SR004,Climate-Resilient Food and Water Strategy,3,7.78772,Public Health Housing and Heat Resilience Compact
478,SR002,Circular Regional Production System,4,7.44298,Public Health Housing and Heat Resilience Compact
478,SR003,Inclusive Urban Resilience Transition,5,7.42844,Public Health Housing and Heat Resilience Compact
478,SR001,Distributed Renewable Infrastructure,6,7.22473,Public Health Housing and Heat Resilience Compact
479,SR003,Inclusive Urban Resilience Transition,1,7.63895,Inclusive Urban Resilience Transition
479,SR005,Ecosystem Restoration and Livelihood Diversification,2,7.57135,Inclusive Urban Resilience Transition
479,SR004,Climate-Resilient Food and Water Strategy,3,7.52177,Inclusive Urban Resilience Transition
479,SR002,Circular Regional Production System,4,7.51078,Inclusive Urban Resilience Transition
479,SR006,Public Health Housing and Heat Resilience Compact,5,7.33213,Inclusive Urban Resilience Transition
479,SR001,Distributed Renewable Infrastructure,6,7.19854,Inclusive Urban Resilience Transition
480,SR003,Inclusive Urban Resilience Transition,1,7.94996,Inclusive Urban Resilience Transition
480,SR006,Public Health Housing and Heat Resilience Compact,2,7.86967,Inclusive Urban Resilience Transition
480,SR005,Ecosystem Restoration and Livelihood Diversification,3,7.83965,Inclusive Urban Resilience Transition
480,SR002,Circular Regional Production System,4,7.67549,Inclusive Urban Resilience Transition
480,SR001,Distributed Renewable Infrastructure,5,7.44719,Inclusive Urban Resilience Transition
480,SR004,Climate-Resilient Food and Water Strategy,6,7.30963,Inclusive Urban Resilience Transition
481,SR003,Inclusive Urban Resilience Transition,1,7.89178,Inclusive Urban Resilience Transition
481,SR004,Climate-Resilient Food and Water Strategy,2,7.74532,Inclusive Urban Resilience Transition
481,SR001,Distributed Renewable Infrastructure,3,7.58852,Inclusive Urban Resilience Transition
481,SR006,Public Health Housing and Heat Resilience Compact,4,7.4981,Inclusive Urban Resilience Transition
481,SR005,Ecosystem Restoration and Livelihood Diversification,5,7.44886,Inclusive Urban Resilience Transition
481,SR002,Circular Regional Production System,6,7.04543,Inclusive Urban Resilience Transition
482,SR005,Ecosystem Restoration and Livelihood Diversification,1,8.02166,Ecosystem Restoration and Livelihood Diversification
482,SR006,Public Health Housing and Heat Resilience Compact,2,7.96222,Ecosystem Restoration and Livelihood Diversification
482,SR002,Circular Regional Production System,3,7.6417,Ecosystem Restoration and Livelihood Diversification
482,SR004,Climate-Resilient Food and Water Strategy,4,7.55797,Ecosystem Restoration and Livelihood Diversification
482,SR003,Inclusive Urban Resilience Transition,5,7.30108,Ecosystem Restoration and Livelihood Diversification
482,SR001,Distributed Renewable Infrastructure,6,7.21787,Ecosystem Restoration and Livelihood Diversification
483,SR005,Ecosystem Restoration and Livelihood Diversification,1,7.92496,Ecosystem Restoration and Livelihood Diversification
483,SR004,Climate-Resilient Food and Water Strategy,2,7.75025,Ecosystem Restoration and Livelihood Diversification
483,SR006,Public Health Housing and Heat Resilience Compact,3,7.60839,Ecosystem Restoration and Livelihood Diversification
483,SR001,Distributed Renewable Infrastructure,4,7.59333,Ecosystem Restoration and Livelihood Diversification
483,SR002,Circular Regional Production System,5,7.58124,Ecosystem Restoration and Livelihood Diversification
483,SR003,Inclusive Urban Resilience Transition,6,7.24408,Ecosystem Restoration and Livelihood Diversification
484,SR002,Circular Regional Production System,1,7.85888,Circular Regional Production System
484,SR005,Ecosystem Restoration and Livelihood Diversification,2,7.71057,Circular Regional Production System
484,SR006,Public Health Housing and Heat Resilience Compact,3,7.69164,Circular Regional Production System
484,SR003,Inclusive Urban Resilience Transition,4,7.64107,Circular Regional Production System
484,SR004,Climate-Resilient Food and Water Strategy,5,7.59984,Circular Regional Production System
484,SR001,Distributed Renewable Infrastructure,6,7.46718,Circular Regional Production System
485,SR006,Public Health Housing and Heat Resilience Compact,1,7.74918,Public Health Housing and Heat Resilience Compact
485,SR003,Inclusive Urban Resilience Transition,2,7.60191,Public Health Housing and Heat Resilience Compact
485,SR004,Climate-Resilient Food and Water Strategy,3,7.59408,Public Health Housing and Heat Resilience Compact
485,SR002,Circular Regional Production System,4,7.43503,Public Health Housing and Heat Resilience Compact
485,SR005,Ecosystem Restoration and Livelihood Diversification,5,7.39129,Public Health Housing and Heat Resilience Compact
485,SR001,Distributed Renewable Infrastructure,6,7.36116,Public Health Housing and Heat Resilience Compact
486,SR002,Circular Regional Production System,1,8.0217,Circular Regional Production System
486,SR005,Ecosystem Restoration and Livelihood Diversification,2,7.96495,Circular Regional Production System
486,SR006,Public Health Housing and Heat Resilience Compact,3,7.79269,Circular Regional Production System
486,SR004,Climate-Resilient Food and Water Strategy,4,7.69384,Circular Regional Production System
486,SR003,Inclusive Urban Resilience Transition,5,7.60688,Circular Regional Production System
486,SR001,Distributed Renewable Infrastructure,6,7.59435,Circular Regional Production System
487,SR002,Circular Regional Production System,1,7.95283,Circular Regional Production System
487,SR006,Public Health Housing and Heat Resilience Compact,2,7.82797,Circular Regional Production System
487,SR005,Ecosystem Restoration and Livelihood Diversification,3,7.70306,Circular Regional Production System
487,SR003,Inclusive Urban Resilience Transition,4,7.62521,Circular Regional Production System
487,SR001,Distributed Renewable Infrastructure,5,7.44894,Circular Regional Production System
487,SR004,Climate-Resilient Food and Water Strategy,6,7.37158,Circular Regional Production System
488,SR006,Public Health Housing and Heat Resilience Compact,1,7.9821,Public Health Housing and Heat Resilience Compact
488,SR005,Ecosystem Restoration and Livelihood Diversification,2,7.81686,Public Health Housing and Heat Resilience Compact
488,SR004,Climate-Resilient Food and Water Strategy,3,7.66072,Public Health Housing and Heat Resilience Compact
488,SR003,Inclusive Urban Resilience Transition,4,7.6044,Public Health Housing and Heat Resilience Compact
488,SR001,Distributed Renewable Infrastructure,5,7.44794,Public Health Housing and Heat Resilience Compact
488,SR002,Circular Regional Production System,6,7.43426,Public Health Housing and Heat Resilience Compact
489,SR006,Public Health Housing and Heat Resilience Compact,1,7.77702,Public Health Housing and Heat Resilience Compact
489,SR005,Ecosystem Restoration and Livelihood Diversification,2,7.60241,Public Health Housing and Heat Resilience Compact
489,SR004,Climate-Resilient Food and Water Strategy,3,7.5887,Public Health Housing and Heat Resilience Compact
489,SR002,Circular Regional Production System,4,7.50161,Public Health Housing and Heat Resilience Compact
489,SR001,Distributed Renewable Infrastructure,5,7.38426,Public Health Housing and Heat Resilience Compact
489,SR003,Inclusive Urban Resilience Transition,6,7.2103,Public Health Housing and Heat Resilience Compact
490,SR005,Ecosystem Restoration and Livelihood Diversification,1,7.77095,Ecosystem Restoration and Livelihood Diversification
490,SR001,Distributed Renewable Infrastructure,2,7.5277,Ecosystem Restoration and Livelihood Diversification
490,SR006,Public Health Housing and Heat Resilience Compact,3,7.41319,Ecosystem Restoration and Livelihood Diversification
490,SR004,Climate-Resilient Food and Water Strategy,4,7.34101,Ecosystem Restoration and Livelihood Diversification
490,SR003,Inclusive Urban Resilience Transition,5,7.20633,Ecosystem Restoration and Livelihood Diversification
490,SR002,Circular Regional Production System,6,7.14662,Ecosystem Restoration and Livelihood Diversification
491,SR006,Public Health Housing and Heat Resilience Compact,1,7.76256,Public Health Housing and Heat Resilience Compact
491,SR002,Circular Regional Production System,2,7.71912,Public Health Housing and Heat Resilience Compact
491,SR005,Ecosystem Restoration and Livelihood Diversification,3,7.68503,Public Health Housing and Heat Resilience Compact
491,SR001,Distributed Renewable Infrastructure,4,7.4852,Public Health Housing and Heat Resilience Compact
491,SR003,Inclusive Urban Resilience Transition,5,7.36613,Public Health Housing and Heat Resilience Compact
491,SR004,Climate-Resilient Food and Water Strategy,6,7.20216,Public Health Housing and Heat Resilience Compact
492,SR003,Inclusive Urban Resilience Transition,1,7.72825,Inclusive Urban Resilience Transition
492,SR002,Circular Regional Production System,2,7.47512,Inclusive Urban Resilience Transition
492,SR005,Ecosystem Restoration and Livelihood Diversification,3,7.42892,Inclusive Urban Resilience Transition
492,SR004,Climate-Resilient Food and Water Strategy,4,7.38499,Inclusive Urban Resilience Transition
492,SR006,Public Health Housing and Heat Resilience Compact,5,7.25835,Inclusive Urban Resilience Transition
492,SR001,Distributed Renewable Infrastructure,6,7.19917,Inclusive Urban Resilience Transition
493,SR003,Inclusive Urban Resilience Transition,1,7.94026,Inclusive Urban Resilience Transition
493,SR002,Circular Regional Production System,2,7.73785,Inclusive Urban Resilience Transition
493,SR005,Ecosystem Restoration and Livelihood Diversification,3,7.72684,Inclusive Urban Resilience Transition
493,SR004,Climate-Resilient Food and Water Strategy,4,7.53329,Inclusive Urban Resilience Transition
493,SR006,Public Health Housing and Heat Resilience Compact,5,7.32946,Inclusive Urban Resilience Transition
493,SR001,Distributed Renewable Infrastructure,6,7.26202,Inclusive Urban Resilience Transition
494,SR005,Ecosystem Restoration and Livelihood Diversification,1,7.98056,Ecosystem Restoration and Livelihood Diversification
494,SR004,Climate-Resilient Food and Water Strategy,2,7.77727,Ecosystem Restoration and Livelihood Diversification
494,SR002,Circular Regional Production System,3,7.41481,Ecosystem Restoration and Livelihood Diversification
494,SR003,Inclusive Urban Resilience Transition,4,7.39752,Ecosystem Restoration and Livelihood Diversification
494,SR006,Public Health Housing and Heat Resilience Compact,5,7.34107,Ecosystem Restoration and Livelihood Diversification
494,SR001,Distributed Renewable Infrastructure,6,7.30427,Ecosystem Restoration and Livelihood Diversification
495,SR002,Circular Regional Production System,1,7.89437,Circular Regional Production System
495,SR005,Ecosystem Restoration and Livelihood Diversification,2,7.85477,Circular Regional Production System
495,SR003,Inclusive Urban Resilience Transition,3,7.69011,Circular Regional Production System
495,SR006,Public Health Housing and Heat Resilience Compact,4,7.63309,Circular Regional Production System
495,SR001,Distributed Renewable Infrastructure,5,7.4767,Circular Regional Production System
495,SR004,Climate-Resilient Food and Water Strategy,6,7.25259,Circular Regional Production System
496,SR004,Climate-Resilient Food and Water Strategy,1,7.99645,Climate-Resilient Food and Water Strategy
496,SR005,Ecosystem Restoration and Livelihood Diversification,2,7.87222,Climate-Resilient Food and Water Strategy
496,SR003,Inclusive Urban Resilience Transition,3,7.86635,Climate-Resilient Food and Water Strategy
496,SR006,Public Health Housing and Heat Resilience Compact,4,7.82255,Climate-Resilient Food and Water Strategy
496,SR002,Circular Regional Production System,5,7.69042,Climate-Resilient Food and Water Strategy
496,SR001,Distributed Renewable Infrastructure,6,7.65595,Climate-Resilient Food and Water Strategy
497,SR003,Inclusive Urban Resilience Transition,1,7.96348,Inclusive Urban Resilience Transition
497,SR004,Climate-Resilient Food and Water Strategy,2,7.83591,Inclusive Urban Resilience Transition
497,SR002,Circular Regional Production System,3,7.76685,Inclusive Urban Resilience Transition
497,SR005,Ecosystem Restoration and Livelihood Diversification,4,7.73501,Inclusive Urban Resilience Transition
497,SR006,Public Health Housing and Heat Resilience Compact,5,7.42529,Inclusive Urban Resilience Transition
497,SR001,Distributed Renewable Infrastructure,6,7.32346,Inclusive Urban Resilience Transition
498,SR002,Circular Regional Production System,1,7.60262,Circular Regional Production System
498,SR005,Ecosystem Restoration and Livelihood Diversification,2,7.56921,Circular Regional Production System
498,SR006,Public Health Housing and Heat Resilience Compact,3,7.53056,Circular Regional Production System
498,SR004,Climate-Resilient Food and Water Strategy,4,7.47804,Circular Regional Production System
498,SR001,Distributed Renewable Infrastructure,5,7.4686,Circular Regional Production System
498,SR003,Inclusive Urban Resilience Transition,6,7.45207,Circular Regional Production System
499,SR006,Public Health Housing and Heat Resilience Compact,1,7.95978,Public Health Housing and Heat Resilience Compact
499,SR003,Inclusive Urban Resilience Transition,2,7.56955,Public Health Housing and Heat Resilience Compact
499,SR004,Climate-Resilient Food and Water Strategy,3,7.54917,Public Health Housing and Heat Resilience Compact
499,SR001,Distributed Renewable Infrastructure,4,7.52892,Public Health Housing and Heat Resilience Compact
499,SR005,Ecosystem Restoration and Livelihood Diversification,5,7.47542,Public Health Housing and Heat Resilience Compact
499,SR002,Circular Regional Production System,6,7.13084,Public Health Housing and Heat Resilience Compact
500,SR001,Distributed Renewable Infrastructure,1,8.03561,Distributed Renewable Infrastructure
500,SR005,Ecosystem Restoration and Livelihood Diversification,2,7.94317,Distributed Renewable Infrastructure
500,SR003,Inclusive Urban Resilience Transition,3,7.91854,Distributed Renewable Infrastructure
500,SR002,Circular Regional Production System,4,7.84895,Distributed Renewable Infrastructure
500,SR006,Public Health Housing and Heat Resilience Compact,5,7.78812,Distributed Renewable Infrastructure
500,SR004,Climate-Resilient Food and Water Strategy,6,7.72202,Distributed Renewable Infrastructure
501,SR003,Inclusive Urban Resilience Transition,1,7.74804,Inclusive Urban Resilience Transition
501,SR006,Public Health Housing and Heat Resilience Compact,2,7.69864,Inclusive Urban Resilience Transition
501,SR004,Climate-Resilient Food and Water Strategy,3,7.65606,Inclusive Urban Resilience Transition
501,SR005,Ecosystem Restoration and Livelihood Diversification,4,7.51519,Inclusive Urban Resilience Transition
501,SR002,Circular Regional Production System,5,7.15192,Inclusive Urban Resilience Transition
501,SR001,Distributed Renewable Infrastructure,6,6.88752,Inclusive Urban Resilience Transition
502,SR006,Public Health Housing and Heat Resilience Compact,1,7.75348,Public Health Housing and Heat Resilience Compact
502,SR005,Ecosystem Restoration and Livelihood Diversification,2,7.55099,Public Health Housing and Heat Resilience Compact
502,SR002,Circular Regional Production System,3,7.46148,Public Health Housing and Heat Resilience Compact
502,SR003,Inclusive Urban Resilience Transition,4,7.45643,Public Health Housing and Heat Resilience Compact
502,SR004,Climate-Resilient Food and Water Strategy,5,7.4068,Public Health Housing and Heat Resilience Compact
502,SR001,Distributed Renewable Infrastructure,6,7.19036,Public Health Housing and Heat Resilience Compact
503,SR005,Ecosystem Restoration and Livelihood Diversification,1,7.93336,Ecosystem Restoration and Livelihood Diversification
503,SR002,Circular Regional Production System,2,7.59618,Ecosystem Restoration and Livelihood Diversification
503,SR003,Inclusive Urban Resilience Transition,3,7.59093,Ecosystem Restoration and Livelihood Diversification
503,SR006,Public Health Housing and Heat Resilience Compact,4,7.52685,Ecosystem Restoration and Livelihood Diversification
503,SR001,Distributed Renewable Infrastructure,5,7.50106,Ecosystem Restoration and Livelihood Diversification
503,SR004,Climate-Resilient Food and Water Strategy,6,7.43948,Ecosystem Restoration and Livelihood Diversification
504,SR005,Ecosystem Restoration and Livelihood Diversification,1,7.8064,Ecosystem Restoration and Livelihood Diversification
504,SR002,Circular Regional Production System,2,7.61434,Ecosystem Restoration and Livelihood Diversification
504,SR003,Inclusive Urban Resilience Transition,3,7.55386,Ecosystem Restoration and Livelihood Diversification
504,SR006,Public Health Housing and Heat Resilience Compact,4,7.47634,Ecosystem Restoration and Livelihood Diversification
504,SR004,Climate-Resilient Food and Water Strategy,5,7.39507,Ecosystem Restoration and Livelihood Diversification
504,SR001,Distributed Renewable Infrastructure,6,7.2728,Ecosystem Restoration and Livelihood Diversification
505,SR006,Public Health Housing and Heat Resilience Compact,1,7.92993,Public Health Housing and Heat Resilience Compact
505,SR002,Circular Regional Production System,2,7.88684,Public Health Housing and Heat Resilience Compact
505,SR005,Ecosystem Restoration and Livelihood Diversification,3,7.83676,Public Health Housing and Heat Resilience Compact
505,SR003,Inclusive Urban Resilience Transition,4,7.77243,Public Health Housing and Heat Resilience Compact
505,SR004,Climate-Resilient Food and Water Strategy,5,7.41,Public Health Housing and Heat Resilience Compact
505,SR001,Distributed Renewable Infrastructure,6,7.28558,Public Health Housing and Heat Resilience Compact
506,SR005,Ecosystem Restoration and Livelihood Diversification,1,7.75192,Ecosystem Restoration and Livelihood Diversification
506,SR002,Circular Regional Production System,2,7.71237,Ecosystem Restoration and Livelihood Diversification
506,SR006,Public Health Housing and Heat Resilience Compact,3,7.59834,Ecosystem Restoration and Livelihood Diversification
506,SR001,Distributed Renewable Infrastructure,4,7.44977,Ecosystem Restoration and Livelihood Diversification
506,SR004,Climate-Resilient Food and Water Strategy,5,7.33071,Ecosystem Restoration and Livelihood Diversification
506,SR003,Inclusive Urban Resilience Transition,6,7.24446,Ecosystem Restoration and Livelihood Diversification
507,SR003,Inclusive Urban Resilience Transition,1,7.88533,Inclusive Urban Resilience Transition
507,SR004,Climate-Resilient Food and Water Strategy,2,7.667,Inclusive Urban Resilience Transition
507,SR002,Circular Regional Production System,3,7.49289,Inclusive Urban Resilience Transition
507,SR005,Ecosystem Restoration and Livelihood Diversification,4,7.45522,Inclusive Urban Resilience Transition
507,SR001,Distributed Renewable Infrastructure,5,7.31987,Inclusive Urban Resilience Transition
507,SR006,Public Health Housing and Heat Resilience Compact,6,7.18411,Inclusive Urban Resilience Transition
508,SR002,Circular Regional Production System,1,7.77799,Circular Regional Production System
508,SR006,Public Health Housing and Heat Resilience Compact,2,7.71296,Circular Regional Production System
508,SR005,Ecosystem Restoration and Livelihood Diversification,3,7.60389,Circular Regional Production System
508,SR003,Inclusive Urban Resilience Transition,4,7.45481,Circular Regional Production System
508,SR004,Climate-Resilient Food and Water Strategy,5,7.37879,Circular Regional Production System
508,SR001,Distributed Renewable Infrastructure,6,7.37754,Circular Regional Production System
509,SR006,Public Health Housing and Heat Resilience Compact,1,7.91896,Public Health Housing and Heat Resilience Compact
509,SR003,Inclusive Urban Resilience Transition,2,7.7493,Public Health Housing and Heat Resilience Compact
509,SR005,Ecosystem Restoration and Livelihood Diversification,3,7.52212,Public Health Housing and Heat Resilience Compact
509,SR004,Climate-Resilient Food and Water Strategy,4,7.52196,Public Health Housing and Heat Resilience Compact
509,SR002,Circular Regional Production System,5,7.14604,Public Health Housing and Heat Resilience Compact
509,SR001,Distributed Renewable Infrastructure,6,6.96047,Public Health Housing and Heat Resilience Compact
510,SR005,Ecosystem Restoration and Livelihood Diversification,1,8.00737,Ecosystem Restoration and Livelihood Diversification
510,SR006,Public Health Housing and Heat Resilience Compact,2,7.91837,Ecosystem Restoration and Livelihood Diversification
510,SR002,Circular Regional Production System,3,7.83991,Ecosystem Restoration and Livelihood Diversification
510,SR004,Climate-Resilient Food and Water Strategy,4,7.50866,Ecosystem Restoration and Livelihood Diversification
510,SR003,Inclusive Urban Resilience Transition,5,7.44535,Ecosystem Restoration and Livelihood Diversification
510,SR001,Distributed Renewable Infrastructure,6,7.30645,Ecosystem Restoration and Livelihood Diversification
511,SR003,Inclusive Urban Resilience Transition,1,7.801,Inclusive Urban Resilience Transition
511,SR005,Ecosystem Restoration and Livelihood Diversification,2,7.69637,Inclusive Urban Resilience Transition
511,SR006,Public Health Housing and Heat Resilience Compact,3,7.58637,Inclusive Urban Resilience Transition
511,SR004,Climate-Resilient Food and Water Strategy,4,7.44995,Inclusive Urban Resilience Transition
511,SR002,Circular Regional Production System,5,7.21142,Inclusive Urban Resilience Transition
511,SR001,Distributed Renewable Infrastructure,6,7.19928,Inclusive Urban Resilience Transition
512,SR006,Public Health Housing and Heat Resilience Compact,1,8.04897,Public Health Housing and Heat Resilience Compact
512,SR005,Ecosystem Restoration and Livelihood Diversification,2,7.78186,Public Health Housing and Heat Resilience Compact
512,SR001,Distributed Renewable Infrastructure,3,7.64228,Public Health Housing and Heat Resilience Compact
512,SR003,Inclusive Urban Resilience Transition,4,7.47642,Public Health Housing and Heat Resilience Compact
512,SR004,Climate-Resilient Food and Water Strategy,5,7.30616,Public Health Housing and Heat Resilience Compact
512,SR002,Circular Regional Production System,6,7.21819,Public Health Housing and Heat Resilience Compact
513,SR003,Inclusive Urban Resilience Transition,1,7.57286,Inclusive Urban Resilience Transition
513,SR002,Circular Regional Production System,2,7.56185,Inclusive Urban Resilience Transition
513,SR005,Ecosystem Restoration and Livelihood Diversification,3,7.5546,Inclusive Urban Resilience Transition
513,SR006,Public Health Housing and Heat Resilience Compact,4,7.51721,Inclusive Urban Resilience Transition
513,SR004,Climate-Resilient Food and Water Strategy,5,7.40393,Inclusive Urban Resilience Transition
513,SR001,Distributed Renewable Infrastructure,6,6.94837,Inclusive Urban Resilience Transition
514,SR005,Ecosystem Restoration and Livelihood Diversification,1,7.80488,Ecosystem Restoration and Livelihood Diversification
514,SR003,Inclusive Urban Resilience Transition,2,7.78496,Ecosystem Restoration and Livelihood Diversification
514,SR004,Climate-Resilient Food and Water Strategy,3,7.41443,Ecosystem Restoration and Livelihood Diversification
514,SR006,Public Health Housing and Heat Resilience Compact,4,7.21106,Ecosystem Restoration and Livelihood Diversification
514,SR002,Circular Regional Production System,5,7.11401,Ecosystem Restoration and Livelihood Diversification
514,SR001,Distributed Renewable Infrastructure,6,7.04695,Ecosystem Restoration and Livelihood Diversification
515,SR006,Public Health Housing and Heat Resilience Compact,1,7.8228,Public Health Housing and Heat Resilience Compact
515,SR005,Ecosystem Restoration and Livelihood Diversification,2,7.78637,Public Health Housing and Heat Resilience Compact
515,SR001,Distributed Renewable Infrastructure,3,7.62078,Public Health Housing and Heat Resilience Compact
515,SR003,Inclusive Urban Resilience Transition,4,7.60562,Public Health Housing and Heat Resilience Compact
515,SR004,Climate-Resilient Food and Water Strategy,5,7.55938,Public Health Housing and Heat Resilience Compact
515,SR002,Circular Regional Production System,6,7.43043,Public Health Housing and Heat Resilience Compact
516,SR006,Public Health Housing and Heat Resilience Compact,1,7.86405,Public Health Housing and Heat Resilience Compact
516,SR001,Distributed Renewable Infrastructure,2,7.55861,Public Health Housing and Heat Resilience Compact
516,SR002,Circular Regional Production System,3,7.52406,Public Health Housing and Heat Resilience Compact
516,SR003,Inclusive Urban Resilience Transition,4,7.49944,Public Health Housing and Heat Resilience Compact
516,SR005,Ecosystem Restoration and Livelihood Diversification,5,7.46948,Public Health Housing and Heat Resilience Compact
516,SR004,Climate-Resilient Food and Water Strategy,6,7.43139,Public Health Housing and Heat Resilience Compact
517,SR002,Circular Regional Production System,1,7.73853,Circular Regional Production System
517,SR003,Inclusive Urban Resilience Transition,2,7.62259,Circular Regional Production System
517,SR004,Climate-Resilient Food and Water Strategy,3,7.61971,Circular Regional Production System
517,SR006,Public Health Housing and Heat Resilience Compact,4,7.53334,Circular Regional Production System
517,SR001,Distributed Renewable Infrastructure,5,7.35167,Circular Regional Production System
517,SR005,Ecosystem Restoration and Livelihood Diversification,6,7.32403,Circular Regional Production System
518,SR004,Climate-Resilient Food and Water Strategy,1,7.70276,Climate-Resilient Food and Water Strategy
518,SR006,Public Health Housing and Heat Resilience Compact,2,7.69524,Climate-Resilient Food and Water Strategy
518,SR002,Circular Regional Production System,3,7.51773,Climate-Resilient Food and Water Strategy
518,SR001,Distributed Renewable Infrastructure,4,7.48879,Climate-Resilient Food and Water Strategy
518,SR005,Ecosystem Restoration and Livelihood Diversification,5,7.44287,Climate-Resilient Food and Water Strategy
518,SR003,Inclusive Urban Resilience Transition,6,7.33088,Climate-Resilient Food and Water Strategy
519,SR006,Public Health Housing and Heat Resilience Compact,1,7.79872,Public Health Housing and Heat Resilience Compact
519,SR004,Climate-Resilient Food and Water Strategy,2,7.48259,Public Health Housing and Heat Resilience Compact
519,SR005,Ecosystem Restoration and Livelihood Diversification,3,7.4556,Public Health Housing and Heat Resilience Compact
519,SR003,Inclusive Urban Resilience Transition,4,7.44231,Public Health Housing and Heat Resilience Compact
519,SR002,Circular Regional Production System,5,7.42014,Public Health Housing and Heat Resilience Compact
519,SR001,Distributed Renewable Infrastructure,6,7.32904,Public Health Housing and Heat Resilience Compact
520,SR005,Ecosystem Restoration and Livelihood Diversification,1,8.07661,Ecosystem Restoration and Livelihood Diversification
520,SR004,Climate-Resilient Food and Water Strategy,2,7.89031,Ecosystem Restoration and Livelihood Diversification
520,SR003,Inclusive Urban Resilience Transition,3,7.7864,Ecosystem Restoration and Livelihood Diversification
520,SR006,Public Health Housing and Heat Resilience Compact,4,7.72229,Ecosystem Restoration and Livelihood Diversification
520,SR001,Distributed Renewable Infrastructure,5,7.50647,Ecosystem Restoration and Livelihood Diversification
520,SR002,Circular Regional Production System,6,7.0968,Ecosystem Restoration and Livelihood Diversification
521,SR003,Inclusive Urban Resilience Transition,1,7.91472,Inclusive Urban Resilience Transition
521,SR002,Circular Regional Production System,2,7.6678,Inclusive Urban Resilience Transition
521,SR001,Distributed Renewable Infrastructure,3,7.6452,Inclusive Urban Resilience Transition
521,SR005,Ecosystem Restoration and Livelihood Diversification,4,7.29478,Inclusive Urban Resilience Transition
521,SR006,Public Health Housing and Heat Resilience Compact,5,7.28228,Inclusive Urban Resilience Transition
521,SR004,Climate-Resilient Food and Water Strategy,6,7.19785,Inclusive Urban Resilience Transition
522,SR004,Climate-Resilient Food and Water Strategy,1,7.6744,Climate-Resilient Food and Water Strategy
522,SR006,Public Health Housing and Heat Resilience Compact,2,7.6603,Climate-Resilient Food and Water Strategy
522,SR005,Ecosystem Restoration and Livelihood Diversification,3,7.50291,Climate-Resilient Food and Water Strategy
522,SR003,Inclusive Urban Resilience Transition,4,7.47517,Climate-Resilient Food and Water Strategy
522,SR002,Circular Regional Production System,5,7.15157,Climate-Resilient Food and Water Strategy
522,SR001,Distributed Renewable Infrastructure,6,7.06861,Climate-Resilient Food and Water Strategy
523,SR005,Ecosystem Restoration and Livelihood Diversification,1,8.15016,Ecosystem Restoration and Livelihood Diversification
523,SR003,Inclusive Urban Resilience Transition,2,7.76848,Ecosystem Restoration and Livelihood Diversification
523,SR006,Public Health Housing and Heat Resilience Compact,3,7.76639,Ecosystem Restoration and Livelihood Diversification
523,SR002,Circular Regional Production System,4,7.69282,Ecosystem Restoration and Livelihood Diversification
523,SR001,Distributed Renewable Infrastructure,5,7.62347,Ecosystem Restoration and Livelihood Diversification
523,SR004,Climate-Resilient Food and Water Strategy,6,7.36413,Ecosystem Restoration and Livelihood Diversification
524,SR005,Ecosystem Restoration and Livelihood Diversification,1,7.86227,Ecosystem Restoration and Livelihood Diversification
524,SR003,Inclusive Urban Resilience Transition,2,7.73242,Ecosystem Restoration and Livelihood Diversification
524,SR006,Public Health Housing and Heat Resilience Compact,3,7.6746,Ecosystem Restoration and Livelihood Diversification
524,SR001,Distributed Renewable Infrastructure,4,7.66127,Ecosystem Restoration and Livelihood Diversification
524,SR002,Circular Regional Production System,5,7.42978,Ecosystem Restoration and Livelihood Diversification
524,SR004,Climate-Resilient Food and Water Strategy,6,7.11289,Ecosystem Restoration and Livelihood Diversification
525,SR004,Climate-Resilient Food and Water Strategy,1,7.96324,Climate-Resilient Food and Water Strategy
525,SR006,Public Health Housing and Heat Resilience Compact,2,7.81439,Climate-Resilient Food and Water Strategy
525,SR005,Ecosystem Restoration and Livelihood Diversification,3,7.48052,Climate-Resilient Food and Water Strategy
525,SR002,Circular Regional Production System,4,7.45689,Climate-Resilient Food and Water Strategy
525,SR003,Inclusive Urban Resilience Transition,5,7.39562,Climate-Resilient Food and Water Strategy
525,SR001,Distributed Renewable Infrastructure,6,7.24393,Climate-Resilient Food and Water Strategy
526,SR004,Climate-Resilient Food and Water Strategy,1,7.7565,Climate-Resilient Food and Water Strategy
526,SR006,Public Health Housing and Heat Resilience Compact,2,7.54024,Climate-Resilient Food and Water Strategy
526,SR001,Distributed Renewable Infrastructure,3,7.47674,Climate-Resilient Food and Water Strategy
526,SR005,Ecosystem Restoration and Livelihood Diversification,4,7.44342,Climate-Resilient Food and Water Strategy
526,SR002,Circular Regional Production System,5,7.36961,Climate-Resilient Food and Water Strategy
526,SR003,Inclusive Urban Resilience Transition,6,7.29808,Climate-Resilient Food and Water Strategy
