simulation_id,strategy_id,strategy,rank,supply_chain_resilience_value,winner
61,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.29136,Climate-Adjusted Infrastructure and Port Resilience Plan
61,SC004,Multi-Route Logistics and Chokepoint Redesign,2,7.25278,Climate-Adjusted Infrastructure and Port Resilience Plan
61,SC006,Fair Supplier Finance and Labor Continuity Program,3,7.10126,Climate-Adjusted Infrastructure and Port Resilience Plan
61,SC001,Supplier Diversification and Qualification Program,4,7.07843,Climate-Adjusted Infrastructure and Port Resilience Plan
61,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,5,7.06368,Climate-Adjusted Infrastructure and Port Resilience Plan
61,SC002,Regional Buffer Inventory for Critical Goods,6,6.82586,Climate-Adjusted Infrastructure and Port Resilience Plan
62,SC006,Fair Supplier Finance and Labor Continuity Program,1,7.34143,Fair Supplier Finance and Labor Continuity Program
62,SC001,Supplier Diversification and Qualification Program,2,7.25579,Fair Supplier Finance and Labor Continuity Program
62,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,3,7.02638,Fair Supplier Finance and Labor Continuity Program
62,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,4,7.00577,Fair Supplier Finance and Labor Continuity Program
62,SC004,Multi-Route Logistics and Chokepoint Redesign,5,6.91883,Fair Supplier Finance and Labor Continuity Program
62,SC002,Regional Buffer Inventory for Critical Goods,6,6.71545,Fair Supplier Finance and Labor Continuity Program
63,SC004,Multi-Route Logistics and Chokepoint Redesign,1,7.47478,Multi-Route Logistics and Chokepoint Redesign
63,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,2,7.34092,Multi-Route Logistics and Chokepoint Redesign
63,SC001,Supplier Diversification and Qualification Program,3,7.27693,Multi-Route Logistics and Chokepoint Redesign
63,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,4,6.91467,Multi-Route Logistics and Chokepoint Redesign
63,SC006,Fair Supplier Finance and Labor Continuity Program,5,6.90282,Multi-Route Logistics and Chokepoint Redesign
63,SC002,Regional Buffer Inventory for Critical Goods,6,6.8071,Multi-Route Logistics and Chokepoint Redesign
64,SC004,Multi-Route Logistics and Chokepoint Redesign,1,7.17588,Multi-Route Logistics and Chokepoint Redesign
64,SC006,Fair Supplier Finance and Labor Continuity Program,2,7.0804,Multi-Route Logistics and Chokepoint Redesign
64,SC001,Supplier Diversification and Qualification Program,3,7.03356,Multi-Route Logistics and Chokepoint Redesign
64,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,4,6.99527,Multi-Route Logistics and Chokepoint Redesign
64,SC002,Regional Buffer Inventory for Critical Goods,5,6.83758,Multi-Route Logistics and Chokepoint Redesign
64,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,6,6.33643,Multi-Route Logistics and Chokepoint Redesign
65,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.33757,Climate-Adjusted Infrastructure and Port Resilience Plan
65,SC004,Multi-Route Logistics and Chokepoint Redesign,2,7.06159,Climate-Adjusted Infrastructure and Port Resilience Plan
65,SC001,Supplier Diversification and Qualification Program,3,6.96398,Climate-Adjusted Infrastructure and Port Resilience Plan
65,SC006,Fair Supplier Finance and Labor Continuity Program,4,6.9239,Climate-Adjusted Infrastructure and Port Resilience Plan
65,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,5,6.8134,Climate-Adjusted Infrastructure and Port Resilience Plan
65,SC002,Regional Buffer Inventory for Critical Goods,6,6.38506,Climate-Adjusted Infrastructure and Port Resilience Plan
66,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.12416,Climate-Adjusted Infrastructure and Port Resilience Plan
66,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,2,7.11808,Climate-Adjusted Infrastructure and Port Resilience Plan
66,SC001,Supplier Diversification and Qualification Program,3,7.02517,Climate-Adjusted Infrastructure and Port Resilience Plan
66,SC004,Multi-Route Logistics and Chokepoint Redesign,4,6.95732,Climate-Adjusted Infrastructure and Port Resilience Plan
66,SC006,Fair Supplier Finance and Labor Continuity Program,5,6.95114,Climate-Adjusted Infrastructure and Port Resilience Plan
66,SC002,Regional Buffer Inventory for Critical Goods,6,6.78291,Climate-Adjusted Infrastructure and Port Resilience Plan
67,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.288,Climate-Adjusted Infrastructure and Port Resilience Plan
67,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,2,7.18014,Climate-Adjusted Infrastructure and Port Resilience Plan
67,SC004,Multi-Route Logistics and Chokepoint Redesign,3,6.9848,Climate-Adjusted Infrastructure and Port Resilience Plan
67,SC001,Supplier Diversification and Qualification Program,4,6.96202,Climate-Adjusted Infrastructure and Port Resilience Plan
67,SC002,Regional Buffer Inventory for Critical Goods,5,6.63577,Climate-Adjusted Infrastructure and Port Resilience Plan
67,SC006,Fair Supplier Finance and Labor Continuity Program,6,6.62237,Climate-Adjusted Infrastructure and Port Resilience Plan
68,SC004,Multi-Route Logistics and Chokepoint Redesign,1,7.19061,Multi-Route Logistics and Chokepoint Redesign
68,SC006,Fair Supplier Finance and Labor Continuity Program,2,7.18712,Multi-Route Logistics and Chokepoint Redesign
68,SC002,Regional Buffer Inventory for Critical Goods,3,7.1295,Multi-Route Logistics and Chokepoint Redesign
68,SC001,Supplier Diversification and Qualification Program,4,6.97985,Multi-Route Logistics and Chokepoint Redesign
68,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,5,6.91042,Multi-Route Logistics and Chokepoint Redesign
68,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,6,6.70975,Multi-Route Logistics and Chokepoint Redesign
69,SC006,Fair Supplier Finance and Labor Continuity Program,1,7.18883,Fair Supplier Finance and Labor Continuity Program
69,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,2,7.16931,Fair Supplier Finance and Labor Continuity Program
69,SC002,Regional Buffer Inventory for Critical Goods,3,7.14923,Fair Supplier Finance and Labor Continuity Program
69,SC001,Supplier Diversification and Qualification Program,4,7.13989,Fair Supplier Finance and Labor Continuity Program
69,SC004,Multi-Route Logistics and Chokepoint Redesign,5,7.08618,Fair Supplier Finance and Labor Continuity Program
69,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,6,6.84709,Fair Supplier Finance and Labor Continuity Program
70,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.27657,Climate-Adjusted Infrastructure and Port Resilience Plan
70,SC006,Fair Supplier Finance and Labor Continuity Program,2,7.25881,Climate-Adjusted Infrastructure and Port Resilience Plan
70,SC004,Multi-Route Logistics and Chokepoint Redesign,3,6.98147,Climate-Adjusted Infrastructure and Port Resilience Plan
70,SC001,Supplier Diversification and Qualification Program,4,6.85102,Climate-Adjusted Infrastructure and Port Resilience Plan
70,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,5,6.76315,Climate-Adjusted Infrastructure and Port Resilience Plan
70,SC002,Regional Buffer Inventory for Critical Goods,6,6.38344,Climate-Adjusted Infrastructure and Port Resilience Plan
71,SC004,Multi-Route Logistics and Chokepoint Redesign,1,7.11069,Multi-Route Logistics and Chokepoint Redesign
71,SC006,Fair Supplier Finance and Labor Continuity Program,2,6.97463,Multi-Route Logistics and Chokepoint Redesign
71,SC001,Supplier Diversification and Qualification Program,3,6.96932,Multi-Route Logistics and Chokepoint Redesign
71,SC002,Regional Buffer Inventory for Critical Goods,4,6.87767,Multi-Route Logistics and Chokepoint Redesign
71,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,5,6.80968,Multi-Route Logistics and Chokepoint Redesign
71,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,6,6.78047,Multi-Route Logistics and Chokepoint Redesign
72,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,1,7.15182,Digital End-to-End Visibility and Cyber Resilience Platform
72,SC006,Fair Supplier Finance and Labor Continuity Program,2,7.0929,Digital End-to-End Visibility and Cyber Resilience Platform
72,SC004,Multi-Route Logistics and Chokepoint Redesign,3,7.08117,Digital End-to-End Visibility and Cyber Resilience Platform
72,SC002,Regional Buffer Inventory for Critical Goods,4,6.79774,Digital End-to-End Visibility and Cyber Resilience Platform
72,SC001,Supplier Diversification and Qualification Program,5,6.78679,Digital End-to-End Visibility and Cyber Resilience Platform
72,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,6,6.76647,Digital End-to-End Visibility and Cyber Resilience Platform
73,SC004,Multi-Route Logistics and Chokepoint Redesign,1,7.66709,Multi-Route Logistics and Chokepoint Redesign
73,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,2,7.26325,Multi-Route Logistics and Chokepoint Redesign
73,SC006,Fair Supplier Finance and Labor Continuity Program,3,7.08877,Multi-Route Logistics and Chokepoint Redesign
73,SC002,Regional Buffer Inventory for Critical Goods,4,6.99739,Multi-Route Logistics and Chokepoint Redesign
73,SC001,Supplier Diversification and Qualification Program,5,6.93826,Multi-Route Logistics and Chokepoint Redesign
73,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,6,6.8551,Multi-Route Logistics and Chokepoint Redesign
74,SC004,Multi-Route Logistics and Chokepoint Redesign,1,7.35622,Multi-Route Logistics and Chokepoint Redesign
74,SC006,Fair Supplier Finance and Labor Continuity Program,2,7.16661,Multi-Route Logistics and Chokepoint Redesign
74,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,3,7.0682,Multi-Route Logistics and Chokepoint Redesign
74,SC001,Supplier Diversification and Qualification Program,4,7.05239,Multi-Route Logistics and Chokepoint Redesign
74,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,5,6.63249,Multi-Route Logistics and Chokepoint Redesign
74,SC002,Regional Buffer Inventory for Critical Goods,6,6.48505,Multi-Route Logistics and Chokepoint Redesign
75,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.29909,Climate-Adjusted Infrastructure and Port Resilience Plan
75,SC001,Supplier Diversification and Qualification Program,2,7.18429,Climate-Adjusted Infrastructure and Port Resilience Plan
75,SC004,Multi-Route Logistics and Chokepoint Redesign,3,7.11906,Climate-Adjusted Infrastructure and Port Resilience Plan
75,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,4,7.02969,Climate-Adjusted Infrastructure and Port Resilience Plan
75,SC006,Fair Supplier Finance and Labor Continuity Program,5,6.88681,Climate-Adjusted Infrastructure and Port Resilience Plan
75,SC002,Regional Buffer Inventory for Critical Goods,6,6.66975,Climate-Adjusted Infrastructure and Port Resilience Plan
76,SC006,Fair Supplier Finance and Labor Continuity Program,1,7.39717,Fair Supplier Finance and Labor Continuity Program
76,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,2,7.39404,Fair Supplier Finance and Labor Continuity Program
76,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,3,7.31201,Fair Supplier Finance and Labor Continuity Program
76,SC004,Multi-Route Logistics and Chokepoint Redesign,4,6.85235,Fair Supplier Finance and Labor Continuity Program
76,SC002,Regional Buffer Inventory for Critical Goods,5,6.84391,Fair Supplier Finance and Labor Continuity Program
76,SC001,Supplier Diversification and Qualification Program,6,6.82315,Fair Supplier Finance and Labor Continuity Program
77,SC001,Supplier Diversification and Qualification Program,1,7.30893,Supplier Diversification and Qualification Program
77,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,2,7.30165,Supplier Diversification and Qualification Program
77,SC006,Fair Supplier Finance and Labor Continuity Program,3,7.0784,Supplier Diversification and Qualification Program
77,SC002,Regional Buffer Inventory for Critical Goods,4,6.93956,Supplier Diversification and Qualification Program
77,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,5,6.85026,Supplier Diversification and Qualification Program
77,SC004,Multi-Route Logistics and Chokepoint Redesign,6,6.78265,Supplier Diversification and Qualification Program
78,SC004,Multi-Route Logistics and Chokepoint Redesign,1,7.27979,Multi-Route Logistics and Chokepoint Redesign
78,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,2,7.24945,Multi-Route Logistics and Chokepoint Redesign
78,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,3,7.16707,Multi-Route Logistics and Chokepoint Redesign
78,SC006,Fair Supplier Finance and Labor Continuity Program,4,7.10915,Multi-Route Logistics and Chokepoint Redesign
78,SC002,Regional Buffer Inventory for Critical Goods,5,7.02727,Multi-Route Logistics and Chokepoint Redesign
78,SC001,Supplier Diversification and Qualification Program,6,6.66576,Multi-Route Logistics and Chokepoint Redesign
79,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.4178,Climate-Adjusted Infrastructure and Port Resilience Plan
79,SC004,Multi-Route Logistics and Chokepoint Redesign,2,7.36595,Climate-Adjusted Infrastructure and Port Resilience Plan
79,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,3,7.1405,Climate-Adjusted Infrastructure and Port Resilience Plan
79,SC002,Regional Buffer Inventory for Critical Goods,4,7.02282,Climate-Adjusted Infrastructure and Port Resilience Plan
79,SC001,Supplier Diversification and Qualification Program,5,6.83413,Climate-Adjusted Infrastructure and Port Resilience Plan
79,SC006,Fair Supplier Finance and Labor Continuity Program,6,6.81089,Climate-Adjusted Infrastructure and Port Resilience Plan
80,SC001,Supplier Diversification and Qualification Program,1,7.55406,Supplier Diversification and Qualification Program
80,SC004,Multi-Route Logistics and Chokepoint Redesign,2,7.40418,Supplier Diversification and Qualification Program
80,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,3,7.20846,Supplier Diversification and Qualification Program
80,SC006,Fair Supplier Finance and Labor Continuity Program,4,7.11917,Supplier Diversification and Qualification Program
80,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,5,6.60775,Supplier Diversification and Qualification Program
80,SC002,Regional Buffer Inventory for Critical Goods,6,6.55927,Supplier Diversification and Qualification Program
81,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.24256,Climate-Adjusted Infrastructure and Port Resilience Plan
81,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,2,7.22239,Climate-Adjusted Infrastructure and Port Resilience Plan
81,SC001,Supplier Diversification and Qualification Program,3,7.19891,Climate-Adjusted Infrastructure and Port Resilience Plan
81,SC004,Multi-Route Logistics and Chokepoint Redesign,4,7.00091,Climate-Adjusted Infrastructure and Port Resilience Plan
81,SC006,Fair Supplier Finance and Labor Continuity Program,5,6.88513,Climate-Adjusted Infrastructure and Port Resilience Plan
81,SC002,Regional Buffer Inventory for Critical Goods,6,6.8321,Climate-Adjusted Infrastructure and Port Resilience Plan
82,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.34944,Climate-Adjusted Infrastructure and Port Resilience Plan
82,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,2,7.12491,Climate-Adjusted Infrastructure and Port Resilience Plan
82,SC006,Fair Supplier Finance and Labor Continuity Program,3,7.02155,Climate-Adjusted Infrastructure and Port Resilience Plan
82,SC002,Regional Buffer Inventory for Critical Goods,4,6.9512,Climate-Adjusted Infrastructure and Port Resilience Plan
82,SC004,Multi-Route Logistics and Chokepoint Redesign,5,6.9449,Climate-Adjusted Infrastructure and Port Resilience Plan
82,SC001,Supplier Diversification and Qualification Program,6,6.6734,Climate-Adjusted Infrastructure and Port Resilience Plan
83,SC001,Supplier Diversification and Qualification Program,1,7.07707,Supplier Diversification and Qualification Program
83,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,2,7.07263,Supplier Diversification and Qualification Program
83,SC006,Fair Supplier Finance and Labor Continuity Program,3,7.0437,Supplier Diversification and Qualification Program
83,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,4,7.02146,Supplier Diversification and Qualification Program
83,SC004,Multi-Route Logistics and Chokepoint Redesign,5,7.01351,Supplier Diversification and Qualification Program
83,SC002,Regional Buffer Inventory for Critical Goods,6,6.81988,Supplier Diversification and Qualification Program
84,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.56464,Climate-Adjusted Infrastructure and Port Resilience Plan
84,SC004,Multi-Route Logistics and Chokepoint Redesign,2,7.12973,Climate-Adjusted Infrastructure and Port Resilience Plan
84,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,3,6.75997,Climate-Adjusted Infrastructure and Port Resilience Plan
84,SC002,Regional Buffer Inventory for Critical Goods,4,6.75598,Climate-Adjusted Infrastructure and Port Resilience Plan
84,SC001,Supplier Diversification and Qualification Program,5,6.68466,Climate-Adjusted Infrastructure and Port Resilience Plan
84,SC006,Fair Supplier Finance and Labor Continuity Program,6,6.53576,Climate-Adjusted Infrastructure and Port Resilience Plan
85,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.35304,Climate-Adjusted Infrastructure and Port Resilience Plan
85,SC004,Multi-Route Logistics and Chokepoint Redesign,2,7.35275,Climate-Adjusted Infrastructure and Port Resilience Plan
85,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,3,6.91921,Climate-Adjusted Infrastructure and Port Resilience Plan
85,SC002,Regional Buffer Inventory for Critical Goods,4,6.90044,Climate-Adjusted Infrastructure and Port Resilience Plan
85,SC006,Fair Supplier Finance and Labor Continuity Program,5,6.85958,Climate-Adjusted Infrastructure and Port Resilience Plan
85,SC001,Supplier Diversification and Qualification Program,6,6.64738,Climate-Adjusted Infrastructure and Port Resilience Plan
86,SC001,Supplier Diversification and Qualification Program,1,7.24745,Supplier Diversification and Qualification Program
86,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,2,7.089,Supplier Diversification and Qualification Program
86,SC006,Fair Supplier Finance and Labor Continuity Program,3,7.01412,Supplier Diversification and Qualification Program
86,SC004,Multi-Route Logistics and Chokepoint Redesign,4,6.94181,Supplier Diversification and Qualification Program
86,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,5,6.79773,Supplier Diversification and Qualification Program
86,SC002,Regional Buffer Inventory for Critical Goods,6,6.57579,Supplier Diversification and Qualification Program
87,SC004,Multi-Route Logistics and Chokepoint Redesign,1,7.36294,Multi-Route Logistics and Chokepoint Redesign
87,SC001,Supplier Diversification and Qualification Program,2,7.1332,Multi-Route Logistics and Chokepoint Redesign
87,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,3,7.10239,Multi-Route Logistics and Chokepoint Redesign
87,SC006,Fair Supplier Finance and Labor Continuity Program,4,7.01298,Multi-Route Logistics and Chokepoint Redesign
87,SC002,Regional Buffer Inventory for Critical Goods,5,6.88996,Multi-Route Logistics and Chokepoint Redesign
87,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,6,6.80486,Multi-Route Logistics and Chokepoint Redesign
88,SC004,Multi-Route Logistics and Chokepoint Redesign,1,7.44074,Multi-Route Logistics and Chokepoint Redesign
88,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,2,7.19001,Multi-Route Logistics and Chokepoint Redesign
88,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,3,7.06065,Multi-Route Logistics and Chokepoint Redesign
88,SC006,Fair Supplier Finance and Labor Continuity Program,4,7.01185,Multi-Route Logistics and Chokepoint Redesign
88,SC001,Supplier Diversification and Qualification Program,5,6.89495,Multi-Route Logistics and Chokepoint Redesign
88,SC002,Regional Buffer Inventory for Critical Goods,6,6.68854,Multi-Route Logistics and Chokepoint Redesign
89,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.60167,Climate-Adjusted Infrastructure and Port Resilience Plan
89,SC004,Multi-Route Logistics and Chokepoint Redesign,2,7.4437,Climate-Adjusted Infrastructure and Port Resilience Plan
89,SC006,Fair Supplier Finance and Labor Continuity Program,3,7.02457,Climate-Adjusted Infrastructure and Port Resilience Plan
89,SC001,Supplier Diversification and Qualification Program,4,6.92971,Climate-Adjusted Infrastructure and Port Resilience Plan
89,SC002,Regional Buffer Inventory for Critical Goods,5,6.91203,Climate-Adjusted Infrastructure and Port Resilience Plan
89,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,6,6.62371,Climate-Adjusted Infrastructure and Port Resilience Plan
90,SC004,Multi-Route Logistics and Chokepoint Redesign,1,7.61072,Multi-Route Logistics and Chokepoint Redesign
90,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,2,7.37145,Multi-Route Logistics and Chokepoint Redesign
90,SC006,Fair Supplier Finance and Labor Continuity Program,3,7.18502,Multi-Route Logistics and Chokepoint Redesign
90,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,4,7.04627,Multi-Route Logistics and Chokepoint Redesign
90,SC001,Supplier Diversification and Qualification Program,5,6.89625,Multi-Route Logistics and Chokepoint Redesign
90,SC002,Regional Buffer Inventory for Critical Goods,6,6.59148,Multi-Route Logistics and Chokepoint Redesign
91,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.22037,Climate-Adjusted Infrastructure and Port Resilience Plan
91,SC004,Multi-Route Logistics and Chokepoint Redesign,2,6.98586,Climate-Adjusted Infrastructure and Port Resilience Plan
91,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,3,6.81433,Climate-Adjusted Infrastructure and Port Resilience Plan
91,SC001,Supplier Diversification and Qualification Program,4,6.72586,Climate-Adjusted Infrastructure and Port Resilience Plan
91,SC006,Fair Supplier Finance and Labor Continuity Program,5,6.70929,Climate-Adjusted Infrastructure and Port Resilience Plan
91,SC002,Regional Buffer Inventory for Critical Goods,6,6.66292,Climate-Adjusted Infrastructure and Port Resilience Plan
92,SC004,Multi-Route Logistics and Chokepoint Redesign,1,7.6034,Multi-Route Logistics and Chokepoint Redesign
92,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,2,7.02035,Multi-Route Logistics and Chokepoint Redesign
92,SC001,Supplier Diversification and Qualification Program,3,6.99421,Multi-Route Logistics and Chokepoint Redesign
92,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,4,6.94298,Multi-Route Logistics and Chokepoint Redesign
92,SC006,Fair Supplier Finance and Labor Continuity Program,5,6.73579,Multi-Route Logistics and Chokepoint Redesign
92,SC002,Regional Buffer Inventory for Critical Goods,6,6.65577,Multi-Route Logistics and Chokepoint Redesign
93,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.23727,Climate-Adjusted Infrastructure and Port Resilience Plan
93,SC001,Supplier Diversification and Qualification Program,2,7.18082,Climate-Adjusted Infrastructure and Port Resilience Plan
93,SC004,Multi-Route Logistics and Chokepoint Redesign,3,6.78838,Climate-Adjusted Infrastructure and Port Resilience Plan
93,SC006,Fair Supplier Finance and Labor Continuity Program,4,6.7618,Climate-Adjusted Infrastructure and Port Resilience Plan
93,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,5,6.75798,Climate-Adjusted Infrastructure and Port Resilience Plan
93,SC002,Regional Buffer Inventory for Critical Goods,6,6.48546,Climate-Adjusted Infrastructure and Port Resilience Plan
94,SC004,Multi-Route Logistics and Chokepoint Redesign,1,7.32049,Multi-Route Logistics and Chokepoint Redesign
94,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,2,7.0829,Multi-Route Logistics and Chokepoint Redesign
94,SC001,Supplier Diversification and Qualification Program,3,7.03748,Multi-Route Logistics and Chokepoint Redesign
94,SC006,Fair Supplier Finance and Labor Continuity Program,4,7.01142,Multi-Route Logistics and Chokepoint Redesign
94,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,5,6.67963,Multi-Route Logistics and Chokepoint Redesign
94,SC002,Regional Buffer Inventory for Critical Goods,6,6.52296,Multi-Route Logistics and Chokepoint Redesign
95,SC006,Fair Supplier Finance and Labor Continuity Program,1,7.27952,Fair Supplier Finance and Labor Continuity Program
95,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,2,7.04776,Fair Supplier Finance and Labor Continuity Program
95,SC004,Multi-Route Logistics and Chokepoint Redesign,3,6.89336,Fair Supplier Finance and Labor Continuity Program
95,SC001,Supplier Diversification and Qualification Program,4,6.84216,Fair Supplier Finance and Labor Continuity Program
95,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,5,6.80088,Fair Supplier Finance and Labor Continuity Program
95,SC002,Regional Buffer Inventory for Critical Goods,6,6.61852,Fair Supplier Finance and Labor Continuity Program
96,SC006,Fair Supplier Finance and Labor Continuity Program,1,7.28298,Fair Supplier Finance and Labor Continuity Program
96,SC004,Multi-Route Logistics and Chokepoint Redesign,2,7.26736,Fair Supplier Finance and Labor Continuity Program
96,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,3,7.19104,Fair Supplier Finance and Labor Continuity Program
96,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,4,7.13899,Fair Supplier Finance and Labor Continuity Program
96,SC001,Supplier Diversification and Qualification Program,5,6.92259,Fair Supplier Finance and Labor Continuity Program
96,SC002,Regional Buffer Inventory for Critical Goods,6,6.47535,Fair Supplier Finance and Labor Continuity Program
97,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.30893,Climate-Adjusted Infrastructure and Port Resilience Plan
97,SC001,Supplier Diversification and Qualification Program,2,7.13154,Climate-Adjusted Infrastructure and Port Resilience Plan
97,SC004,Multi-Route Logistics and Chokepoint Redesign,3,7.02879,Climate-Adjusted Infrastructure and Port Resilience Plan
97,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,4,6.98651,Climate-Adjusted Infrastructure and Port Resilience Plan
97,SC002,Regional Buffer Inventory for Critical Goods,5,6.97881,Climate-Adjusted Infrastructure and Port Resilience Plan
97,SC006,Fair Supplier Finance and Labor Continuity Program,6,6.90845,Climate-Adjusted Infrastructure and Port Resilience Plan
98,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,1,7.3471,Digital End-to-End Visibility and Cyber Resilience Platform
98,SC004,Multi-Route Logistics and Chokepoint Redesign,2,7.19594,Digital End-to-End Visibility and Cyber Resilience Platform
98,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,3,7.03723,Digital End-to-End Visibility and Cyber Resilience Platform
98,SC006,Fair Supplier Finance and Labor Continuity Program,4,6.92584,Digital End-to-End Visibility and Cyber Resilience Platform
98,SC001,Supplier Diversification and Qualification Program,5,6.79641,Digital End-to-End Visibility and Cyber Resilience Platform
98,SC002,Regional Buffer Inventory for Critical Goods,6,6.58647,Digital End-to-End Visibility and Cyber Resilience Platform
99,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.37881,Climate-Adjusted Infrastructure and Port Resilience Plan
99,SC004,Multi-Route Logistics and Chokepoint Redesign,2,7.24083,Climate-Adjusted Infrastructure and Port Resilience Plan
99,SC006,Fair Supplier Finance and Labor Continuity Program,3,7.1811,Climate-Adjusted Infrastructure and Port Resilience Plan
99,SC001,Supplier Diversification and Qualification Program,4,7.05056,Climate-Adjusted Infrastructure and Port Resilience Plan
99,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,5,6.97246,Climate-Adjusted Infrastructure and Port Resilience Plan
99,SC002,Regional Buffer Inventory for Critical Goods,6,6.61792,Climate-Adjusted Infrastructure and Port Resilience Plan
100,SC004,Multi-Route Logistics and Chokepoint Redesign,1,7.65439,Multi-Route Logistics and Chokepoint Redesign
100,SC001,Supplier Diversification and Qualification Program,2,7.25458,Multi-Route Logistics and Chokepoint Redesign
100,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,3,7.19218,Multi-Route Logistics and Chokepoint Redesign
100,SC006,Fair Supplier Finance and Labor Continuity Program,4,7.07999,Multi-Route Logistics and Chokepoint Redesign
100,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,5,6.92986,Multi-Route Logistics and Chokepoint Redesign
100,SC002,Regional Buffer Inventory for Critical Goods,6,6.82388,Multi-Route Logistics and Chokepoint Redesign
101,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,1,7.32831,Digital End-to-End Visibility and Cyber Resilience Platform
101,SC004,Multi-Route Logistics and Chokepoint Redesign,2,7.25008,Digital End-to-End Visibility and Cyber Resilience Platform
