simulation_id,strategy_id,strategy,rank,adjusted_ethical_resilience_value
867,ERS007,Equity-Weighted Recovery Fund,6,7.26912
867,ERS001,Targeted Flood Defense Upgrade,7,5.72412
867,ERS004,Critical Infrastructure Hardening Only,8,5.68455
868,ERS005,Public Housing Climate Retrofit Program,1,7.69418
868,ERS002,Managed Retreat with Social Protection,2,7.62099
868,ERS006,Watershed Restoration with Indigenous Co-Governance,3,7.49801
868,ERS003,Community-Led Heat Resilience Network,4,7.22957
868,ERS008,Data Rights and Anti-Surveillance Resilience Program,5,7.22863
868,ERS007,Equity-Weighted Recovery Fund,6,6.99213
868,ERS001,Targeted Flood Defense Upgrade,7,6.37235
868,ERS004,Critical Infrastructure Hardening Only,8,4.75988
869,ERS003,Community-Led Heat Resilience Network,1,8.08916
869,ERS005,Public Housing Climate Retrofit Program,2,8.01946
869,ERS002,Managed Retreat with Social Protection,3,7.70747
869,ERS008,Data Rights and Anti-Surveillance Resilience Program,4,7.69181
869,ERS006,Watershed Restoration with Indigenous Co-Governance,5,7.54453
869,ERS007,Equity-Weighted Recovery Fund,6,7.09552
869,ERS001,Targeted Flood Defense Upgrade,7,5.76954
869,ERS004,Critical Infrastructure Hardening Only,8,5.11365
870,ERS002,Managed Retreat with Social Protection,1,8.10384
870,ERS005,Public Housing Climate Retrofit Program,2,7.56052
870,ERS008,Data Rights and Anti-Surveillance Resilience Program,3,7.5517
870,ERS006,Watershed Restoration with Indigenous Co-Governance,4,7.49963
870,ERS003,Community-Led Heat Resilience Network,5,7.38882
870,ERS007,Equity-Weighted Recovery Fund,6,7.31079
870,ERS001,Targeted Flood Defense Upgrade,7,5.94342
870,ERS004,Critical Infrastructure Hardening Only,8,5.31973
871,ERS006,Watershed Restoration with Indigenous Co-Governance,1,8.13313
871,ERS005,Public Housing Climate Retrofit Program,2,7.84996
871,ERS002,Managed Retreat with Social Protection,3,7.78913
871,ERS008,Data Rights and Anti-Surveillance Resilience Program,4,7.36955
871,ERS003,Community-Led Heat Resilience Network,5,7.10396
871,ERS007,Equity-Weighted Recovery Fund,6,6.98127
871,ERS001,Targeted Flood Defense Upgrade,7,5.65936
871,ERS004,Critical Infrastructure Hardening Only,8,5.31646
872,ERS006,Watershed Restoration with Indigenous Co-Governance,1,8.10911
872,ERS005,Public Housing Climate Retrofit Program,2,8.10079
872,ERS007,Equity-Weighted Recovery Fund,3,7.67468
872,ERS003,Community-Led Heat Resilience Network,4,7.5044
872,ERS002,Managed Retreat with Social Protection,5,7.3668
872,ERS008,Data Rights and Anti-Surveillance Resilience Program,6,6.9401
872,ERS001,Targeted Flood Defense Upgrade,7,5.87315
872,ERS004,Critical Infrastructure Hardening Only,8,5.58753
873,ERS006,Watershed Restoration with Indigenous Co-Governance,1,7.67912
873,ERS005,Public Housing Climate Retrofit Program,2,7.67207
873,ERS003,Community-Led Heat Resilience Network,3,7.46131
873,ERS008,Data Rights and Anti-Surveillance Resilience Program,4,7.34468
873,ERS007,Equity-Weighted Recovery Fund,5,7.30255
873,ERS002,Managed Retreat with Social Protection,6,7.15048
873,ERS001,Targeted Flood Defense Upgrade,7,6.19372
873,ERS004,Critical Infrastructure Hardening Only,8,5.61156
874,ERS005,Public Housing Climate Retrofit Program,1,7.73167
874,ERS007,Equity-Weighted Recovery Fund,2,7.56181
874,ERS006,Watershed Restoration with Indigenous Co-Governance,3,7.56175
874,ERS008,Data Rights and Anti-Surveillance Resilience Program,4,7.54724
874,ERS003,Community-Led Heat Resilience Network,5,7.52233
874,ERS002,Managed Retreat with Social Protection,6,7.46499
874,ERS001,Targeted Flood Defense Upgrade,7,5.88639
874,ERS004,Critical Infrastructure Hardening Only,8,5.3434
875,ERS005,Public Housing Climate Retrofit Program,1,7.75674
875,ERS008,Data Rights and Anti-Surveillance Resilience Program,2,7.64465
875,ERS006,Watershed Restoration with Indigenous Co-Governance,3,7.39436
875,ERS007,Equity-Weighted Recovery Fund,4,7.39427
875,ERS002,Managed Retreat with Social Protection,5,7.38181
875,ERS003,Community-Led Heat Resilience Network,6,7.35965
875,ERS001,Targeted Flood Defense Upgrade,7,6.01547
875,ERS004,Critical Infrastructure Hardening Only,8,5.2798
876,ERS005,Public Housing Climate Retrofit Program,1,8.17529
876,ERS006,Watershed Restoration with Indigenous Co-Governance,2,7.77937
876,ERS007,Equity-Weighted Recovery Fund,3,7.60513
876,ERS002,Managed Retreat with Social Protection,4,7.55029
876,ERS008,Data Rights and Anti-Surveillance Resilience Program,5,7.45922
876,ERS003,Community-Led Heat Resilience Network,6,6.99956
876,ERS001,Targeted Flood Defense Upgrade,7,5.80004
876,ERS004,Critical Infrastructure Hardening Only,8,5.07785
877,ERS002,Managed Retreat with Social Protection,1,8.0464
877,ERS006,Watershed Restoration with Indigenous Co-Governance,2,8.03895
877,ERS003,Community-Led Heat Resilience Network,3,7.96376
877,ERS008,Data Rights and Anti-Surveillance Resilience Program,4,7.83971
877,ERS007,Equity-Weighted Recovery Fund,5,7.7045
877,ERS005,Public Housing Climate Retrofit Program,6,7.60216
877,ERS001,Targeted Flood Defense Upgrade,7,6.40768
877,ERS004,Critical Infrastructure Hardening Only,8,4.93239
878,ERS003,Community-Led Heat Resilience Network,1,7.71818
878,ERS005,Public Housing Climate Retrofit Program,2,7.67178
878,ERS006,Watershed Restoration with Indigenous Co-Governance,3,7.62566
878,ERS008,Data Rights and Anti-Surveillance Resilience Program,4,7.43295
878,ERS007,Equity-Weighted Recovery Fund,5,7.0451
878,ERS002,Managed Retreat with Social Protection,6,6.46935
878,ERS001,Targeted Flood Defense Upgrade,7,5.79151
878,ERS004,Critical Infrastructure Hardening Only,8,5.01879
879,ERS005,Public Housing Climate Retrofit Program,1,8.12257
879,ERS003,Community-Led Heat Resilience Network,2,7.9724
879,ERS006,Watershed Restoration with Indigenous Co-Governance,3,7.75124
879,ERS002,Managed Retreat with Social Protection,4,7.49441
879,ERS008,Data Rights and Anti-Surveillance Resilience Program,5,7.32228
879,ERS007,Equity-Weighted Recovery Fund,6,7.14845
879,ERS001,Targeted Flood Defense Upgrade,7,6.32769
879,ERS004,Critical Infrastructure Hardening Only,8,5.41805
880,ERS003,Community-Led Heat Resilience Network,1,7.84394
880,ERS006,Watershed Restoration with Indigenous Co-Governance,2,7.84027
880,ERS007,Equity-Weighted Recovery Fund,3,7.63037
880,ERS005,Public Housing Climate Retrofit Program,4,7.58348
880,ERS002,Managed Retreat with Social Protection,5,7.15713
880,ERS008,Data Rights and Anti-Surveillance Resilience Program,6,6.99897
880,ERS001,Targeted Flood Defense Upgrade,7,6.05239
880,ERS004,Critical Infrastructure Hardening Only,8,5.15848
881,ERS005,Public Housing Climate Retrofit Program,1,7.83921
881,ERS003,Community-Led Heat Resilience Network,2,7.76856
881,ERS006,Watershed Restoration with Indigenous Co-Governance,3,7.50978
881,ERS008,Data Rights and Anti-Surveillance Resilience Program,4,7.27078
881,ERS007,Equity-Weighted Recovery Fund,5,7.22699
881,ERS002,Managed Retreat with Social Protection,6,7.04027
881,ERS001,Targeted Flood Defense Upgrade,7,5.76131
881,ERS004,Critical Infrastructure Hardening Only,8,5.56506
882,ERS008,Data Rights and Anti-Surveillance Resilience Program,1,7.95455
882,ERS006,Watershed Restoration with Indigenous Co-Governance,2,7.92001
882,ERS007,Equity-Weighted Recovery Fund,3,7.81174
882,ERS005,Public Housing Climate Retrofit Program,4,7.5993
882,ERS003,Community-Led Heat Resilience Network,5,7.54174
882,ERS002,Managed Retreat with Social Protection,6,7.17032
882,ERS001,Targeted Flood Defense Upgrade,7,5.97228
882,ERS004,Critical Infrastructure Hardening Only,8,5.17016
883,ERS003,Community-Led Heat Resilience Network,1,7.95356
883,ERS007,Equity-Weighted Recovery Fund,2,7.76229
883,ERS006,Watershed Restoration with Indigenous Co-Governance,3,7.73368
883,ERS005,Public Housing Climate Retrofit Program,4,7.62881
883,ERS008,Data Rights and Anti-Surveillance Resilience Program,5,7.42148
883,ERS002,Managed Retreat with Social Protection,6,7.01608
883,ERS001,Targeted Flood Defense Upgrade,7,6.28704
883,ERS004,Critical Infrastructure Hardening Only,8,4.96396
884,ERS002,Managed Retreat with Social Protection,1,8.05062
884,ERS005,Public Housing Climate Retrofit Program,2,7.86989
884,ERS007,Equity-Weighted Recovery Fund,3,7.62302
884,ERS003,Community-Led Heat Resilience Network,4,7.59007
884,ERS006,Watershed Restoration with Indigenous Co-Governance,5,7.32278
884,ERS008,Data Rights and Anti-Surveillance Resilience Program,6,7.23434
884,ERS001,Targeted Flood Defense Upgrade,7,6.16335
884,ERS004,Critical Infrastructure Hardening Only,8,4.60799
885,ERS006,Watershed Restoration with Indigenous Co-Governance,1,7.90257
885,ERS005,Public Housing Climate Retrofit Program,2,7.35537
885,ERS008,Data Rights and Anti-Surveillance Resilience Program,3,7.33417
885,ERS003,Community-Led Heat Resilience Network,4,7.31272
885,ERS002,Managed Retreat with Social Protection,5,7.13582
885,ERS007,Equity-Weighted Recovery Fund,6,7.10191
885,ERS001,Targeted Flood Defense Upgrade,7,6.14555
885,ERS004,Critical Infrastructure Hardening Only,8,5.41747
886,ERS005,Public Housing Climate Retrofit Program,1,7.8857
886,ERS007,Equity-Weighted Recovery Fund,2,7.84336
886,ERS006,Watershed Restoration with Indigenous Co-Governance,3,7.76706
886,ERS003,Community-Led Heat Resilience Network,4,7.6311
886,ERS002,Managed Retreat with Social Protection,5,7.43008
886,ERS008,Data Rights and Anti-Surveillance Resilience Program,6,7.3216
886,ERS001,Targeted Flood Defense Upgrade,7,6.20897
886,ERS004,Critical Infrastructure Hardening Only,8,4.98935
887,ERS007,Equity-Weighted Recovery Fund,1,7.83522
887,ERS003,Community-Led Heat Resilience Network,2,7.71027
887,ERS006,Watershed Restoration with Indigenous Co-Governance,3,7.61524
887,ERS005,Public Housing Climate Retrofit Program,4,7.59115
887,ERS008,Data Rights and Anti-Surveillance Resilience Program,5,7.16132
887,ERS002,Managed Retreat with Social Protection,6,7.12631
887,ERS001,Targeted Flood Defense Upgrade,7,5.90354
887,ERS004,Critical Infrastructure Hardening Only,8,5.20212
888,ERS006,Watershed Restoration with Indigenous Co-Governance,1,8.17888
888,ERS005,Public Housing Climate Retrofit Program,2,7.62093
888,ERS007,Equity-Weighted Recovery Fund,3,7.50433
888,ERS003,Community-Led Heat Resilience Network,4,7.44659
888,ERS008,Data Rights and Anti-Surveillance Resilience Program,5,7.36514
888,ERS002,Managed Retreat with Social Protection,6,7.16476
888,ERS001,Targeted Flood Defense Upgrade,7,5.53982
888,ERS004,Critical Infrastructure Hardening Only,8,4.75103
889,ERS006,Watershed Restoration with Indigenous Co-Governance,1,7.96707
889,ERS005,Public Housing Climate Retrofit Program,2,7.7804
889,ERS003,Community-Led Heat Resilience Network,3,7.74525
889,ERS007,Equity-Weighted Recovery Fund,4,7.4504
889,ERS008,Data Rights and Anti-Surveillance Resilience Program,5,7.25031
889,ERS002,Managed Retreat with Social Protection,6,7.02893
889,ERS001,Targeted Flood Defense Upgrade,7,6.52433
889,ERS004,Critical Infrastructure Hardening Only,8,5.03076
890,ERS006,Watershed Restoration with Indigenous Co-Governance,1,8.09981
890,ERS005,Public Housing Climate Retrofit Program,2,7.89788
890,ERS007,Equity-Weighted Recovery Fund,3,7.68864
890,ERS003,Community-Led Heat Resilience Network,4,7.65209
890,ERS002,Managed Retreat with Social Protection,5,7.61081
890,ERS008,Data Rights and Anti-Surveillance Resilience Program,6,7.34756
890,ERS001,Targeted Flood Defense Upgrade,7,5.90252
890,ERS004,Critical Infrastructure Hardening Only,8,4.39251
891,ERS006,Watershed Restoration with Indigenous Co-Governance,1,7.9776
891,ERS007,Equity-Weighted Recovery Fund,2,7.8395
891,ERS008,Data Rights and Anti-Surveillance Resilience Program,3,7.64004
891,ERS005,Public Housing Climate Retrofit Program,4,7.5904
891,ERS003,Community-Led Heat Resilience Network,5,7.55801
891,ERS002,Managed Retreat with Social Protection,6,7.08738
891,ERS001,Targeted Flood Defense Upgrade,7,5.98126
891,ERS004,Critical Infrastructure Hardening Only,8,5.66569
892,ERS006,Watershed Restoration with Indigenous Co-Governance,1,7.90146
892,ERS008,Data Rights and Anti-Surveillance Resilience Program,2,7.82271
892,ERS003,Community-Led Heat Resilience Network,3,7.82012
892,ERS005,Public Housing Climate Retrofit Program,4,7.59942
892,ERS007,Equity-Weighted Recovery Fund,5,7.49195
892,ERS002,Managed Retreat with Social Protection,6,7.40528
892,ERS001,Targeted Flood Defense Upgrade,7,6.0278
892,ERS004,Critical Infrastructure Hardening Only,8,5.05584
893,ERS006,Watershed Restoration with Indigenous Co-Governance,1,7.95732
893,ERS003,Community-Led Heat Resilience Network,2,7.74179
893,ERS002,Managed Retreat with Social Protection,3,7.50514
893,ERS005,Public Housing Climate Retrofit Program,4,7.46111
893,ERS008,Data Rights and Anti-Surveillance Resilience Program,5,7.38088
893,ERS007,Equity-Weighted Recovery Fund,6,7.32978
893,ERS001,Targeted Flood Defense Upgrade,7,6.76826
893,ERS004,Critical Infrastructure Hardening Only,8,5.27623
894,ERS005,Public Housing Climate Retrofit Program,1,7.55269
894,ERS008,Data Rights and Anti-Surveillance Resilience Program,2,7.52505
894,ERS003,Community-Led Heat Resilience Network,3,7.35808
894,ERS002,Managed Retreat with Social Protection,4,7.29009
894,ERS007,Equity-Weighted Recovery Fund,5,7.27832
894,ERS006,Watershed Restoration with Indigenous Co-Governance,6,7.18459
894,ERS001,Targeted Flood Defense Upgrade,7,5.56567
894,ERS004,Critical Infrastructure Hardening Only,8,5.04498
895,ERS007,Equity-Weighted Recovery Fund,1,8.16285
895,ERS005,Public Housing Climate Retrofit Program,2,7.99575
895,ERS006,Watershed Restoration with Indigenous Co-Governance,3,7.70149
895,ERS003,Community-Led Heat Resilience Network,4,7.69569
895,ERS002,Managed Retreat with Social Protection,5,7.49877
895,ERS008,Data Rights and Anti-Surveillance Resilience Program,6,7.47332
895,ERS001,Targeted Flood Defense Upgrade,7,6.13275
895,ERS004,Critical Infrastructure Hardening Only,8,5.25876
896,ERS006,Watershed Restoration with Indigenous Co-Governance,1,8.14199
896,ERS003,Community-Led Heat Resilience Network,2,7.92686
896,ERS008,Data Rights and Anti-Surveillance Resilience Program,3,7.59786
896,ERS007,Equity-Weighted Recovery Fund,4,7.56217
896,ERS005,Public Housing Climate Retrofit Program,5,7.33954
896,ERS002,Managed Retreat with Social Protection,6,7.07082
896,ERS001,Targeted Flood Defense Upgrade,7,6.31754
896,ERS004,Critical Infrastructure Hardening Only,8,5.10887
897,ERS005,Public Housing Climate Retrofit Program,1,7.95116
897,ERS006,Watershed Restoration with Indigenous Co-Governance,2,7.74338
897,ERS003,Community-Led Heat Resilience Network,3,7.6741
897,ERS007,Equity-Weighted Recovery Fund,4,7.56845
897,ERS008,Data Rights and Anti-Surveillance Resilience Program,5,7.26668
897,ERS002,Managed Retreat with Social Protection,6,7.23699
897,ERS001,Targeted Flood Defense Upgrade,7,6.09392
897,ERS004,Critical Infrastructure Hardening Only,8,5.26187
898,ERS006,Watershed Restoration with Indigenous Co-Governance,1,7.83491
898,ERS005,Public Housing Climate Retrofit Program,2,7.54223
898,ERS008,Data Rights and Anti-Surveillance Resilience Program,3,7.519
898,ERS003,Community-Led Heat Resilience Network,4,7.48231
898,ERS007,Equity-Weighted Recovery Fund,5,7.47186
898,ERS002,Managed Retreat with Social Protection,6,7.40356
898,ERS001,Targeted Flood Defense Upgrade,7,6.05649
898,ERS004,Critical Infrastructure Hardening Only,8,5.11366
899,ERS005,Public Housing Climate Retrofit Program,1,7.95185
899,ERS002,Managed Retreat with Social Protection,2,7.54723
899,ERS006,Watershed Restoration with Indigenous Co-Governance,3,7.54118
899,ERS003,Community-Led Heat Resilience Network,4,7.51156
899,ERS007,Equity-Weighted Recovery Fund,5,7.46811
899,ERS008,Data Rights and Anti-Surveillance Resilience Program,6,7.4414
899,ERS001,Targeted Flood Defense Upgrade,7,5.77782
899,ERS004,Critical Infrastructure Hardening Only,8,5.56644
900,ERS006,Watershed Restoration with Indigenous Co-Governance,1,7.9555
900,ERS007,Equity-Weighted Recovery Fund,2,7.89748
900,ERS005,Public Housing Climate Retrofit Program,3,7.24294
900,ERS008,Data Rights and Anti-Surveillance Resilience Program,4,7.07529
900,ERS003,Community-Led Heat Resilience Network,5,7.052
900,ERS002,Managed Retreat with Social Protection,6,6.83582
900,ERS001,Targeted Flood Defense Upgrade,7,6.52724
900,ERS004,Critical Infrastructure Hardening Only,8,4.74608
901,ERS006,Watershed Restoration with Indigenous Co-Governance,1,8.44086
901,ERS007,Equity-Weighted Recovery Fund,2,7.97209
901,ERS005,Public Housing Climate Retrofit Program,3,7.90395
901,ERS002,Managed Retreat with Social Protection,4,7.29652
901,ERS003,Community-Led Heat Resilience Network,5,7.12298
901,ERS008,Data Rights and Anti-Surveillance Resilience Program,6,6.93385
901,ERS001,Targeted Flood Defense Upgrade,7,6.41722
901,ERS004,Critical Infrastructure Hardening Only,8,4.52961
902,ERS003,Community-Led Heat Resilience Network,1,7.93006
902,ERS002,Managed Retreat with Social Protection,2,7.55773
902,ERS005,Public Housing Climate Retrofit Program,3,7.52322
902,ERS006,Watershed Restoration with Indigenous Co-Governance,4,7.50535
902,ERS007,Equity-Weighted Recovery Fund,5,7.37745
902,ERS008,Data Rights and Anti-Surveillance Resilience Program,6,7.37201
902,ERS001,Targeted Flood Defense Upgrade,7,5.80499
902,ERS004,Critical Infrastructure Hardening Only,8,5.60441
903,ERS005,Public Housing Climate Retrofit Program,1,8.26232
903,ERS006,Watershed Restoration with Indigenous Co-Governance,2,8.26056
903,ERS008,Data Rights and Anti-Surveillance Resilience Program,3,7.87866
903,ERS002,Managed Retreat with Social Protection,4,7.62602
903,ERS007,Equity-Weighted Recovery Fund,5,7.58757
903,ERS003,Community-Led Heat Resilience Network,6,7.54827
903,ERS001,Targeted Flood Defense Upgrade,7,5.6908
903,ERS004,Critical Infrastructure Hardening Only,8,4.836
904,ERS006,Watershed Restoration with Indigenous Co-Governance,1,8.16201
904,ERS008,Data Rights and Anti-Surveillance Resilience Program,2,7.91815
904,ERS002,Managed Retreat with Social Protection,3,7.74999
904,ERS005,Public Housing Climate Retrofit Program,4,7.31713
904,ERS007,Equity-Weighted Recovery Fund,5,7.2342
904,ERS003,Community-Led Heat Resilience Network,6,7.14884
904,ERS001,Targeted Flood Defense Upgrade,7,6.77241
904,ERS004,Critical Infrastructure Hardening Only,8,4.96944
905,ERS005,Public Housing Climate Retrofit Program,1,7.69798
905,ERS006,Watershed Restoration with Indigenous Co-Governance,2,7.50117
905,ERS007,Equity-Weighted Recovery Fund,3,7.46893
905,ERS003,Community-Led Heat Resilience Network,4,7.40493
905,ERS008,Data Rights and Anti-Surveillance Resilience Program,5,7.23686
905,ERS002,Managed Retreat with Social Protection,6,6.95353
905,ERS001,Targeted Flood Defense Upgrade,7,6.10894
905,ERS004,Critical Infrastructure Hardening Only,8,5.52081
906,ERS006,Watershed Restoration with Indigenous Co-Governance,1,8.05697
906,ERS003,Community-Led Heat Resilience Network,2,8.02861
906,ERS002,Managed Retreat with Social Protection,3,7.81101
906,ERS007,Equity-Weighted Recovery Fund,4,7.69337
906,ERS005,Public Housing Climate Retrofit Program,5,7.60428
906,ERS008,Data Rights and Anti-Surveillance Resilience Program,6,7.33977
906,ERS001,Targeted Flood Defense Upgrade,7,6.1548
906,ERS004,Critical Infrastructure Hardening Only,8,5.52299
907,ERS005,Public Housing Climate Retrofit Program,1,8.09855
907,ERS007,Equity-Weighted Recovery Fund,2,7.50207
907,ERS006,Watershed Restoration with Indigenous Co-Governance,3,7.47192
907,ERS008,Data Rights and Anti-Surveillance Resilience Program,4,7.24828
907,ERS002,Managed Retreat with Social Protection,5,7.1579
907,ERS003,Community-Led Heat Resilience Network,6,7.12574
907,ERS001,Targeted Flood Defense Upgrade,7,5.52606
907,ERS004,Critical Infrastructure Hardening Only,8,5.47397
908,ERS005,Public Housing Climate Retrofit Program,1,8.01524
908,ERS007,Equity-Weighted Recovery Fund,2,7.8915
908,ERS006,Watershed Restoration with Indigenous Co-Governance,3,7.55687
908,ERS008,Data Rights and Anti-Surveillance Resilience Program,4,7.34151
908,ERS002,Managed Retreat with Social Protection,5,7.18799
908,ERS003,Community-Led Heat Resilience Network,6,7.00919
908,ERS001,Targeted Flood Defense Upgrade,7,5.71648
908,ERS004,Critical Infrastructure Hardening Only,8,4.96808
909,ERS005,Public Housing Climate Retrofit Program,1,8.11112
909,ERS003,Community-Led Heat Resilience Network,2,7.76778
909,ERS006,Watershed Restoration with Indigenous Co-Governance,3,7.61475
909,ERS008,Data Rights and Anti-Surveillance Resilience Program,4,7.5083
909,ERS007,Equity-Weighted Recovery Fund,5,7.31625
909,ERS002,Managed Retreat with Social Protection,6,7.28062
909,ERS001,Targeted Flood Defense Upgrade,7,6.37818
909,ERS004,Critical Infrastructure Hardening Only,8,4.6043
910,ERS005,Public Housing Climate Retrofit Program,1,7.80731
910,ERS006,Watershed Restoration with Indigenous Co-Governance,2,7.67899
910,ERS008,Data Rights and Anti-Surveillance Resilience Program,3,7.65762
910,ERS007,Equity-Weighted Recovery Fund,4,7.49785
910,ERS002,Managed Retreat with Social Protection,5,7.41712
910,ERS003,Community-Led Heat Resilience Network,6,6.86847
910,ERS001,Targeted Flood Defense Upgrade,7,5.73395
910,ERS004,Critical Infrastructure Hardening Only,8,4.99442
911,ERS007,Equity-Weighted Recovery Fund,1,7.81181
911,ERS006,Watershed Restoration with Indigenous Co-Governance,2,7.76774
911,ERS003,Community-Led Heat Resilience Network,3,7.72627
911,ERS005,Public Housing Climate Retrofit Program,4,7.60781
911,ERS002,Managed Retreat with Social Protection,5,7.41265
911,ERS008,Data Rights and Anti-Surveillance Resilience Program,6,6.85898
911,ERS001,Targeted Flood Defense Upgrade,7,5.75112
911,ERS004,Critical Infrastructure Hardening Only,8,5.3886
912,ERS007,Equity-Weighted Recovery Fund,1,8.03431
912,ERS003,Community-Led Heat Resilience Network,2,7.94668
912,ERS005,Public Housing Climate Retrofit Program,3,7.80389
912,ERS006,Watershed Restoration with Indigenous Co-Governance,4,7.78758
912,ERS002,Managed Retreat with Social Protection,5,7.37849
912,ERS008,Data Rights and Anti-Surveillance Resilience Program,6,7.19422
912,ERS001,Targeted Flood Defense Upgrade,7,6.73283
912,ERS004,Critical Infrastructure Hardening Only,8,4.76853
913,ERS002,Managed Retreat with Social Protection,1,8.12068
913,ERS007,Equity-Weighted Recovery Fund,2,7.82935
913,ERS006,Watershed Restoration with Indigenous Co-Governance,3,7.64356
913,ERS008,Data Rights and Anti-Surveillance Resilience Program,4,7.42808
913,ERS005,Public Housing Climate Retrofit Program,5,7.34882
913,ERS003,Community-Led Heat Resilience Network,6,7.19331
913,ERS001,Targeted Flood Defense Upgrade,7,6.34163
913,ERS004,Critical Infrastructure Hardening Only,8,5.42373
914,ERS008,Data Rights and Anti-Surveillance Resilience Program,1,7.80054
914,ERS006,Watershed Restoration with Indigenous Co-Governance,2,7.7097
914,ERS003,Community-Led Heat Resilience Network,3,7.46119
914,ERS002,Managed Retreat with Social Protection,4,7.45812
914,ERS007,Equity-Weighted Recovery Fund,5,7.25667
914,ERS005,Public Housing Climate Retrofit Program,6,6.79387
914,ERS001,Targeted Flood Defense Upgrade,7,5.97865
914,ERS004,Critical Infrastructure Hardening Only,8,5.29852
915,ERS006,Watershed Restoration with Indigenous Co-Governance,1,7.87676
915,ERS007,Equity-Weighted Recovery Fund,2,7.82954
915,ERS003,Community-Led Heat Resilience Network,3,7.51412
915,ERS002,Managed Retreat with Social Protection,4,7.44066
915,ERS008,Data Rights and Anti-Surveillance Resilience Program,5,7.41318
915,ERS005,Public Housing Climate Retrofit Program,6,7.10324
915,ERS001,Targeted Flood Defense Upgrade,7,5.61343
915,ERS004,Critical Infrastructure Hardening Only,8,5.03798
916,ERS007,Equity-Weighted Recovery Fund,1,7.83656
916,ERS002,Managed Retreat with Social Protection,2,7.7888
916,ERS006,Watershed Restoration with Indigenous Co-Governance,3,7.576
916,ERS005,Public Housing Climate Retrofit Program,4,7.56214
916,ERS003,Community-Led Heat Resilience Network,5,7.47555
916,ERS008,Data Rights and Anti-Surveillance Resilience Program,6,6.79147
916,ERS001,Targeted Flood Defense Upgrade,7,6.45001
916,ERS004,Critical Infrastructure Hardening Only,8,5.10657
917,ERS007,Equity-Weighted Recovery Fund,1,7.99337
917,ERS006,Watershed Restoration with Indigenous Co-Governance,2,7.8243
917,ERS003,Community-Led Heat Resilience Network,3,7.63842
917,ERS005,Public Housing Climate Retrofit Program,4,7.58695
917,ERS008,Data Rights and Anti-Surveillance Resilience Program,5,7.45015
917,ERS002,Managed Retreat with Social Protection,6,7.293
917,ERS001,Targeted Flood Defense Upgrade,7,5.75304
917,ERS004,Critical Infrastructure Hardening Only,8,4.66366
918,ERS006,Watershed Restoration with Indigenous Co-Governance,1,8.08089
918,ERS007,Equity-Weighted Recovery Fund,2,8.04395
918,ERS008,Data Rights and Anti-Surveillance Resilience Program,3,7.90778
918,ERS002,Managed Retreat with Social Protection,4,7.25104
918,ERS005,Public Housing Climate Retrofit Program,5,7.14125
918,ERS003,Community-Led Heat Resilience Network,6,7.02904
918,ERS001,Targeted Flood Defense Upgrade,7,5.74308
918,ERS004,Critical Infrastructure Hardening Only,8,4.72819
919,ERS007,Equity-Weighted Recovery Fund,1,7.96415
919,ERS006,Watershed Restoration with Indigenous Co-Governance,2,7.94967
919,ERS008,Data Rights and Anti-Surveillance Resilience Program,3,7.88535
919,ERS005,Public Housing Climate Retrofit Program,4,7.73064
919,ERS003,Community-Led Heat Resilience Network,5,7.50783
919,ERS002,Managed Retreat with Social Protection,6,7.17706
919,ERS001,Targeted Flood Defense Upgrade,7,5.98376
919,ERS004,Critical Infrastructure Hardening Only,8,5.31082
920,ERS006,Watershed Restoration with Indigenous Co-Governance,1,8.08831
920,ERS005,Public Housing Climate Retrofit Program,2,7.41713
920,ERS002,Managed Retreat with Social Protection,3,7.41139
920,ERS008,Data Rights and Anti-Surveillance Resilience Program,4,7.37674
920,ERS007,Equity-Weighted Recovery Fund,5,7.31541
920,ERS003,Community-Led Heat Resilience Network,6,7.29206
920,ERS001,Targeted Flood Defense Upgrade,7,5.60688
920,ERS004,Critical Infrastructure Hardening Only,8,5.5674
921,ERS008,Data Rights and Anti-Surveillance Resilience Program,1,8.05462
921,ERS007,Equity-Weighted Recovery Fund,2,7.63889
921,ERS005,Public Housing Climate Retrofit Program,3,7.29574
921,ERS003,Community-Led Heat Resilience Network,4,7.28611
921,ERS006,Watershed Restoration with Indigenous Co-Governance,5,7.23891
921,ERS002,Managed Retreat with Social Protection,6,6.6374
921,ERS001,Targeted Flood Defense Upgrade,7,5.80275
921,ERS004,Critical Infrastructure Hardening Only,8,5.16276
922,ERS008,Data Rights and Anti-Surveillance Resilience Program,1,7.93958
922,ERS007,Equity-Weighted Recovery Fund,2,7.89002
922,ERS005,Public Housing Climate Retrofit Program,3,7.80154
922,ERS006,Watershed Restoration with Indigenous Co-Governance,4,7.42986
922,ERS002,Managed Retreat with Social Protection,5,7.36405
922,ERS003,Community-Led Heat Resilience Network,6,7.35594
922,ERS001,Targeted Flood Defense Upgrade,7,5.65883
922,ERS004,Critical Infrastructure Hardening Only,8,5.61895
923,ERS007,Equity-Weighted Recovery Fund,1,7.86049
923,ERS005,Public Housing Climate Retrofit Program,2,7.82405
923,ERS006,Watershed Restoration with Indigenous Co-Governance,3,7.607
923,ERS008,Data Rights and Anti-Surveillance Resilience Program,4,7.46262
923,ERS003,Community-Led Heat Resilience Network,5,7.26215
923,ERS002,Managed Retreat with Social Protection,6,7.19608
923,ERS001,Targeted Flood Defense Upgrade,7,6.23644
