simulation_id,strategy_id,strategy,rank,economic_resilience_value,winner
694,ER005,Climate Transition and Just Regional Development Plan,1,8.74969,Climate Transition and Just Regional Development Plan
694,ER003,Workforce Retraining and Mobility Initiative,2,8.63223,Climate Transition and Just Regional Development Plan
694,ER001,Industrial Diversification and Local Production Program,3,8.13863,Climate Transition and Just Regional Development Plan
694,ER004,Countercyclical Stabilization and Public Investment Framework,4,8.08513,Climate Transition and Just Regional Development Plan
694,ER006,Community Finance and Small Business Continuity Fund,5,7.85091,Climate Transition and Just Regional Development Plan
694,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.8426,Climate Transition and Just Regional Development Plan
695,ER005,Climate Transition and Just Regional Development Plan,1,8.59571,Climate Transition and Just Regional Development Plan
695,ER006,Community Finance and Small Business Continuity Fund,2,8.4975,Climate Transition and Just Regional Development Plan
695,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.36895,Climate Transition and Just Regional Development Plan
695,ER001,Industrial Diversification and Local Production Program,4,8.20609,Climate Transition and Just Regional Development Plan
695,ER003,Workforce Retraining and Mobility Initiative,5,8.14489,Climate Transition and Just Regional Development Plan
695,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.891,Climate Transition and Just Regional Development Plan
696,ER006,Community Finance and Small Business Continuity Fund,1,8.71395,Community Finance and Small Business Continuity Fund
696,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.62014,Community Finance and Small Business Continuity Fund
696,ER005,Climate Transition and Just Regional Development Plan,3,8.42334,Community Finance and Small Business Continuity Fund
696,ER003,Workforce Retraining and Mobility Initiative,4,8.33061,Community Finance and Small Business Continuity Fund
696,ER001,Industrial Diversification and Local Production Program,5,8.32221,Community Finance and Small Business Continuity Fund
696,ER002,Supply Chain Buffer and Redundancy Strategy,6,8.26618,Community Finance and Small Business Continuity Fund
697,ER006,Community Finance and Small Business Continuity Fund,1,8.61583,Community Finance and Small Business Continuity Fund
697,ER001,Industrial Diversification and Local Production Program,2,8.36322,Community Finance and Small Business Continuity Fund
697,ER005,Climate Transition and Just Regional Development Plan,3,8.23568,Community Finance and Small Business Continuity Fund
697,ER003,Workforce Retraining and Mobility Initiative,4,8.18005,Community Finance and Small Business Continuity Fund
697,ER004,Countercyclical Stabilization and Public Investment Framework,5,8.15657,Community Finance and Small Business Continuity Fund
697,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.38523,Community Finance and Small Business Continuity Fund
698,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.46077,Countercyclical Stabilization and Public Investment Framework
698,ER001,Industrial Diversification and Local Production Program,2,8.37817,Countercyclical Stabilization and Public Investment Framework
698,ER006,Community Finance and Small Business Continuity Fund,3,8.14009,Countercyclical Stabilization and Public Investment Framework
698,ER003,Workforce Retraining and Mobility Initiative,4,7.94233,Countercyclical Stabilization and Public Investment Framework
698,ER005,Climate Transition and Just Regional Development Plan,5,7.93109,Countercyclical Stabilization and Public Investment Framework
698,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.8584,Countercyclical Stabilization and Public Investment Framework
699,ER006,Community Finance and Small Business Continuity Fund,1,8.74786,Community Finance and Small Business Continuity Fund
699,ER001,Industrial Diversification and Local Production Program,2,8.5638,Community Finance and Small Business Continuity Fund
699,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.46899,Community Finance and Small Business Continuity Fund
699,ER005,Climate Transition and Just Regional Development Plan,4,8.39435,Community Finance and Small Business Continuity Fund
699,ER003,Workforce Retraining and Mobility Initiative,5,8.16529,Community Finance and Small Business Continuity Fund
699,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.79529,Community Finance and Small Business Continuity Fund
700,ER005,Climate Transition and Just Regional Development Plan,1,8.42954,Climate Transition and Just Regional Development Plan
700,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.29507,Climate Transition and Just Regional Development Plan
700,ER006,Community Finance and Small Business Continuity Fund,3,8.17626,Climate Transition and Just Regional Development Plan
700,ER003,Workforce Retraining and Mobility Initiative,4,7.90753,Climate Transition and Just Regional Development Plan
700,ER002,Supply Chain Buffer and Redundancy Strategy,5,7.86605,Climate Transition and Just Regional Development Plan
700,ER001,Industrial Diversification and Local Production Program,6,7.83117,Climate Transition and Just Regional Development Plan
701,ER005,Climate Transition and Just Regional Development Plan,1,8.61187,Climate Transition and Just Regional Development Plan
701,ER003,Workforce Retraining and Mobility Initiative,2,8.52958,Climate Transition and Just Regional Development Plan
701,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.15373,Climate Transition and Just Regional Development Plan
701,ER006,Community Finance and Small Business Continuity Fund,4,8.12916,Climate Transition and Just Regional Development Plan
701,ER001,Industrial Diversification and Local Production Program,5,7.94316,Climate Transition and Just Regional Development Plan
701,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.61406,Climate Transition and Just Regional Development Plan
702,ER006,Community Finance and Small Business Continuity Fund,1,8.70345,Community Finance and Small Business Continuity Fund
702,ER005,Climate Transition and Just Regional Development Plan,2,8.5991,Community Finance and Small Business Continuity Fund
702,ER002,Supply Chain Buffer and Redundancy Strategy,3,8.05578,Community Finance and Small Business Continuity Fund
702,ER004,Countercyclical Stabilization and Public Investment Framework,4,8.03671,Community Finance and Small Business Continuity Fund
702,ER003,Workforce Retraining and Mobility Initiative,5,8.02387,Community Finance and Small Business Continuity Fund
702,ER001,Industrial Diversification and Local Production Program,6,7.92785,Community Finance and Small Business Continuity Fund
703,ER001,Industrial Diversification and Local Production Program,1,8.28702,Industrial Diversification and Local Production Program
703,ER006,Community Finance and Small Business Continuity Fund,2,8.27759,Industrial Diversification and Local Production Program
703,ER005,Climate Transition and Just Regional Development Plan,3,8.12553,Industrial Diversification and Local Production Program
703,ER003,Workforce Retraining and Mobility Initiative,4,8.0435,Industrial Diversification and Local Production Program
703,ER002,Supply Chain Buffer and Redundancy Strategy,5,7.71058,Industrial Diversification and Local Production Program
703,ER004,Countercyclical Stabilization and Public Investment Framework,6,7.65881,Industrial Diversification and Local Production Program
704,ER006,Community Finance and Small Business Continuity Fund,1,8.69732,Community Finance and Small Business Continuity Fund
704,ER005,Climate Transition and Just Regional Development Plan,2,8.65954,Community Finance and Small Business Continuity Fund
704,ER003,Workforce Retraining and Mobility Initiative,3,8.40217,Community Finance and Small Business Continuity Fund
704,ER001,Industrial Diversification and Local Production Program,4,8.38372,Community Finance and Small Business Continuity Fund
704,ER004,Countercyclical Stabilization and Public Investment Framework,5,8.26963,Community Finance and Small Business Continuity Fund
704,ER002,Supply Chain Buffer and Redundancy Strategy,6,8.06151,Community Finance and Small Business Continuity Fund
705,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.72701,Countercyclical Stabilization and Public Investment Framework
705,ER001,Industrial Diversification and Local Production Program,2,8.24014,Countercyclical Stabilization and Public Investment Framework
705,ER005,Climate Transition and Just Regional Development Plan,3,8.23572,Countercyclical Stabilization and Public Investment Framework
705,ER006,Community Finance and Small Business Continuity Fund,4,8.20571,Countercyclical Stabilization and Public Investment Framework
705,ER003,Workforce Retraining and Mobility Initiative,5,7.96879,Countercyclical Stabilization and Public Investment Framework
705,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.96452,Countercyclical Stabilization and Public Investment Framework
706,ER003,Workforce Retraining and Mobility Initiative,1,8.66137,Workforce Retraining and Mobility Initiative
706,ER005,Climate Transition and Just Regional Development Plan,2,8.6121,Workforce Retraining and Mobility Initiative
706,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.08965,Workforce Retraining and Mobility Initiative
706,ER006,Community Finance and Small Business Continuity Fund,4,8.07058,Workforce Retraining and Mobility Initiative
706,ER001,Industrial Diversification and Local Production Program,5,7.94399,Workforce Retraining and Mobility Initiative
706,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.79043,Workforce Retraining and Mobility Initiative
707,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.57819,Countercyclical Stabilization and Public Investment Framework
707,ER005,Climate Transition and Just Regional Development Plan,2,8.37855,Countercyclical Stabilization and Public Investment Framework
707,ER001,Industrial Diversification and Local Production Program,3,8.30712,Countercyclical Stabilization and Public Investment Framework
707,ER006,Community Finance and Small Business Continuity Fund,4,8.2204,Countercyclical Stabilization and Public Investment Framework
707,ER003,Workforce Retraining and Mobility Initiative,5,8.18431,Countercyclical Stabilization and Public Investment Framework
707,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.83546,Countercyclical Stabilization and Public Investment Framework
708,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.4788,Countercyclical Stabilization and Public Investment Framework
708,ER005,Climate Transition and Just Regional Development Plan,2,8.19572,Countercyclical Stabilization and Public Investment Framework
708,ER006,Community Finance and Small Business Continuity Fund,3,8.16699,Countercyclical Stabilization and Public Investment Framework
708,ER001,Industrial Diversification and Local Production Program,4,8.05338,Countercyclical Stabilization and Public Investment Framework
708,ER002,Supply Chain Buffer and Redundancy Strategy,5,7.87534,Countercyclical Stabilization and Public Investment Framework
708,ER003,Workforce Retraining and Mobility Initiative,6,7.45845,Countercyclical Stabilization and Public Investment Framework
709,ER001,Industrial Diversification and Local Production Program,1,8.63807,Industrial Diversification and Local Production Program
709,ER003,Workforce Retraining and Mobility Initiative,2,8.35563,Industrial Diversification and Local Production Program
709,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.18499,Industrial Diversification and Local Production Program
709,ER006,Community Finance and Small Business Continuity Fund,4,8.08232,Industrial Diversification and Local Production Program
709,ER002,Supply Chain Buffer and Redundancy Strategy,5,7.81518,Industrial Diversification and Local Production Program
709,ER005,Climate Transition and Just Regional Development Plan,6,7.7455,Industrial Diversification and Local Production Program
710,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.7703,Countercyclical Stabilization and Public Investment Framework
710,ER005,Climate Transition and Just Regional Development Plan,2,8.53641,Countercyclical Stabilization and Public Investment Framework
710,ER001,Industrial Diversification and Local Production Program,3,8.40667,Countercyclical Stabilization and Public Investment Framework
710,ER006,Community Finance and Small Business Continuity Fund,4,8.31749,Countercyclical Stabilization and Public Investment Framework
710,ER003,Workforce Retraining and Mobility Initiative,5,8.30712,Countercyclical Stabilization and Public Investment Framework
710,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.61018,Countercyclical Stabilization and Public Investment Framework
711,ER005,Climate Transition and Just Regional Development Plan,1,8.58124,Climate Transition and Just Regional Development Plan
711,ER006,Community Finance and Small Business Continuity Fund,2,8.36451,Climate Transition and Just Regional Development Plan
711,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.28401,Climate Transition and Just Regional Development Plan
711,ER001,Industrial Diversification and Local Production Program,4,8.07664,Climate Transition and Just Regional Development Plan
711,ER003,Workforce Retraining and Mobility Initiative,5,7.94696,Climate Transition and Just Regional Development Plan
711,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.60197,Climate Transition and Just Regional Development Plan
712,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.56736,Countercyclical Stabilization and Public Investment Framework
712,ER005,Climate Transition and Just Regional Development Plan,2,8.53482,Countercyclical Stabilization and Public Investment Framework
712,ER003,Workforce Retraining and Mobility Initiative,3,8.30922,Countercyclical Stabilization and Public Investment Framework
712,ER006,Community Finance and Small Business Continuity Fund,4,8.05293,Countercyclical Stabilization and Public Investment Framework
712,ER001,Industrial Diversification and Local Production Program,5,7.9255,Countercyclical Stabilization and Public Investment Framework
712,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.13561,Countercyclical Stabilization and Public Investment Framework
713,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.69857,Countercyclical Stabilization and Public Investment Framework
713,ER005,Climate Transition and Just Regional Development Plan,2,8.24527,Countercyclical Stabilization and Public Investment Framework
713,ER001,Industrial Diversification and Local Production Program,3,8.15425,Countercyclical Stabilization and Public Investment Framework
713,ER006,Community Finance and Small Business Continuity Fund,4,8.04059,Countercyclical Stabilization and Public Investment Framework
713,ER003,Workforce Retraining and Mobility Initiative,5,7.90528,Countercyclical Stabilization and Public Investment Framework
713,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.52999,Countercyclical Stabilization and Public Investment Framework
714,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.28578,Countercyclical Stabilization and Public Investment Framework
714,ER005,Climate Transition and Just Regional Development Plan,2,8.23736,Countercyclical Stabilization and Public Investment Framework
714,ER001,Industrial Diversification and Local Production Program,3,8.14347,Countercyclical Stabilization and Public Investment Framework
714,ER003,Workforce Retraining and Mobility Initiative,4,8.11495,Countercyclical Stabilization and Public Investment Framework
714,ER006,Community Finance and Small Business Continuity Fund,5,7.90681,Countercyclical Stabilization and Public Investment Framework
714,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.40855,Countercyclical Stabilization and Public Investment Framework
715,ER005,Climate Transition and Just Regional Development Plan,1,8.73965,Climate Transition and Just Regional Development Plan
715,ER001,Industrial Diversification and Local Production Program,2,8.34769,Climate Transition and Just Regional Development Plan
715,ER002,Supply Chain Buffer and Redundancy Strategy,3,8.26994,Climate Transition and Just Regional Development Plan
715,ER006,Community Finance and Small Business Continuity Fund,4,8.2388,Climate Transition and Just Regional Development Plan
715,ER004,Countercyclical Stabilization and Public Investment Framework,5,8.20868,Climate Transition and Just Regional Development Plan
715,ER003,Workforce Retraining and Mobility Initiative,6,7.78382,Climate Transition and Just Regional Development Plan
716,ER006,Community Finance and Small Business Continuity Fund,1,8.55055,Community Finance and Small Business Continuity Fund
716,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.47881,Community Finance and Small Business Continuity Fund
716,ER001,Industrial Diversification and Local Production Program,3,8.40741,Community Finance and Small Business Continuity Fund
716,ER005,Climate Transition and Just Regional Development Plan,4,8.36894,Community Finance and Small Business Continuity Fund
716,ER003,Workforce Retraining and Mobility Initiative,5,8.34525,Community Finance and Small Business Continuity Fund
716,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.71554,Community Finance and Small Business Continuity Fund
717,ER005,Climate Transition and Just Regional Development Plan,1,8.58476,Climate Transition and Just Regional Development Plan
717,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.2981,Climate Transition and Just Regional Development Plan
717,ER003,Workforce Retraining and Mobility Initiative,3,8.15527,Climate Transition and Just Regional Development Plan
717,ER006,Community Finance and Small Business Continuity Fund,4,8.08056,Climate Transition and Just Regional Development Plan
717,ER001,Industrial Diversification and Local Production Program,5,8.06012,Climate Transition and Just Regional Development Plan
717,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.90481,Climate Transition and Just Regional Development Plan
718,ER001,Industrial Diversification and Local Production Program,1,8.72954,Industrial Diversification and Local Production Program
718,ER005,Climate Transition and Just Regional Development Plan,2,8.49793,Industrial Diversification and Local Production Program
718,ER006,Community Finance and Small Business Continuity Fund,3,8.23286,Industrial Diversification and Local Production Program
718,ER002,Supply Chain Buffer and Redundancy Strategy,4,8.06978,Industrial Diversification and Local Production Program
718,ER003,Workforce Retraining and Mobility Initiative,5,8.01214,Industrial Diversification and Local Production Program
718,ER004,Countercyclical Stabilization and Public Investment Framework,6,7.98746,Industrial Diversification and Local Production Program
719,ER005,Climate Transition and Just Regional Development Plan,1,8.5078,Climate Transition and Just Regional Development Plan
719,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.49084,Climate Transition and Just Regional Development Plan
719,ER001,Industrial Diversification and Local Production Program,3,8.09933,Climate Transition and Just Regional Development Plan
719,ER006,Community Finance and Small Business Continuity Fund,4,7.97591,Climate Transition and Just Regional Development Plan
719,ER002,Supply Chain Buffer and Redundancy Strategy,5,7.71364,Climate Transition and Just Regional Development Plan
719,ER003,Workforce Retraining and Mobility Initiative,6,7.64459,Climate Transition and Just Regional Development Plan
720,ER005,Climate Transition and Just Regional Development Plan,1,8.56016,Climate Transition and Just Regional Development Plan
720,ER003,Workforce Retraining and Mobility Initiative,2,8.43643,Climate Transition and Just Regional Development Plan
720,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.16943,Climate Transition and Just Regional Development Plan
720,ER006,Community Finance and Small Business Continuity Fund,4,8.01307,Climate Transition and Just Regional Development Plan
720,ER001,Industrial Diversification and Local Production Program,5,7.87797,Climate Transition and Just Regional Development Plan
720,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.8068,Climate Transition and Just Regional Development Plan
721,ER003,Workforce Retraining and Mobility Initiative,1,8.53191,Workforce Retraining and Mobility Initiative
721,ER005,Climate Transition and Just Regional Development Plan,2,8.43949,Workforce Retraining and Mobility Initiative
721,ER001,Industrial Diversification and Local Production Program,3,8.29891,Workforce Retraining and Mobility Initiative
721,ER002,Supply Chain Buffer and Redundancy Strategy,4,8.06443,Workforce Retraining and Mobility Initiative
721,ER004,Countercyclical Stabilization and Public Investment Framework,5,7.96956,Workforce Retraining and Mobility Initiative
721,ER006,Community Finance and Small Business Continuity Fund,6,7.86183,Workforce Retraining and Mobility Initiative
722,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.45573,Countercyclical Stabilization and Public Investment Framework
722,ER005,Climate Transition and Just Regional Development Plan,2,8.30008,Countercyclical Stabilization and Public Investment Framework
722,ER001,Industrial Diversification and Local Production Program,3,8.18403,Countercyclical Stabilization and Public Investment Framework
722,ER006,Community Finance and Small Business Continuity Fund,4,8.05909,Countercyclical Stabilization and Public Investment Framework
722,ER002,Supply Chain Buffer and Redundancy Strategy,5,7.94454,Countercyclical Stabilization and Public Investment Framework
722,ER003,Workforce Retraining and Mobility Initiative,6,7.91746,Countercyclical Stabilization and Public Investment Framework
723,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.4053,Countercyclical Stabilization and Public Investment Framework
723,ER005,Climate Transition and Just Regional Development Plan,2,8.35002,Countercyclical Stabilization and Public Investment Framework
723,ER006,Community Finance and Small Business Continuity Fund,3,8.34548,Countercyclical Stabilization and Public Investment Framework
723,ER001,Industrial Diversification and Local Production Program,4,8.18345,Countercyclical Stabilization and Public Investment Framework
723,ER002,Supply Chain Buffer and Redundancy Strategy,5,7.8479,Countercyclical Stabilization and Public Investment Framework
723,ER003,Workforce Retraining and Mobility Initiative,6,7.83101,Countercyclical Stabilization and Public Investment Framework
724,ER005,Climate Transition and Just Regional Development Plan,1,8.66855,Climate Transition and Just Regional Development Plan
724,ER003,Workforce Retraining and Mobility Initiative,2,8.59366,Climate Transition and Just Regional Development Plan
724,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.2433,Climate Transition and Just Regional Development Plan
724,ER001,Industrial Diversification and Local Production Program,4,8.21077,Climate Transition and Just Regional Development Plan
724,ER002,Supply Chain Buffer and Redundancy Strategy,5,8.18383,Climate Transition and Just Regional Development Plan
724,ER006,Community Finance and Small Business Continuity Fund,6,7.81726,Climate Transition and Just Regional Development Plan
725,ER005,Climate Transition and Just Regional Development Plan,1,8.86716,Climate Transition and Just Regional Development Plan
725,ER001,Industrial Diversification and Local Production Program,2,8.35739,Climate Transition and Just Regional Development Plan
725,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.20723,Climate Transition and Just Regional Development Plan
725,ER006,Community Finance and Small Business Continuity Fund,4,8.13964,Climate Transition and Just Regional Development Plan
725,ER002,Supply Chain Buffer and Redundancy Strategy,5,7.88346,Climate Transition and Just Regional Development Plan
725,ER003,Workforce Retraining and Mobility Initiative,6,7.65042,Climate Transition and Just Regional Development Plan
726,ER005,Climate Transition and Just Regional Development Plan,1,8.39414,Climate Transition and Just Regional Development Plan
726,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.11554,Climate Transition and Just Regional Development Plan
726,ER006,Community Finance and Small Business Continuity Fund,3,8.04967,Climate Transition and Just Regional Development Plan
726,ER003,Workforce Retraining and Mobility Initiative,4,7.88391,Climate Transition and Just Regional Development Plan
726,ER001,Industrial Diversification and Local Production Program,5,7.73645,Climate Transition and Just Regional Development Plan
726,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.28041,Climate Transition and Just Regional Development Plan
727,ER006,Community Finance and Small Business Continuity Fund,1,8.5296,Community Finance and Small Business Continuity Fund
727,ER005,Climate Transition and Just Regional Development Plan,2,8.47184,Community Finance and Small Business Continuity Fund
727,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.21146,Community Finance and Small Business Continuity Fund
727,ER002,Supply Chain Buffer and Redundancy Strategy,4,8.20095,Community Finance and Small Business Continuity Fund
727,ER001,Industrial Diversification and Local Production Program,5,8.12241,Community Finance and Small Business Continuity Fund
727,ER003,Workforce Retraining and Mobility Initiative,6,8.04433,Community Finance and Small Business Continuity Fund
728,ER001,Industrial Diversification and Local Production Program,1,8.6497,Industrial Diversification and Local Production Program
728,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.5802,Industrial Diversification and Local Production Program
728,ER005,Climate Transition and Just Regional Development Plan,3,8.3915,Industrial Diversification and Local Production Program
728,ER006,Community Finance and Small Business Continuity Fund,4,8.30019,Industrial Diversification and Local Production Program
728,ER002,Supply Chain Buffer and Redundancy Strategy,5,8.08476,Industrial Diversification and Local Production Program
728,ER003,Workforce Retraining and Mobility Initiative,6,7.98391,Industrial Diversification and Local Production Program
729,ER005,Climate Transition and Just Regional Development Plan,1,8.66781,Climate Transition and Just Regional Development Plan
729,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.5785,Climate Transition and Just Regional Development Plan
729,ER003,Workforce Retraining and Mobility Initiative,3,8.08459,Climate Transition and Just Regional Development Plan
729,ER001,Industrial Diversification and Local Production Program,4,8.00753,Climate Transition and Just Regional Development Plan
729,ER006,Community Finance and Small Business Continuity Fund,5,7.88349,Climate Transition and Just Regional Development Plan
729,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.66602,Climate Transition and Just Regional Development Plan
730,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.44872,Countercyclical Stabilization and Public Investment Framework
730,ER006,Community Finance and Small Business Continuity Fund,2,8.44019,Countercyclical Stabilization and Public Investment Framework
730,ER003,Workforce Retraining and Mobility Initiative,3,8.30319,Countercyclical Stabilization and Public Investment Framework
730,ER001,Industrial Diversification and Local Production Program,4,8.27814,Countercyclical Stabilization and Public Investment Framework
730,ER005,Climate Transition and Just Regional Development Plan,5,8.25894,Countercyclical Stabilization and Public Investment Framework
730,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.89972,Countercyclical Stabilization and Public Investment Framework
731,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.49809,Countercyclical Stabilization and Public Investment Framework
731,ER005,Climate Transition and Just Regional Development Plan,2,8.20118,Countercyclical Stabilization and Public Investment Framework
731,ER003,Workforce Retraining and Mobility Initiative,3,8.03261,Countercyclical Stabilization and Public Investment Framework
731,ER001,Industrial Diversification and Local Production Program,4,8.02315,Countercyclical Stabilization and Public Investment Framework
731,ER006,Community Finance and Small Business Continuity Fund,5,7.99918,Countercyclical Stabilization and Public Investment Framework
731,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.72524,Countercyclical Stabilization and Public Investment Framework
732,ER006,Community Finance and Small Business Continuity Fund,1,8.53688,Community Finance and Small Business Continuity Fund
732,ER003,Workforce Retraining and Mobility Initiative,2,8.34254,Community Finance and Small Business Continuity Fund
732,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.32258,Community Finance and Small Business Continuity Fund
732,ER005,Climate Transition and Just Regional Development Plan,4,8.1935,Community Finance and Small Business Continuity Fund
732,ER001,Industrial Diversification and Local Production Program,5,7.79673,Community Finance and Small Business Continuity Fund
732,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.60483,Community Finance and Small Business Continuity Fund
733,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.88411,Countercyclical Stabilization and Public Investment Framework
733,ER005,Climate Transition and Just Regional Development Plan,2,8.44835,Countercyclical Stabilization and Public Investment Framework
733,ER006,Community Finance and Small Business Continuity Fund,3,8.38777,Countercyclical Stabilization and Public Investment Framework
733,ER001,Industrial Diversification and Local Production Program,4,8.19582,Countercyclical Stabilization and Public Investment Framework
733,ER003,Workforce Retraining and Mobility Initiative,5,8.18381,Countercyclical Stabilization and Public Investment Framework
733,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.8672,Countercyclical Stabilization and Public Investment Framework
734,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.32701,Countercyclical Stabilization and Public Investment Framework
734,ER005,Climate Transition and Just Regional Development Plan,2,8.18604,Countercyclical Stabilization and Public Investment Framework
734,ER006,Community Finance and Small Business Continuity Fund,3,8.15666,Countercyclical Stabilization and Public Investment Framework
734,ER003,Workforce Retraining and Mobility Initiative,4,8.05776,Countercyclical Stabilization and Public Investment Framework
734,ER001,Industrial Diversification and Local Production Program,5,7.99088,Countercyclical Stabilization and Public Investment Framework
734,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.80076,Countercyclical Stabilization and Public Investment Framework
735,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.21732,Countercyclical Stabilization and Public Investment Framework
735,ER002,Supply Chain Buffer and Redundancy Strategy,2,8.19283,Countercyclical Stabilization and Public Investment Framework
735,ER003,Workforce Retraining and Mobility Initiative,3,8.07894,Countercyclical Stabilization and Public Investment Framework
735,ER005,Climate Transition and Just Regional Development Plan,4,8.07246,Countercyclical Stabilization and Public Investment Framework
735,ER006,Community Finance and Small Business Continuity Fund,5,7.98916,Countercyclical Stabilization and Public Investment Framework
735,ER001,Industrial Diversification and Local Production Program,6,7.97773,Countercyclical Stabilization and Public Investment Framework
736,ER005,Climate Transition and Just Regional Development Plan,1,8.61294,Climate Transition and Just Regional Development Plan
736,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.51095,Climate Transition and Just Regional Development Plan
736,ER006,Community Finance and Small Business Continuity Fund,3,8.29077,Climate Transition and Just Regional Development Plan
736,ER003,Workforce Retraining and Mobility Initiative,4,8.22344,Climate Transition and Just Regional Development Plan
736,ER001,Industrial Diversification and Local Production Program,5,8.03303,Climate Transition and Just Regional Development Plan
736,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.57627,Climate Transition and Just Regional Development Plan
737,ER003,Workforce Retraining and Mobility Initiative,1,8.48491,Workforce Retraining and Mobility Initiative
737,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.24396,Workforce Retraining and Mobility Initiative
737,ER001,Industrial Diversification and Local Production Program,3,8.18471,Workforce Retraining and Mobility Initiative
737,ER005,Climate Transition and Just Regional Development Plan,4,8.09637,Workforce Retraining and Mobility Initiative
737,ER006,Community Finance and Small Business Continuity Fund,5,8.05262,Workforce Retraining and Mobility Initiative
737,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.73117,Workforce Retraining and Mobility Initiative
738,ER001,Industrial Diversification and Local Production Program,1,8.24931,Industrial Diversification and Local Production Program
738,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.12408,Industrial Diversification and Local Production Program
738,ER006,Community Finance and Small Business Continuity Fund,3,8.08389,Industrial Diversification and Local Production Program
738,ER005,Climate Transition and Just Regional Development Plan,4,8.0064,Industrial Diversification and Local Production Program
738,ER003,Workforce Retraining and Mobility Initiative,5,8.00594,Industrial Diversification and Local Production Program
738,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.64062,Industrial Diversification and Local Production Program
739,ER006,Community Finance and Small Business Continuity Fund,1,8.592,Community Finance and Small Business Continuity Fund
739,ER001,Industrial Diversification and Local Production Program,2,8.29676,Community Finance and Small Business Continuity Fund
739,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.27378,Community Finance and Small Business Continuity Fund
739,ER005,Climate Transition and Just Regional Development Plan,4,8.15088,Community Finance and Small Business Continuity Fund
739,ER003,Workforce Retraining and Mobility Initiative,5,7.87107,Community Finance and Small Business Continuity Fund
739,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.86855,Community Finance and Small Business Continuity Fund
740,ER005,Climate Transition and Just Regional Development Plan,1,8.65531,Climate Transition and Just Regional Development Plan
