simulation_id,strategy_id,strategy,rank,containment_value,winner
485,CS006,Neighborhood Resilience Hub Network,3,7.08428,Digital Service Isolation and Offline Fallbacks
485,CS004,Cross-Agency Emergency Coordination Cells,4,7.05537,Digital Service Isolation and Offline Fallbacks
485,CS003,Wetland and Floodplain Buffer Network,5,6.6608,Digital Service Isolation and Offline Fallbacks
485,CS002,Regional Supply Network Diversification,6,6.54929,Digital Service Isolation and Offline Fallbacks
486,CS001,Microgrid and Critical Service Islanding,1,7.43432,Microgrid and Critical Service Islanding
486,CS005,Digital Service Isolation and Offline Fallbacks,2,7.39077,Microgrid and Critical Service Islanding
486,CS006,Neighborhood Resilience Hub Network,3,6.96499,Microgrid and Critical Service Islanding
486,CS002,Regional Supply Network Diversification,4,6.87696,Microgrid and Critical Service Islanding
486,CS003,Wetland and Floodplain Buffer Network,5,6.79253,Microgrid and Critical Service Islanding
486,CS004,Cross-Agency Emergency Coordination Cells,6,6.75452,Microgrid and Critical Service Islanding
487,CS005,Digital Service Isolation and Offline Fallbacks,1,7.61667,Digital Service Isolation and Offline Fallbacks
487,CS001,Microgrid and Critical Service Islanding,2,7.13597,Digital Service Isolation and Offline Fallbacks
487,CS002,Regional Supply Network Diversification,3,7.11202,Digital Service Isolation and Offline Fallbacks
487,CS003,Wetland and Floodplain Buffer Network,4,7.03617,Digital Service Isolation and Offline Fallbacks
487,CS006,Neighborhood Resilience Hub Network,5,7.0041,Digital Service Isolation and Offline Fallbacks
487,CS004,Cross-Agency Emergency Coordination Cells,6,6.95002,Digital Service Isolation and Offline Fallbacks
488,CS001,Microgrid and Critical Service Islanding,1,7.45223,Microgrid and Critical Service Islanding
488,CS006,Neighborhood Resilience Hub Network,2,7.31131,Microgrid and Critical Service Islanding
488,CS005,Digital Service Isolation and Offline Fallbacks,3,7.27767,Microgrid and Critical Service Islanding
488,CS003,Wetland and Floodplain Buffer Network,4,6.86983,Microgrid and Critical Service Islanding
488,CS004,Cross-Agency Emergency Coordination Cells,5,6.8671,Microgrid and Critical Service Islanding
488,CS002,Regional Supply Network Diversification,6,6.79243,Microgrid and Critical Service Islanding
489,CS001,Microgrid and Critical Service Islanding,1,7.45779,Microgrid and Critical Service Islanding
489,CS005,Digital Service Isolation and Offline Fallbacks,2,7.41851,Microgrid and Critical Service Islanding
489,CS006,Neighborhood Resilience Hub Network,3,6.80665,Microgrid and Critical Service Islanding
489,CS004,Cross-Agency Emergency Coordination Cells,4,6.78579,Microgrid and Critical Service Islanding
489,CS003,Wetland and Floodplain Buffer Network,5,6.73752,Microgrid and Critical Service Islanding
489,CS002,Regional Supply Network Diversification,6,6.51144,Microgrid and Critical Service Islanding
490,CS001,Microgrid and Critical Service Islanding,1,7.41881,Microgrid and Critical Service Islanding
490,CS004,Cross-Agency Emergency Coordination Cells,2,7.04855,Microgrid and Critical Service Islanding
490,CS005,Digital Service Isolation and Offline Fallbacks,3,6.91549,Microgrid and Critical Service Islanding
490,CS003,Wetland and Floodplain Buffer Network,4,6.80924,Microgrid and Critical Service Islanding
490,CS002,Regional Supply Network Diversification,5,6.75825,Microgrid and Critical Service Islanding
490,CS006,Neighborhood Resilience Hub Network,6,6.70461,Microgrid and Critical Service Islanding
491,CS005,Digital Service Isolation and Offline Fallbacks,1,7.32322,Digital Service Isolation and Offline Fallbacks
491,CS002,Regional Supply Network Diversification,2,7.05875,Digital Service Isolation and Offline Fallbacks
491,CS003,Wetland and Floodplain Buffer Network,3,6.97006,Digital Service Isolation and Offline Fallbacks
491,CS001,Microgrid and Critical Service Islanding,4,6.84669,Digital Service Isolation and Offline Fallbacks
491,CS006,Neighborhood Resilience Hub Network,5,6.83954,Digital Service Isolation and Offline Fallbacks
491,CS004,Cross-Agency Emergency Coordination Cells,6,6.56429,Digital Service Isolation and Offline Fallbacks
492,CS005,Digital Service Isolation and Offline Fallbacks,1,7.54153,Digital Service Isolation and Offline Fallbacks
492,CS006,Neighborhood Resilience Hub Network,2,7.28964,Digital Service Isolation and Offline Fallbacks
492,CS001,Microgrid and Critical Service Islanding,3,7.19618,Digital Service Isolation and Offline Fallbacks
492,CS002,Regional Supply Network Diversification,4,6.99329,Digital Service Isolation and Offline Fallbacks
492,CS003,Wetland and Floodplain Buffer Network,5,6.97259,Digital Service Isolation and Offline Fallbacks
492,CS004,Cross-Agency Emergency Coordination Cells,6,6.79352,Digital Service Isolation and Offline Fallbacks
493,CS001,Microgrid and Critical Service Islanding,1,7.2171,Microgrid and Critical Service Islanding
493,CS005,Digital Service Isolation and Offline Fallbacks,2,7.21263,Microgrid and Critical Service Islanding
493,CS004,Cross-Agency Emergency Coordination Cells,3,7.14266,Microgrid and Critical Service Islanding
493,CS002,Regional Supply Network Diversification,4,6.85372,Microgrid and Critical Service Islanding
493,CS003,Wetland and Floodplain Buffer Network,5,6.59651,Microgrid and Critical Service Islanding
493,CS006,Neighborhood Resilience Hub Network,6,6.56451,Microgrid and Critical Service Islanding
494,CS001,Microgrid and Critical Service Islanding,1,7.39776,Microgrid and Critical Service Islanding
494,CS005,Digital Service Isolation and Offline Fallbacks,2,7.22806,Microgrid and Critical Service Islanding
494,CS003,Wetland and Floodplain Buffer Network,3,7.17214,Microgrid and Critical Service Islanding
494,CS006,Neighborhood Resilience Hub Network,4,7.1328,Microgrid and Critical Service Islanding
494,CS002,Regional Supply Network Diversification,5,7.02242,Microgrid and Critical Service Islanding
494,CS004,Cross-Agency Emergency Coordination Cells,6,6.78466,Microgrid and Critical Service Islanding
495,CS005,Digital Service Isolation and Offline Fallbacks,1,7.56506,Digital Service Isolation and Offline Fallbacks
495,CS001,Microgrid and Critical Service Islanding,2,7.40416,Digital Service Isolation and Offline Fallbacks
495,CS006,Neighborhood Resilience Hub Network,3,7.30632,Digital Service Isolation and Offline Fallbacks
495,CS002,Regional Supply Network Diversification,4,7.03037,Digital Service Isolation and Offline Fallbacks
495,CS003,Wetland and Floodplain Buffer Network,5,6.99376,Digital Service Isolation and Offline Fallbacks
495,CS004,Cross-Agency Emergency Coordination Cells,6,6.69955,Digital Service Isolation and Offline Fallbacks
496,CS005,Digital Service Isolation and Offline Fallbacks,1,7.42487,Digital Service Isolation and Offline Fallbacks
496,CS001,Microgrid and Critical Service Islanding,2,7.25949,Digital Service Isolation and Offline Fallbacks
496,CS004,Cross-Agency Emergency Coordination Cells,3,7.20476,Digital Service Isolation and Offline Fallbacks
496,CS003,Wetland and Floodplain Buffer Network,4,7.13087,Digital Service Isolation and Offline Fallbacks
496,CS002,Regional Supply Network Diversification,5,6.877,Digital Service Isolation and Offline Fallbacks
496,CS006,Neighborhood Resilience Hub Network,6,6.7457,Digital Service Isolation and Offline Fallbacks
497,CS005,Digital Service Isolation and Offline Fallbacks,1,7.79088,Digital Service Isolation and Offline Fallbacks
497,CS006,Neighborhood Resilience Hub Network,2,7.32684,Digital Service Isolation and Offline Fallbacks
497,CS001,Microgrid and Critical Service Islanding,3,7.29853,Digital Service Isolation and Offline Fallbacks
497,CS004,Cross-Agency Emergency Coordination Cells,4,7.07657,Digital Service Isolation and Offline Fallbacks
497,CS002,Regional Supply Network Diversification,5,6.78785,Digital Service Isolation and Offline Fallbacks
497,CS003,Wetland and Floodplain Buffer Network,6,6.70698,Digital Service Isolation and Offline Fallbacks
498,CS005,Digital Service Isolation and Offline Fallbacks,1,7.59976,Digital Service Isolation and Offline Fallbacks
498,CS001,Microgrid and Critical Service Islanding,2,7.43905,Digital Service Isolation and Offline Fallbacks
498,CS004,Cross-Agency Emergency Coordination Cells,3,7.33024,Digital Service Isolation and Offline Fallbacks
498,CS003,Wetland and Floodplain Buffer Network,4,7.23852,Digital Service Isolation and Offline Fallbacks
498,CS006,Neighborhood Resilience Hub Network,5,7.03025,Digital Service Isolation and Offline Fallbacks
498,CS002,Regional Supply Network Diversification,6,6.92683,Digital Service Isolation and Offline Fallbacks
499,CS005,Digital Service Isolation and Offline Fallbacks,1,7.54784,Digital Service Isolation and Offline Fallbacks
499,CS004,Cross-Agency Emergency Coordination Cells,2,7.03505,Digital Service Isolation and Offline Fallbacks
499,CS002,Regional Supply Network Diversification,3,6.92575,Digital Service Isolation and Offline Fallbacks
499,CS006,Neighborhood Resilience Hub Network,4,6.92393,Digital Service Isolation and Offline Fallbacks
499,CS001,Microgrid and Critical Service Islanding,5,6.8381,Digital Service Isolation and Offline Fallbacks
499,CS003,Wetland and Floodplain Buffer Network,6,6.39245,Digital Service Isolation and Offline Fallbacks
500,CS001,Microgrid and Critical Service Islanding,1,7.79894,Microgrid and Critical Service Islanding
500,CS005,Digital Service Isolation and Offline Fallbacks,2,7.429,Microgrid and Critical Service Islanding
500,CS002,Regional Supply Network Diversification,3,6.85865,Microgrid and Critical Service Islanding
500,CS006,Neighborhood Resilience Hub Network,4,6.80231,Microgrid and Critical Service Islanding
500,CS003,Wetland and Floodplain Buffer Network,5,6.75143,Microgrid and Critical Service Islanding
500,CS004,Cross-Agency Emergency Coordination Cells,6,6.35878,Microgrid and Critical Service Islanding
501,CS005,Digital Service Isolation and Offline Fallbacks,1,7.59877,Digital Service Isolation and Offline Fallbacks
501,CS001,Microgrid and Critical Service Islanding,2,7.19312,Digital Service Isolation and Offline Fallbacks
501,CS003,Wetland and Floodplain Buffer Network,3,6.95132,Digital Service Isolation and Offline Fallbacks
501,CS004,Cross-Agency Emergency Coordination Cells,4,6.86859,Digital Service Isolation and Offline Fallbacks
501,CS006,Neighborhood Resilience Hub Network,5,6.82996,Digital Service Isolation and Offline Fallbacks
501,CS002,Regional Supply Network Diversification,6,6.81169,Digital Service Isolation and Offline Fallbacks
502,CS001,Microgrid and Critical Service Islanding,1,7.42126,Microgrid and Critical Service Islanding
502,CS005,Digital Service Isolation and Offline Fallbacks,2,7.34548,Microgrid and Critical Service Islanding
502,CS006,Neighborhood Resilience Hub Network,3,7.33727,Microgrid and Critical Service Islanding
502,CS004,Cross-Agency Emergency Coordination Cells,4,6.93867,Microgrid and Critical Service Islanding
502,CS003,Wetland and Floodplain Buffer Network,5,6.83858,Microgrid and Critical Service Islanding
502,CS002,Regional Supply Network Diversification,6,6.74169,Microgrid and Critical Service Islanding
503,CS005,Digital Service Isolation and Offline Fallbacks,1,7.29555,Digital Service Isolation and Offline Fallbacks
503,CS006,Neighborhood Resilience Hub Network,2,7.16514,Digital Service Isolation and Offline Fallbacks
503,CS002,Regional Supply Network Diversification,3,7.07507,Digital Service Isolation and Offline Fallbacks
503,CS003,Wetland and Floodplain Buffer Network,4,7.04372,Digital Service Isolation and Offline Fallbacks
503,CS001,Microgrid and Critical Service Islanding,5,7.01554,Digital Service Isolation and Offline Fallbacks
503,CS004,Cross-Agency Emergency Coordination Cells,6,6.77216,Digital Service Isolation and Offline Fallbacks
504,CS005,Digital Service Isolation and Offline Fallbacks,1,7.41118,Digital Service Isolation and Offline Fallbacks
504,CS003,Wetland and Floodplain Buffer Network,2,7.25343,Digital Service Isolation and Offline Fallbacks
504,CS001,Microgrid and Critical Service Islanding,3,7.04703,Digital Service Isolation and Offline Fallbacks
504,CS006,Neighborhood Resilience Hub Network,4,7.03853,Digital Service Isolation and Offline Fallbacks
504,CS004,Cross-Agency Emergency Coordination Cells,5,6.96562,Digital Service Isolation and Offline Fallbacks
504,CS002,Regional Supply Network Diversification,6,6.85658,Digital Service Isolation and Offline Fallbacks
505,CS001,Microgrid and Critical Service Islanding,1,7.29702,Microgrid and Critical Service Islanding
505,CS005,Digital Service Isolation and Offline Fallbacks,2,7.18349,Microgrid and Critical Service Islanding
505,CS002,Regional Supply Network Diversification,3,6.97265,Microgrid and Critical Service Islanding
505,CS006,Neighborhood Resilience Hub Network,4,6.93119,Microgrid and Critical Service Islanding
505,CS003,Wetland and Floodplain Buffer Network,5,6.66049,Microgrid and Critical Service Islanding
505,CS004,Cross-Agency Emergency Coordination Cells,6,6.50506,Microgrid and Critical Service Islanding
506,CS005,Digital Service Isolation and Offline Fallbacks,1,7.41222,Digital Service Isolation and Offline Fallbacks
506,CS001,Microgrid and Critical Service Islanding,2,7.07501,Digital Service Isolation and Offline Fallbacks
506,CS002,Regional Supply Network Diversification,3,6.92464,Digital Service Isolation and Offline Fallbacks
506,CS003,Wetland and Floodplain Buffer Network,4,6.88181,Digital Service Isolation and Offline Fallbacks
506,CS006,Neighborhood Resilience Hub Network,5,6.81668,Digital Service Isolation and Offline Fallbacks
506,CS004,Cross-Agency Emergency Coordination Cells,6,6.56548,Digital Service Isolation and Offline Fallbacks
507,CS005,Digital Service Isolation and Offline Fallbacks,1,7.60722,Digital Service Isolation and Offline Fallbacks
507,CS001,Microgrid and Critical Service Islanding,2,7.48119,Digital Service Isolation and Offline Fallbacks
507,CS004,Cross-Agency Emergency Coordination Cells,3,7.17884,Digital Service Isolation and Offline Fallbacks
507,CS003,Wetland and Floodplain Buffer Network,4,6.96466,Digital Service Isolation and Offline Fallbacks
507,CS002,Regional Supply Network Diversification,5,6.93057,Digital Service Isolation and Offline Fallbacks
507,CS006,Neighborhood Resilience Hub Network,6,6.9261,Digital Service Isolation and Offline Fallbacks
508,CS001,Microgrid and Critical Service Islanding,1,7.45367,Microgrid and Critical Service Islanding
508,CS003,Wetland and Floodplain Buffer Network,2,7.20377,Microgrid and Critical Service Islanding
508,CS005,Digital Service Isolation and Offline Fallbacks,3,7.16512,Microgrid and Critical Service Islanding
508,CS006,Neighborhood Resilience Hub Network,4,7.1094,Microgrid and Critical Service Islanding
508,CS004,Cross-Agency Emergency Coordination Cells,5,6.86331,Microgrid and Critical Service Islanding
508,CS002,Regional Supply Network Diversification,6,6.7465,Microgrid and Critical Service Islanding
509,CS005,Digital Service Isolation and Offline Fallbacks,1,7.43783,Digital Service Isolation and Offline Fallbacks
509,CS002,Regional Supply Network Diversification,2,7.32183,Digital Service Isolation and Offline Fallbacks
509,CS001,Microgrid and Critical Service Islanding,3,7.28271,Digital Service Isolation and Offline Fallbacks
509,CS006,Neighborhood Resilience Hub Network,4,7.13927,Digital Service Isolation and Offline Fallbacks
509,CS004,Cross-Agency Emergency Coordination Cells,5,6.88265,Digital Service Isolation and Offline Fallbacks
509,CS003,Wetland and Floodplain Buffer Network,6,6.82396,Digital Service Isolation and Offline Fallbacks
510,CS005,Digital Service Isolation and Offline Fallbacks,1,7.47247,Digital Service Isolation and Offline Fallbacks
510,CS006,Neighborhood Resilience Hub Network,2,7.2154,Digital Service Isolation and Offline Fallbacks
510,CS001,Microgrid and Critical Service Islanding,3,7.2104,Digital Service Isolation and Offline Fallbacks
510,CS003,Wetland and Floodplain Buffer Network,4,7.20634,Digital Service Isolation and Offline Fallbacks
510,CS004,Cross-Agency Emergency Coordination Cells,5,6.77796,Digital Service Isolation and Offline Fallbacks
510,CS002,Regional Supply Network Diversification,6,6.7633,Digital Service Isolation and Offline Fallbacks
511,CS001,Microgrid and Critical Service Islanding,1,7.82563,Microgrid and Critical Service Islanding
511,CS005,Digital Service Isolation and Offline Fallbacks,2,7.56431,Microgrid and Critical Service Islanding
511,CS003,Wetland and Floodplain Buffer Network,3,7.29979,Microgrid and Critical Service Islanding
511,CS006,Neighborhood Resilience Hub Network,4,7.27179,Microgrid and Critical Service Islanding
511,CS004,Cross-Agency Emergency Coordination Cells,5,6.81805,Microgrid and Critical Service Islanding
511,CS002,Regional Supply Network Diversification,6,6.58008,Microgrid and Critical Service Islanding
512,CS005,Digital Service Isolation and Offline Fallbacks,1,7.72768,Digital Service Isolation and Offline Fallbacks
512,CS001,Microgrid and Critical Service Islanding,2,7.30618,Digital Service Isolation and Offline Fallbacks
512,CS004,Cross-Agency Emergency Coordination Cells,3,6.89676,Digital Service Isolation and Offline Fallbacks
512,CS006,Neighborhood Resilience Hub Network,4,6.88141,Digital Service Isolation and Offline Fallbacks
512,CS003,Wetland and Floodplain Buffer Network,5,6.81732,Digital Service Isolation and Offline Fallbacks
512,CS002,Regional Supply Network Diversification,6,6.68555,Digital Service Isolation and Offline Fallbacks
513,CS001,Microgrid and Critical Service Islanding,1,7.6207,Microgrid and Critical Service Islanding
513,CS005,Digital Service Isolation and Offline Fallbacks,2,6.97704,Microgrid and Critical Service Islanding
513,CS002,Regional Supply Network Diversification,3,6.91816,Microgrid and Critical Service Islanding
513,CS004,Cross-Agency Emergency Coordination Cells,4,6.85396,Microgrid and Critical Service Islanding
513,CS006,Neighborhood Resilience Hub Network,5,6.74609,Microgrid and Critical Service Islanding
513,CS003,Wetland and Floodplain Buffer Network,6,6.65391,Microgrid and Critical Service Islanding
514,CS001,Microgrid and Critical Service Islanding,1,7.28835,Microgrid and Critical Service Islanding
514,CS005,Digital Service Isolation and Offline Fallbacks,2,7.20075,Microgrid and Critical Service Islanding
514,CS004,Cross-Agency Emergency Coordination Cells,3,6.87338,Microgrid and Critical Service Islanding
514,CS006,Neighborhood Resilience Hub Network,4,6.70189,Microgrid and Critical Service Islanding
514,CS003,Wetland and Floodplain Buffer Network,5,6.58085,Microgrid and Critical Service Islanding
514,CS002,Regional Supply Network Diversification,6,6.57105,Microgrid and Critical Service Islanding
515,CS001,Microgrid and Critical Service Islanding,1,7.06142,Microgrid and Critical Service Islanding
515,CS005,Digital Service Isolation and Offline Fallbacks,2,7.00122,Microgrid and Critical Service Islanding
515,CS006,Neighborhood Resilience Hub Network,3,6.86765,Microgrid and Critical Service Islanding
515,CS003,Wetland and Floodplain Buffer Network,4,6.77764,Microgrid and Critical Service Islanding
515,CS004,Cross-Agency Emergency Coordination Cells,5,6.60449,Microgrid and Critical Service Islanding
515,CS002,Regional Supply Network Diversification,6,6.50897,Microgrid and Critical Service Islanding
516,CS001,Microgrid and Critical Service Islanding,1,7.56559,Microgrid and Critical Service Islanding
516,CS005,Digital Service Isolation and Offline Fallbacks,2,7.47474,Microgrid and Critical Service Islanding
516,CS006,Neighborhood Resilience Hub Network,3,7.44571,Microgrid and Critical Service Islanding
516,CS004,Cross-Agency Emergency Coordination Cells,4,6.94989,Microgrid and Critical Service Islanding
516,CS003,Wetland and Floodplain Buffer Network,5,6.77018,Microgrid and Critical Service Islanding
516,CS002,Regional Supply Network Diversification,6,6.65091,Microgrid and Critical Service Islanding
517,CS001,Microgrid and Critical Service Islanding,1,7.38514,Microgrid and Critical Service Islanding
517,CS005,Digital Service Isolation and Offline Fallbacks,2,7.27756,Microgrid and Critical Service Islanding
517,CS004,Cross-Agency Emergency Coordination Cells,3,7.27453,Microgrid and Critical Service Islanding
517,CS006,Neighborhood Resilience Hub Network,4,7.01639,Microgrid and Critical Service Islanding
517,CS002,Regional Supply Network Diversification,5,6.85115,Microgrid and Critical Service Islanding
517,CS003,Wetland and Floodplain Buffer Network,6,6.51193,Microgrid and Critical Service Islanding
518,CS005,Digital Service Isolation and Offline Fallbacks,1,7.40937,Digital Service Isolation and Offline Fallbacks
518,CS003,Wetland and Floodplain Buffer Network,2,7.07179,Digital Service Isolation and Offline Fallbacks
518,CS001,Microgrid and Critical Service Islanding,3,7.00642,Digital Service Isolation and Offline Fallbacks
518,CS002,Regional Supply Network Diversification,4,6.95338,Digital Service Isolation and Offline Fallbacks
518,CS004,Cross-Agency Emergency Coordination Cells,5,6.91781,Digital Service Isolation and Offline Fallbacks
518,CS006,Neighborhood Resilience Hub Network,6,6.85616,Digital Service Isolation and Offline Fallbacks
519,CS006,Neighborhood Resilience Hub Network,1,7.49146,Neighborhood Resilience Hub Network
519,CS001,Microgrid and Critical Service Islanding,2,7.00193,Neighborhood Resilience Hub Network
519,CS004,Cross-Agency Emergency Coordination Cells,3,6.94192,Neighborhood Resilience Hub Network
519,CS003,Wetland and Floodplain Buffer Network,4,6.86628,Neighborhood Resilience Hub Network
519,CS005,Digital Service Isolation and Offline Fallbacks,5,6.83267,Neighborhood Resilience Hub Network
519,CS002,Regional Supply Network Diversification,6,6.70239,Neighborhood Resilience Hub Network
520,CS005,Digital Service Isolation and Offline Fallbacks,1,7.38311,Digital Service Isolation and Offline Fallbacks
520,CS006,Neighborhood Resilience Hub Network,2,7.28912,Digital Service Isolation and Offline Fallbacks
520,CS001,Microgrid and Critical Service Islanding,3,7.22607,Digital Service Isolation and Offline Fallbacks
520,CS002,Regional Supply Network Diversification,4,6.87336,Digital Service Isolation and Offline Fallbacks
520,CS004,Cross-Agency Emergency Coordination Cells,5,6.70938,Digital Service Isolation and Offline Fallbacks
520,CS003,Wetland and Floodplain Buffer Network,6,6.51305,Digital Service Isolation and Offline Fallbacks
521,CS005,Digital Service Isolation and Offline Fallbacks,1,7.26514,Digital Service Isolation and Offline Fallbacks
521,CS006,Neighborhood Resilience Hub Network,2,7.09571,Digital Service Isolation and Offline Fallbacks
521,CS002,Regional Supply Network Diversification,3,6.72008,Digital Service Isolation and Offline Fallbacks
521,CS004,Cross-Agency Emergency Coordination Cells,4,6.69928,Digital Service Isolation and Offline Fallbacks
521,CS003,Wetland and Floodplain Buffer Network,5,6.65423,Digital Service Isolation and Offline Fallbacks
521,CS001,Microgrid and Critical Service Islanding,6,6.62484,Digital Service Isolation and Offline Fallbacks
522,CS001,Microgrid and Critical Service Islanding,1,7.47676,Microgrid and Critical Service Islanding
522,CS004,Cross-Agency Emergency Coordination Cells,2,7.00555,Microgrid and Critical Service Islanding
522,CS003,Wetland and Floodplain Buffer Network,3,6.96562,Microgrid and Critical Service Islanding
522,CS005,Digital Service Isolation and Offline Fallbacks,4,6.85579,Microgrid and Critical Service Islanding
522,CS006,Neighborhood Resilience Hub Network,5,6.63828,Microgrid and Critical Service Islanding
522,CS002,Regional Supply Network Diversification,6,6.63223,Microgrid and Critical Service Islanding
523,CS001,Microgrid and Critical Service Islanding,1,7.72389,Microgrid and Critical Service Islanding
523,CS003,Wetland and Floodplain Buffer Network,2,7.09481,Microgrid and Critical Service Islanding
523,CS005,Digital Service Isolation and Offline Fallbacks,3,7.03573,Microgrid and Critical Service Islanding
523,CS004,Cross-Agency Emergency Coordination Cells,4,6.96676,Microgrid and Critical Service Islanding
523,CS002,Regional Supply Network Diversification,5,6.90402,Microgrid and Critical Service Islanding
523,CS006,Neighborhood Resilience Hub Network,6,6.79804,Microgrid and Critical Service Islanding
524,CS005,Digital Service Isolation and Offline Fallbacks,1,7.36972,Digital Service Isolation and Offline Fallbacks
524,CS003,Wetland and Floodplain Buffer Network,2,7.23498,Digital Service Isolation and Offline Fallbacks
524,CS006,Neighborhood Resilience Hub Network,3,7.08023,Digital Service Isolation and Offline Fallbacks
524,CS001,Microgrid and Critical Service Islanding,4,6.93155,Digital Service Isolation and Offline Fallbacks
524,CS004,Cross-Agency Emergency Coordination Cells,5,6.91136,Digital Service Isolation and Offline Fallbacks
524,CS002,Regional Supply Network Diversification,6,6.63413,Digital Service Isolation and Offline Fallbacks
525,CS005,Digital Service Isolation and Offline Fallbacks,1,7.38807,Digital Service Isolation and Offline Fallbacks
525,CS003,Wetland and Floodplain Buffer Network,2,7.19087,Digital Service Isolation and Offline Fallbacks
525,CS001,Microgrid and Critical Service Islanding,3,7.12076,Digital Service Isolation and Offline Fallbacks
525,CS002,Regional Supply Network Diversification,4,6.94365,Digital Service Isolation and Offline Fallbacks
525,CS006,Neighborhood Resilience Hub Network,5,6.85436,Digital Service Isolation and Offline Fallbacks
525,CS004,Cross-Agency Emergency Coordination Cells,6,6.68191,Digital Service Isolation and Offline Fallbacks
526,CS005,Digital Service Isolation and Offline Fallbacks,1,7.18333,Digital Service Isolation and Offline Fallbacks
526,CS003,Wetland and Floodplain Buffer Network,2,7.1005,Digital Service Isolation and Offline Fallbacks
526,CS001,Microgrid and Critical Service Islanding,3,7.08429,Digital Service Isolation and Offline Fallbacks
526,CS004,Cross-Agency Emergency Coordination Cells,4,7.07347,Digital Service Isolation and Offline Fallbacks
526,CS006,Neighborhood Resilience Hub Network,5,7.05298,Digital Service Isolation and Offline Fallbacks
526,CS002,Regional Supply Network Diversification,6,6.59039,Digital Service Isolation and Offline Fallbacks
527,CS001,Microgrid and Critical Service Islanding,1,7.71265,Microgrid and Critical Service Islanding
527,CS006,Neighborhood Resilience Hub Network,2,7.41453,Microgrid and Critical Service Islanding
527,CS003,Wetland and Floodplain Buffer Network,3,7.22321,Microgrid and Critical Service Islanding
527,CS005,Digital Service Isolation and Offline Fallbacks,4,7.12403,Microgrid and Critical Service Islanding
527,CS004,Cross-Agency Emergency Coordination Cells,5,6.92722,Microgrid and Critical Service Islanding
527,CS002,Regional Supply Network Diversification,6,6.87194,Microgrid and Critical Service Islanding
528,CS001,Microgrid and Critical Service Islanding,1,7.37733,Microgrid and Critical Service Islanding
528,CS006,Neighborhood Resilience Hub Network,2,7.34002,Microgrid and Critical Service Islanding
528,CS004,Cross-Agency Emergency Coordination Cells,3,7.33725,Microgrid and Critical Service Islanding
528,CS005,Digital Service Isolation and Offline Fallbacks,4,7.21365,Microgrid and Critical Service Islanding
528,CS002,Regional Supply Network Diversification,5,7.07015,Microgrid and Critical Service Islanding
528,CS003,Wetland and Floodplain Buffer Network,6,6.78435,Microgrid and Critical Service Islanding
529,CS005,Digital Service Isolation and Offline Fallbacks,1,7.2878,Digital Service Isolation and Offline Fallbacks
529,CS001,Microgrid and Critical Service Islanding,2,7.21803,Digital Service Isolation and Offline Fallbacks
529,CS004,Cross-Agency Emergency Coordination Cells,3,7.0055,Digital Service Isolation and Offline Fallbacks
529,CS003,Wetland and Floodplain Buffer Network,4,6.95759,Digital Service Isolation and Offline Fallbacks
529,CS002,Regional Supply Network Diversification,5,6.87075,Digital Service Isolation and Offline Fallbacks
529,CS006,Neighborhood Resilience Hub Network,6,6.78526,Digital Service Isolation and Offline Fallbacks
530,CS001,Microgrid and Critical Service Islanding,1,7.40945,Microgrid and Critical Service Islanding
530,CS005,Digital Service Isolation and Offline Fallbacks,2,7.13524,Microgrid and Critical Service Islanding
530,CS004,Cross-Agency Emergency Coordination Cells,3,7.11494,Microgrid and Critical Service Islanding
530,CS003,Wetland and Floodplain Buffer Network,4,7.07759,Microgrid and Critical Service Islanding
530,CS002,Regional Supply Network Diversification,5,6.9638,Microgrid and Critical Service Islanding
530,CS006,Neighborhood Resilience Hub Network,6,6.89659,Microgrid and Critical Service Islanding
531,CS001,Microgrid and Critical Service Islanding,1,7.34888,Microgrid and Critical Service Islanding
531,CS005,Digital Service Isolation and Offline Fallbacks,2,7.2605,Microgrid and Critical Service Islanding
531,CS003,Wetland and Floodplain Buffer Network,3,7.11298,Microgrid and Critical Service Islanding
531,CS004,Cross-Agency Emergency Coordination Cells,4,6.84671,Microgrid and Critical Service Islanding
531,CS006,Neighborhood Resilience Hub Network,5,6.75763,Microgrid and Critical Service Islanding
531,CS002,Regional Supply Network Diversification,6,6.73928,Microgrid and Critical Service Islanding
532,CS001,Microgrid and Critical Service Islanding,1,7.65594,Microgrid and Critical Service Islanding
532,CS004,Cross-Agency Emergency Coordination Cells,2,7.56608,Microgrid and Critical Service Islanding
532,CS005,Digital Service Isolation and Offline Fallbacks,3,7.20461,Microgrid and Critical Service Islanding
532,CS002,Regional Supply Network Diversification,4,7.01905,Microgrid and Critical Service Islanding
532,CS006,Neighborhood Resilience Hub Network,5,6.9958,Microgrid and Critical Service Islanding
532,CS003,Wetland and Floodplain Buffer Network,6,6.93284,Microgrid and Critical Service Islanding
533,CS001,Microgrid and Critical Service Islanding,1,7.30722,Microgrid and Critical Service Islanding
533,CS006,Neighborhood Resilience Hub Network,2,7.2568,Microgrid and Critical Service Islanding
533,CS005,Digital Service Isolation and Offline Fallbacks,3,7.04507,Microgrid and Critical Service Islanding
533,CS003,Wetland and Floodplain Buffer Network,4,6.95596,Microgrid and Critical Service Islanding
533,CS004,Cross-Agency Emergency Coordination Cells,5,6.86493,Microgrid and Critical Service Islanding
533,CS002,Regional Supply Network Diversification,6,6.61086,Microgrid and Critical Service Islanding
