simulation_id,strategy_id,strategy,rank,drr_value,winner
398,DRR006,Equitable Recovery and Housing Protection Program,1,7.42929,Equitable Recovery and Housing Protection Program
398,DRR005,Integrated Preparedness and Response Training,2,6.62787,Equitable Recovery and Housing Protection Program
398,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,3,6.51466,Equitable Recovery and Housing Protection Program
398,DRR002,Community Early Warning Network,4,6.25732,Equitable Recovery and Housing Protection Program
398,DRR003,Critical Infrastructure Hardening,5,6.15595,Equitable Recovery and Housing Protection Program
398,DRR001,Floodplain Land-Use Restriction,6,5.94068,Equitable Recovery and Housing Protection Program
399,DRR006,Equitable Recovery and Housing Protection Program,1,6.98785,Equitable Recovery and Housing Protection Program
399,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.79036,Equitable Recovery and Housing Protection Program
399,DRR005,Integrated Preparedness and Response Training,3,6.70347,Equitable Recovery and Housing Protection Program
399,DRR001,Floodplain Land-Use Restriction,4,6.42426,Equitable Recovery and Housing Protection Program
399,DRR002,Community Early Warning Network,5,6.29939,Equitable Recovery and Housing Protection Program
399,DRR003,Critical Infrastructure Hardening,6,6.269,Equitable Recovery and Housing Protection Program
400,DRR006,Equitable Recovery and Housing Protection Program,1,7.22998,Equitable Recovery and Housing Protection Program
400,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.75688,Equitable Recovery and Housing Protection Program
400,DRR002,Community Early Warning Network,3,6.71593,Equitable Recovery and Housing Protection Program
400,DRR005,Integrated Preparedness and Response Training,4,6.23403,Equitable Recovery and Housing Protection Program
400,DRR001,Floodplain Land-Use Restriction,5,6.01962,Equitable Recovery and Housing Protection Program
400,DRR003,Critical Infrastructure Hardening,6,5.37971,Equitable Recovery and Housing Protection Program
401,DRR006,Equitable Recovery and Housing Protection Program,1,6.91877,Equitable Recovery and Housing Protection Program
401,DRR002,Community Early Warning Network,2,6.81642,Equitable Recovery and Housing Protection Program
401,DRR005,Integrated Preparedness and Response Training,3,6.50573,Equitable Recovery and Housing Protection Program
401,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,4,6.48723,Equitable Recovery and Housing Protection Program
401,DRR003,Critical Infrastructure Hardening,5,6.39236,Equitable Recovery and Housing Protection Program
401,DRR001,Floodplain Land-Use Restriction,6,5.84259,Equitable Recovery and Housing Protection Program
402,DRR002,Community Early Warning Network,1,6.86602,Community Early Warning Network
402,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.73908,Community Early Warning Network
402,DRR006,Equitable Recovery and Housing Protection Program,3,6.69065,Community Early Warning Network
402,DRR005,Integrated Preparedness and Response Training,4,6.3007,Community Early Warning Network
402,DRR003,Critical Infrastructure Hardening,5,6.17668,Community Early Warning Network
402,DRR001,Floodplain Land-Use Restriction,6,6.00148,Community Early Warning Network
403,DRR006,Equitable Recovery and Housing Protection Program,1,6.70019,Equitable Recovery and Housing Protection Program
403,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.66361,Equitable Recovery and Housing Protection Program
403,DRR001,Floodplain Land-Use Restriction,3,6.47155,Equitable Recovery and Housing Protection Program
403,DRR002,Community Early Warning Network,4,6.45751,Equitable Recovery and Housing Protection Program
403,DRR003,Critical Infrastructure Hardening,5,6.26067,Equitable Recovery and Housing Protection Program
403,DRR005,Integrated Preparedness and Response Training,6,6.2372,Equitable Recovery and Housing Protection Program
404,DRR006,Equitable Recovery and Housing Protection Program,1,7.09731,Equitable Recovery and Housing Protection Program
404,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.76538,Equitable Recovery and Housing Protection Program
404,DRR005,Integrated Preparedness and Response Training,3,6.59438,Equitable Recovery and Housing Protection Program
404,DRR002,Community Early Warning Network,4,6.15245,Equitable Recovery and Housing Protection Program
404,DRR003,Critical Infrastructure Hardening,5,6.13206,Equitable Recovery and Housing Protection Program
404,DRR001,Floodplain Land-Use Restriction,6,5.93466,Equitable Recovery and Housing Protection Program
405,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,1,6.713,Ecosystem-Based Flood and Fire Risk Reduction
405,DRR001,Floodplain Land-Use Restriction,2,6.22295,Ecosystem-Based Flood and Fire Risk Reduction
405,DRR005,Integrated Preparedness and Response Training,3,6.17024,Ecosystem-Based Flood and Fire Risk Reduction
405,DRR006,Equitable Recovery and Housing Protection Program,4,6.14537,Ecosystem-Based Flood and Fire Risk Reduction
405,DRR003,Critical Infrastructure Hardening,5,6.07662,Ecosystem-Based Flood and Fire Risk Reduction
405,DRR002,Community Early Warning Network,6,5.9232,Ecosystem-Based Flood and Fire Risk Reduction
406,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,1,7.04718,Ecosystem-Based Flood and Fire Risk Reduction
406,DRR006,Equitable Recovery and Housing Protection Program,2,6.78774,Ecosystem-Based Flood and Fire Risk Reduction
406,DRR003,Critical Infrastructure Hardening,3,6.51534,Ecosystem-Based Flood and Fire Risk Reduction
406,DRR005,Integrated Preparedness and Response Training,4,6.46319,Ecosystem-Based Flood and Fire Risk Reduction
406,DRR002,Community Early Warning Network,5,6.44553,Ecosystem-Based Flood and Fire Risk Reduction
406,DRR001,Floodplain Land-Use Restriction,6,6.18455,Ecosystem-Based Flood and Fire Risk Reduction
407,DRR006,Equitable Recovery and Housing Protection Program,1,6.76638,Equitable Recovery and Housing Protection Program
407,DRR002,Community Early Warning Network,2,6.60793,Equitable Recovery and Housing Protection Program
407,DRR005,Integrated Preparedness and Response Training,3,6.52062,Equitable Recovery and Housing Protection Program
407,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,4,6.40003,Equitable Recovery and Housing Protection Program
407,DRR001,Floodplain Land-Use Restriction,5,6.39324,Equitable Recovery and Housing Protection Program
407,DRR003,Critical Infrastructure Hardening,6,5.90654,Equitable Recovery and Housing Protection Program
408,DRR006,Equitable Recovery and Housing Protection Program,1,6.88502,Equitable Recovery and Housing Protection Program
408,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.80536,Equitable Recovery and Housing Protection Program
408,DRR002,Community Early Warning Network,3,6.61565,Equitable Recovery and Housing Protection Program
408,DRR005,Integrated Preparedness and Response Training,4,6.45254,Equitable Recovery and Housing Protection Program
408,DRR001,Floodplain Land-Use Restriction,5,6.13948,Equitable Recovery and Housing Protection Program
408,DRR003,Critical Infrastructure Hardening,6,6.13303,Equitable Recovery and Housing Protection Program
409,DRR006,Equitable Recovery and Housing Protection Program,1,6.90208,Equitable Recovery and Housing Protection Program
409,DRR002,Community Early Warning Network,2,6.52506,Equitable Recovery and Housing Protection Program
409,DRR005,Integrated Preparedness and Response Training,3,6.50768,Equitable Recovery and Housing Protection Program
409,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,4,6.29643,Equitable Recovery and Housing Protection Program
409,DRR003,Critical Infrastructure Hardening,5,6.02323,Equitable Recovery and Housing Protection Program
409,DRR001,Floodplain Land-Use Restriction,6,5.94072,Equitable Recovery and Housing Protection Program
410,DRR006,Equitable Recovery and Housing Protection Program,1,7.26932,Equitable Recovery and Housing Protection Program
410,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.35432,Equitable Recovery and Housing Protection Program
410,DRR001,Floodplain Land-Use Restriction,3,6.2458,Equitable Recovery and Housing Protection Program
410,DRR005,Integrated Preparedness and Response Training,4,6.2318,Equitable Recovery and Housing Protection Program
410,DRR002,Community Early Warning Network,5,6.20621,Equitable Recovery and Housing Protection Program
410,DRR003,Critical Infrastructure Hardening,6,6.18091,Equitable Recovery and Housing Protection Program
411,DRR006,Equitable Recovery and Housing Protection Program,1,6.79818,Equitable Recovery and Housing Protection Program
411,DRR005,Integrated Preparedness and Response Training,2,6.46582,Equitable Recovery and Housing Protection Program
411,DRR003,Critical Infrastructure Hardening,3,6.40999,Equitable Recovery and Housing Protection Program
411,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,4,6.33998,Equitable Recovery and Housing Protection Program
411,DRR002,Community Early Warning Network,5,6.143,Equitable Recovery and Housing Protection Program
411,DRR001,Floodplain Land-Use Restriction,6,5.81266,Equitable Recovery and Housing Protection Program
412,DRR006,Equitable Recovery and Housing Protection Program,1,7.01394,Equitable Recovery and Housing Protection Program
412,DRR005,Integrated Preparedness and Response Training,2,6.90439,Equitable Recovery and Housing Protection Program
412,DRR002,Community Early Warning Network,3,6.3334,Equitable Recovery and Housing Protection Program
412,DRR001,Floodplain Land-Use Restriction,4,6.32796,Equitable Recovery and Housing Protection Program
412,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,5,6.26324,Equitable Recovery and Housing Protection Program
412,DRR003,Critical Infrastructure Hardening,6,5.56912,Equitable Recovery and Housing Protection Program
413,DRR002,Community Early Warning Network,1,6.79234,Community Early Warning Network
413,DRR006,Equitable Recovery and Housing Protection Program,2,6.70874,Community Early Warning Network
413,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,3,6.66736,Community Early Warning Network
413,DRR005,Integrated Preparedness and Response Training,4,6.53424,Community Early Warning Network
413,DRR003,Critical Infrastructure Hardening,5,6.22465,Community Early Warning Network
413,DRR001,Floodplain Land-Use Restriction,6,5.8076,Community Early Warning Network
414,DRR006,Equitable Recovery and Housing Protection Program,1,6.94865,Equitable Recovery and Housing Protection Program
414,DRR005,Integrated Preparedness and Response Training,2,6.53024,Equitable Recovery and Housing Protection Program
414,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,3,6.52196,Equitable Recovery and Housing Protection Program
414,DRR002,Community Early Warning Network,4,6.37081,Equitable Recovery and Housing Protection Program
414,DRR001,Floodplain Land-Use Restriction,5,5.80513,Equitable Recovery and Housing Protection Program
414,DRR003,Critical Infrastructure Hardening,6,5.63574,Equitable Recovery and Housing Protection Program
415,DRR005,Integrated Preparedness and Response Training,1,6.47496,Integrated Preparedness and Response Training
415,DRR006,Equitable Recovery and Housing Protection Program,2,6.40281,Integrated Preparedness and Response Training
415,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,3,6.37642,Integrated Preparedness and Response Training
415,DRR002,Community Early Warning Network,4,5.94948,Integrated Preparedness and Response Training
415,DRR003,Critical Infrastructure Hardening,5,5.63312,Integrated Preparedness and Response Training
415,DRR001,Floodplain Land-Use Restriction,6,5.61808,Integrated Preparedness and Response Training
416,DRR006,Equitable Recovery and Housing Protection Program,1,6.88657,Equitable Recovery and Housing Protection Program
416,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.60887,Equitable Recovery and Housing Protection Program
416,DRR002,Community Early Warning Network,3,6.44525,Equitable Recovery and Housing Protection Program
416,DRR003,Critical Infrastructure Hardening,4,6.39776,Equitable Recovery and Housing Protection Program
416,DRR001,Floodplain Land-Use Restriction,5,6.38843,Equitable Recovery and Housing Protection Program
416,DRR005,Integrated Preparedness and Response Training,6,6.01222,Equitable Recovery and Housing Protection Program
417,DRR006,Equitable Recovery and Housing Protection Program,1,6.50364,Equitable Recovery and Housing Protection Program
417,DRR005,Integrated Preparedness and Response Training,2,6.32264,Equitable Recovery and Housing Protection Program
417,DRR001,Floodplain Land-Use Restriction,3,6.30933,Equitable Recovery and Housing Protection Program
417,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,4,6.2535,Equitable Recovery and Housing Protection Program
417,DRR002,Community Early Warning Network,5,6.09523,Equitable Recovery and Housing Protection Program
417,DRR003,Critical Infrastructure Hardening,6,5.83451,Equitable Recovery and Housing Protection Program
418,DRR006,Equitable Recovery and Housing Protection Program,1,7.0961,Equitable Recovery and Housing Protection Program
418,DRR005,Integrated Preparedness and Response Training,2,6.9069,Equitable Recovery and Housing Protection Program
418,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,3,6.85705,Equitable Recovery and Housing Protection Program
418,DRR002,Community Early Warning Network,4,6.73685,Equitable Recovery and Housing Protection Program
418,DRR001,Floodplain Land-Use Restriction,5,6.42778,Equitable Recovery and Housing Protection Program
418,DRR003,Critical Infrastructure Hardening,6,6.32234,Equitable Recovery and Housing Protection Program
419,DRR006,Equitable Recovery and Housing Protection Program,1,6.98749,Equitable Recovery and Housing Protection Program
419,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.59309,Equitable Recovery and Housing Protection Program
419,DRR005,Integrated Preparedness and Response Training,3,6.26724,Equitable Recovery and Housing Protection Program
419,DRR002,Community Early Warning Network,4,6.17242,Equitable Recovery and Housing Protection Program
419,DRR001,Floodplain Land-Use Restriction,5,6.04126,Equitable Recovery and Housing Protection Program
419,DRR003,Critical Infrastructure Hardening,6,5.86704,Equitable Recovery and Housing Protection Program
420,DRR006,Equitable Recovery and Housing Protection Program,1,6.67408,Equitable Recovery and Housing Protection Program
420,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.56842,Equitable Recovery and Housing Protection Program
420,DRR005,Integrated Preparedness and Response Training,3,6.49399,Equitable Recovery and Housing Protection Program
420,DRR002,Community Early Warning Network,4,6.39199,Equitable Recovery and Housing Protection Program
420,DRR001,Floodplain Land-Use Restriction,5,6.36983,Equitable Recovery and Housing Protection Program
420,DRR003,Critical Infrastructure Hardening,6,6.34424,Equitable Recovery and Housing Protection Program
421,DRR006,Equitable Recovery and Housing Protection Program,1,6.95109,Equitable Recovery and Housing Protection Program
421,DRR001,Floodplain Land-Use Restriction,2,6.60816,Equitable Recovery and Housing Protection Program
421,DRR002,Community Early Warning Network,3,6.49632,Equitable Recovery and Housing Protection Program
421,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,4,6.38727,Equitable Recovery and Housing Protection Program
421,DRR005,Integrated Preparedness and Response Training,5,6.20231,Equitable Recovery and Housing Protection Program
421,DRR003,Critical Infrastructure Hardening,6,6.18119,Equitable Recovery and Housing Protection Program
422,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,1,6.79421,Ecosystem-Based Flood and Fire Risk Reduction
422,DRR001,Floodplain Land-Use Restriction,2,6.42868,Ecosystem-Based Flood and Fire Risk Reduction
422,DRR005,Integrated Preparedness and Response Training,3,6.4266,Ecosystem-Based Flood and Fire Risk Reduction
422,DRR003,Critical Infrastructure Hardening,4,6.22854,Ecosystem-Based Flood and Fire Risk Reduction
422,DRR002,Community Early Warning Network,5,6.09452,Ecosystem-Based Flood and Fire Risk Reduction
422,DRR006,Equitable Recovery and Housing Protection Program,6,5.94044,Ecosystem-Based Flood and Fire Risk Reduction
423,DRR002,Community Early Warning Network,1,6.87805,Community Early Warning Network
423,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.80385,Community Early Warning Network
423,DRR006,Equitable Recovery and Housing Protection Program,3,6.66579,Community Early Warning Network
423,DRR005,Integrated Preparedness and Response Training,4,6.62523,Community Early Warning Network
423,DRR001,Floodplain Land-Use Restriction,5,6.38405,Community Early Warning Network
423,DRR003,Critical Infrastructure Hardening,6,6.23932,Community Early Warning Network
424,DRR002,Community Early Warning Network,1,7.04617,Community Early Warning Network
424,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.68881,Community Early Warning Network
424,DRR006,Equitable Recovery and Housing Protection Program,3,6.62935,Community Early Warning Network
424,DRR001,Floodplain Land-Use Restriction,4,6.18095,Community Early Warning Network
424,DRR005,Integrated Preparedness and Response Training,5,6.02797,Community Early Warning Network
424,DRR003,Critical Infrastructure Hardening,6,5.452,Community Early Warning Network
425,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,1,6.9466,Ecosystem-Based Flood and Fire Risk Reduction
425,DRR006,Equitable Recovery and Housing Protection Program,2,6.82511,Ecosystem-Based Flood and Fire Risk Reduction
425,DRR002,Community Early Warning Network,3,6.58065,Ecosystem-Based Flood and Fire Risk Reduction
425,DRR001,Floodplain Land-Use Restriction,4,6.43391,Ecosystem-Based Flood and Fire Risk Reduction
425,DRR005,Integrated Preparedness and Response Training,5,6.38236,Ecosystem-Based Flood and Fire Risk Reduction
425,DRR003,Critical Infrastructure Hardening,6,6.26175,Ecosystem-Based Flood and Fire Risk Reduction
426,DRR006,Equitable Recovery and Housing Protection Program,1,6.89546,Equitable Recovery and Housing Protection Program
426,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.77858,Equitable Recovery and Housing Protection Program
426,DRR003,Critical Infrastructure Hardening,3,6.69349,Equitable Recovery and Housing Protection Program
426,DRR002,Community Early Warning Network,4,6.65358,Equitable Recovery and Housing Protection Program
426,DRR005,Integrated Preparedness and Response Training,5,6.61012,Equitable Recovery and Housing Protection Program
426,DRR001,Floodplain Land-Use Restriction,6,6.46142,Equitable Recovery and Housing Protection Program
427,DRR006,Equitable Recovery and Housing Protection Program,1,6.70944,Equitable Recovery and Housing Protection Program
427,DRR005,Integrated Preparedness and Response Training,2,6.50153,Equitable Recovery and Housing Protection Program
427,DRR002,Community Early Warning Network,3,6.45046,Equitable Recovery and Housing Protection Program
427,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,4,6.39847,Equitable Recovery and Housing Protection Program
427,DRR001,Floodplain Land-Use Restriction,5,6.27395,Equitable Recovery and Housing Protection Program
427,DRR003,Critical Infrastructure Hardening,6,6.2568,Equitable Recovery and Housing Protection Program
428,DRR002,Community Early Warning Network,1,6.633,Community Early Warning Network
428,DRR006,Equitable Recovery and Housing Protection Program,2,6.58006,Community Early Warning Network
428,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,3,6.57538,Community Early Warning Network
428,DRR005,Integrated Preparedness and Response Training,4,6.47294,Community Early Warning Network
428,DRR003,Critical Infrastructure Hardening,5,6.16672,Community Early Warning Network
428,DRR001,Floodplain Land-Use Restriction,6,6.00317,Community Early Warning Network
429,DRR006,Equitable Recovery and Housing Protection Program,1,6.80272,Equitable Recovery and Housing Protection Program
429,DRR002,Community Early Warning Network,2,6.69401,Equitable Recovery and Housing Protection Program
429,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,3,6.48081,Equitable Recovery and Housing Protection Program
429,DRR005,Integrated Preparedness and Response Training,4,6.42998,Equitable Recovery and Housing Protection Program
429,DRR001,Floodplain Land-Use Restriction,5,6.30961,Equitable Recovery and Housing Protection Program
429,DRR003,Critical Infrastructure Hardening,6,5.75859,Equitable Recovery and Housing Protection Program
430,DRR006,Equitable Recovery and Housing Protection Program,1,6.90563,Equitable Recovery and Housing Protection Program
430,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.71577,Equitable Recovery and Housing Protection Program
430,DRR005,Integrated Preparedness and Response Training,3,6.41543,Equitable Recovery and Housing Protection Program
430,DRR002,Community Early Warning Network,4,6.25557,Equitable Recovery and Housing Protection Program
430,DRR003,Critical Infrastructure Hardening,5,6.13087,Equitable Recovery and Housing Protection Program
430,DRR001,Floodplain Land-Use Restriction,6,5.97007,Equitable Recovery and Housing Protection Program
431,DRR006,Equitable Recovery and Housing Protection Program,1,6.75814,Equitable Recovery and Housing Protection Program
431,DRR002,Community Early Warning Network,2,6.5082,Equitable Recovery and Housing Protection Program
431,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,3,6.49608,Equitable Recovery and Housing Protection Program
431,DRR001,Floodplain Land-Use Restriction,4,6.41554,Equitable Recovery and Housing Protection Program
431,DRR005,Integrated Preparedness and Response Training,5,6.23272,Equitable Recovery and Housing Protection Program
431,DRR003,Critical Infrastructure Hardening,6,5.94054,Equitable Recovery and Housing Protection Program
432,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,1,6.94156,Ecosystem-Based Flood and Fire Risk Reduction
432,DRR005,Integrated Preparedness and Response Training,2,6.74781,Ecosystem-Based Flood and Fire Risk Reduction
432,DRR006,Equitable Recovery and Housing Protection Program,3,6.71151,Ecosystem-Based Flood and Fire Risk Reduction
432,DRR002,Community Early Warning Network,4,6.39336,Ecosystem-Based Flood and Fire Risk Reduction
432,DRR003,Critical Infrastructure Hardening,5,6.09415,Ecosystem-Based Flood and Fire Risk Reduction
432,DRR001,Floodplain Land-Use Restriction,6,6.07915,Ecosystem-Based Flood and Fire Risk Reduction
433,DRR006,Equitable Recovery and Housing Protection Program,1,7.1373,Equitable Recovery and Housing Protection Program
433,DRR005,Integrated Preparedness and Response Training,2,6.49375,Equitable Recovery and Housing Protection Program
433,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,3,6.3937,Equitable Recovery and Housing Protection Program
433,DRR002,Community Early Warning Network,4,6.23607,Equitable Recovery and Housing Protection Program
433,DRR001,Floodplain Land-Use Restriction,5,6.13834,Equitable Recovery and Housing Protection Program
433,DRR003,Critical Infrastructure Hardening,6,5.87651,Equitable Recovery and Housing Protection Program
434,DRR006,Equitable Recovery and Housing Protection Program,1,6.78593,Equitable Recovery and Housing Protection Program
434,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.75865,Equitable Recovery and Housing Protection Program
434,DRR002,Community Early Warning Network,3,6.43544,Equitable Recovery and Housing Protection Program
434,DRR001,Floodplain Land-Use Restriction,4,6.3469,Equitable Recovery and Housing Protection Program
434,DRR005,Integrated Preparedness and Response Training,5,6.2681,Equitable Recovery and Housing Protection Program
434,DRR003,Critical Infrastructure Hardening,6,6.26617,Equitable Recovery and Housing Protection Program
435,DRR005,Integrated Preparedness and Response Training,1,6.78442,Integrated Preparedness and Response Training
435,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.77807,Integrated Preparedness and Response Training
435,DRR006,Equitable Recovery and Housing Protection Program,3,6.54596,Integrated Preparedness and Response Training
435,DRR002,Community Early Warning Network,4,6.35435,Integrated Preparedness and Response Training
435,DRR003,Critical Infrastructure Hardening,5,6.07714,Integrated Preparedness and Response Training
435,DRR001,Floodplain Land-Use Restriction,6,5.84997,Integrated Preparedness and Response Training
436,DRR006,Equitable Recovery and Housing Protection Program,1,7.01109,Equitable Recovery and Housing Protection Program
436,DRR005,Integrated Preparedness and Response Training,2,6.81667,Equitable Recovery and Housing Protection Program
436,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,3,6.62468,Equitable Recovery and Housing Protection Program
436,DRR001,Floodplain Land-Use Restriction,4,6.29819,Equitable Recovery and Housing Protection Program
436,DRR002,Community Early Warning Network,5,6.16205,Equitable Recovery and Housing Protection Program
436,DRR003,Critical Infrastructure Hardening,6,5.83839,Equitable Recovery and Housing Protection Program
437,DRR006,Equitable Recovery and Housing Protection Program,1,6.7199,Equitable Recovery and Housing Protection Program
437,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.69021,Equitable Recovery and Housing Protection Program
437,DRR005,Integrated Preparedness and Response Training,3,6.58163,Equitable Recovery and Housing Protection Program
437,DRR002,Community Early Warning Network,4,6.30443,Equitable Recovery and Housing Protection Program
437,DRR001,Floodplain Land-Use Restriction,5,5.96518,Equitable Recovery and Housing Protection Program
437,DRR003,Critical Infrastructure Hardening,6,5.83381,Equitable Recovery and Housing Protection Program
438,DRR006,Equitable Recovery and Housing Protection Program,1,7.0028,Equitable Recovery and Housing Protection Program
438,DRR002,Community Early Warning Network,2,6.62895,Equitable Recovery and Housing Protection Program
438,DRR001,Floodplain Land-Use Restriction,3,6.38749,Equitable Recovery and Housing Protection Program
438,DRR005,Integrated Preparedness and Response Training,4,6.35086,Equitable Recovery and Housing Protection Program
438,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,5,6.33348,Equitable Recovery and Housing Protection Program
438,DRR003,Critical Infrastructure Hardening,6,5.45689,Equitable Recovery and Housing Protection Program
439,DRR002,Community Early Warning Network,1,6.82402,Community Early Warning Network
439,DRR006,Equitable Recovery and Housing Protection Program,2,6.81268,Community Early Warning Network
439,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,3,6.55544,Community Early Warning Network
439,DRR005,Integrated Preparedness and Response Training,4,6.41305,Community Early Warning Network
439,DRR001,Floodplain Land-Use Restriction,5,6.15899,Community Early Warning Network
439,DRR003,Critical Infrastructure Hardening,6,5.97351,Community Early Warning Network
440,DRR002,Community Early Warning Network,1,6.84043,Community Early Warning Network
440,DRR001,Floodplain Land-Use Restriction,2,6.76391,Community Early Warning Network
440,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,3,6.71175,Community Early Warning Network
440,DRR006,Equitable Recovery and Housing Protection Program,4,6.675,Community Early Warning Network
440,DRR003,Critical Infrastructure Hardening,5,6.49843,Community Early Warning Network
440,DRR005,Integrated Preparedness and Response Training,6,6.45107,Community Early Warning Network
441,DRR006,Equitable Recovery and Housing Protection Program,1,7.03348,Equitable Recovery and Housing Protection Program
441,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.99336,Equitable Recovery and Housing Protection Program
441,DRR002,Community Early Warning Network,3,6.50981,Equitable Recovery and Housing Protection Program
441,DRR005,Integrated Preparedness and Response Training,4,6.46051,Equitable Recovery and Housing Protection Program
441,DRR003,Critical Infrastructure Hardening,5,5.99317,Equitable Recovery and Housing Protection Program
441,DRR001,Floodplain Land-Use Restriction,6,5.79643,Equitable Recovery and Housing Protection Program
442,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,1,6.99811,Ecosystem-Based Flood and Fire Risk Reduction
442,DRR005,Integrated Preparedness and Response Training,2,6.61409,Ecosystem-Based Flood and Fire Risk Reduction
442,DRR006,Equitable Recovery and Housing Protection Program,3,6.58555,Ecosystem-Based Flood and Fire Risk Reduction
442,DRR002,Community Early Warning Network,4,6.5163,Ecosystem-Based Flood and Fire Risk Reduction
442,DRR001,Floodplain Land-Use Restriction,5,6.24567,Ecosystem-Based Flood and Fire Risk Reduction
442,DRR003,Critical Infrastructure Hardening,6,6.22547,Ecosystem-Based Flood and Fire Risk Reduction
443,DRR006,Equitable Recovery and Housing Protection Program,1,6.80768,Equitable Recovery and Housing Protection Program
443,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.6443,Equitable Recovery and Housing Protection Program
443,DRR005,Integrated Preparedness and Response Training,3,6.42216,Equitable Recovery and Housing Protection Program
443,DRR002,Community Early Warning Network,4,6.24724,Equitable Recovery and Housing Protection Program
443,DRR001,Floodplain Land-Use Restriction,5,6.24653,Equitable Recovery and Housing Protection Program
443,DRR003,Critical Infrastructure Hardening,6,5.76402,Equitable Recovery and Housing Protection Program
444,DRR006,Equitable Recovery and Housing Protection Program,1,6.8194,Equitable Recovery and Housing Protection Program
444,DRR002,Community Early Warning Network,2,6.56962,Equitable Recovery and Housing Protection Program
444,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,3,6.55224,Equitable Recovery and Housing Protection Program
444,DRR005,Integrated Preparedness and Response Training,4,6.30644,Equitable Recovery and Housing Protection Program
444,DRR001,Floodplain Land-Use Restriction,5,6.16109,Equitable Recovery and Housing Protection Program
444,DRR003,Critical Infrastructure Hardening,6,6.06176,Equitable Recovery and Housing Protection Program
445,DRR002,Community Early Warning Network,1,6.69629,Community Early Warning Network
445,DRR006,Equitable Recovery and Housing Protection Program,2,6.67843,Community Early Warning Network
445,DRR003,Critical Infrastructure Hardening,3,6.58555,Community Early Warning Network
445,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,4,6.57591,Community Early Warning Network
445,DRR005,Integrated Preparedness and Response Training,5,6.49228,Community Early Warning Network
445,DRR001,Floodplain Land-Use Restriction,6,6.22686,Community Early Warning Network
446,DRR006,Equitable Recovery and Housing Protection Program,1,6.96718,Equitable Recovery and Housing Protection Program
446,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.9409,Equitable Recovery and Housing Protection Program
446,DRR002,Community Early Warning Network,3,6.78812,Equitable Recovery and Housing Protection Program
446,DRR001,Floodplain Land-Use Restriction,4,6.64852,Equitable Recovery and Housing Protection Program
446,DRR005,Integrated Preparedness and Response Training,5,6.08022,Equitable Recovery and Housing Protection Program
446,DRR003,Critical Infrastructure Hardening,6,6.00084,Equitable Recovery and Housing Protection Program
447,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,1,6.99137,Ecosystem-Based Flood and Fire Risk Reduction
