simulation_id,strategy_id,strategy,rank,infrastructure_resilience_value,winner
692,IIR005,Cyber-Physical Security and Recovery Program,5,7.82774,Critical Function and Dependency Mapping
692,IIR002,Sensor Monitoring and Early Warning Network,6,7.71154,Critical Function and Dependency Mapping
692,IIR007,Interoperability and Vendor Portability Strategy,7,7.66839,Critical Function and Dependency Mapping
693,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.4405,Equity-Centered Climate Adaptation Portfolio
693,IIR004,Predictive Maintenance and Asset Renewal,2,8.04705,Equity-Centered Climate Adaptation Portfolio
693,IIR005,Cyber-Physical Security and Recovery Program,3,7.92004,Equity-Centered Climate Adaptation Portfolio
693,IIR007,Interoperability and Vendor Portability Strategy,4,7.73759,Equity-Centered Climate Adaptation Portfolio
693,IIR003,Digital Twin and Scenario Stress Testing,5,7.72234,Equity-Centered Climate Adaptation Portfolio
693,IIR002,Sensor Monitoring and Early Warning Network,6,7.62219,Equity-Centered Climate Adaptation Portfolio
693,IIR001,Critical Function and Dependency Mapping,7,7.56213,Equity-Centered Climate Adaptation Portfolio
694,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.30602,Equity-Centered Climate Adaptation Portfolio
694,IIR003,Digital Twin and Scenario Stress Testing,2,8.28756,Equity-Centered Climate Adaptation Portfolio
694,IIR004,Predictive Maintenance and Asset Renewal,3,8.02074,Equity-Centered Climate Adaptation Portfolio
694,IIR001,Critical Function and Dependency Mapping,4,7.95645,Equity-Centered Climate Adaptation Portfolio
694,IIR002,Sensor Monitoring and Early Warning Network,5,7.94054,Equity-Centered Climate Adaptation Portfolio
694,IIR007,Interoperability and Vendor Portability Strategy,6,7.76151,Equity-Centered Climate Adaptation Portfolio
694,IIR005,Cyber-Physical Security and Recovery Program,7,7.66528,Equity-Centered Climate Adaptation Portfolio
695,IIR004,Predictive Maintenance and Asset Renewal,1,8.12403,Predictive Maintenance and Asset Renewal
695,IIR006,Equity-Centered Climate Adaptation Portfolio,2,8.10435,Predictive Maintenance and Asset Renewal
695,IIR002,Sensor Monitoring and Early Warning Network,3,8.01966,Predictive Maintenance and Asset Renewal
695,IIR003,Digital Twin and Scenario Stress Testing,4,8.00621,Predictive Maintenance and Asset Renewal
695,IIR007,Interoperability and Vendor Portability Strategy,5,7.93312,Predictive Maintenance and Asset Renewal
695,IIR005,Cyber-Physical Security and Recovery Program,6,7.86532,Predictive Maintenance and Asset Renewal
695,IIR001,Critical Function and Dependency Mapping,7,7.81849,Predictive Maintenance and Asset Renewal
696,IIR003,Digital Twin and Scenario Stress Testing,1,8.16052,Digital Twin and Scenario Stress Testing
696,IIR006,Equity-Centered Climate Adaptation Portfolio,2,7.98134,Digital Twin and Scenario Stress Testing
696,IIR004,Predictive Maintenance and Asset Renewal,3,7.92891,Digital Twin and Scenario Stress Testing
696,IIR007,Interoperability and Vendor Portability Strategy,4,7.92165,Digital Twin and Scenario Stress Testing
696,IIR001,Critical Function and Dependency Mapping,5,7.86428,Digital Twin and Scenario Stress Testing
696,IIR005,Cyber-Physical Security and Recovery Program,6,7.78714,Digital Twin and Scenario Stress Testing
696,IIR002,Sensor Monitoring and Early Warning Network,7,7.72285,Digital Twin and Scenario Stress Testing
697,IIR003,Digital Twin and Scenario Stress Testing,1,8.14226,Digital Twin and Scenario Stress Testing
697,IIR006,Equity-Centered Climate Adaptation Portfolio,2,8.13652,Digital Twin and Scenario Stress Testing
697,IIR002,Sensor Monitoring and Early Warning Network,3,7.90133,Digital Twin and Scenario Stress Testing
697,IIR001,Critical Function and Dependency Mapping,4,7.864,Digital Twin and Scenario Stress Testing
697,IIR004,Predictive Maintenance and Asset Renewal,5,7.84088,Digital Twin and Scenario Stress Testing
697,IIR005,Cyber-Physical Security and Recovery Program,6,7.82164,Digital Twin and Scenario Stress Testing
697,IIR007,Interoperability and Vendor Portability Strategy,7,7.68472,Digital Twin and Scenario Stress Testing
698,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.16653,Equity-Centered Climate Adaptation Portfolio
698,IIR004,Predictive Maintenance and Asset Renewal,2,8.05623,Equity-Centered Climate Adaptation Portfolio
698,IIR001,Critical Function and Dependency Mapping,3,8.01269,Equity-Centered Climate Adaptation Portfolio
698,IIR005,Cyber-Physical Security and Recovery Program,4,7.96588,Equity-Centered Climate Adaptation Portfolio
698,IIR002,Sensor Monitoring and Early Warning Network,5,7.7695,Equity-Centered Climate Adaptation Portfolio
698,IIR003,Digital Twin and Scenario Stress Testing,6,7.53953,Equity-Centered Climate Adaptation Portfolio
698,IIR007,Interoperability and Vendor Portability Strategy,7,7.4469,Equity-Centered Climate Adaptation Portfolio
699,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.38019,Equity-Centered Climate Adaptation Portfolio
699,IIR001,Critical Function and Dependency Mapping,2,7.92252,Equity-Centered Climate Adaptation Portfolio
699,IIR003,Digital Twin and Scenario Stress Testing,3,7.91141,Equity-Centered Climate Adaptation Portfolio
699,IIR002,Sensor Monitoring and Early Warning Network,4,7.87371,Equity-Centered Climate Adaptation Portfolio
699,IIR007,Interoperability and Vendor Portability Strategy,5,7.84746,Equity-Centered Climate Adaptation Portfolio
699,IIR004,Predictive Maintenance and Asset Renewal,6,7.80108,Equity-Centered Climate Adaptation Portfolio
699,IIR005,Cyber-Physical Security and Recovery Program,7,7.71289,Equity-Centered Climate Adaptation Portfolio
700,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.17104,Equity-Centered Climate Adaptation Portfolio
700,IIR003,Digital Twin and Scenario Stress Testing,2,8.13825,Equity-Centered Climate Adaptation Portfolio
700,IIR004,Predictive Maintenance and Asset Renewal,3,8.08985,Equity-Centered Climate Adaptation Portfolio
700,IIR002,Sensor Monitoring and Early Warning Network,4,7.87719,Equity-Centered Climate Adaptation Portfolio
700,IIR005,Cyber-Physical Security and Recovery Program,5,7.83383,Equity-Centered Climate Adaptation Portfolio
700,IIR001,Critical Function and Dependency Mapping,6,7.69904,Equity-Centered Climate Adaptation Portfolio
700,IIR007,Interoperability and Vendor Portability Strategy,7,7.58816,Equity-Centered Climate Adaptation Portfolio
701,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.22533,Equity-Centered Climate Adaptation Portfolio
701,IIR005,Cyber-Physical Security and Recovery Program,2,7.96551,Equity-Centered Climate Adaptation Portfolio
701,IIR004,Predictive Maintenance and Asset Renewal,3,7.9613,Equity-Centered Climate Adaptation Portfolio
701,IIR001,Critical Function and Dependency Mapping,4,7.90608,Equity-Centered Climate Adaptation Portfolio
701,IIR002,Sensor Monitoring and Early Warning Network,5,7.72891,Equity-Centered Climate Adaptation Portfolio
701,IIR003,Digital Twin and Scenario Stress Testing,6,7.5858,Equity-Centered Climate Adaptation Portfolio
701,IIR007,Interoperability and Vendor Portability Strategy,7,7.56888,Equity-Centered Climate Adaptation Portfolio
702,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.15708,Equity-Centered Climate Adaptation Portfolio
702,IIR001,Critical Function and Dependency Mapping,2,7.83842,Equity-Centered Climate Adaptation Portfolio
702,IIR003,Digital Twin and Scenario Stress Testing,3,7.76435,Equity-Centered Climate Adaptation Portfolio
702,IIR007,Interoperability and Vendor Portability Strategy,4,7.73642,Equity-Centered Climate Adaptation Portfolio
702,IIR004,Predictive Maintenance and Asset Renewal,5,7.53929,Equity-Centered Climate Adaptation Portfolio
702,IIR005,Cyber-Physical Security and Recovery Program,6,7.51571,Equity-Centered Climate Adaptation Portfolio
702,IIR002,Sensor Monitoring and Early Warning Network,7,7.49664,Equity-Centered Climate Adaptation Portfolio
703,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.38068,Equity-Centered Climate Adaptation Portfolio
703,IIR004,Predictive Maintenance and Asset Renewal,2,8.04341,Equity-Centered Climate Adaptation Portfolio
703,IIR003,Digital Twin and Scenario Stress Testing,3,7.98939,Equity-Centered Climate Adaptation Portfolio
703,IIR001,Critical Function and Dependency Mapping,4,7.93107,Equity-Centered Climate Adaptation Portfolio
703,IIR005,Cyber-Physical Security and Recovery Program,5,7.91515,Equity-Centered Climate Adaptation Portfolio
703,IIR007,Interoperability and Vendor Portability Strategy,6,7.88134,Equity-Centered Climate Adaptation Portfolio
703,IIR002,Sensor Monitoring and Early Warning Network,7,7.37342,Equity-Centered Climate Adaptation Portfolio
704,IIR005,Cyber-Physical Security and Recovery Program,1,8.09187,Cyber-Physical Security and Recovery Program
704,IIR006,Equity-Centered Climate Adaptation Portfolio,2,8.06079,Cyber-Physical Security and Recovery Program
704,IIR004,Predictive Maintenance and Asset Renewal,3,7.99572,Cyber-Physical Security and Recovery Program
704,IIR003,Digital Twin and Scenario Stress Testing,4,7.90856,Cyber-Physical Security and Recovery Program
704,IIR002,Sensor Monitoring and Early Warning Network,5,7.84977,Cyber-Physical Security and Recovery Program
704,IIR007,Interoperability and Vendor Portability Strategy,6,7.70441,Cyber-Physical Security and Recovery Program
704,IIR001,Critical Function and Dependency Mapping,7,7.39981,Cyber-Physical Security and Recovery Program
705,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.19848,Equity-Centered Climate Adaptation Portfolio
705,IIR007,Interoperability and Vendor Portability Strategy,2,8.04231,Equity-Centered Climate Adaptation Portfolio
705,IIR004,Predictive Maintenance and Asset Renewal,3,7.8451,Equity-Centered Climate Adaptation Portfolio
705,IIR001,Critical Function and Dependency Mapping,4,7.83864,Equity-Centered Climate Adaptation Portfolio
705,IIR005,Cyber-Physical Security and Recovery Program,5,7.62093,Equity-Centered Climate Adaptation Portfolio
705,IIR003,Digital Twin and Scenario Stress Testing,6,7.57793,Equity-Centered Climate Adaptation Portfolio
705,IIR002,Sensor Monitoring and Early Warning Network,7,7.49926,Equity-Centered Climate Adaptation Portfolio
706,IIR004,Predictive Maintenance and Asset Renewal,1,8.34279,Predictive Maintenance and Asset Renewal
706,IIR006,Equity-Centered Climate Adaptation Portfolio,2,8.19016,Predictive Maintenance and Asset Renewal
706,IIR005,Cyber-Physical Security and Recovery Program,3,8.03729,Predictive Maintenance and Asset Renewal
706,IIR003,Digital Twin and Scenario Stress Testing,4,8.0235,Predictive Maintenance and Asset Renewal
706,IIR002,Sensor Monitoring and Early Warning Network,5,7.92306,Predictive Maintenance and Asset Renewal
706,IIR007,Interoperability and Vendor Portability Strategy,6,7.74158,Predictive Maintenance and Asset Renewal
706,IIR001,Critical Function and Dependency Mapping,7,7.56407,Predictive Maintenance and Asset Renewal
707,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.1468,Equity-Centered Climate Adaptation Portfolio
707,IIR004,Predictive Maintenance and Asset Renewal,2,8.06592,Equity-Centered Climate Adaptation Portfolio
707,IIR003,Digital Twin and Scenario Stress Testing,3,7.96283,Equity-Centered Climate Adaptation Portfolio
707,IIR001,Critical Function and Dependency Mapping,4,7.95671,Equity-Centered Climate Adaptation Portfolio
707,IIR002,Sensor Monitoring and Early Warning Network,5,7.91626,Equity-Centered Climate Adaptation Portfolio
707,IIR007,Interoperability and Vendor Portability Strategy,6,7.62608,Equity-Centered Climate Adaptation Portfolio
707,IIR005,Cyber-Physical Security and Recovery Program,7,7.55298,Equity-Centered Climate Adaptation Portfolio
708,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.22498,Equity-Centered Climate Adaptation Portfolio
708,IIR004,Predictive Maintenance and Asset Renewal,2,8.04494,Equity-Centered Climate Adaptation Portfolio
708,IIR003,Digital Twin and Scenario Stress Testing,3,8.02199,Equity-Centered Climate Adaptation Portfolio
708,IIR007,Interoperability and Vendor Portability Strategy,4,8.01233,Equity-Centered Climate Adaptation Portfolio
708,IIR005,Cyber-Physical Security and Recovery Program,5,7.99586,Equity-Centered Climate Adaptation Portfolio
708,IIR001,Critical Function and Dependency Mapping,6,7.83171,Equity-Centered Climate Adaptation Portfolio
708,IIR002,Sensor Monitoring and Early Warning Network,7,7.79626,Equity-Centered Climate Adaptation Portfolio
709,IIR007,Interoperability and Vendor Portability Strategy,1,7.96044,Interoperability and Vendor Portability Strategy
709,IIR006,Equity-Centered Climate Adaptation Portfolio,2,7.93801,Interoperability and Vendor Portability Strategy
709,IIR005,Cyber-Physical Security and Recovery Program,3,7.92027,Interoperability and Vendor Portability Strategy
709,IIR003,Digital Twin and Scenario Stress Testing,4,7.83562,Interoperability and Vendor Portability Strategy
709,IIR001,Critical Function and Dependency Mapping,5,7.81302,Interoperability and Vendor Portability Strategy
709,IIR002,Sensor Monitoring and Early Warning Network,6,7.67599,Interoperability and Vendor Portability Strategy
709,IIR004,Predictive Maintenance and Asset Renewal,7,7.51338,Interoperability and Vendor Portability Strategy
710,IIR004,Predictive Maintenance and Asset Renewal,1,8.57466,Predictive Maintenance and Asset Renewal
710,IIR006,Equity-Centered Climate Adaptation Portfolio,2,8.32012,Predictive Maintenance and Asset Renewal
710,IIR005,Cyber-Physical Security and Recovery Program,3,8.04561,Predictive Maintenance and Asset Renewal
710,IIR001,Critical Function and Dependency Mapping,4,8.01038,Predictive Maintenance and Asset Renewal
710,IIR003,Digital Twin and Scenario Stress Testing,5,7.90653,Predictive Maintenance and Asset Renewal
710,IIR007,Interoperability and Vendor Portability Strategy,6,7.84552,Predictive Maintenance and Asset Renewal
710,IIR002,Sensor Monitoring and Early Warning Network,7,7.53256,Predictive Maintenance and Asset Renewal
711,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.30328,Equity-Centered Climate Adaptation Portfolio
711,IIR004,Predictive Maintenance and Asset Renewal,2,8.18833,Equity-Centered Climate Adaptation Portfolio
711,IIR002,Sensor Monitoring and Early Warning Network,3,7.95697,Equity-Centered Climate Adaptation Portfolio
711,IIR005,Cyber-Physical Security and Recovery Program,4,7.88369,Equity-Centered Climate Adaptation Portfolio
711,IIR003,Digital Twin and Scenario Stress Testing,5,7.80103,Equity-Centered Climate Adaptation Portfolio
711,IIR001,Critical Function and Dependency Mapping,6,7.63552,Equity-Centered Climate Adaptation Portfolio
711,IIR007,Interoperability and Vendor Portability Strategy,7,7.62668,Equity-Centered Climate Adaptation Portfolio
712,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.26603,Equity-Centered Climate Adaptation Portfolio
712,IIR004,Predictive Maintenance and Asset Renewal,2,8.15544,Equity-Centered Climate Adaptation Portfolio
712,IIR003,Digital Twin and Scenario Stress Testing,3,8.1371,Equity-Centered Climate Adaptation Portfolio
712,IIR005,Cyber-Physical Security and Recovery Program,4,8.04504,Equity-Centered Climate Adaptation Portfolio
712,IIR001,Critical Function and Dependency Mapping,5,7.78421,Equity-Centered Climate Adaptation Portfolio
712,IIR007,Interoperability and Vendor Portability Strategy,6,7.75667,Equity-Centered Climate Adaptation Portfolio
712,IIR002,Sensor Monitoring and Early Warning Network,7,7.56714,Equity-Centered Climate Adaptation Portfolio
713,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.15205,Equity-Centered Climate Adaptation Portfolio
713,IIR004,Predictive Maintenance and Asset Renewal,2,8.14694,Equity-Centered Climate Adaptation Portfolio
713,IIR003,Digital Twin and Scenario Stress Testing,3,8.09708,Equity-Centered Climate Adaptation Portfolio
713,IIR001,Critical Function and Dependency Mapping,4,8.04025,Equity-Centered Climate Adaptation Portfolio
713,IIR007,Interoperability and Vendor Portability Strategy,5,7.84479,Equity-Centered Climate Adaptation Portfolio
713,IIR002,Sensor Monitoring and Early Warning Network,6,7.75887,Equity-Centered Climate Adaptation Portfolio
713,IIR005,Cyber-Physical Security and Recovery Program,7,7.63335,Equity-Centered Climate Adaptation Portfolio
714,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.10226,Equity-Centered Climate Adaptation Portfolio
714,IIR001,Critical Function and Dependency Mapping,2,7.90978,Equity-Centered Climate Adaptation Portfolio
714,IIR003,Digital Twin and Scenario Stress Testing,3,7.82605,Equity-Centered Climate Adaptation Portfolio
714,IIR007,Interoperability and Vendor Portability Strategy,4,7.81528,Equity-Centered Climate Adaptation Portfolio
714,IIR005,Cyber-Physical Security and Recovery Program,5,7.76973,Equity-Centered Climate Adaptation Portfolio
714,IIR004,Predictive Maintenance and Asset Renewal,6,7.72394,Equity-Centered Climate Adaptation Portfolio
714,IIR002,Sensor Monitoring and Early Warning Network,7,7.69632,Equity-Centered Climate Adaptation Portfolio
715,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.13751,Equity-Centered Climate Adaptation Portfolio
715,IIR005,Cyber-Physical Security and Recovery Program,2,7.99843,Equity-Centered Climate Adaptation Portfolio
715,IIR003,Digital Twin and Scenario Stress Testing,3,7.99169,Equity-Centered Climate Adaptation Portfolio
715,IIR004,Predictive Maintenance and Asset Renewal,4,7.85563,Equity-Centered Climate Adaptation Portfolio
715,IIR002,Sensor Monitoring and Early Warning Network,5,7.82002,Equity-Centered Climate Adaptation Portfolio
715,IIR007,Interoperability and Vendor Portability Strategy,6,7.63385,Equity-Centered Climate Adaptation Portfolio
715,IIR001,Critical Function and Dependency Mapping,7,7.5832,Equity-Centered Climate Adaptation Portfolio
716,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.30521,Equity-Centered Climate Adaptation Portfolio
716,IIR004,Predictive Maintenance and Asset Renewal,2,8.23206,Equity-Centered Climate Adaptation Portfolio
716,IIR003,Digital Twin and Scenario Stress Testing,3,7.91436,Equity-Centered Climate Adaptation Portfolio
716,IIR001,Critical Function and Dependency Mapping,4,7.71741,Equity-Centered Climate Adaptation Portfolio
716,IIR005,Cyber-Physical Security and Recovery Program,5,7.65286,Equity-Centered Climate Adaptation Portfolio
716,IIR007,Interoperability and Vendor Portability Strategy,6,7.54963,Equity-Centered Climate Adaptation Portfolio
716,IIR002,Sensor Monitoring and Early Warning Network,7,7.51284,Equity-Centered Climate Adaptation Portfolio
717,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.28228,Equity-Centered Climate Adaptation Portfolio
717,IIR004,Predictive Maintenance and Asset Renewal,2,7.99104,Equity-Centered Climate Adaptation Portfolio
717,IIR003,Digital Twin and Scenario Stress Testing,3,7.93262,Equity-Centered Climate Adaptation Portfolio
717,IIR007,Interoperability and Vendor Portability Strategy,4,7.89861,Equity-Centered Climate Adaptation Portfolio
717,IIR001,Critical Function and Dependency Mapping,5,7.86614,Equity-Centered Climate Adaptation Portfolio
717,IIR002,Sensor Monitoring and Early Warning Network,6,7.67341,Equity-Centered Climate Adaptation Portfolio
717,IIR005,Cyber-Physical Security and Recovery Program,7,7.55277,Equity-Centered Climate Adaptation Portfolio
718,IIR001,Critical Function and Dependency Mapping,1,8.27171,Critical Function and Dependency Mapping
718,IIR006,Equity-Centered Climate Adaptation Portfolio,2,8.2563,Critical Function and Dependency Mapping
718,IIR004,Predictive Maintenance and Asset Renewal,3,8.24521,Critical Function and Dependency Mapping
718,IIR003,Digital Twin and Scenario Stress Testing,4,7.9963,Critical Function and Dependency Mapping
718,IIR002,Sensor Monitoring and Early Warning Network,5,7.86166,Critical Function and Dependency Mapping
718,IIR007,Interoperability and Vendor Portability Strategy,6,7.73338,Critical Function and Dependency Mapping
718,IIR005,Cyber-Physical Security and Recovery Program,7,7.59805,Critical Function and Dependency Mapping
719,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.17882,Equity-Centered Climate Adaptation Portfolio
719,IIR007,Interoperability and Vendor Portability Strategy,2,8.13533,Equity-Centered Climate Adaptation Portfolio
719,IIR005,Cyber-Physical Security and Recovery Program,3,8.00656,Equity-Centered Climate Adaptation Portfolio
719,IIR001,Critical Function and Dependency Mapping,4,7.96155,Equity-Centered Climate Adaptation Portfolio
719,IIR004,Predictive Maintenance and Asset Renewal,5,7.92771,Equity-Centered Climate Adaptation Portfolio
719,IIR003,Digital Twin and Scenario Stress Testing,6,7.91092,Equity-Centered Climate Adaptation Portfolio
719,IIR002,Sensor Monitoring and Early Warning Network,7,7.66183,Equity-Centered Climate Adaptation Portfolio
720,IIR005,Cyber-Physical Security and Recovery Program,1,8.17556,Cyber-Physical Security and Recovery Program
720,IIR003,Digital Twin and Scenario Stress Testing,2,8.16915,Cyber-Physical Security and Recovery Program
720,IIR006,Equity-Centered Climate Adaptation Portfolio,3,8.16521,Cyber-Physical Security and Recovery Program
720,IIR001,Critical Function and Dependency Mapping,4,8.03803,Cyber-Physical Security and Recovery Program
720,IIR004,Predictive Maintenance and Asset Renewal,5,7.74528,Cyber-Physical Security and Recovery Program
720,IIR002,Sensor Monitoring and Early Warning Network,6,7.74457,Cyber-Physical Security and Recovery Program
720,IIR007,Interoperability and Vendor Portability Strategy,7,7.31834,Cyber-Physical Security and Recovery Program
721,IIR003,Digital Twin and Scenario Stress Testing,1,8.13185,Digital Twin and Scenario Stress Testing
721,IIR002,Sensor Monitoring and Early Warning Network,2,8.0526,Digital Twin and Scenario Stress Testing
721,IIR007,Interoperability and Vendor Portability Strategy,3,8.00717,Digital Twin and Scenario Stress Testing
721,IIR006,Equity-Centered Climate Adaptation Portfolio,4,7.99479,Digital Twin and Scenario Stress Testing
721,IIR005,Cyber-Physical Security and Recovery Program,5,7.86993,Digital Twin and Scenario Stress Testing
721,IIR004,Predictive Maintenance and Asset Renewal,6,7.86662,Digital Twin and Scenario Stress Testing
721,IIR001,Critical Function and Dependency Mapping,7,7.65711,Digital Twin and Scenario Stress Testing
722,IIR003,Digital Twin and Scenario Stress Testing,1,8.1682,Digital Twin and Scenario Stress Testing
722,IIR006,Equity-Centered Climate Adaptation Portfolio,2,8.12468,Digital Twin and Scenario Stress Testing
722,IIR004,Predictive Maintenance and Asset Renewal,3,8.11845,Digital Twin and Scenario Stress Testing
722,IIR002,Sensor Monitoring and Early Warning Network,4,7.90464,Digital Twin and Scenario Stress Testing
722,IIR001,Critical Function and Dependency Mapping,5,7.80422,Digital Twin and Scenario Stress Testing
722,IIR007,Interoperability and Vendor Portability Strategy,6,7.75366,Digital Twin and Scenario Stress Testing
722,IIR005,Cyber-Physical Security and Recovery Program,7,7.68936,Digital Twin and Scenario Stress Testing
723,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.25967,Equity-Centered Climate Adaptation Portfolio
723,IIR003,Digital Twin and Scenario Stress Testing,2,8.10536,Equity-Centered Climate Adaptation Portfolio
723,IIR004,Predictive Maintenance and Asset Renewal,3,8.10504,Equity-Centered Climate Adaptation Portfolio
723,IIR002,Sensor Monitoring and Early Warning Network,4,7.87045,Equity-Centered Climate Adaptation Portfolio
723,IIR001,Critical Function and Dependency Mapping,5,7.76201,Equity-Centered Climate Adaptation Portfolio
723,IIR007,Interoperability and Vendor Portability Strategy,6,7.68746,Equity-Centered Climate Adaptation Portfolio
723,IIR005,Cyber-Physical Security and Recovery Program,7,7.56778,Equity-Centered Climate Adaptation Portfolio
724,IIR004,Predictive Maintenance and Asset Renewal,1,8.17447,Predictive Maintenance and Asset Renewal
724,IIR006,Equity-Centered Climate Adaptation Portfolio,2,8.1228,Predictive Maintenance and Asset Renewal
724,IIR001,Critical Function and Dependency Mapping,3,7.9355,Predictive Maintenance and Asset Renewal
724,IIR005,Cyber-Physical Security and Recovery Program,4,7.83111,Predictive Maintenance and Asset Renewal
724,IIR003,Digital Twin and Scenario Stress Testing,5,7.7806,Predictive Maintenance and Asset Renewal
724,IIR002,Sensor Monitoring and Early Warning Network,6,7.74407,Predictive Maintenance and Asset Renewal
724,IIR007,Interoperability and Vendor Portability Strategy,7,7.69719,Predictive Maintenance and Asset Renewal
725,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.25342,Equity-Centered Climate Adaptation Portfolio
725,IIR004,Predictive Maintenance and Asset Renewal,2,7.93505,Equity-Centered Climate Adaptation Portfolio
725,IIR003,Digital Twin and Scenario Stress Testing,3,7.93458,Equity-Centered Climate Adaptation Portfolio
725,IIR007,Interoperability and Vendor Portability Strategy,4,7.87349,Equity-Centered Climate Adaptation Portfolio
725,IIR001,Critical Function and Dependency Mapping,5,7.72558,Equity-Centered Climate Adaptation Portfolio
725,IIR002,Sensor Monitoring and Early Warning Network,6,7.68397,Equity-Centered Climate Adaptation Portfolio
725,IIR005,Cyber-Physical Security and Recovery Program,7,7.66346,Equity-Centered Climate Adaptation Portfolio
726,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.20216,Equity-Centered Climate Adaptation Portfolio
726,IIR003,Digital Twin and Scenario Stress Testing,2,8.18815,Equity-Centered Climate Adaptation Portfolio
726,IIR004,Predictive Maintenance and Asset Renewal,3,8.02687,Equity-Centered Climate Adaptation Portfolio
726,IIR002,Sensor Monitoring and Early Warning Network,4,8.0117,Equity-Centered Climate Adaptation Portfolio
726,IIR005,Cyber-Physical Security and Recovery Program,5,7.94764,Equity-Centered Climate Adaptation Portfolio
726,IIR001,Critical Function and Dependency Mapping,6,7.63499,Equity-Centered Climate Adaptation Portfolio
726,IIR007,Interoperability and Vendor Portability Strategy,7,7.60663,Equity-Centered Climate Adaptation Portfolio
727,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.04197,Equity-Centered Climate Adaptation Portfolio
727,IIR005,Cyber-Physical Security and Recovery Program,2,7.99318,Equity-Centered Climate Adaptation Portfolio
727,IIR007,Interoperability and Vendor Portability Strategy,3,7.98886,Equity-Centered Climate Adaptation Portfolio
727,IIR002,Sensor Monitoring and Early Warning Network,4,7.97768,Equity-Centered Climate Adaptation Portfolio
727,IIR001,Critical Function and Dependency Mapping,5,7.91231,Equity-Centered Climate Adaptation Portfolio
727,IIR004,Predictive Maintenance and Asset Renewal,6,7.89755,Equity-Centered Climate Adaptation Portfolio
727,IIR003,Digital Twin and Scenario Stress Testing,7,7.88023,Equity-Centered Climate Adaptation Portfolio
728,IIR004,Predictive Maintenance and Asset Renewal,1,8.05227,Predictive Maintenance and Asset Renewal
728,IIR006,Equity-Centered Climate Adaptation Portfolio,2,8.04415,Predictive Maintenance and Asset Renewal
728,IIR007,Interoperability and Vendor Portability Strategy,3,7.93184,Predictive Maintenance and Asset Renewal
728,IIR002,Sensor Monitoring and Early Warning Network,4,7.91619,Predictive Maintenance and Asset Renewal
728,IIR005,Cyber-Physical Security and Recovery Program,5,7.88531,Predictive Maintenance and Asset Renewal
728,IIR003,Digital Twin and Scenario Stress Testing,6,7.8496,Predictive Maintenance and Asset Renewal
728,IIR001,Critical Function and Dependency Mapping,7,7.66262,Predictive Maintenance and Asset Renewal
729,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.16676,Equity-Centered Climate Adaptation Portfolio
729,IIR005,Cyber-Physical Security and Recovery Program,2,8.04503,Equity-Centered Climate Adaptation Portfolio
729,IIR003,Digital Twin and Scenario Stress Testing,3,8.0424,Equity-Centered Climate Adaptation Portfolio
729,IIR004,Predictive Maintenance and Asset Renewal,4,7.88398,Equity-Centered Climate Adaptation Portfolio
729,IIR002,Sensor Monitoring and Early Warning Network,5,7.66005,Equity-Centered Climate Adaptation Portfolio
729,IIR001,Critical Function and Dependency Mapping,6,7.46026,Equity-Centered Climate Adaptation Portfolio
729,IIR007,Interoperability and Vendor Portability Strategy,7,7.34681,Equity-Centered Climate Adaptation Portfolio
730,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.20598,Equity-Centered Climate Adaptation Portfolio
730,IIR004,Predictive Maintenance and Asset Renewal,2,7.96479,Equity-Centered Climate Adaptation Portfolio
730,IIR003,Digital Twin and Scenario Stress Testing,3,7.92661,Equity-Centered Climate Adaptation Portfolio
730,IIR007,Interoperability and Vendor Portability Strategy,4,7.81883,Equity-Centered Climate Adaptation Portfolio
730,IIR005,Cyber-Physical Security and Recovery Program,5,7.81417,Equity-Centered Climate Adaptation Portfolio
730,IIR002,Sensor Monitoring and Early Warning Network,6,7.81138,Equity-Centered Climate Adaptation Portfolio
730,IIR001,Critical Function and Dependency Mapping,7,7.71258,Equity-Centered Climate Adaptation Portfolio
