simulation_id,strategy_id,strategy,rank,adjusted_value,maladaptive_risk
485,MRS003,Private Cooling Expansion Only,6,0.20872,4.23312
485,MRS009,Supply Chain Buffering Through Worker Flexibility,7,-0.10771,4.46444
485,MRS007,Dashboard Monitoring Without Repair,8,-0.38252,4.48954
485,MRS001,Rebuild Same Floodplain Housing,9,-1.03736,4.98615
485,MRS005,Fossil Backup Power Expansion,10,-1.0661,5.01647
486,MRS006,Distributed Renewable Resilience Hubs,1,7.55641,0.74182
486,MRS004,Housing Retrofit and Public Cooling Network,2,7.38413,0.37955
486,MRS002,Floodplain Restoration and Housing Transition,3,7.38181,0.63471
486,MRS008,Maintenance Backlog Repair and Governance Reform,4,7.29908,0.48431
486,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,6.65105,0.71507
486,MRS003,Private Cooling Expansion Only,6,0.54094,4.04322
486,MRS009,Supply Chain Buffering Through Worker Flexibility,7,0.41133,4.14364
486,MRS001,Rebuild Same Floodplain Housing,8,-1.37897,5.10361
486,MRS007,Dashboard Monitoring Without Repair,9,-1.48885,5.04499
486,MRS005,Fossil Backup Power Expansion,10,-1.84356,5.27565
487,MRS004,Housing Retrofit and Public Cooling Network,1,7.75909,0.29312
487,MRS008,Maintenance Backlog Repair and Governance Reform,2,7.5239,0.50803
487,MRS002,Floodplain Restoration and Housing Transition,3,7.25429,0.56939
487,MRS006,Distributed Renewable Resilience Hubs,4,7.04842,0.3859
487,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,6.46152,0.82409
487,MRS003,Private Cooling Expansion Only,6,0.17231,4.29668
487,MRS007,Dashboard Monitoring Without Repair,7,0.05909,4.35942
487,MRS009,Supply Chain Buffering Through Worker Flexibility,8,-0.46394,4.58464
487,MRS005,Fossil Backup Power Expansion,9,-1.70958,5.17457
487,MRS001,Rebuild Same Floodplain Housing,10,-2.1393,5.49546
488,MRS006,Distributed Renewable Resilience Hubs,1,7.79998,0.36808
488,MRS002,Floodplain Restoration and Housing Transition,2,7.54091,0.73184
488,MRS004,Housing Retrofit and Public Cooling Network,3,7.13521,0.73255
488,MRS008,Maintenance Backlog Repair and Governance Reform,4,7.0454,0.48868
488,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,7.02681,0.72886
488,MRS003,Private Cooling Expansion Only,6,0.29521,4.07857
488,MRS007,Dashboard Monitoring Without Repair,7,-0.48546,4.6698
488,MRS009,Supply Chain Buffering Through Worker Flexibility,8,-0.77487,4.7602
488,MRS005,Fossil Backup Power Expansion,9,-1.19267,5.04406
488,MRS001,Rebuild Same Floodplain Housing,10,-2.26479,5.63113
489,MRS002,Floodplain Restoration and Housing Transition,1,8.20926,0.52121
489,MRS006,Distributed Renewable Resilience Hubs,2,7.63618,0.37398
489,MRS004,Housing Retrofit and Public Cooling Network,3,7.58812,0.31759
489,MRS010,Diversified Supply Chain with Labor and Ecological Standards,4,7.08487,0.49542
489,MRS008,Maintenance Backlog Repair and Governance Reform,5,6.9779,0.56656
489,MRS003,Private Cooling Expansion Only,6,0.26901,4.18906
489,MRS007,Dashboard Monitoring Without Repair,7,-0.78191,4.77387
489,MRS009,Supply Chain Buffering Through Worker Flexibility,8,-0.83295,4.86255
489,MRS001,Rebuild Same Floodplain Housing,9,-1.079,4.91572
489,MRS005,Fossil Backup Power Expansion,10,-1.32842,4.81651
490,MRS006,Distributed Renewable Resilience Hubs,1,7.76581,0.4404
490,MRS002,Floodplain Restoration and Housing Transition,2,7.36011,0.60577
490,MRS010,Diversified Supply Chain with Labor and Ecological Standards,3,7.15417,0.74413
490,MRS004,Housing Retrofit and Public Cooling Network,4,7.11271,0.63191
490,MRS008,Maintenance Backlog Repair and Governance Reform,5,6.86288,0.80159
490,MRS009,Supply Chain Buffering Through Worker Flexibility,6,0.66945,3.99947
490,MRS003,Private Cooling Expansion Only,7,0.46063,3.98661
490,MRS007,Dashboard Monitoring Without Repair,8,-0.58557,4.73736
490,MRS005,Fossil Backup Power Expansion,9,-0.82716,4.83581
490,MRS001,Rebuild Same Floodplain Housing,10,-1.98752,5.42882
491,MRS002,Floodplain Restoration and Housing Transition,1,7.82034,0.40245
491,MRS008,Maintenance Backlog Repair and Governance Reform,2,7.75616,0.28633
491,MRS004,Housing Retrofit and Public Cooling Network,3,7.6324,0.47214
491,MRS010,Diversified Supply Chain with Labor and Ecological Standards,4,7.38599,0.60221
491,MRS006,Distributed Renewable Resilience Hubs,5,7.36717,0.38293
491,MRS009,Supply Chain Buffering Through Worker Flexibility,6,0.05749,4.39475
491,MRS003,Private Cooling Expansion Only,7,-0.34205,4.50982
491,MRS001,Rebuild Same Floodplain Housing,8,-1.57374,5.12357
491,MRS007,Dashboard Monitoring Without Repair,9,-1.57841,5.27995
491,MRS005,Fossil Backup Power Expansion,10,-2.29805,5.42516
492,MRS002,Floodplain Restoration and Housing Transition,1,7.99709,0.45283
492,MRS006,Distributed Renewable Resilience Hubs,2,7.36708,0.59151
492,MRS010,Diversified Supply Chain with Labor and Ecological Standards,3,7.15373,0.60148
492,MRS008,Maintenance Backlog Repair and Governance Reform,4,6.80194,0.76002
492,MRS004,Housing Retrofit and Public Cooling Network,5,6.63091,0.89162
492,MRS003,Private Cooling Expansion Only,6,1.07071,3.72695
492,MRS009,Supply Chain Buffering Through Worker Flexibility,7,0.37079,4.11203
492,MRS007,Dashboard Monitoring Without Repair,8,-0.44826,4.39799
492,MRS005,Fossil Backup Power Expansion,9,-0.75093,4.6771
492,MRS001,Rebuild Same Floodplain Housing,10,-1.68586,5.23057
493,MRS006,Distributed Renewable Resilience Hubs,1,7.73336,0.40478
493,MRS002,Floodplain Restoration and Housing Transition,2,7.60858,0.45816
493,MRS004,Housing Retrofit and Public Cooling Network,3,7.3766,0.5924
493,MRS008,Maintenance Backlog Repair and Governance Reform,4,7.20165,0.60507
493,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,6.88747,0.5849
493,MRS009,Supply Chain Buffering Through Worker Flexibility,6,0.04798,4.28861
493,MRS003,Private Cooling Expansion Only,7,-0.0261,4.30142
493,MRS007,Dashboard Monitoring Without Repair,8,-0.1193,4.32819
493,MRS005,Fossil Backup Power Expansion,9,-0.53085,4.60938
493,MRS001,Rebuild Same Floodplain Housing,10,-1.39565,5.13706
494,MRS002,Floodplain Restoration and Housing Transition,1,7.73597,0.50724
494,MRS008,Maintenance Backlog Repair and Governance Reform,2,7.70155,0.38
494,MRS010,Diversified Supply Chain with Labor and Ecological Standards,3,7.43037,0.51238
494,MRS004,Housing Retrofit and Public Cooling Network,4,7.11208,0.66006
494,MRS006,Distributed Renewable Resilience Hubs,5,6.58351,0.78224
494,MRS009,Supply Chain Buffering Through Worker Flexibility,6,0.299,3.99055
494,MRS003,Private Cooling Expansion Only,7,0.07779,4.25098
494,MRS007,Dashboard Monitoring Without Repair,8,-0.30479,4.41649
494,MRS005,Fossil Backup Power Expansion,9,-1.31707,5.07776
494,MRS001,Rebuild Same Floodplain Housing,10,-2.32176,5.4828
495,MRS002,Floodplain Restoration and Housing Transition,1,7.51418,0.56792
495,MRS006,Distributed Renewable Resilience Hubs,2,7.4792,0.51531
495,MRS004,Housing Retrofit and Public Cooling Network,3,7.36882,0.56412
495,MRS008,Maintenance Backlog Repair and Governance Reform,4,7.28567,0.60695
495,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,7.17762,0.69507
495,MRS003,Private Cooling Expansion Only,6,0.58938,4.15473
495,MRS009,Supply Chain Buffering Through Worker Flexibility,7,0.10969,4.33705
495,MRS007,Dashboard Monitoring Without Repair,8,-0.53201,4.64717
495,MRS001,Rebuild Same Floodplain Housing,9,-0.57418,4.529
495,MRS005,Fossil Backup Power Expansion,10,-1.62475,5.09338
496,MRS002,Floodplain Restoration and Housing Transition,1,7.97078,0.48592
496,MRS010,Diversified Supply Chain with Labor and Ecological Standards,2,7.54517,0.55163
496,MRS006,Distributed Renewable Resilience Hubs,3,7.1502,0.68206
496,MRS008,Maintenance Backlog Repair and Governance Reform,4,7.09018,0.49668
496,MRS004,Housing Retrofit and Public Cooling Network,5,6.96839,0.6611
496,MRS007,Dashboard Monitoring Without Repair,6,-0.08988,4.39868
496,MRS009,Supply Chain Buffering Through Worker Flexibility,7,-0.36964,4.4942
496,MRS005,Fossil Backup Power Expansion,8,-0.40365,4.56801
496,MRS003,Private Cooling Expansion Only,9,-0.46803,4.53738
496,MRS001,Rebuild Same Floodplain Housing,10,-1.23303,4.86683
497,MRS002,Floodplain Restoration and Housing Transition,1,7.71574,0.6404
497,MRS010,Diversified Supply Chain with Labor and Ecological Standards,2,7.30088,0.53288
497,MRS004,Housing Retrofit and Public Cooling Network,3,7.29356,0.51443
497,MRS008,Maintenance Backlog Repair and Governance Reform,4,7.2064,0.46429
497,MRS006,Distributed Renewable Resilience Hubs,5,7.17888,0.58428
497,MRS009,Supply Chain Buffering Through Worker Flexibility,6,-0.00316,4.41886
497,MRS003,Private Cooling Expansion Only,7,-0.08745,4.1726
497,MRS005,Fossil Backup Power Expansion,8,-0.39054,4.53086
497,MRS001,Rebuild Same Floodplain Housing,9,-1.50183,5.14913
497,MRS007,Dashboard Monitoring Without Repair,10,-1.59309,5.19664
498,MRS010,Diversified Supply Chain with Labor and Ecological Standards,1,7.47617,0.45227
498,MRS002,Floodplain Restoration and Housing Transition,2,7.27911,0.49921
498,MRS006,Distributed Renewable Resilience Hubs,3,7.2424,0.68673
498,MRS004,Housing Retrofit and Public Cooling Network,4,7.17507,0.46437
498,MRS008,Maintenance Backlog Repair and Governance Reform,5,6.62553,0.6907
498,MRS003,Private Cooling Expansion Only,6,0.15418,4.13889
498,MRS009,Supply Chain Buffering Through Worker Flexibility,7,-0.45773,4.64827
498,MRS007,Dashboard Monitoring Without Repair,8,-0.67322,4.73008
498,MRS005,Fossil Backup Power Expansion,9,-1.75314,5.27534
498,MRS001,Rebuild Same Floodplain Housing,10,-2.06612,5.5681
499,MRS004,Housing Retrofit and Public Cooling Network,1,7.57694,0.37412
499,MRS006,Distributed Renewable Resilience Hubs,2,7.44762,0.5196
499,MRS002,Floodplain Restoration and Housing Transition,3,7.28679,0.57814
499,MRS010,Diversified Supply Chain with Labor and Ecological Standards,4,6.66105,0.86983
499,MRS008,Maintenance Backlog Repair and Governance Reform,5,6.63699,0.84707
499,MRS009,Supply Chain Buffering Through Worker Flexibility,6,-0.14039,4.40764
499,MRS003,Private Cooling Expansion Only,7,-1.03749,4.83336
499,MRS001,Rebuild Same Floodplain Housing,8,-1.49445,5.09679
499,MRS007,Dashboard Monitoring Without Repair,9,-1.65292,5.17708
499,MRS005,Fossil Backup Power Expansion,10,-1.77117,5.26873
500,MRS004,Housing Retrofit and Public Cooling Network,1,7.81414,0.44691
500,MRS006,Distributed Renewable Resilience Hubs,2,7.42587,0.57425
500,MRS010,Diversified Supply Chain with Labor and Ecological Standards,3,7.39078,0.4405
500,MRS002,Floodplain Restoration and Housing Transition,4,7.30271,0.6391
500,MRS008,Maintenance Backlog Repair and Governance Reform,5,6.78913,0.79678
500,MRS007,Dashboard Monitoring Without Repair,6,-0.01359,4.23064
500,MRS009,Supply Chain Buffering Through Worker Flexibility,7,-0.20321,4.60823
500,MRS003,Private Cooling Expansion Only,8,-0.49416,4.5476
500,MRS001,Rebuild Same Floodplain Housing,9,-1.03732,4.89298
500,MRS005,Fossil Backup Power Expansion,10,-1.69917,5.21278
501,MRS004,Housing Retrofit and Public Cooling Network,1,7.71439,0.47028
501,MRS008,Maintenance Backlog Repair and Governance Reform,2,7.53302,0.52047
501,MRS006,Distributed Renewable Resilience Hubs,3,7.51742,0.34015
501,MRS010,Diversified Supply Chain with Labor and Ecological Standards,4,7.36794,0.43738
501,MRS002,Floodplain Restoration and Housing Transition,5,7.22945,0.41753
501,MRS003,Private Cooling Expansion Only,6,0.45278,4.05134
501,MRS009,Supply Chain Buffering Through Worker Flexibility,7,0.31537,4.17236
501,MRS005,Fossil Backup Power Expansion,8,-0.77798,4.74776
501,MRS007,Dashboard Monitoring Without Repair,9,-1.50791,5.09489
501,MRS001,Rebuild Same Floodplain Housing,10,-1.64304,5.19387
502,MRS006,Distributed Renewable Resilience Hubs,1,7.60074,0.60896
502,MRS002,Floodplain Restoration and Housing Transition,2,7.37211,0.70124
502,MRS008,Maintenance Backlog Repair and Governance Reform,3,7.03248,0.65101
502,MRS010,Diversified Supply Chain with Labor and Ecological Standards,4,6.75068,0.81356
502,MRS004,Housing Retrofit and Public Cooling Network,5,6.4071,0.97485
502,MRS007,Dashboard Monitoring Without Repair,6,0.44619,4.01851
502,MRS003,Private Cooling Expansion Only,7,0.15699,4.14098
502,MRS009,Supply Chain Buffering Through Worker Flexibility,8,-0.41277,4.64053
502,MRS005,Fossil Backup Power Expansion,9,-0.67381,4.55397
502,MRS001,Rebuild Same Floodplain Housing,10,-1.45495,5.17153
503,MRS002,Floodplain Restoration and Housing Transition,1,8.21704,0.30246
503,MRS008,Maintenance Backlog Repair and Governance Reform,2,7.77287,0.48721
503,MRS006,Distributed Renewable Resilience Hubs,3,7.29156,0.68606
503,MRS004,Housing Retrofit and Public Cooling Network,4,7.23513,0.47739
503,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,6.82354,0.66342
503,MRS003,Private Cooling Expansion Only,6,0.33352,4.17406
503,MRS009,Supply Chain Buffering Through Worker Flexibility,7,-0.66831,4.7675
503,MRS005,Fossil Backup Power Expansion,8,-0.87032,4.87911
503,MRS007,Dashboard Monitoring Without Repair,9,-1.01929,4.89392
503,MRS001,Rebuild Same Floodplain Housing,10,-1.64742,5.32852
504,MRS004,Housing Retrofit and Public Cooling Network,1,7.45066,0.67428
504,MRS002,Floodplain Restoration and Housing Transition,2,7.36098,0.59077
504,MRS006,Distributed Renewable Resilience Hubs,3,7.18368,0.78957
504,MRS008,Maintenance Backlog Repair and Governance Reform,4,7.00342,0.71511
504,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,6.72882,0.67661
504,MRS009,Supply Chain Buffering Through Worker Flexibility,6,-0.28314,4.47902
504,MRS003,Private Cooling Expansion Only,7,-0.40528,4.46145
504,MRS001,Rebuild Same Floodplain Housing,8,-0.53094,4.69806
504,MRS005,Fossil Backup Power Expansion,9,-1.07855,5.01714
504,MRS007,Dashboard Monitoring Without Repair,10,-1.2539,4.94595
505,MRS002,Floodplain Restoration and Housing Transition,1,7.96994,0.4452
505,MRS004,Housing Retrofit and Public Cooling Network,2,7.52908,0.46696
505,MRS008,Maintenance Backlog Repair and Governance Reform,3,7.24131,0.4795
505,MRS010,Diversified Supply Chain with Labor and Ecological Standards,4,6.80491,0.78465
505,MRS006,Distributed Renewable Resilience Hubs,5,6.29898,1.10833
505,MRS003,Private Cooling Expansion Only,6,0.37065,4.04483
505,MRS009,Supply Chain Buffering Through Worker Flexibility,7,-0.05302,4.39961
505,MRS005,Fossil Backup Power Expansion,8,-0.90365,4.69557
505,MRS001,Rebuild Same Floodplain Housing,9,-1.21678,4.949
505,MRS007,Dashboard Monitoring Without Repair,10,-1.39075,5.06871
506,MRS004,Housing Retrofit and Public Cooling Network,1,7.64412,0.4397
506,MRS008,Maintenance Backlog Repair and Governance Reform,2,7.42425,0.54741
506,MRS006,Distributed Renewable Resilience Hubs,3,7.27074,0.5162
506,MRS002,Floodplain Restoration and Housing Transition,4,7.03782,0.65491
506,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,6.27882,0.98545
506,MRS009,Supply Chain Buffering Through Worker Flexibility,6,0.01092,4.39439
506,MRS003,Private Cooling Expansion Only,7,-0.10083,4.43802
506,MRS005,Fossil Backup Power Expansion,8,-0.99265,4.89739
506,MRS007,Dashboard Monitoring Without Repair,9,-1.03243,4.75311
506,MRS001,Rebuild Same Floodplain Housing,10,-1.51648,5.21684
507,MRS004,Housing Retrofit and Public Cooling Network,1,7.82811,0.53047
507,MRS006,Distributed Renewable Resilience Hubs,2,7.62548,0.45393
507,MRS002,Floodplain Restoration and Housing Transition,3,7.41672,0.7136
507,MRS010,Diversified Supply Chain with Labor and Ecological Standards,4,7.35448,0.52839
507,MRS008,Maintenance Backlog Repair and Governance Reform,5,7.05604,0.6543
507,MRS009,Supply Chain Buffering Through Worker Flexibility,6,0.82475,3.93621
507,MRS003,Private Cooling Expansion Only,7,-0.45536,4.63512
507,MRS005,Fossil Backup Power Expansion,8,-0.84902,4.68358
507,MRS001,Rebuild Same Floodplain Housing,9,-0.955,4.93206
507,MRS007,Dashboard Monitoring Without Repair,10,-1.63307,5.14353
508,MRS010,Diversified Supply Chain with Labor and Ecological Standards,1,7.70466,0.37986
508,MRS002,Floodplain Restoration and Housing Transition,2,7.56104,0.42718
508,MRS004,Housing Retrofit and Public Cooling Network,3,7.31562,0.7147
508,MRS006,Distributed Renewable Resilience Hubs,4,7.07367,0.6348
508,MRS008,Maintenance Backlog Repair and Governance Reform,5,6.97687,0.6806
508,MRS003,Private Cooling Expansion Only,6,1.07241,3.82868
508,MRS009,Supply Chain Buffering Through Worker Flexibility,7,-0.79371,4.69476
508,MRS005,Fossil Backup Power Expansion,8,-0.98807,4.74538
508,MRS007,Dashboard Monitoring Without Repair,9,-1.31298,4.93977
508,MRS001,Rebuild Same Floodplain Housing,10,-1.44251,5.0106
509,MRS006,Distributed Renewable Resilience Hubs,1,7.73514,0.34794
509,MRS002,Floodplain Restoration and Housing Transition,2,7.64135,0.48159
509,MRS004,Housing Retrofit and Public Cooling Network,3,7.54578,0.42804
509,MRS010,Diversified Supply Chain with Labor and Ecological Standards,4,7.31392,0.50465
509,MRS008,Maintenance Backlog Repair and Governance Reform,5,7.25231,0.4957
509,MRS009,Supply Chain Buffering Through Worker Flexibility,6,0.07156,4.41125
509,MRS003,Private Cooling Expansion Only,7,-0.47388,4.66085
509,MRS007,Dashboard Monitoring Without Repair,8,-0.94806,4.75964
509,MRS001,Rebuild Same Floodplain Housing,9,-1.19118,4.99454
509,MRS005,Fossil Backup Power Expansion,10,-1.45092,4.97639
510,MRS002,Floodplain Restoration and Housing Transition,1,8.01558,0.39211
510,MRS010,Diversified Supply Chain with Labor and Ecological Standards,2,7.12078,0.61918
510,MRS004,Housing Retrofit and Public Cooling Network,3,6.87032,0.68683
510,MRS008,Maintenance Backlog Repair and Governance Reform,4,6.74592,0.75374
510,MRS006,Distributed Renewable Resilience Hubs,5,6.66414,0.80219
510,MRS009,Supply Chain Buffering Through Worker Flexibility,6,1.06126,3.81792
510,MRS003,Private Cooling Expansion Only,7,0.41766,4.22022
510,MRS007,Dashboard Monitoring Without Repair,8,-0.15252,4.35484
510,MRS001,Rebuild Same Floodplain Housing,9,-1.20636,5.12023
510,MRS005,Fossil Backup Power Expansion,10,-1.2372,4.77596
511,MRS004,Housing Retrofit and Public Cooling Network,1,7.5277,0.54546
511,MRS006,Distributed Renewable Resilience Hubs,2,7.48199,0.43567
511,MRS002,Floodplain Restoration and Housing Transition,3,7.45332,0.5544
511,MRS008,Maintenance Backlog Repair and Governance Reform,4,7.14073,0.59853
511,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,6.62438,0.80138
511,MRS003,Private Cooling Expansion Only,6,0.15568,4.17785
511,MRS009,Supply Chain Buffering Through Worker Flexibility,7,-0.06141,4.27825
511,MRS007,Dashboard Monitoring Without Repair,8,-0.51701,4.49022
511,MRS005,Fossil Backup Power Expansion,9,-1.02674,4.70618
511,MRS001,Rebuild Same Floodplain Housing,10,-1.73525,5.29029
512,MRS008,Maintenance Backlog Repair and Governance Reform,1,7.5135,0.4266
512,MRS006,Distributed Renewable Resilience Hubs,2,7.26195,0.75984
512,MRS002,Floodplain Restoration and Housing Transition,3,7.15335,0.59305
512,MRS004,Housing Retrofit and Public Cooling Network,4,6.99658,0.63369
512,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,6.92845,0.80493
512,MRS001,Rebuild Same Floodplain Housing,6,-0.12494,4.38195
512,MRS003,Private Cooling Expansion Only,7,-0.49978,4.57888
512,MRS007,Dashboard Monitoring Without Repair,8,-0.8568,4.69128
512,MRS009,Supply Chain Buffering Through Worker Flexibility,9,-0.92734,4.87089
512,MRS005,Fossil Backup Power Expansion,10,-1.54574,5.0518
513,MRS002,Floodplain Restoration and Housing Transition,1,7.90942,0.30946
513,MRS006,Distributed Renewable Resilience Hubs,2,7.4653,0.49259
513,MRS010,Diversified Supply Chain with Labor and Ecological Standards,3,7.20368,0.47223
513,MRS008,Maintenance Backlog Repair and Governance Reform,4,7.12751,0.52608
513,MRS004,Housing Retrofit and Public Cooling Network,5,6.76675,0.78698
513,MRS009,Supply Chain Buffering Through Worker Flexibility,6,0.10312,4.3004
513,MRS003,Private Cooling Expansion Only,7,-0.03114,4.33806
513,MRS007,Dashboard Monitoring Without Repair,8,-0.15635,4.44021
513,MRS005,Fossil Backup Power Expansion,9,-0.63676,4.76584
513,MRS001,Rebuild Same Floodplain Housing,10,-1.6156,5.12247
514,MRS002,Floodplain Restoration and Housing Transition,1,7.83666,0.46694
514,MRS006,Distributed Renewable Resilience Hubs,2,7.74511,0.61662
514,MRS010,Diversified Supply Chain with Labor and Ecological Standards,3,7.61057,0.44639
514,MRS004,Housing Retrofit and Public Cooling Network,4,7.53478,0.6431
514,MRS008,Maintenance Backlog Repair and Governance Reform,5,7.09256,0.47997
514,MRS003,Private Cooling Expansion Only,6,-0.08834,4.46455
514,MRS007,Dashboard Monitoring Without Repair,7,-0.42621,4.4945
514,MRS005,Fossil Backup Power Expansion,8,-0.54557,4.59072
514,MRS009,Supply Chain Buffering Through Worker Flexibility,9,-0.78811,4.87156
514,MRS001,Rebuild Same Floodplain Housing,10,-1.83109,5.29524
515,MRS004,Housing Retrofit and Public Cooling Network,1,7.82907,0.30827
515,MRS002,Floodplain Restoration and Housing Transition,2,7.75153,0.55477
515,MRS006,Distributed Renewable Resilience Hubs,3,7.33075,0.60053
515,MRS010,Diversified Supply Chain with Labor and Ecological Standards,4,7.23164,0.59989
515,MRS008,Maintenance Backlog Repair and Governance Reform,5,7.01487,0.58706
515,MRS009,Supply Chain Buffering Through Worker Flexibility,6,0.88012,3.81149
515,MRS003,Private Cooling Expansion Only,7,0.082,4.21834
515,MRS007,Dashboard Monitoring Without Repair,8,-0.66273,4.7067
515,MRS001,Rebuild Same Floodplain Housing,9,-1.19255,5.09718
515,MRS005,Fossil Backup Power Expansion,10,-1.28055,5.00162
516,MRS010,Diversified Supply Chain with Labor and Ecological Standards,1,7.78359,0.37889
516,MRS008,Maintenance Backlog Repair and Governance Reform,2,7.55308,0.47158
516,MRS002,Floodplain Restoration and Housing Transition,3,7.08166,0.59647
516,MRS004,Housing Retrofit and Public Cooling Network,4,7.00071,0.69414
516,MRS006,Distributed Renewable Resilience Hubs,5,6.97018,0.74469
516,MRS009,Supply Chain Buffering Through Worker Flexibility,6,0.62452,3.95629
516,MRS003,Private Cooling Expansion Only,7,0.4518,4.12186
516,MRS007,Dashboard Monitoring Without Repair,8,-0.66037,4.60627
516,MRS005,Fossil Backup Power Expansion,9,-0.9547,4.92325
516,MRS001,Rebuild Same Floodplain Housing,10,-1.03376,4.86774
517,MRS004,Housing Retrofit and Public Cooling Network,1,7.80775,0.40731
517,MRS002,Floodplain Restoration and Housing Transition,2,7.74338,0.38213
517,MRS008,Maintenance Backlog Repair and Governance Reform,3,7.59816,0.60449
517,MRS006,Distributed Renewable Resilience Hubs,4,7.23733,0.80672
517,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,7.00118,0.5652
517,MRS009,Supply Chain Buffering Through Worker Flexibility,6,0.14811,4.24042
517,MRS003,Private Cooling Expansion Only,7,-0.42959,4.55228
517,MRS005,Fossil Backup Power Expansion,8,-1.09024,4.92942
517,MRS007,Dashboard Monitoring Without Repair,9,-1.137,4.72086
517,MRS001,Rebuild Same Floodplain Housing,10,-1.46134,5.13698
518,MRS002,Floodplain Restoration and Housing Transition,1,7.48165,0.56033
518,MRS010,Diversified Supply Chain with Labor and Ecological Standards,2,7.3894,0.41207
518,MRS004,Housing Retrofit and Public Cooling Network,3,7.31448,0.48671
518,MRS006,Distributed Renewable Resilience Hubs,4,7.21837,0.49677
518,MRS008,Maintenance Backlog Repair and Governance Reform,5,7.00485,0.58195
518,MRS003,Private Cooling Expansion Only,6,0.3055,4.10506
518,MRS009,Supply Chain Buffering Through Worker Flexibility,7,-0.42338,4.52198
518,MRS007,Dashboard Monitoring Without Repair,8,-0.7883,4.51819
518,MRS001,Rebuild Same Floodplain Housing,9,-0.84312,4.87251
518,MRS005,Fossil Backup Power Expansion,10,-1.68974,5.12161
519,MRS006,Distributed Renewable Resilience Hubs,1,7.53639,0.41529
519,MRS004,Housing Retrofit and Public Cooling Network,2,7.45875,0.35655
519,MRS002,Floodplain Restoration and Housing Transition,3,7.45121,0.39559
519,MRS010,Diversified Supply Chain with Labor and Ecological Standards,4,6.94538,0.64732
519,MRS008,Maintenance Backlog Repair and Governance Reform,5,6.80113,0.96815
519,MRS003,Private Cooling Expansion Only,6,-0.06123,4.29033
519,MRS009,Supply Chain Buffering Through Worker Flexibility,7,-0.58697,4.61287
519,MRS007,Dashboard Monitoring Without Repair,8,-0.60389,4.61302
519,MRS005,Fossil Backup Power Expansion,9,-0.65032,4.71573
519,MRS001,Rebuild Same Floodplain Housing,10,-1.78461,5.29011
520,MRS006,Distributed Renewable Resilience Hubs,1,7.6646,0.48232
520,MRS004,Housing Retrofit and Public Cooling Network,2,7.47079,0.51103
520,MRS002,Floodplain Restoration and Housing Transition,3,7.46365,0.46952
520,MRS010,Diversified Supply Chain with Labor and Ecological Standards,4,7.45205,0.46037
520,MRS008,Maintenance Backlog Repair and Governance Reform,5,7.15843,0.46393
520,MRS009,Supply Chain Buffering Through Worker Flexibility,6,-0.11932,4.46018
520,MRS003,Private Cooling Expansion Only,7,-0.21485,4.48173
520,MRS007,Dashboard Monitoring Without Repair,8,-0.8608,4.86165
520,MRS005,Fossil Backup Power Expansion,9,-1.26823,4.99355
520,MRS001,Rebuild Same Floodplain Housing,10,-1.70443,5.26238
521,MRS002,Floodplain Restoration and Housing Transition,1,7.89273,0.6231
521,MRS006,Distributed Renewable Resilience Hubs,2,7.76227,0.40732
521,MRS008,Maintenance Backlog Repair and Governance Reform,3,7.1679,0.40965
521,MRS004,Housing Retrofit and Public Cooling Network,4,6.85625,0.67209
521,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,6.32921,1.18739
521,MRS007,Dashboard Monitoring Without Repair,6,0.30978,3.99683
521,MRS003,Private Cooling Expansion Only,7,0.14484,4.31365
521,MRS009,Supply Chain Buffering Through Worker Flexibility,8,-0.7604,4.71686
521,MRS001,Rebuild Same Floodplain Housing,9,-1.68158,5.21152
521,MRS005,Fossil Backup Power Expansion,10,-1.79116,5.13891
522,MRS002,Floodplain Restoration and Housing Transition,1,7.67541,0.50326
522,MRS006,Distributed Renewable Resilience Hubs,2,7.66769,0.45206
522,MRS008,Maintenance Backlog Repair and Governance Reform,3,7.45475,0.52232
522,MRS004,Housing Retrofit and Public Cooling Network,4,6.95099,0.48457
522,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,6.66024,0.90745
522,MRS003,Private Cooling Expansion Only,6,0.32729,4.18872
522,MRS007,Dashboard Monitoring Without Repair,7,0.08513,4.21948
522,MRS009,Supply Chain Buffering Through Worker Flexibility,8,-0.41708,4.66791
522,MRS005,Fossil Backup Power Expansion,9,-0.56115,4.63899
522,MRS001,Rebuild Same Floodplain Housing,10,-1.10402,4.94284
523,MRS002,Floodplain Restoration and Housing Transition,1,8.00346,0.38532
523,MRS006,Distributed Renewable Resilience Hubs,2,7.01023,0.51219
523,MRS008,Maintenance Backlog Repair and Governance Reform,3,6.91462,0.68449
