simulation_id,strategy_id,strategy,rank,knowledge_integration_value,winner
725,LK006,Recovery Feedback and Administrative Burden Review,4,8.20638,Funded Community Resilience Advisory Council
725,LK005,Trusted Messenger and Local Warning System,5,8.10853,Funded Community Resilience Advisory Council
725,LK002,Community Science Environmental Monitoring Network,6,7.90437,Funded Community Resilience Advisory Council
726,LK004,Funded Community Resilience Advisory Council,1,9.00641,Funded Community Resilience Advisory Council
726,LK003,Indigenous Knowledge Governance Protocol,2,8.87675,Funded Community Resilience Advisory Council
726,LK006,Recovery Feedback and Administrative Burden Review,3,8.8469,Funded Community Resilience Advisory Council
726,LK001,Participatory Risk Mapping and Action Triggers,4,8.63175,Funded Community Resilience Advisory Council
726,LK002,Community Science Environmental Monitoring Network,5,8.01193,Funded Community Resilience Advisory Council
726,LK005,Trusted Messenger and Local Warning System,6,7.77538,Funded Community Resilience Advisory Council
727,LK004,Funded Community Resilience Advisory Council,1,8.70011,Funded Community Resilience Advisory Council
727,LK003,Indigenous Knowledge Governance Protocol,2,8.63072,Funded Community Resilience Advisory Council
727,LK006,Recovery Feedback and Administrative Burden Review,3,8.54797,Funded Community Resilience Advisory Council
727,LK001,Participatory Risk Mapping and Action Triggers,4,8.38331,Funded Community Resilience Advisory Council
727,LK002,Community Science Environmental Monitoring Network,5,8.073,Funded Community Resilience Advisory Council
727,LK005,Trusted Messenger and Local Warning System,6,8.02901,Funded Community Resilience Advisory Council
728,LK003,Indigenous Knowledge Governance Protocol,1,8.82844,Indigenous Knowledge Governance Protocol
728,LK004,Funded Community Resilience Advisory Council,2,8.79533,Indigenous Knowledge Governance Protocol
728,LK001,Participatory Risk Mapping and Action Triggers,3,8.51081,Indigenous Knowledge Governance Protocol
728,LK005,Trusted Messenger and Local Warning System,4,8.45646,Indigenous Knowledge Governance Protocol
728,LK006,Recovery Feedback and Administrative Burden Review,5,8.18611,Indigenous Knowledge Governance Protocol
728,LK002,Community Science Environmental Monitoring Network,6,7.80015,Indigenous Knowledge Governance Protocol
729,LK003,Indigenous Knowledge Governance Protocol,1,9.15921,Indigenous Knowledge Governance Protocol
729,LK004,Funded Community Resilience Advisory Council,2,8.58222,Indigenous Knowledge Governance Protocol
729,LK001,Participatory Risk Mapping and Action Triggers,3,8.42692,Indigenous Knowledge Governance Protocol
729,LK006,Recovery Feedback and Administrative Burden Review,4,8.22991,Indigenous Knowledge Governance Protocol
729,LK005,Trusted Messenger and Local Warning System,5,8.17565,Indigenous Knowledge Governance Protocol
729,LK002,Community Science Environmental Monitoring Network,6,7.82528,Indigenous Knowledge Governance Protocol
730,LK004,Funded Community Resilience Advisory Council,1,8.93194,Funded Community Resilience Advisory Council
730,LK003,Indigenous Knowledge Governance Protocol,2,8.36361,Funded Community Resilience Advisory Council
730,LK006,Recovery Feedback and Administrative Burden Review,3,8.17401,Funded Community Resilience Advisory Council
730,LK001,Participatory Risk Mapping and Action Triggers,4,8.15932,Funded Community Resilience Advisory Council
730,LK002,Community Science Environmental Monitoring Network,5,8.01169,Funded Community Resilience Advisory Council
730,LK005,Trusted Messenger and Local Warning System,6,7.96501,Funded Community Resilience Advisory Council
731,LK003,Indigenous Knowledge Governance Protocol,1,9.17409,Indigenous Knowledge Governance Protocol
731,LK004,Funded Community Resilience Advisory Council,2,8.8309,Indigenous Knowledge Governance Protocol
731,LK006,Recovery Feedback and Administrative Burden Review,3,8.48268,Indigenous Knowledge Governance Protocol
731,LK001,Participatory Risk Mapping and Action Triggers,4,8.22672,Indigenous Knowledge Governance Protocol
731,LK005,Trusted Messenger and Local Warning System,5,7.96696,Indigenous Knowledge Governance Protocol
731,LK002,Community Science Environmental Monitoring Network,6,7.91553,Indigenous Knowledge Governance Protocol
732,LK004,Funded Community Resilience Advisory Council,1,9.18602,Funded Community Resilience Advisory Council
732,LK006,Recovery Feedback and Administrative Burden Review,2,8.89947,Funded Community Resilience Advisory Council
732,LK005,Trusted Messenger and Local Warning System,3,8.81941,Funded Community Resilience Advisory Council
732,LK003,Indigenous Knowledge Governance Protocol,4,8.74361,Funded Community Resilience Advisory Council
732,LK001,Participatory Risk Mapping and Action Triggers,5,8.50262,Funded Community Resilience Advisory Council
732,LK002,Community Science Environmental Monitoring Network,6,8.16047,Funded Community Resilience Advisory Council
733,LK004,Funded Community Resilience Advisory Council,1,8.91545,Funded Community Resilience Advisory Council
733,LK003,Indigenous Knowledge Governance Protocol,2,8.85626,Funded Community Resilience Advisory Council
733,LK006,Recovery Feedback and Administrative Burden Review,3,8.30795,Funded Community Resilience Advisory Council
733,LK005,Trusted Messenger and Local Warning System,4,8.2908,Funded Community Resilience Advisory Council
733,LK001,Participatory Risk Mapping and Action Triggers,5,8.06755,Funded Community Resilience Advisory Council
733,LK002,Community Science Environmental Monitoring Network,6,7.73961,Funded Community Resilience Advisory Council
734,LK003,Indigenous Knowledge Governance Protocol,1,9.1575,Indigenous Knowledge Governance Protocol
734,LK004,Funded Community Resilience Advisory Council,2,8.76004,Indigenous Knowledge Governance Protocol
734,LK001,Participatory Risk Mapping and Action Triggers,3,8.56811,Indigenous Knowledge Governance Protocol
734,LK005,Trusted Messenger and Local Warning System,4,8.3415,Indigenous Knowledge Governance Protocol
734,LK006,Recovery Feedback and Administrative Burden Review,5,8.31725,Indigenous Knowledge Governance Protocol
734,LK002,Community Science Environmental Monitoring Network,6,7.81664,Indigenous Knowledge Governance Protocol
735,LK004,Funded Community Resilience Advisory Council,1,9.2028,Funded Community Resilience Advisory Council
735,LK003,Indigenous Knowledge Governance Protocol,2,8.96814,Funded Community Resilience Advisory Council
735,LK006,Recovery Feedback and Administrative Burden Review,3,8.67432,Funded Community Resilience Advisory Council
735,LK001,Participatory Risk Mapping and Action Triggers,4,8.53652,Funded Community Resilience Advisory Council
735,LK005,Trusted Messenger and Local Warning System,5,8.39799,Funded Community Resilience Advisory Council
735,LK002,Community Science Environmental Monitoring Network,6,7.91031,Funded Community Resilience Advisory Council
736,LK003,Indigenous Knowledge Governance Protocol,1,9.04463,Indigenous Knowledge Governance Protocol
736,LK004,Funded Community Resilience Advisory Council,2,8.67779,Indigenous Knowledge Governance Protocol
736,LK006,Recovery Feedback and Administrative Burden Review,3,8.63912,Indigenous Knowledge Governance Protocol
736,LK001,Participatory Risk Mapping and Action Triggers,4,8.32973,Indigenous Knowledge Governance Protocol
736,LK002,Community Science Environmental Monitoring Network,5,8.12853,Indigenous Knowledge Governance Protocol
736,LK005,Trusted Messenger and Local Warning System,6,8.0548,Indigenous Knowledge Governance Protocol
737,LK003,Indigenous Knowledge Governance Protocol,1,8.84498,Indigenous Knowledge Governance Protocol
737,LK004,Funded Community Resilience Advisory Council,2,8.75634,Indigenous Knowledge Governance Protocol
737,LK006,Recovery Feedback and Administrative Burden Review,3,8.67359,Indigenous Knowledge Governance Protocol
737,LK005,Trusted Messenger and Local Warning System,4,8.27171,Indigenous Knowledge Governance Protocol
737,LK001,Participatory Risk Mapping and Action Triggers,5,8.13808,Indigenous Knowledge Governance Protocol
737,LK002,Community Science Environmental Monitoring Network,6,7.96096,Indigenous Knowledge Governance Protocol
738,LK006,Recovery Feedback and Administrative Burden Review,1,8.9736,Recovery Feedback and Administrative Burden Review
738,LK004,Funded Community Resilience Advisory Council,2,8.9164,Recovery Feedback and Administrative Burden Review
738,LK003,Indigenous Knowledge Governance Protocol,3,8.8886,Recovery Feedback and Administrative Burden Review
738,LK001,Participatory Risk Mapping and Action Triggers,4,8.13556,Recovery Feedback and Administrative Burden Review
738,LK002,Community Science Environmental Monitoring Network,5,8.04176,Recovery Feedback and Administrative Burden Review
738,LK005,Trusted Messenger and Local Warning System,6,8.02168,Recovery Feedback and Administrative Burden Review
739,LK004,Funded Community Resilience Advisory Council,1,8.94695,Funded Community Resilience Advisory Council
739,LK003,Indigenous Knowledge Governance Protocol,2,8.89062,Funded Community Resilience Advisory Council
739,LK005,Trusted Messenger and Local Warning System,3,8.78771,Funded Community Resilience Advisory Council
739,LK006,Recovery Feedback and Administrative Burden Review,4,8.30819,Funded Community Resilience Advisory Council
739,LK002,Community Science Environmental Monitoring Network,5,8.18027,Funded Community Resilience Advisory Council
739,LK001,Participatory Risk Mapping and Action Triggers,6,8.02562,Funded Community Resilience Advisory Council
740,LK005,Trusted Messenger and Local Warning System,1,8.56438,Trusted Messenger and Local Warning System
740,LK004,Funded Community Resilience Advisory Council,2,8.53878,Trusted Messenger and Local Warning System
740,LK003,Indigenous Knowledge Governance Protocol,3,8.51713,Trusted Messenger and Local Warning System
740,LK006,Recovery Feedback and Administrative Burden Review,4,8.5144,Trusted Messenger and Local Warning System
740,LK001,Participatory Risk Mapping and Action Triggers,5,8.38411,Trusted Messenger and Local Warning System
740,LK002,Community Science Environmental Monitoring Network,6,8.17407,Trusted Messenger and Local Warning System
741,LK003,Indigenous Knowledge Governance Protocol,1,8.85565,Indigenous Knowledge Governance Protocol
741,LK004,Funded Community Resilience Advisory Council,2,8.68473,Indigenous Knowledge Governance Protocol
741,LK005,Trusted Messenger and Local Warning System,3,8.38319,Indigenous Knowledge Governance Protocol
741,LK001,Participatory Risk Mapping and Action Triggers,4,8.36647,Indigenous Knowledge Governance Protocol
741,LK006,Recovery Feedback and Administrative Burden Review,5,8.02063,Indigenous Knowledge Governance Protocol
741,LK002,Community Science Environmental Monitoring Network,6,7.95714,Indigenous Knowledge Governance Protocol
742,LK004,Funded Community Resilience Advisory Council,1,9.10937,Funded Community Resilience Advisory Council
742,LK003,Indigenous Knowledge Governance Protocol,2,8.64332,Funded Community Resilience Advisory Council
742,LK001,Participatory Risk Mapping and Action Triggers,3,8.28601,Funded Community Resilience Advisory Council
742,LK005,Trusted Messenger and Local Warning System,4,8.22916,Funded Community Resilience Advisory Council
742,LK006,Recovery Feedback and Administrative Burden Review,5,8.21442,Funded Community Resilience Advisory Council
742,LK002,Community Science Environmental Monitoring Network,6,7.54972,Funded Community Resilience Advisory Council
743,LK004,Funded Community Resilience Advisory Council,1,8.46335,Funded Community Resilience Advisory Council
743,LK002,Community Science Environmental Monitoring Network,2,8.21217,Funded Community Resilience Advisory Council
743,LK003,Indigenous Knowledge Governance Protocol,3,8.19928,Funded Community Resilience Advisory Council
743,LK005,Trusted Messenger and Local Warning System,4,8.12831,Funded Community Resilience Advisory Council
743,LK006,Recovery Feedback and Administrative Burden Review,5,8.11446,Funded Community Resilience Advisory Council
743,LK001,Participatory Risk Mapping and Action Triggers,6,7.99072,Funded Community Resilience Advisory Council
744,LK004,Funded Community Resilience Advisory Council,1,8.62602,Funded Community Resilience Advisory Council
744,LK003,Indigenous Knowledge Governance Protocol,2,8.59995,Funded Community Resilience Advisory Council
744,LK005,Trusted Messenger and Local Warning System,3,8.36964,Funded Community Resilience Advisory Council
744,LK002,Community Science Environmental Monitoring Network,4,8.31959,Funded Community Resilience Advisory Council
744,LK001,Participatory Risk Mapping and Action Triggers,5,8.27013,Funded Community Resilience Advisory Council
744,LK006,Recovery Feedback and Administrative Burden Review,6,8.22917,Funded Community Resilience Advisory Council
745,LK003,Indigenous Knowledge Governance Protocol,1,8.78156,Indigenous Knowledge Governance Protocol
745,LK004,Funded Community Resilience Advisory Council,2,8.67466,Indigenous Knowledge Governance Protocol
745,LK001,Participatory Risk Mapping and Action Triggers,3,8.3286,Indigenous Knowledge Governance Protocol
745,LK005,Trusted Messenger and Local Warning System,4,8.24851,Indigenous Knowledge Governance Protocol
745,LK006,Recovery Feedback and Administrative Burden Review,5,8.24385,Indigenous Knowledge Governance Protocol
745,LK002,Community Science Environmental Monitoring Network,6,7.97916,Indigenous Knowledge Governance Protocol
746,LK003,Indigenous Knowledge Governance Protocol,1,8.90081,Indigenous Knowledge Governance Protocol
746,LK004,Funded Community Resilience Advisory Council,2,8.89287,Indigenous Knowledge Governance Protocol
746,LK005,Trusted Messenger and Local Warning System,3,8.73441,Indigenous Knowledge Governance Protocol
746,LK002,Community Science Environmental Monitoring Network,4,8.40441,Indigenous Knowledge Governance Protocol
746,LK001,Participatory Risk Mapping and Action Triggers,5,8.1376,Indigenous Knowledge Governance Protocol
746,LK006,Recovery Feedback and Administrative Burden Review,6,7.77572,Indigenous Knowledge Governance Protocol
747,LK004,Funded Community Resilience Advisory Council,1,8.77148,Funded Community Resilience Advisory Council
747,LK003,Indigenous Knowledge Governance Protocol,2,8.75907,Funded Community Resilience Advisory Council
747,LK001,Participatory Risk Mapping and Action Triggers,3,8.32761,Funded Community Resilience Advisory Council
747,LK006,Recovery Feedback and Administrative Burden Review,4,8.24915,Funded Community Resilience Advisory Council
747,LK005,Trusted Messenger and Local Warning System,5,8.10332,Funded Community Resilience Advisory Council
747,LK002,Community Science Environmental Monitoring Network,6,8.08484,Funded Community Resilience Advisory Council
748,LK003,Indigenous Knowledge Governance Protocol,1,8.88115,Indigenous Knowledge Governance Protocol
748,LK006,Recovery Feedback and Administrative Burden Review,2,8.54793,Indigenous Knowledge Governance Protocol
748,LK005,Trusted Messenger and Local Warning System,3,8.48104,Indigenous Knowledge Governance Protocol
748,LK004,Funded Community Resilience Advisory Council,4,8.35387,Indigenous Knowledge Governance Protocol
748,LK001,Participatory Risk Mapping and Action Triggers,5,8.29155,Indigenous Knowledge Governance Protocol
748,LK002,Community Science Environmental Monitoring Network,6,8.28447,Indigenous Knowledge Governance Protocol
749,LK003,Indigenous Knowledge Governance Protocol,1,8.90441,Indigenous Knowledge Governance Protocol
749,LK004,Funded Community Resilience Advisory Council,2,8.77036,Indigenous Knowledge Governance Protocol
749,LK005,Trusted Messenger and Local Warning System,3,8.39356,Indigenous Knowledge Governance Protocol
749,LK006,Recovery Feedback and Administrative Burden Review,4,8.10919,Indigenous Knowledge Governance Protocol
749,LK001,Participatory Risk Mapping and Action Triggers,5,7.9324,Indigenous Knowledge Governance Protocol
749,LK002,Community Science Environmental Monitoring Network,6,7.91319,Indigenous Knowledge Governance Protocol
750,LK003,Indigenous Knowledge Governance Protocol,1,9.25281,Indigenous Knowledge Governance Protocol
750,LK004,Funded Community Resilience Advisory Council,2,8.97009,Indigenous Knowledge Governance Protocol
750,LK002,Community Science Environmental Monitoring Network,3,8.4579,Indigenous Knowledge Governance Protocol
750,LK006,Recovery Feedback and Administrative Burden Review,4,8.34083,Indigenous Knowledge Governance Protocol
750,LK005,Trusted Messenger and Local Warning System,5,8.27472,Indigenous Knowledge Governance Protocol
750,LK001,Participatory Risk Mapping and Action Triggers,6,8.22758,Indigenous Knowledge Governance Protocol
751,LK003,Indigenous Knowledge Governance Protocol,1,8.6183,Indigenous Knowledge Governance Protocol
751,LK004,Funded Community Resilience Advisory Council,2,8.54553,Indigenous Knowledge Governance Protocol
751,LK001,Participatory Risk Mapping and Action Triggers,3,8.53335,Indigenous Knowledge Governance Protocol
751,LK006,Recovery Feedback and Administrative Burden Review,4,8.50468,Indigenous Knowledge Governance Protocol
751,LK005,Trusted Messenger and Local Warning System,5,8.32965,Indigenous Knowledge Governance Protocol
751,LK002,Community Science Environmental Monitoring Network,6,7.76025,Indigenous Knowledge Governance Protocol
752,LK006,Recovery Feedback and Administrative Burden Review,1,8.62405,Recovery Feedback and Administrative Burden Review
752,LK001,Participatory Risk Mapping and Action Triggers,2,8.54931,Recovery Feedback and Administrative Burden Review
752,LK004,Funded Community Resilience Advisory Council,3,8.47116,Recovery Feedback and Administrative Burden Review
752,LK003,Indigenous Knowledge Governance Protocol,4,8.42872,Recovery Feedback and Administrative Burden Review
752,LK005,Trusted Messenger and Local Warning System,5,8.11533,Recovery Feedback and Administrative Burden Review
752,LK002,Community Science Environmental Monitoring Network,6,7.97559,Recovery Feedback and Administrative Burden Review
753,LK004,Funded Community Resilience Advisory Council,1,9.05715,Funded Community Resilience Advisory Council
753,LK003,Indigenous Knowledge Governance Protocol,2,8.61281,Funded Community Resilience Advisory Council
753,LK005,Trusted Messenger and Local Warning System,3,8.56474,Funded Community Resilience Advisory Council
753,LK006,Recovery Feedback and Administrative Burden Review,4,8.38139,Funded Community Resilience Advisory Council
753,LK001,Participatory Risk Mapping and Action Triggers,5,8.28289,Funded Community Resilience Advisory Council
753,LK002,Community Science Environmental Monitoring Network,6,7.72302,Funded Community Resilience Advisory Council
754,LK004,Funded Community Resilience Advisory Council,1,8.92989,Funded Community Resilience Advisory Council
754,LK003,Indigenous Knowledge Governance Protocol,2,8.75462,Funded Community Resilience Advisory Council
754,LK006,Recovery Feedback and Administrative Burden Review,3,8.5058,Funded Community Resilience Advisory Council
754,LK001,Participatory Risk Mapping and Action Triggers,4,8.14401,Funded Community Resilience Advisory Council
754,LK005,Trusted Messenger and Local Warning System,5,7.98832,Funded Community Resilience Advisory Council
754,LK002,Community Science Environmental Monitoring Network,6,7.69317,Funded Community Resilience Advisory Council
755,LK004,Funded Community Resilience Advisory Council,1,9.14318,Funded Community Resilience Advisory Council
755,LK006,Recovery Feedback and Administrative Burden Review,2,8.93241,Funded Community Resilience Advisory Council
755,LK003,Indigenous Knowledge Governance Protocol,3,8.80912,Funded Community Resilience Advisory Council
755,LK001,Participatory Risk Mapping and Action Triggers,4,8.36405,Funded Community Resilience Advisory Council
755,LK005,Trusted Messenger and Local Warning System,5,7.89159,Funded Community Resilience Advisory Council
755,LK002,Community Science Environmental Monitoring Network,6,7.8322,Funded Community Resilience Advisory Council
756,LK004,Funded Community Resilience Advisory Council,1,9.03238,Funded Community Resilience Advisory Council
756,LK003,Indigenous Knowledge Governance Protocol,2,8.87689,Funded Community Resilience Advisory Council
756,LK005,Trusted Messenger and Local Warning System,3,8.60436,Funded Community Resilience Advisory Council
756,LK006,Recovery Feedback and Administrative Burden Review,4,8.22777,Funded Community Resilience Advisory Council
756,LK002,Community Science Environmental Monitoring Network,5,8.13904,Funded Community Resilience Advisory Council
756,LK001,Participatory Risk Mapping and Action Triggers,6,8.08738,Funded Community Resilience Advisory Council
757,LK003,Indigenous Knowledge Governance Protocol,1,9.18049,Indigenous Knowledge Governance Protocol
757,LK004,Funded Community Resilience Advisory Council,2,8.79057,Indigenous Knowledge Governance Protocol
757,LK006,Recovery Feedback and Administrative Burden Review,3,8.15713,Indigenous Knowledge Governance Protocol
757,LK001,Participatory Risk Mapping and Action Triggers,4,8.00643,Indigenous Knowledge Governance Protocol
757,LK005,Trusted Messenger and Local Warning System,5,7.98429,Indigenous Knowledge Governance Protocol
757,LK002,Community Science Environmental Monitoring Network,6,7.58943,Indigenous Knowledge Governance Protocol
758,LK003,Indigenous Knowledge Governance Protocol,1,8.81905,Indigenous Knowledge Governance Protocol
758,LK005,Trusted Messenger and Local Warning System,2,8.6151,Indigenous Knowledge Governance Protocol
758,LK004,Funded Community Resilience Advisory Council,3,8.54165,Indigenous Knowledge Governance Protocol
758,LK006,Recovery Feedback and Administrative Burden Review,4,8.26024,Indigenous Knowledge Governance Protocol
758,LK001,Participatory Risk Mapping and Action Triggers,5,8.25237,Indigenous Knowledge Governance Protocol
758,LK002,Community Science Environmental Monitoring Network,6,7.78367,Indigenous Knowledge Governance Protocol
759,LK003,Indigenous Knowledge Governance Protocol,1,8.92021,Indigenous Knowledge Governance Protocol
759,LK004,Funded Community Resilience Advisory Council,2,8.74424,Indigenous Knowledge Governance Protocol
759,LK005,Trusted Messenger and Local Warning System,3,8.47247,Indigenous Knowledge Governance Protocol
759,LK001,Participatory Risk Mapping and Action Triggers,4,8.35131,Indigenous Knowledge Governance Protocol
759,LK006,Recovery Feedback and Administrative Burden Review,5,8.31555,Indigenous Knowledge Governance Protocol
759,LK002,Community Science Environmental Monitoring Network,6,8.22229,Indigenous Knowledge Governance Protocol
760,LK003,Indigenous Knowledge Governance Protocol,1,9.06405,Indigenous Knowledge Governance Protocol
760,LK004,Funded Community Resilience Advisory Council,2,8.6874,Indigenous Knowledge Governance Protocol
760,LK006,Recovery Feedback and Administrative Burden Review,3,8.59081,Indigenous Knowledge Governance Protocol
760,LK001,Participatory Risk Mapping and Action Triggers,4,8.489,Indigenous Knowledge Governance Protocol
760,LK005,Trusted Messenger and Local Warning System,5,7.97195,Indigenous Knowledge Governance Protocol
760,LK002,Community Science Environmental Monitoring Network,6,7.69465,Indigenous Knowledge Governance Protocol
761,LK004,Funded Community Resilience Advisory Council,1,8.75023,Funded Community Resilience Advisory Council
761,LK006,Recovery Feedback and Administrative Burden Review,2,8.61472,Funded Community Resilience Advisory Council
761,LK003,Indigenous Knowledge Governance Protocol,3,8.48461,Funded Community Resilience Advisory Council
761,LK005,Trusted Messenger and Local Warning System,4,8.46406,Funded Community Resilience Advisory Council
761,LK001,Participatory Risk Mapping and Action Triggers,5,8.37723,Funded Community Resilience Advisory Council
761,LK002,Community Science Environmental Monitoring Network,6,8.03438,Funded Community Resilience Advisory Council
762,LK003,Indigenous Knowledge Governance Protocol,1,8.87756,Indigenous Knowledge Governance Protocol
762,LK004,Funded Community Resilience Advisory Council,2,8.84492,Indigenous Knowledge Governance Protocol
762,LK005,Trusted Messenger and Local Warning System,3,8.37069,Indigenous Knowledge Governance Protocol
762,LK001,Participatory Risk Mapping and Action Triggers,4,8.35263,Indigenous Knowledge Governance Protocol
762,LK002,Community Science Environmental Monitoring Network,5,8.22101,Indigenous Knowledge Governance Protocol
762,LK006,Recovery Feedback and Administrative Burden Review,6,8.19503,Indigenous Knowledge Governance Protocol
763,LK003,Indigenous Knowledge Governance Protocol,1,9.10528,Indigenous Knowledge Governance Protocol
763,LK004,Funded Community Resilience Advisory Council,2,8.90057,Indigenous Knowledge Governance Protocol
763,LK006,Recovery Feedback and Administrative Burden Review,3,8.58592,Indigenous Knowledge Governance Protocol
763,LK005,Trusted Messenger and Local Warning System,4,8.50221,Indigenous Knowledge Governance Protocol
763,LK002,Community Science Environmental Monitoring Network,5,7.97237,Indigenous Knowledge Governance Protocol
763,LK001,Participatory Risk Mapping and Action Triggers,6,7.96676,Indigenous Knowledge Governance Protocol
764,LK003,Indigenous Knowledge Governance Protocol,1,8.79821,Indigenous Knowledge Governance Protocol
764,LK001,Participatory Risk Mapping and Action Triggers,2,8.67946,Indigenous Knowledge Governance Protocol
764,LK004,Funded Community Resilience Advisory Council,3,8.43478,Indigenous Knowledge Governance Protocol
764,LK005,Trusted Messenger and Local Warning System,4,8.35971,Indigenous Knowledge Governance Protocol
764,LK006,Recovery Feedback and Administrative Burden Review,5,8.26914,Indigenous Knowledge Governance Protocol
764,LK002,Community Science Environmental Monitoring Network,6,7.91757,Indigenous Knowledge Governance Protocol
765,LK004,Funded Community Resilience Advisory Council,1,8.8328,Funded Community Resilience Advisory Council
765,LK003,Indigenous Knowledge Governance Protocol,2,8.75895,Funded Community Resilience Advisory Council
765,LK006,Recovery Feedback and Administrative Burden Review,3,8.68575,Funded Community Resilience Advisory Council
765,LK005,Trusted Messenger and Local Warning System,4,8.31769,Funded Community Resilience Advisory Council
765,LK001,Participatory Risk Mapping and Action Triggers,5,8.27103,Funded Community Resilience Advisory Council
765,LK002,Community Science Environmental Monitoring Network,6,7.843,Funded Community Resilience Advisory Council
766,LK003,Indigenous Knowledge Governance Protocol,1,8.69521,Indigenous Knowledge Governance Protocol
766,LK005,Trusted Messenger and Local Warning System,2,8.59207,Indigenous Knowledge Governance Protocol
766,LK004,Funded Community Resilience Advisory Council,3,8.55197,Indigenous Knowledge Governance Protocol
766,LK001,Participatory Risk Mapping and Action Triggers,4,8.33749,Indigenous Knowledge Governance Protocol
766,LK006,Recovery Feedback and Administrative Burden Review,5,8.26426,Indigenous Knowledge Governance Protocol
766,LK002,Community Science Environmental Monitoring Network,6,8.01437,Indigenous Knowledge Governance Protocol
767,LK003,Indigenous Knowledge Governance Protocol,1,8.84792,Indigenous Knowledge Governance Protocol
767,LK004,Funded Community Resilience Advisory Council,2,8.71863,Indigenous Knowledge Governance Protocol
767,LK006,Recovery Feedback and Administrative Burden Review,3,8.4366,Indigenous Knowledge Governance Protocol
767,LK001,Participatory Risk Mapping and Action Triggers,4,8.32007,Indigenous Knowledge Governance Protocol
767,LK005,Trusted Messenger and Local Warning System,5,8.29626,Indigenous Knowledge Governance Protocol
767,LK002,Community Science Environmental Monitoring Network,6,7.84493,Indigenous Knowledge Governance Protocol
768,LK003,Indigenous Knowledge Governance Protocol,1,8.89894,Indigenous Knowledge Governance Protocol
768,LK004,Funded Community Resilience Advisory Council,2,8.7711,Indigenous Knowledge Governance Protocol
768,LK002,Community Science Environmental Monitoring Network,3,8.61062,Indigenous Knowledge Governance Protocol
768,LK001,Participatory Risk Mapping and Action Triggers,4,8.41708,Indigenous Knowledge Governance Protocol
768,LK006,Recovery Feedback and Administrative Burden Review,5,7.91593,Indigenous Knowledge Governance Protocol
768,LK005,Trusted Messenger and Local Warning System,6,7.71796,Indigenous Knowledge Governance Protocol
769,LK004,Funded Community Resilience Advisory Council,1,8.84398,Funded Community Resilience Advisory Council
769,LK003,Indigenous Knowledge Governance Protocol,2,8.65912,Funded Community Resilience Advisory Council
769,LK005,Trusted Messenger and Local Warning System,3,8.46613,Funded Community Resilience Advisory Council
769,LK006,Recovery Feedback and Administrative Burden Review,4,8.23638,Funded Community Resilience Advisory Council
769,LK001,Participatory Risk Mapping and Action Triggers,5,8.23158,Funded Community Resilience Advisory Council
769,LK002,Community Science Environmental Monitoring Network,6,7.93916,Funded Community Resilience Advisory Council
770,LK004,Funded Community Resilience Advisory Council,1,9.0317,Funded Community Resilience Advisory Council
770,LK006,Recovery Feedback and Administrative Burden Review,2,8.6574,Funded Community Resilience Advisory Council
770,LK005,Trusted Messenger and Local Warning System,3,8.53855,Funded Community Resilience Advisory Council
770,LK003,Indigenous Knowledge Governance Protocol,4,8.39873,Funded Community Resilience Advisory Council
770,LK001,Participatory Risk Mapping and Action Triggers,5,8.31575,Funded Community Resilience Advisory Council
770,LK002,Community Science Environmental Monitoring Network,6,7.71304,Funded Community Resilience Advisory Council
771,LK004,Funded Community Resilience Advisory Council,1,9.02743,Funded Community Resilience Advisory Council
771,LK003,Indigenous Knowledge Governance Protocol,2,8.82026,Funded Community Resilience Advisory Council
771,LK001,Participatory Risk Mapping and Action Triggers,3,8.73085,Funded Community Resilience Advisory Council
771,LK006,Recovery Feedback and Administrative Burden Review,4,8.31757,Funded Community Resilience Advisory Council
771,LK005,Trusted Messenger and Local Warning System,5,8.21334,Funded Community Resilience Advisory Council
771,LK002,Community Science Environmental Monitoring Network,6,8.03503,Funded Community Resilience Advisory Council
772,LK003,Indigenous Knowledge Governance Protocol,1,9.02977,Indigenous Knowledge Governance Protocol
772,LK004,Funded Community Resilience Advisory Council,2,8.62508,Indigenous Knowledge Governance Protocol
772,LK006,Recovery Feedback and Administrative Burden Review,3,8.38836,Indigenous Knowledge Governance Protocol
772,LK001,Participatory Risk Mapping and Action Triggers,4,8.3503,Indigenous Knowledge Governance Protocol
772,LK005,Trusted Messenger and Local Warning System,5,8.06858,Indigenous Knowledge Governance Protocol
772,LK002,Community Science Environmental Monitoring Network,6,8.03102,Indigenous Knowledge Governance Protocol
773,LK003,Indigenous Knowledge Governance Protocol,1,9.14893,Indigenous Knowledge Governance Protocol
773,LK004,Funded Community Resilience Advisory Council,2,9.07347,Indigenous Knowledge Governance Protocol
773,LK001,Participatory Risk Mapping and Action Triggers,3,8.70286,Indigenous Knowledge Governance Protocol
773,LK006,Recovery Feedback and Administrative Burden Review,4,8.32263,Indigenous Knowledge Governance Protocol
773,LK005,Trusted Messenger and Local Warning System,5,8.24485,Indigenous Knowledge Governance Protocol
773,LK002,Community Science Environmental Monitoring Network,6,8.04283,Indigenous Knowledge Governance Protocol
774,LK004,Funded Community Resilience Advisory Council,1,8.91812,Funded Community Resilience Advisory Council
774,LK003,Indigenous Knowledge Governance Protocol,2,8.7212,Funded Community Resilience Advisory Council
774,LK005,Trusted Messenger and Local Warning System,3,8.45561,Funded Community Resilience Advisory Council
