scenario,time,shock,climate_stress,infrastructure_stress,vulnerability,institutional_learning,social_trust,adaptive_buffer,transformation_effect,fragility_gap,function,equity_adjusted_resilience,robust_resilience_score
Justice-centered transformation,21,0.05,0.2696,0.28722,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,22,0.74,0.3212,0.33118,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,23,0.05,0.3176,0.32684,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,24,0.05,0.314,0.3225,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,25,0.05,0.3104,0.31816,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,26,0.05,0.3068,0.31382,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,27,0.05,0.3032,0.30948,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,28,0.05,0.2996,0.30514,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,29,0.05,0.296,0.3008,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,30,0.05,0.2924,0.29646,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,31,0.05,0.2888,0.29212,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,32,0.05,0.2852,0.28778,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,33,0.05,0.2816,0.28344,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,34,0.78,0.3364,0.3302,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,35,0.05,0.3328,0.32586,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,36,0.05,0.3292,0.32152,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,37,0.05,0.3256,0.31718,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,38,0.05,0.322,0.31284,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,39,0.05,0.3184,0.3085,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,40,0.05,0.3148,0.30416,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,41,0.05,0.3112,0.29982,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,42,0.05,0.3076,0.29548,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,43,0.05,0.304,0.29114,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,44,0.05,0.3004,0.2868,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,45,0.05,0.2968,0.28246,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,46,0.68,0.3436,0.32222,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,47,0.05,0.34,0.31788,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,48,0.05,0.3364,0.31354,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,49,0.05,0.3328,0.3092,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,50,0.05,0.3292,0.30486,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,51,0.05,0.3256,0.30052,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,52,0.05,0.322,0.29618,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,53,0.05,0.3184,0.29184,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,54,0.05,0.3148,0.2875,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,55,0.05,0.3112,0.28316,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,56,0.9,0.3756,0.33832,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,57,0.05,0.372,0.33398,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,58,0.05,0.3684,0.32964,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,59,0.05,0.3648,0.3253,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Maladaptive resilience and unequal recovery,0,0.05,0.3124,0.34806,0.48608,0.48035,0.41104,0.47917,0.41904,0.0,0.80079,0.61684,0.52413
Maladaptive resilience and unequal recovery,1,0.05,0.3248,0.35612,0.47304,0.5607,0.4458,0.49459,0.42707,0.0,0.78701,0.61009,0.54094
Maladaptive resilience and unequal recovery,2,0.05,0.3372,0.36418,0.46088,0.64105,0.48422,0.51045,0.43511,0.0,0.77891,0.60805,0.55923
Maladaptive resilience and unequal recovery,3,0.05,0.3496,0.37224,0.4496,0.7214,0.52625,0.52675,0.44314,0.0,0.7767,0.61089,0.57904
Maladaptive resilience and unequal recovery,4,0.05,0.362,0.3803,0.43921,0.80175,0.57182,0.54346,0.45118,0.0,0.78059,0.61878,0.6004
Maladaptive resilience and unequal recovery,5,0.05,0.3744,0.38836,0.42969,0.8821,0.62086,0.5606,0.45921,0.0,0.79082,0.63189,0.62333
Maladaptive resilience and unequal recovery,6,0.05,0.3868,0.39642,0.42105,0.96245,0.67332,0.57814,0.46725,0.0,0.80757,0.65037,0.64785
Maladaptive resilience and unequal recovery,7,0.05,0.3992,0.40448,0.41329,1.0,0.72764,0.58992,0.471,0.0,0.82905,0.67267,0.66663
Maladaptive resilience and unequal recovery,8,0.05,0.4116,0.41254,0.40642,1.0,0.78244,0.59649,0.471,0.0,0.85355,0.69732,0.67997
Maladaptive resilience and unequal recovery,9,0.05,0.424,0.4206,0.40042,1.0,0.83766,0.60312,0.471,0.0,0.88096,0.72421,0.69381
Maladaptive resilience and unequal recovery,10,0.66,0.4852,0.47136,0.39921,1.0,0.87162,0.60719,0.471,0.0,0.81195,0.67213,0.68661
Maladaptive resilience and unequal recovery,11,0.05,0.4976,0.47942,0.39888,1.0,0.92695,0.61383,0.471,0.0,0.82419,0.68633,0.69717
Maladaptive resilience and unequal recovery,12,0.05,0.51,0.48748,0.39943,1.0,0.98224,0.62047,0.471,0.0,0.83824,0.70188,0.70796
Maladaptive resilience and unequal recovery,13,0.05,0.5224,0.49554,0.40086,1.0,1.0,0.6226,0.471,0.0,0.85004,0.71254,0.71261
Maladaptive resilience and unequal recovery,14,0.05,0.5348,0.5036,0.40317,1.0,1.0,0.6226,0.471,0.0,0.8576,0.7183,0.71374
Maladaptive resilience and unequal recovery,15,0.05,0.5472,0.51166,0.40636,1.0,1.0,0.6226,0.471,0.0,0.86076,0.72047,0.71399
Maladaptive resilience and unequal recovery,16,0.05,0.5596,0.51972,0.41043,1.0,1.0,0.6226,0.471,0.0,0.85939,0.71893,0.71334
Maladaptive resilience and unequal recovery,17,0.05,0.572,0.52778,0.41538,1.0,1.0,0.6226,0.471,0.0,0.85332,0.71355,0.71175
Maladaptive resilience and unequal recovery,18,0.05,0.5844,0.53584,0.42121,1.0,1.0,0.6226,0.471,0.0,0.84241,0.70423,0.70921
Maladaptive resilience and unequal recovery,19,0.05,0.5968,0.5439,0.42792,1.0,1.0,0.6226,0.471,0.0,0.82651,0.69083,0.70567
Maladaptive resilience and unequal recovery,20,0.05,0.6092,0.55196,0.43552,1.0,1.0,0.6226,0.471,0.0,0.80547,0.67325,0.70113
Maladaptive resilience and unequal recovery,21,0.05,0.6216,0.56002,0.44399,1.0,1.0,0.6226,0.471,0.0,0.77914,0.65136,0.69554
Maladaptive resilience and unequal recovery,22,0.74,0.6892,0.61638,0.45776,1.0,1.0,0.6226,0.471,0.0,0.63767,0.53723,0.6687
Maladaptive resilience and unequal recovery,23,0.05,0.7016,0.62444,0.47241,1.0,1.0,0.6226,0.471,0.0,0.57955,0.48936,0.65677
Maladaptive resilience and unequal recovery,24,0.05,0.714,0.6325,0.48794,1.0,1.0,0.6226,0.471,0.0,0.51495,0.43623,0.64359
Maladaptive resilience and unequal recovery,25,0.05,0.7264,0.64056,0.50435,1.0,1.0,0.6226,0.471,0.0,0.4437,0.37771,0.62912
Maladaptive resilience and unequal recovery,26,0.05,0.7388,0.64862,0.52164,1.0,1.0,0.6226,0.471,0.0,0.36567,0.31369,0.61335
Maladaptive resilience and unequal recovery,27,0.05,0.7512,0.65668,0.53981,1.0,1.0,0.6226,0.471,0.0,0.2807,0.24406,0.59624
Maladaptive resilience and unequal recovery,28,0.05,0.7636,0.66474,0.55886,1.0,1.0,0.6226,0.471,0.0,0.18863,0.16868,0.57776
Maladaptive resilience and unequal recovery,29,0.05,0.776,0.6728,0.57879,1.0,1.0,0.6226,0.471,0.0,0.08933,0.08744,0.55789
Maladaptive resilience and unequal recovery,30,0.05,0.7884,0.68086,0.59961,1.0,1.0,0.6226,0.471,0.0,0.0,0.01404,0.53973
Maladaptive resilience and unequal recovery,31,0.05,0.8008,0.68892,0.6213,1.0,1.0,0.6226,0.471,0.0,0.0,0.01166,0.53756
Maladaptive resilience and unequal recovery,32,0.05,0.8132,0.69698,0.64387,1.0,1.0,0.6226,0.471,0.0,0.0,0.00917,0.5353
Maladaptive resilience and unequal recovery,33,0.05,0.8256,0.70504,0.66733,1.0,1.0,0.6226,0.471,0.0,0.0,0.00659,0.53296
Maladaptive resilience and unequal recovery,34,0.78,0.8964,0.7642,0.69633,1.0,1.0,0.6226,0.471,0.14389,0.0,0.0034,0.53006
Maladaptive resilience and unequal recovery,35,0.05,0.9088,0.77226,0.72622,1.0,1.0,0.6226,0.471,0.04038,0.0,0.00012,0.52707
Maladaptive resilience and unequal recovery,36,0.05,0.9212,0.78032,0.75699,1.0,1.0,0.6226,0.471,0.05389,0.0,0.0,0.52399
Maladaptive resilience and unequal recovery,37,0.05,0.9336,0.78838,0.78863,1.0,1.0,0.6226,0.471,0.06762,0.0,0.0,0.52083
Maladaptive resilience and unequal recovery,38,0.05,0.946,0.79644,0.82116,1.0,1.0,0.6226,0.471,0.08156,0.0,0.0,0.51758
Maladaptive resilience and unequal recovery,39,0.05,0.9584,0.8045,0.85457,1.0,1.0,0.6226,0.471,0.09573,0.0,0.0,0.51424
Maladaptive resilience and unequal recovery,40,0.05,0.9708,0.81256,0.88886,1.0,1.0,0.6226,0.471,0.11012,0.0,0.0,0.51081
Maladaptive resilience and unequal recovery,41,0.05,0.9832,0.82062,0.92403,1.0,1.0,0.6226,0.471,0.12473,0.0,0.0,0.50729
Maladaptive resilience and unequal recovery,42,0.05,0.9956,0.82868,0.96007,1.0,1.0,0.6226,0.471,0.13956,0.0,0.0,0.50368
Maladaptive resilience and unequal recovery,43,0.05,1.0,0.83674,0.99664,1.0,1.0,0.6226,0.471,0.15211,0.0,0.0,0.50003
Maladaptive resilience and unequal recovery,44,0.05,1.0,0.8448,1.0,1.0,1.0,0.6226,0.471,0.15505,0.0,0.0,0.49969
Maladaptive resilience and unequal recovery,45,0.05,1.0,0.85286,1.0,1.0,1.0,0.6226,0.471,0.15714,0.0,0.0,0.49969
Maladaptive resilience and unequal recovery,46,0.68,1.0,0.90502,1.0,1.0,0.9912,0.62154,0.471,0.27256,0.0,0.0,0.49837
Maladaptive resilience and unequal recovery,47,0.05,1.0,0.91308,1.0,1.0,1.0,0.6226,0.471,0.1728,0.0,0.0,0.49969
Maladaptive resilience and unequal recovery,48,0.05,1.0,0.92114,1.0,1.0,1.0,0.6226,0.471,0.1749,0.0,0.0,0.49969
Maladaptive resilience and unequal recovery,49,0.05,1.0,0.9292,1.0,1.0,1.0,0.6226,0.471,0.17699,0.0,0.0,0.49969
Maladaptive resilience and unequal recovery,50,0.05,1.0,0.93726,1.0,1.0,1.0,0.6226,0.471,0.17909,0.0,0.0,0.49969
Maladaptive resilience and unequal recovery,51,0.05,1.0,0.94532,1.0,1.0,1.0,0.6226,0.471,0.18118,0.0,0.0,0.49969
Maladaptive resilience and unequal recovery,52,0.05,1.0,0.95338,1.0,1.0,1.0,0.6226,0.471,0.18328,0.0,0.0,0.49969
Maladaptive resilience and unequal recovery,53,0.05,1.0,0.96144,1.0,1.0,1.0,0.6226,0.471,0.18537,0.0,0.0,0.49969
Maladaptive resilience and unequal recovery,54,0.05,1.0,0.9695,1.0,1.0,1.0,0.6226,0.471,0.18747,0.0,0.0,0.49969
Maladaptive resilience and unequal recovery,55,0.05,1.0,0.97756,1.0,1.0,1.0,0.6226,0.471,0.18957,0.0,0.0,0.49969
Maladaptive resilience and unequal recovery,56,0.9,1.0,1.0,1.0,1.0,0.9835,0.62062,0.471,0.33338,0.0,0.0,0.49721
Maladaptive resilience and unequal recovery,57,0.05,1.0,1.0,1.0,1.0,0.99675,0.62221,0.471,0.19579,0.0,0.0,0.4992
Maladaptive resilience and unequal recovery,58,0.05,1.0,1.0,1.0,1.0,1.0,0.6226,0.471,0.1954,0.0,0.0,0.49969
Maladaptive resilience and unequal recovery,59,0.05,1.0,1.0,1.0,1.0,1.0,0.6226,0.471,0.1954,0.0,0.0,0.49969
Local mutual aid and institutional reform,0,0.05,0.3042,0.34082,0.34792,0.52525,0.69128,0.69109,0.71573,0.0,0.91645,0.873,0.71111
Local mutual aid and institutional reform,1,0.05,0.3084,0.34164,0.25607,0.6505,0.79337,0.72087,0.72825,0.0,1.0,0.9693,0.77058
Local mutual aid and institutional reform,2,0.05,0.3126,0.34246,0.16443,0.77575,0.90626,0.75196,0.74077,0.0,1.0,0.98841,0.81661
Local mutual aid and institutional reform,3,0.05,0.3168,0.34328,0.07302,0.901,1.0,0.78074,0.7533,0.0,1.0,1.0,0.85974
Local mutual aid and institutional reform,4,0.05,0.321,0.3441,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,5,0.05,0.3252,0.34492,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,6,0.05,0.3294,0.34574,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,7,0.05,0.3336,0.34656,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,8,0.05,0.3378,0.34738,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,9,0.05,0.342,0.3482,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,10,0.66,0.395,0.39172,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,11,0.05,0.3992,0.39254,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,12,0.05,0.4034,0.39336,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,13,0.05,0.4076,0.39418,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,14,0.05,0.4118,0.395,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,15,0.05,0.416,0.39582,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,16,0.05,0.4202,0.39664,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,17,0.05,0.4244,0.39746,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,18,0.05,0.4286,0.39828,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,19,0.05,0.4328,0.3991,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,20,0.05,0.437,0.39992,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,21,0.05,0.4412,0.40074,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,22,0.74,0.5006,0.44986,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,23,0.05,0.5048,0.45068,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,24,0.05,0.509,0.4515,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,25,0.05,0.5132,0.45232,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,26,0.05,0.5174,0.45314,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,27,0.05,0.5216,0.45396,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,28,0.05,0.5258,0.45478,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,29,0.05,0.53,0.4556,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,30,0.05,0.5342,0.45642,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,31,0.05,0.5384,0.45724,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,32,0.05,0.5426,0.45806,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,33,0.05,0.5468,0.45888,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,34,0.78,0.6094,0.5108,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,35,0.05,0.6136,0.51162,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,36,0.05,0.6178,0.51244,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,37,0.05,0.622,0.51326,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,38,0.05,0.6262,0.51408,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,39,0.05,0.6304,0.5149,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,40,0.05,0.6346,0.51572,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,41,0.05,0.6388,0.51654,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,42,0.05,0.643,0.51736,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,43,0.05,0.6472,0.51818,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,44,0.05,0.6514,0.519,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,45,0.05,0.6556,0.51982,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,46,0.68,0.7102,0.56474,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,47,0.05,0.7144,0.56556,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,48,0.05,0.7186,0.56638,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,49,0.05,0.7228,0.5672,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,50,0.05,0.727,0.56802,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,51,0.05,0.7312,0.56884,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,52,0.05,0.7354,0.56966,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,53,0.05,0.7396,0.57048,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,54,0.05,0.7438,0.5713,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,55,0.05,0.748,0.57212,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,56,0.9,0.8202,0.63244,0.0,1.0,1.0,0.7946,0.7632,0.0,0.96485,0.98117,0.87643
Local mutual aid and institutional reform,57,0.05,0.8244,0.63326,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,58,0.05,0.8286,0.63408,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
Local mutual aid and institutional reform,59,0.05,0.8328,0.6349,0.0,1.0,1.0,0.7946,0.7632,0.0,1.0,1.0,0.88276
