organization,time,event,disruption_load,function,adaptive_response,learning_stock,memory_stock,workforce_strain,resilience_score
Overloaded organization with hidden fragility,11,background organizational pressure,0.10252,1,0.55444,0.35207,0.62743,0,0.67003
Overloaded organization with hidden fragility,12,background organizational pressure,0.10084,1,0.55905,0.34689,0.65322,0,0.67407
Overloaded organization with hidden fragility,13,background organizational pressure,0.10089,1,0.56188,0.3417,0.6793,0,0.67786
Overloaded organization with hidden fragility,14,background organizational pressure,0.10135,1,0.56476,0.33648,0.70569,0,0.68171
Overloaded organization with hidden fragility,15,background organizational pressure,0.10294,1,0.56767,0.33125,0.73239,0,0.68561
Overloaded organization with hidden fragility,16,background organizational pressure,0.10114,1,0.57062,0.32599,0.7594,0,0.68956
Overloaded organization with hidden fragility,17,background organizational pressure,0.10175,1,0.57362,0.32071,0.78673,0,0.69357
Overloaded organization with hidden fragility,18,background organizational pressure,0.1016,1,0.57665,0.31542,0.81438,0,0.69763
Overloaded organization with hidden fragility,19,background organizational pressure,0.10178,1,0.57973,0.3101,0.84236,0,0.70175
Overloaded organization with hidden fragility,20,background organizational pressure,0.10286,1,0.58285,0.30477,0.87067,0,0.70592
Overloaded organization with hidden fragility,21,background organizational pressure,0.10217,1,0.58601,0.29941,0.89931,0,0.71016
Overloaded organization with hidden fragility,22,background organizational pressure,0.10284,1,0.58922,0.29403,0.9283,0,0.71445
Overloaded organization with hidden fragility,23,background organizational pressure,0.10375,1,0.59247,0.28864,0.95763,0,0.7188
Overloaded organization with hidden fragility,24,Staffing shortage and demand surge,0.7286,0.9835,0.59576,0.31414,0.97269,0.03184,0.71933
Overloaded organization with hidden fragility,25,background organizational pressure,0.10399,1,0.59979,0.30871,1,0,0.72996
Overloaded organization with hidden fragility,26,background organizational pressure,0.10338,1,0.60471,0.30325,1,0,0.72987
Overloaded organization with hidden fragility,27,background organizational pressure,0.1044,1,0.60389,0.29777,1,0,0.72887
Overloaded organization with hidden fragility,28,background organizational pressure,0.10401,1,0.60307,0.29228,1,0,0.72786
Overloaded organization with hidden fragility,29,background organizational pressure,0.10475,1,0.60224,0.28676,1,0,0.72684
Overloaded organization with hidden fragility,30,background organizational pressure,0.1035,1,0.60141,0.28123,1,0,0.72582
Overloaded organization with hidden fragility,31,background organizational pressure,0.10392,1,0.60058,0.27567,1,0,0.7248
Overloaded organization with hidden fragility,32,background organizational pressure,0.10455,1,0.59975,0.27009,1,0,0.72378
Overloaded organization with hidden fragility,33,background organizational pressure,0.10556,1,0.59891,0.2645,1,0,0.72275
Overloaded organization with hidden fragility,34,background organizational pressure,0.1049,1,0.59807,0.25888,1,0,0.72171
Overloaded organization with hidden fragility,35,background organizational pressure,0.10469,1,0.59723,0.25325,1,0,0.72068
Overloaded organization with hidden fragility,36,background organizational pressure,0.10428,1,0.59639,0.24759,1,0,0.71964
Overloaded organization with hidden fragility,37,background organizational pressure,0.10449,1,0.59554,0.24191,1,0,0.71859
Overloaded organization with hidden fragility,38,Supplier facility and infrastructure disruption,0.7072,0.99109,0.59469,0.26557,1,0.02627,0.71783
Overloaded organization with hidden fragility,39,background organizational pressure,0.10459,1,0.59666,0.25986,1,0,0.72164
Overloaded organization with hidden fragility,40,background organizational pressure,0.10657,1,0.59738,0.25412,1,0,0.72084
Overloaded organization with hidden fragility,41,background organizational pressure,0.10646,1,0.59652,0.24836,1,0,0.71978
Overloaded organization with hidden fragility,42,background organizational pressure,0.10661,1,0.59565,0.24259,1,0,0.71872
Overloaded organization with hidden fragility,43,background organizational pressure,0.10586,1,0.59479,0.23679,1,0,0.71765
Overloaded organization with hidden fragility,44,background organizational pressure,0.10642,1,0.59392,0.23098,1,0,0.71658
Overloaded organization with hidden fragility,45,background organizational pressure,0.10556,1,0.59305,0.22514,1,0,0.71551
Overloaded organization with hidden fragility,46,background organizational pressure,0.10614,1,0.59217,0.21928,1,0,0.71443
Overloaded organization with hidden fragility,47,background organizational pressure,0.10546,1,0.59129,0.21341,1,0,0.71335
Overloaded organization with hidden fragility,48,background organizational pressure,0.10625,1,0.59041,0.20751,1,0,0.71227
Overloaded organization with hidden fragility,49,background organizational pressure,0.10598,1,0.58953,0.2016,1,0,0.71118
Overloaded organization with hidden fragility,50,background organizational pressure,0.10574,1,0.58864,0.19566,1,0,0.71009
Overloaded organization with hidden fragility,51,background organizational pressure,0.10784,1,0.58775,0.1897,1,0,0.70899
Overloaded organization with hidden fragility,52,Reputational and governance crisis,0.7702,0.9661,0.58686,0.21541,1,0.04265,0.70192
Overloaded organization with hidden fragility,53,background organizational pressure,0.10612,1,0.58815,0.20941,1,0,0.71221
Overloaded organization with hidden fragility,54,background organizational pressure,0.10797,1,0.58981,0.2034,1,0,0.71151
Overloaded organization with hidden fragility,55,background organizational pressure,0.10783,1,0.58891,0.19736,1,0,0.7104
Overloaded organization with hidden fragility,56,background organizational pressure,0.1065,1,0.588,0.1913,1,0,0.70929
Overloaded organization with hidden fragility,57,background organizational pressure,0.10757,1,0.5871,0.18523,1,0,0.70817
Overloaded organization with hidden fragility,58,background organizational pressure,0.10893,1,0.58618,0.17913,1,0,0.70705
Overloaded organization with hidden fragility,59,background organizational pressure,0.10904,1,0.58527,0.17302,1,0,0.70593
Overloaded organization with hidden fragility,60,background organizational pressure,0.10815,1,0.58435,0.16688,1,0,0.7048
Overloaded organization with hidden fragility,61,background organizational pressure,0.10878,1,0.58343,0.16072,1,0,0.70366
Overloaded organization with hidden fragility,62,background organizational pressure,0.10876,1,0.58251,0.15455,1,0,0.70253
Overloaded organization with hidden fragility,63,background organizational pressure,0.10789,1,0.58158,0.14835,1,0,0.70139
Overloaded organization with hidden fragility,64,background organizational pressure,0.10864,1,0.58065,0.14214,1,0,0.70025
Overloaded organization with hidden fragility,65,background organizational pressure,0.10888,1,0.57972,0.1359,1,0,0.6991
Overloaded organization with hidden fragility,66,Leadership turnover and institutional memory loss,0.6932,0.99241,0.57879,0.15591,1,0.02263,0.69837
Overloaded organization with hidden fragility,67,background organizational pressure,0.10866,1,0.58043,0.14964,1,0,0.70141
Overloaded organization with hidden fragility,68,background organizational pressure,0.10981,1,0.58085,0.14334,1,0,0.70047
Overloaded organization with hidden fragility,69,background organizational pressure,0.10904,1,0.5799,0.13703,1,0,0.69931
Overloaded organization with hidden fragility,70,background organizational pressure,0.1099,1,0.57895,0.13069,1,0,0.69814
Overloaded organization with hidden fragility,71,background organizational pressure,0.10839,1,0.578,0.12433,1,0,0.69697
Overloaded organization with hidden fragility,72,background organizational pressure,0.10943,1,0.57705,0.11796,1,0,0.6958
Overloaded organization with hidden fragility,73,background organizational pressure,0.1086,1,0.57609,0.11156,1,0,0.69462
Overloaded organization with hidden fragility,74,background organizational pressure,0.11017,1,0.57513,0.10515,1,0,0.69344
Overloaded organization with hidden fragility,75,background organizational pressure,0.11084,1,0.57417,0.09871,1,0,0.69226
Overloaded organization with hidden fragility,76,background organizational pressure,0.11018,1,0.57321,0.09225,1,0,0.69107
Overloaded organization with hidden fragility,77,background organizational pressure,0.11037,1,0.57224,0.08578,1,0,0.68988
Overloaded organization with hidden fragility,78,Compound organizational disruption,0.8958,0.91629,0.57127,0.1115,1,0.07531,0.66957
Overloaded organization with hidden fragility,79,background organizational pressure,0.11076,1,0.57061,0.10498,1,0,0.69269
Overloaded organization with hidden fragility,80,background organizational pressure,0.10995,1,0.57415,0.09845,1,0,0.69222
Overloaded organization with hidden fragility,81,background organizational pressure,0.11046,1,0.57317,0.09189,1,0,0.69101
Overloaded organization with hidden fragility,82,background organizational pressure,0.11105,1,0.57218,0.08532,1,0,0.6898
Overloaded organization with hidden fragility,83,background organizational pressure,0.11134,1,0.5712,0.07872,1,0,0.68859
Overloaded organization with hidden fragility,84,background organizational pressure,0.11083,1,0.57021,0.0721,1,0,0.68737
Overloaded organization with hidden fragility,85,background organizational pressure,0.1112,1,0.56922,0.06547,1,0,0.68615
Overloaded organization with hidden fragility,86,background organizational pressure,0.11097,1,0.56822,0.05881,1,0,0.68493
Overloaded organization with hidden fragility,87,background organizational pressure,0.11164,1,0.56722,0.05214,1,0,0.6837
Overloaded organization with hidden fragility,88,background organizational pressure,0.11206,1,0.56622,0.04544,1,0,0.68247
Overloaded organization with hidden fragility,89,background organizational pressure,0.11136,1,0.56522,0.03872,1,0,0.68123
