simulation_id,strategy_id,strategy,rank,organizational_resilience_value
442,OR003,After-Action Learning and Corrective Action System,3,7.4075
442,OR002,Cross-Training and Role Redundancy Program,4,7.37092
442,OR004,Institutional Memory and Knowledge Architecture Program,5,7.33068
442,OR001,Critical Function and Dependency Mapping,6,7.07793
443,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.82835
443,OR004,Institutional Memory and Knowledge Architecture Program,2,7.50298
443,OR006,Operational Resilience and Continuity Exercise Program,3,7.26339
443,OR002,Cross-Training and Role Redundancy Program,4,7.15354
443,OR001,Critical Function and Dependency Mapping,5,7.14918
443,OR003,After-Action Learning and Corrective Action System,6,7.13845
444,OR004,Institutional Memory and Knowledge Architecture Program,1,7.49759
444,OR003,After-Action Learning and Corrective Action System,2,7.44149
444,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.41363
444,OR001,Critical Function and Dependency Mapping,4,7.37155
444,OR002,Cross-Training and Role Redundancy Program,5,7.30672
444,OR006,Operational Resilience and Continuity Exercise Program,6,7.05995
445,OR004,Institutional Memory and Knowledge Architecture Program,1,7.65731
445,OR003,After-Action Learning and Corrective Action System,2,7.44166
445,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.42497
445,OR002,Cross-Training and Role Redundancy Program,4,7.33885
445,OR006,Operational Resilience and Continuity Exercise Program,5,7.32781
445,OR001,Critical Function and Dependency Mapping,6,6.91466
446,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.58166
446,OR003,After-Action Learning and Corrective Action System,2,7.50396
446,OR006,Operational Resilience and Continuity Exercise Program,3,7.44178
446,OR004,Institutional Memory and Knowledge Architecture Program,4,7.28798
446,OR001,Critical Function and Dependency Mapping,5,6.87272
446,OR002,Cross-Training and Role Redundancy Program,6,6.84668
447,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.59076
447,OR001,Critical Function and Dependency Mapping,2,7.4008
447,OR006,Operational Resilience and Continuity Exercise Program,3,7.30826
447,OR003,After-Action Learning and Corrective Action System,4,7.23504
447,OR004,Institutional Memory and Knowledge Architecture Program,5,7.22559
447,OR002,Cross-Training and Role Redundancy Program,6,7.18605
448,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.73536
448,OR003,After-Action Learning and Corrective Action System,2,7.5614
448,OR002,Cross-Training and Role Redundancy Program,3,7.4058
448,OR001,Critical Function and Dependency Mapping,4,7.29292
448,OR004,Institutional Memory and Knowledge Architecture Program,5,7.27936
448,OR006,Operational Resilience and Continuity Exercise Program,6,7.193
449,OR003,After-Action Learning and Corrective Action System,1,7.56174
449,OR004,Institutional Memory and Knowledge Architecture Program,2,7.40207
449,OR006,Operational Resilience and Continuity Exercise Program,3,7.29801
449,OR005,Psychological Safety and Weak-Signal Reporting System,4,7.29283
449,OR002,Cross-Training and Role Redundancy Program,5,7.14737
449,OR001,Critical Function and Dependency Mapping,6,7.13077
450,OR003,After-Action Learning and Corrective Action System,1,7.58259
450,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.29899
450,OR006,Operational Resilience and Continuity Exercise Program,3,7.25333
450,OR004,Institutional Memory and Knowledge Architecture Program,4,7.12074
450,OR002,Cross-Training and Role Redundancy Program,5,7.05396
450,OR001,Critical Function and Dependency Mapping,6,7.01943
451,OR004,Institutional Memory and Knowledge Architecture Program,1,7.40335
451,OR001,Critical Function and Dependency Mapping,2,7.38296
451,OR006,Operational Resilience and Continuity Exercise Program,3,7.31338
451,OR003,After-Action Learning and Corrective Action System,4,7.28885
451,OR005,Psychological Safety and Weak-Signal Reporting System,5,7.24971
451,OR002,Cross-Training and Role Redundancy Program,6,7.16427
452,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.54816
452,OR004,Institutional Memory and Knowledge Architecture Program,2,7.41474
452,OR002,Cross-Training and Role Redundancy Program,3,7.34427
452,OR001,Critical Function and Dependency Mapping,4,7.21221
452,OR003,After-Action Learning and Corrective Action System,5,7.19403
452,OR006,Operational Resilience and Continuity Exercise Program,6,7.14264
453,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.44725
453,OR006,Operational Resilience and Continuity Exercise Program,2,7.42041
453,OR004,Institutional Memory and Knowledge Architecture Program,3,7.34369
453,OR001,Critical Function and Dependency Mapping,4,7.21808
453,OR003,After-Action Learning and Corrective Action System,5,7.20566
453,OR002,Cross-Training and Role Redundancy Program,6,6.96776
454,OR003,After-Action Learning and Corrective Action System,1,7.36437
454,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.30533
454,OR006,Operational Resilience and Continuity Exercise Program,3,7.28505
454,OR004,Institutional Memory and Knowledge Architecture Program,4,7.11693
454,OR002,Cross-Training and Role Redundancy Program,5,6.98988
454,OR001,Critical Function and Dependency Mapping,6,6.90703
455,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.70258
455,OR002,Cross-Training and Role Redundancy Program,2,7.53471
455,OR001,Critical Function and Dependency Mapping,3,7.45492
455,OR004,Institutional Memory and Knowledge Architecture Program,4,7.38513
455,OR006,Operational Resilience and Continuity Exercise Program,5,7.33928
455,OR003,After-Action Learning and Corrective Action System,6,7.31987
456,OR003,After-Action Learning and Corrective Action System,1,7.63729
456,OR006,Operational Resilience and Continuity Exercise Program,2,7.50716
456,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.33536
456,OR004,Institutional Memory and Knowledge Architecture Program,4,7.25589
456,OR001,Critical Function and Dependency Mapping,5,7.19947
456,OR002,Cross-Training and Role Redundancy Program,6,7.1954
457,OR004,Institutional Memory and Knowledge Architecture Program,1,7.44964
457,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.44145
457,OR002,Cross-Training and Role Redundancy Program,3,7.15759
457,OR003,After-Action Learning and Corrective Action System,4,7.11003
457,OR006,Operational Resilience and Continuity Exercise Program,5,7.00999
457,OR001,Critical Function and Dependency Mapping,6,6.94542
458,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.58806
458,OR002,Cross-Training and Role Redundancy Program,2,7.47808
458,OR004,Institutional Memory and Knowledge Architecture Program,3,7.42647
458,OR003,After-Action Learning and Corrective Action System,4,7.41664
458,OR001,Critical Function and Dependency Mapping,5,7.26597
458,OR006,Operational Resilience and Continuity Exercise Program,6,7.21527
459,OR004,Institutional Memory and Knowledge Architecture Program,1,7.53889
459,OR003,After-Action Learning and Corrective Action System,2,7.4842
459,OR002,Cross-Training and Role Redundancy Program,3,7.4149
459,OR001,Critical Function and Dependency Mapping,4,7.35621
459,OR006,Operational Resilience and Continuity Exercise Program,5,7.14794
459,OR005,Psychological Safety and Weak-Signal Reporting System,6,7.01215
460,OR003,After-Action Learning and Corrective Action System,1,7.69863
460,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.51457
460,OR001,Critical Function and Dependency Mapping,3,7.32692
460,OR006,Operational Resilience and Continuity Exercise Program,4,7.25882
460,OR002,Cross-Training and Role Redundancy Program,5,7.14521
460,OR004,Institutional Memory and Knowledge Architecture Program,6,6.80996
461,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.57051
461,OR003,After-Action Learning and Corrective Action System,2,7.50911
461,OR004,Institutional Memory and Knowledge Architecture Program,3,7.43447
461,OR001,Critical Function and Dependency Mapping,4,7.36034
461,OR006,Operational Resilience and Continuity Exercise Program,5,7.29727
461,OR002,Cross-Training and Role Redundancy Program,6,6.98289
462,OR006,Operational Resilience and Continuity Exercise Program,1,7.80656
462,OR003,After-Action Learning and Corrective Action System,2,7.62978
462,OR002,Cross-Training and Role Redundancy Program,3,7.32264
462,OR001,Critical Function and Dependency Mapping,4,7.29003
462,OR004,Institutional Memory and Knowledge Architecture Program,5,7.16131
462,OR005,Psychological Safety and Weak-Signal Reporting System,6,7.08864
463,OR003,After-Action Learning and Corrective Action System,1,7.47263
463,OR002,Cross-Training and Role Redundancy Program,2,7.41167
463,OR001,Critical Function and Dependency Mapping,3,7.33672
463,OR006,Operational Resilience and Continuity Exercise Program,4,7.24031
463,OR004,Institutional Memory and Knowledge Architecture Program,5,7.12953
463,OR005,Psychological Safety and Weak-Signal Reporting System,6,7.09351
464,OR003,After-Action Learning and Corrective Action System,1,7.61132
464,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.53304
464,OR004,Institutional Memory and Knowledge Architecture Program,3,7.31866
464,OR002,Cross-Training and Role Redundancy Program,4,7.31032
464,OR006,Operational Resilience and Continuity Exercise Program,5,7.30256
464,OR001,Critical Function and Dependency Mapping,6,7.13405
465,OR003,After-Action Learning and Corrective Action System,1,7.44321
465,OR006,Operational Resilience and Continuity Exercise Program,2,7.43633
465,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.42992
465,OR001,Critical Function and Dependency Mapping,4,7.33765
465,OR004,Institutional Memory and Knowledge Architecture Program,5,7.24746
465,OR002,Cross-Training and Role Redundancy Program,6,7.23837
466,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.60779
466,OR006,Operational Resilience and Continuity Exercise Program,2,7.32535
466,OR001,Critical Function and Dependency Mapping,3,7.29638
466,OR003,After-Action Learning and Corrective Action System,4,7.29426
466,OR004,Institutional Memory and Knowledge Architecture Program,5,7.27272
466,OR002,Cross-Training and Role Redundancy Program,6,6.99612
467,OR003,After-Action Learning and Corrective Action System,1,7.51443
467,OR006,Operational Resilience and Continuity Exercise Program,2,7.37944
467,OR001,Critical Function and Dependency Mapping,3,7.24777
467,OR005,Psychological Safety and Weak-Signal Reporting System,4,7.18603
467,OR004,Institutional Memory and Knowledge Architecture Program,5,7.1683
467,OR002,Cross-Training and Role Redundancy Program,6,7.00302
468,OR002,Cross-Training and Role Redundancy Program,1,7.39709
468,OR006,Operational Resilience and Continuity Exercise Program,2,7.31114
468,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.30705
468,OR003,After-Action Learning and Corrective Action System,4,7.28832
468,OR001,Critical Function and Dependency Mapping,5,7.16985
468,OR004,Institutional Memory and Knowledge Architecture Program,6,6.8546
469,OR006,Operational Resilience and Continuity Exercise Program,1,7.85002
469,OR003,After-Action Learning and Corrective Action System,2,7.50751
469,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.42316
469,OR002,Cross-Training and Role Redundancy Program,4,7.36497
469,OR001,Critical Function and Dependency Mapping,5,7.19653
469,OR004,Institutional Memory and Knowledge Architecture Program,6,7.13721
470,OR002,Cross-Training and Role Redundancy Program,1,7.66762
470,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.61592
470,OR001,Critical Function and Dependency Mapping,3,7.42649
470,OR006,Operational Resilience and Continuity Exercise Program,4,7.28105
470,OR004,Institutional Memory and Knowledge Architecture Program,5,7.21589
470,OR003,After-Action Learning and Corrective Action System,6,7.08973
471,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.74058
471,OR006,Operational Resilience and Continuity Exercise Program,2,7.4394
471,OR003,After-Action Learning and Corrective Action System,3,7.37346
471,OR004,Institutional Memory and Knowledge Architecture Program,4,7.27502
471,OR002,Cross-Training and Role Redundancy Program,5,7.01426
471,OR001,Critical Function and Dependency Mapping,6,6.84334
472,OR001,Critical Function and Dependency Mapping,1,7.45614
472,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.39115
472,OR004,Institutional Memory and Knowledge Architecture Program,3,7.30974
472,OR002,Cross-Training and Role Redundancy Program,4,7.27086
472,OR003,After-Action Learning and Corrective Action System,5,7.24649
472,OR006,Operational Resilience and Continuity Exercise Program,6,7.19909
473,OR006,Operational Resilience and Continuity Exercise Program,1,7.61983
473,OR003,After-Action Learning and Corrective Action System,2,7.60505
473,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.38538
473,OR001,Critical Function and Dependency Mapping,4,7.30072
473,OR004,Institutional Memory and Knowledge Architecture Program,5,7.29915
473,OR002,Cross-Training and Role Redundancy Program,6,7.16188
474,OR006,Operational Resilience and Continuity Exercise Program,1,7.55682
474,OR003,After-Action Learning and Corrective Action System,2,7.35586
474,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.19755
474,OR002,Cross-Training and Role Redundancy Program,4,7.18414
474,OR004,Institutional Memory and Knowledge Architecture Program,5,7.16632
474,OR001,Critical Function and Dependency Mapping,6,7.1397
475,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.53987
475,OR004,Institutional Memory and Knowledge Architecture Program,2,7.48723
475,OR006,Operational Resilience and Continuity Exercise Program,3,7.2626
475,OR001,Critical Function and Dependency Mapping,4,7.21801
475,OR002,Cross-Training and Role Redundancy Program,5,7.13637
475,OR003,After-Action Learning and Corrective Action System,6,7.01953
476,OR006,Operational Resilience and Continuity Exercise Program,1,7.4773
476,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.34487
476,OR003,After-Action Learning and Corrective Action System,3,7.30114
476,OR004,Institutional Memory and Knowledge Architecture Program,4,7.21698
476,OR002,Cross-Training and Role Redundancy Program,5,7.19575
476,OR001,Critical Function and Dependency Mapping,6,7.12678
477,OR006,Operational Resilience and Continuity Exercise Program,1,7.90608
477,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.53659
477,OR003,After-Action Learning and Corrective Action System,3,7.37012
477,OR004,Institutional Memory and Knowledge Architecture Program,4,7.35449
477,OR001,Critical Function and Dependency Mapping,5,7.29923
477,OR002,Cross-Training and Role Redundancy Program,6,7.28441
478,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.50155
478,OR001,Critical Function and Dependency Mapping,2,7.43598
478,OR006,Operational Resilience and Continuity Exercise Program,3,7.38419
478,OR002,Cross-Training and Role Redundancy Program,4,7.36273
478,OR003,After-Action Learning and Corrective Action System,5,7.13833
478,OR004,Institutional Memory and Knowledge Architecture Program,6,7.08667
479,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.57621
479,OR003,After-Action Learning and Corrective Action System,2,7.40986
479,OR001,Critical Function and Dependency Mapping,3,7.34466
479,OR006,Operational Resilience and Continuity Exercise Program,4,7.31645
479,OR004,Institutional Memory and Knowledge Architecture Program,5,7.18872
479,OR002,Cross-Training and Role Redundancy Program,6,7.12301
480,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.55818
480,OR003,After-Action Learning and Corrective Action System,2,7.51463
480,OR006,Operational Resilience and Continuity Exercise Program,3,7.36356
480,OR004,Institutional Memory and Knowledge Architecture Program,4,7.19881
480,OR001,Critical Function and Dependency Mapping,5,7.15101
480,OR002,Cross-Training and Role Redundancy Program,6,6.96326
481,OR003,After-Action Learning and Corrective Action System,1,7.56093
481,OR006,Operational Resilience and Continuity Exercise Program,2,7.50731
481,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.45685
481,OR004,Institutional Memory and Knowledge Architecture Program,4,7.3466
481,OR002,Cross-Training and Role Redundancy Program,5,7.03764
481,OR001,Critical Function and Dependency Mapping,6,7.01568
482,OR004,Institutional Memory and Knowledge Architecture Program,1,7.45347
482,OR003,After-Action Learning and Corrective Action System,2,7.43642
482,OR002,Cross-Training and Role Redundancy Program,3,7.38427
482,OR001,Critical Function and Dependency Mapping,4,7.33482
482,OR005,Psychological Safety and Weak-Signal Reporting System,5,7.16542
482,OR006,Operational Resilience and Continuity Exercise Program,6,7.16465
483,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.53902
483,OR001,Critical Function and Dependency Mapping,2,7.50167
483,OR006,Operational Resilience and Continuity Exercise Program,3,7.47064
483,OR003,After-Action Learning and Corrective Action System,4,7.46063
483,OR002,Cross-Training and Role Redundancy Program,5,7.3772
483,OR004,Institutional Memory and Knowledge Architecture Program,6,7.13627
484,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.70479
484,OR003,After-Action Learning and Corrective Action System,2,7.50096
484,OR001,Critical Function and Dependency Mapping,3,7.47518
484,OR004,Institutional Memory and Knowledge Architecture Program,4,7.39583
484,OR006,Operational Resilience and Continuity Exercise Program,5,7.29176
484,OR002,Cross-Training and Role Redundancy Program,6,7.16483
485,OR003,After-Action Learning and Corrective Action System,1,7.49416
485,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.30303
485,OR006,Operational Resilience and Continuity Exercise Program,3,7.2775
485,OR001,Critical Function and Dependency Mapping,4,7.25953
485,OR002,Cross-Training and Role Redundancy Program,5,7.22787
485,OR004,Institutional Memory and Knowledge Architecture Program,6,7.17608
486,OR001,Critical Function and Dependency Mapping,1,7.58192
486,OR006,Operational Resilience and Continuity Exercise Program,2,7.23605
486,OR004,Institutional Memory and Knowledge Architecture Program,3,7.22273
486,OR003,After-Action Learning and Corrective Action System,4,7.22162
486,OR002,Cross-Training and Role Redundancy Program,5,7.1259
486,OR005,Psychological Safety and Weak-Signal Reporting System,6,7.09198
487,OR004,Institutional Memory and Knowledge Architecture Program,1,7.7205
487,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.47162
487,OR003,After-Action Learning and Corrective Action System,3,7.40021
487,OR006,Operational Resilience and Continuity Exercise Program,4,7.26858
487,OR002,Cross-Training and Role Redundancy Program,5,7.2555
487,OR001,Critical Function and Dependency Mapping,6,7.22567
488,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.56465
488,OR004,Institutional Memory and Knowledge Architecture Program,2,7.55651
488,OR006,Operational Resilience and Continuity Exercise Program,3,7.29525
488,OR003,After-Action Learning and Corrective Action System,4,7.25292
488,OR002,Cross-Training and Role Redundancy Program,5,7.07153
488,OR001,Critical Function and Dependency Mapping,6,6.87124
489,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.71963
489,OR006,Operational Resilience and Continuity Exercise Program,2,7.58037
489,OR003,After-Action Learning and Corrective Action System,3,7.49944
489,OR004,Institutional Memory and Knowledge Architecture Program,4,7.43341
489,OR001,Critical Function and Dependency Mapping,5,7.17062
489,OR002,Cross-Training and Role Redundancy Program,6,6.99764
490,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.40458
490,OR003,After-Action Learning and Corrective Action System,2,7.34883
490,OR004,Institutional Memory and Knowledge Architecture Program,3,7.18697
490,OR006,Operational Resilience and Continuity Exercise Program,4,7.15145
490,OR002,Cross-Training and Role Redundancy Program,5,7.14664
490,OR001,Critical Function and Dependency Mapping,6,6.94221
491,OR001,Critical Function and Dependency Mapping,1,7.4403
491,OR004,Institutional Memory and Knowledge Architecture Program,2,7.43586
491,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.40487
491,OR006,Operational Resilience and Continuity Exercise Program,4,7.38181
491,OR002,Cross-Training and Role Redundancy Program,5,7.24511
491,OR003,After-Action Learning and Corrective Action System,6,7.10215
492,OR006,Operational Resilience and Continuity Exercise Program,1,7.61442
492,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.43598
492,OR003,After-Action Learning and Corrective Action System,3,7.39735
492,OR001,Critical Function and Dependency Mapping,4,7.3844
492,OR002,Cross-Training and Role Redundancy Program,5,7.10113
492,OR004,Institutional Memory and Knowledge Architecture Program,6,7.05429
493,OR003,After-Action Learning and Corrective Action System,1,7.77234
493,OR006,Operational Resilience and Continuity Exercise Program,2,7.56802
493,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.47165
493,OR004,Institutional Memory and Knowledge Architecture Program,4,7.35096
493,OR001,Critical Function and Dependency Mapping,5,7.29488
493,OR002,Cross-Training and Role Redundancy Program,6,7.28996
494,OR006,Operational Resilience and Continuity Exercise Program,1,7.74743
494,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.59078
494,OR001,Critical Function and Dependency Mapping,3,7.40638
494,OR003,After-Action Learning and Corrective Action System,4,7.3027
494,OR004,Institutional Memory and Knowledge Architecture Program,5,7.16563
494,OR002,Cross-Training and Role Redundancy Program,6,7.11117
495,OR003,After-Action Learning and Corrective Action System,1,7.50891
495,OR004,Institutional Memory and Knowledge Architecture Program,2,7.48863
495,OR002,Cross-Training and Role Redundancy Program,3,7.42366
495,OR005,Psychological Safety and Weak-Signal Reporting System,4,7.1939
495,OR001,Critical Function and Dependency Mapping,5,7.13437
495,OR006,Operational Resilience and Continuity Exercise Program,6,6.79131
496,OR003,After-Action Learning and Corrective Action System,1,7.81919
496,OR004,Institutional Memory and Knowledge Architecture Program,2,7.53227
496,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.35449
496,OR006,Operational Resilience and Continuity Exercise Program,4,7.35067
496,OR001,Critical Function and Dependency Mapping,5,7.22712
496,OR002,Cross-Training and Role Redundancy Program,6,7.13684
497,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.57626
497,OR003,After-Action Learning and Corrective Action System,2,7.57612
497,OR006,Operational Resilience and Continuity Exercise Program,3,7.43316
497,OR004,Institutional Memory and Knowledge Architecture Program,4,7.36543
497,OR002,Cross-Training and Role Redundancy Program,5,7.34265
497,OR001,Critical Function and Dependency Mapping,6,7.24739
498,OR006,Operational Resilience and Continuity Exercise Program,1,7.55196
498,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.42204
498,OR001,Critical Function and Dependency Mapping,3,7.26416
498,OR003,After-Action Learning and Corrective Action System,4,7.21903
498,OR002,Cross-Training and Role Redundancy Program,5,7.17118
498,OR004,Institutional Memory and Knowledge Architecture Program,6,6.84026
499,OR006,Operational Resilience and Continuity Exercise Program,1,7.49951
499,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.42086
499,OR001,Critical Function and Dependency Mapping,3,7.32337
499,OR004,Institutional Memory and Knowledge Architecture Program,4,7.18072
499,OR003,After-Action Learning and Corrective Action System,5,7.05913
499,OR002,Cross-Training and Role Redundancy Program,6,6.89489
500,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.56836
500,OR004,Institutional Memory and Knowledge Architecture Program,2,7.46042
500,OR001,Critical Function and Dependency Mapping,3,7.24217
500,OR006,Operational Resilience and Continuity Exercise Program,4,7.22766
500,OR003,After-Action Learning and Corrective Action System,5,7.21434
500,OR002,Cross-Training and Role Redundancy Program,6,6.97156
501,OR006,Operational Resilience and Continuity Exercise Program,1,7.4899
501,OR002,Cross-Training and Role Redundancy Program,2,7.40343
501,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.39695
501,OR004,Institutional Memory and Knowledge Architecture Program,4,7.38033
501,OR003,After-Action Learning and Corrective Action System,5,7.32864
501,OR001,Critical Function and Dependency Mapping,6,7.29529
502,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.80453
502,OR006,Operational Resilience and Continuity Exercise Program,2,7.33312
502,OR003,After-Action Learning and Corrective Action System,3,7.31606
502,OR001,Critical Function and Dependency Mapping,4,7.22921
502,OR004,Institutional Memory and Knowledge Architecture Program,5,7.20886
502,OR002,Cross-Training and Role Redundancy Program,6,7.1537
503,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.60305
503,OR006,Operational Resilience and Continuity Exercise Program,2,7.28044
503,OR003,After-Action Learning and Corrective Action System,3,7.24818
503,OR002,Cross-Training and Role Redundancy Program,4,7.21709
503,OR001,Critical Function and Dependency Mapping,5,6.99693
503,OR004,Institutional Memory and Knowledge Architecture Program,6,6.97122
504,OR006,Operational Resilience and Continuity Exercise Program,1,7.78794
504,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.43437
504,OR002,Cross-Training and Role Redundancy Program,3,7.41534
504,OR004,Institutional Memory and Knowledge Architecture Program,4,7.36276
504,OR003,After-Action Learning and Corrective Action System,5,7.30023
504,OR001,Critical Function and Dependency Mapping,6,7.14055
505,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.60829
505,OR004,Institutional Memory and Knowledge Architecture Program,2,7.50599
505,OR002,Cross-Training and Role Redundancy Program,3,7.41112
505,OR006,Operational Resilience and Continuity Exercise Program,4,7.34514
505,OR003,After-Action Learning and Corrective Action System,5,7.25386
505,OR001,Critical Function and Dependency Mapping,6,7.19524
506,OR006,Operational Resilience and Continuity Exercise Program,1,7.56337
506,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.52862
506,OR003,After-Action Learning and Corrective Action System,3,7.3702
506,OR002,Cross-Training and Role Redundancy Program,4,7.25051
506,OR001,Critical Function and Dependency Mapping,5,7.24287
506,OR004,Institutional Memory and Knowledge Architecture Program,6,7.19892
507,OR001,Critical Function and Dependency Mapping,1,7.60772
507,OR004,Institutional Memory and Knowledge Architecture Program,2,7.44052
507,OR003,After-Action Learning and Corrective Action System,3,7.28633
507,OR006,Operational Resilience and Continuity Exercise Program,4,7.18446
507,OR002,Cross-Training and Role Redundancy Program,5,7.15341
507,OR005,Psychological Safety and Weak-Signal Reporting System,6,7.1488
508,OR006,Operational Resilience and Continuity Exercise Program,1,7.62421
508,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.39734
508,OR001,Critical Function and Dependency Mapping,3,7.36327
508,OR004,Institutional Memory and Knowledge Architecture Program,4,7.18671
508,OR002,Cross-Training and Role Redundancy Program,5,6.94679
508,OR003,After-Action Learning and Corrective Action System,6,6.86595
509,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.7202
509,OR004,Institutional Memory and Knowledge Architecture Program,2,7.58352
509,OR001,Critical Function and Dependency Mapping,3,7.53394
509,OR003,After-Action Learning and Corrective Action System,4,7.50128
509,OR006,Operational Resilience and Continuity Exercise Program,5,7.42995
509,OR002,Cross-Training and Role Redundancy Program,6,7.05102
510,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.66377
510,OR002,Cross-Training and Role Redundancy Program,2,7.43437
510,OR004,Institutional Memory and Knowledge Architecture Program,3,7.31015
510,OR003,After-Action Learning and Corrective Action System,4,7.30257
510,OR001,Critical Function and Dependency Mapping,5,7.29634
510,OR006,Operational Resilience and Continuity Exercise Program,6,7.15151
511,OR003,After-Action Learning and Corrective Action System,1,7.55636
511,OR001,Critical Function and Dependency Mapping,2,7.42817
511,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.39293
511,OR004,Institutional Memory and Knowledge Architecture Program,4,7.28651
511,OR006,Operational Resilience and Continuity Exercise Program,5,7.25647
511,OR002,Cross-Training and Role Redundancy Program,6,7.21414
512,OR001,Critical Function and Dependency Mapping,1,7.51407
512,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.49066
512,OR003,After-Action Learning and Corrective Action System,3,7.40423
512,OR006,Operational Resilience and Continuity Exercise Program,4,7.23912
512,OR004,Institutional Memory and Knowledge Architecture Program,5,7.19238
512,OR002,Cross-Training and Role Redundancy Program,6,7.07681
513,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.56676
513,OR004,Institutional Memory and Knowledge Architecture Program,2,7.43964
513,OR003,After-Action Learning and Corrective Action System,3,7.39675
513,OR006,Operational Resilience and Continuity Exercise Program,4,7.37406
513,OR001,Critical Function and Dependency Mapping,5,7.34302
513,OR002,Cross-Training and Role Redundancy Program,6,7.08408
514,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.50197
514,OR003,After-Action Learning and Corrective Action System,2,7.29664
514,OR006,Operational Resilience and Continuity Exercise Program,3,7.27747
514,OR004,Institutional Memory and Knowledge Architecture Program,4,7.23446
514,OR002,Cross-Training and Role Redundancy Program,5,7.23395
514,OR001,Critical Function and Dependency Mapping,6,7.07894
515,OR006,Operational Resilience and Continuity Exercise Program,1,7.56678
515,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.5228
515,OR004,Institutional Memory and Knowledge Architecture Program,3,7.34517
515,OR003,After-Action Learning and Corrective Action System,4,7.23025
515,OR002,Cross-Training and Role Redundancy Program,5,7.05616
515,OR001,Critical Function and Dependency Mapping,6,6.91247
516,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.49474
516,OR002,Cross-Training and Role Redundancy Program,2,7.39879
516,OR006,Operational Resilience and Continuity Exercise Program,3,7.34829
516,OR001,Critical Function and Dependency Mapping,4,7.23339
516,OR003,After-Action Learning and Corrective Action System,5,7.11587
516,OR004,Institutional Memory and Knowledge Architecture Program,6,7.06935
517,OR006,Operational Resilience and Continuity Exercise Program,1,7.56163
517,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.3705
