simulation_id,strategy_id,strategy,rank,local_resilience_value,winner
80,LE004,Small Business Continuity and Digital Resilience Support,2,7.54315,Emergency Microgrant and Liquidity Fund
80,LE006,Workforce Childcare and Local Skills Resilience,3,7.53967,Emergency Microgrant and Liquidity Fund
80,LE005,Commercial Anti-Displacement and Ownership Strategy,4,7.52885,Emergency Microgrant and Liquidity Fund
80,LE002,Community Development Finance and Patient Capital,5,7.45224,Emergency Microgrant and Liquidity Fund
80,LE003,Local Procurement and Anchor Institution Access,6,7.28422,Emergency Microgrant and Liquidity Fund
81,LE003,Local Procurement and Anchor Institution Access,1,7.86533,Local Procurement and Anchor Institution Access
81,LE002,Community Development Finance and Patient Capital,2,7.69663,Local Procurement and Anchor Institution Access
81,LE001,Emergency Microgrant and Liquidity Fund,3,7.57018,Local Procurement and Anchor Institution Access
81,LE005,Commercial Anti-Displacement and Ownership Strategy,4,7.56463,Local Procurement and Anchor Institution Access
81,LE006,Workforce Childcare and Local Skills Resilience,5,7.32906,Local Procurement and Anchor Institution Access
81,LE004,Small Business Continuity and Digital Resilience Support,6,7.14545,Local Procurement and Anchor Institution Access
82,LE003,Local Procurement and Anchor Institution Access,1,7.80874,Local Procurement and Anchor Institution Access
82,LE002,Community Development Finance and Patient Capital,2,7.7579,Local Procurement and Anchor Institution Access
82,LE005,Commercial Anti-Displacement and Ownership Strategy,3,7.70652,Local Procurement and Anchor Institution Access
82,LE006,Workforce Childcare and Local Skills Resilience,4,7.48969,Local Procurement and Anchor Institution Access
82,LE004,Small Business Continuity and Digital Resilience Support,5,7.10157,Local Procurement and Anchor Institution Access
82,LE001,Emergency Microgrant and Liquidity Fund,6,7.0311,Local Procurement and Anchor Institution Access
83,LE003,Local Procurement and Anchor Institution Access,1,7.7465,Local Procurement and Anchor Institution Access
83,LE002,Community Development Finance and Patient Capital,2,7.6849,Local Procurement and Anchor Institution Access
83,LE006,Workforce Childcare and Local Skills Resilience,3,7.53781,Local Procurement and Anchor Institution Access
83,LE001,Emergency Microgrant and Liquidity Fund,4,7.40287,Local Procurement and Anchor Institution Access
83,LE005,Commercial Anti-Displacement and Ownership Strategy,5,7.32431,Local Procurement and Anchor Institution Access
83,LE004,Small Business Continuity and Digital Resilience Support,6,7.20896,Local Procurement and Anchor Institution Access
84,LE005,Commercial Anti-Displacement and Ownership Strategy,1,7.78068,Commercial Anti-Displacement and Ownership Strategy
84,LE002,Community Development Finance and Patient Capital,2,7.58053,Commercial Anti-Displacement and Ownership Strategy
84,LE003,Local Procurement and Anchor Institution Access,3,7.40928,Commercial Anti-Displacement and Ownership Strategy
84,LE004,Small Business Continuity and Digital Resilience Support,4,7.32443,Commercial Anti-Displacement and Ownership Strategy
84,LE001,Emergency Microgrant and Liquidity Fund,5,7.03743,Commercial Anti-Displacement and Ownership Strategy
84,LE006,Workforce Childcare and Local Skills Resilience,6,6.94138,Commercial Anti-Displacement and Ownership Strategy
85,LE002,Community Development Finance and Patient Capital,1,7.77679,Community Development Finance and Patient Capital
85,LE005,Commercial Anti-Displacement and Ownership Strategy,2,7.67736,Community Development Finance and Patient Capital
85,LE004,Small Business Continuity and Digital Resilience Support,3,7.59562,Community Development Finance and Patient Capital
85,LE003,Local Procurement and Anchor Institution Access,4,7.56171,Community Development Finance and Patient Capital
85,LE006,Workforce Childcare and Local Skills Resilience,5,7.26154,Community Development Finance and Patient Capital
85,LE001,Emergency Microgrant and Liquidity Fund,6,7.05073,Community Development Finance and Patient Capital
86,LE001,Emergency Microgrant and Liquidity Fund,1,7.58834,Emergency Microgrant and Liquidity Fund
86,LE006,Workforce Childcare and Local Skills Resilience,2,7.49093,Emergency Microgrant and Liquidity Fund
86,LE003,Local Procurement and Anchor Institution Access,3,7.47373,Emergency Microgrant and Liquidity Fund
86,LE002,Community Development Finance and Patient Capital,4,7.43745,Emergency Microgrant and Liquidity Fund
86,LE005,Commercial Anti-Displacement and Ownership Strategy,5,7.43008,Emergency Microgrant and Liquidity Fund
86,LE004,Small Business Continuity and Digital Resilience Support,6,7.17138,Emergency Microgrant and Liquidity Fund
87,LE002,Community Development Finance and Patient Capital,1,7.72437,Community Development Finance and Patient Capital
87,LE003,Local Procurement and Anchor Institution Access,2,7.72426,Community Development Finance and Patient Capital
87,LE004,Small Business Continuity and Digital Resilience Support,3,7.52758,Community Development Finance and Patient Capital
87,LE001,Emergency Microgrant and Liquidity Fund,4,7.47096,Community Development Finance and Patient Capital
87,LE006,Workforce Childcare and Local Skills Resilience,5,7.44868,Community Development Finance and Patient Capital
87,LE005,Commercial Anti-Displacement and Ownership Strategy,6,7.05026,Community Development Finance and Patient Capital
88,LE003,Local Procurement and Anchor Institution Access,1,7.71845,Local Procurement and Anchor Institution Access
88,LE004,Small Business Continuity and Digital Resilience Support,2,7.57274,Local Procurement and Anchor Institution Access
88,LE002,Community Development Finance and Patient Capital,3,7.54416,Local Procurement and Anchor Institution Access
88,LE005,Commercial Anti-Displacement and Ownership Strategy,4,7.5286,Local Procurement and Anchor Institution Access
88,LE006,Workforce Childcare and Local Skills Resilience,5,7.50516,Local Procurement and Anchor Institution Access
88,LE001,Emergency Microgrant and Liquidity Fund,6,7.2337,Local Procurement and Anchor Institution Access
89,LE005,Commercial Anti-Displacement and Ownership Strategy,1,7.86999,Commercial Anti-Displacement and Ownership Strategy
89,LE002,Community Development Finance and Patient Capital,2,7.75934,Commercial Anti-Displacement and Ownership Strategy
89,LE004,Small Business Continuity and Digital Resilience Support,3,7.60092,Commercial Anti-Displacement and Ownership Strategy
89,LE006,Workforce Childcare and Local Skills Resilience,4,7.49527,Commercial Anti-Displacement and Ownership Strategy
89,LE001,Emergency Microgrant and Liquidity Fund,5,7.32144,Commercial Anti-Displacement and Ownership Strategy
89,LE003,Local Procurement and Anchor Institution Access,6,7.28765,Commercial Anti-Displacement and Ownership Strategy
90,LE004,Small Business Continuity and Digital Resilience Support,1,7.77824,Small Business Continuity and Digital Resilience Support
90,LE003,Local Procurement and Anchor Institution Access,2,7.73934,Small Business Continuity and Digital Resilience Support
90,LE005,Commercial Anti-Displacement and Ownership Strategy,3,7.68986,Small Business Continuity and Digital Resilience Support
90,LE006,Workforce Childcare and Local Skills Resilience,4,7.63931,Small Business Continuity and Digital Resilience Support
90,LE002,Community Development Finance and Patient Capital,5,7.47712,Small Business Continuity and Digital Resilience Support
90,LE001,Emergency Microgrant and Liquidity Fund,6,7.25535,Small Business Continuity and Digital Resilience Support
91,LE005,Commercial Anti-Displacement and Ownership Strategy,1,7.52707,Commercial Anti-Displacement and Ownership Strategy
91,LE003,Local Procurement and Anchor Institution Access,2,7.50728,Commercial Anti-Displacement and Ownership Strategy
91,LE002,Community Development Finance and Patient Capital,3,7.49609,Commercial Anti-Displacement and Ownership Strategy
91,LE004,Small Business Continuity and Digital Resilience Support,4,7.18613,Commercial Anti-Displacement and Ownership Strategy
91,LE006,Workforce Childcare and Local Skills Resilience,5,7.14924,Commercial Anti-Displacement and Ownership Strategy
91,LE001,Emergency Microgrant and Liquidity Fund,6,7.09939,Commercial Anti-Displacement and Ownership Strategy
92,LE004,Small Business Continuity and Digital Resilience Support,1,7.78745,Small Business Continuity and Digital Resilience Support
92,LE003,Local Procurement and Anchor Institution Access,2,7.68152,Small Business Continuity and Digital Resilience Support
92,LE002,Community Development Finance and Patient Capital,3,7.5193,Small Business Continuity and Digital Resilience Support
92,LE001,Emergency Microgrant and Liquidity Fund,4,7.36457,Small Business Continuity and Digital Resilience Support
92,LE005,Commercial Anti-Displacement and Ownership Strategy,5,7.34622,Small Business Continuity and Digital Resilience Support
92,LE006,Workforce Childcare and Local Skills Resilience,6,7.21096,Small Business Continuity and Digital Resilience Support
93,LE001,Emergency Microgrant and Liquidity Fund,1,7.52751,Emergency Microgrant and Liquidity Fund
93,LE005,Commercial Anti-Displacement and Ownership Strategy,2,7.51524,Emergency Microgrant and Liquidity Fund
93,LE003,Local Procurement and Anchor Institution Access,3,7.39594,Emergency Microgrant and Liquidity Fund
93,LE002,Community Development Finance and Patient Capital,4,7.33758,Emergency Microgrant and Liquidity Fund
93,LE006,Workforce Childcare and Local Skills Resilience,5,7.20753,Emergency Microgrant and Liquidity Fund
93,LE004,Small Business Continuity and Digital Resilience Support,6,6.98534,Emergency Microgrant and Liquidity Fund
94,LE004,Small Business Continuity and Digital Resilience Support,1,7.53453,Small Business Continuity and Digital Resilience Support
94,LE006,Workforce Childcare and Local Skills Resilience,2,7.46326,Small Business Continuity and Digital Resilience Support
94,LE005,Commercial Anti-Displacement and Ownership Strategy,3,7.37928,Small Business Continuity and Digital Resilience Support
94,LE001,Emergency Microgrant and Liquidity Fund,4,7.37303,Small Business Continuity and Digital Resilience Support
94,LE002,Community Development Finance and Patient Capital,5,7.32268,Small Business Continuity and Digital Resilience Support
94,LE003,Local Procurement and Anchor Institution Access,6,7.30396,Small Business Continuity and Digital Resilience Support
95,LE006,Workforce Childcare and Local Skills Resilience,1,7.74812,Workforce Childcare and Local Skills Resilience
95,LE003,Local Procurement and Anchor Institution Access,2,7.48633,Workforce Childcare and Local Skills Resilience
95,LE002,Community Development Finance and Patient Capital,3,7.48034,Workforce Childcare and Local Skills Resilience
95,LE005,Commercial Anti-Displacement and Ownership Strategy,4,7.37816,Workforce Childcare and Local Skills Resilience
95,LE001,Emergency Microgrant and Liquidity Fund,5,7.20715,Workforce Childcare and Local Skills Resilience
95,LE004,Small Business Continuity and Digital Resilience Support,6,7.10217,Workforce Childcare and Local Skills Resilience
96,LE003,Local Procurement and Anchor Institution Access,1,7.83464,Local Procurement and Anchor Institution Access
96,LE006,Workforce Childcare and Local Skills Resilience,2,7.72169,Local Procurement and Anchor Institution Access
96,LE004,Small Business Continuity and Digital Resilience Support,3,7.47765,Local Procurement and Anchor Institution Access
96,LE005,Commercial Anti-Displacement and Ownership Strategy,4,7.44906,Local Procurement and Anchor Institution Access
96,LE002,Community Development Finance and Patient Capital,5,7.35251,Local Procurement and Anchor Institution Access
96,LE001,Emergency Microgrant and Liquidity Fund,6,7.28287,Local Procurement and Anchor Institution Access
97,LE002,Community Development Finance and Patient Capital,1,7.85701,Community Development Finance and Patient Capital
97,LE003,Local Procurement and Anchor Institution Access,2,7.63586,Community Development Finance and Patient Capital
97,LE005,Commercial Anti-Displacement and Ownership Strategy,3,7.60988,Community Development Finance and Patient Capital
97,LE001,Emergency Microgrant and Liquidity Fund,4,7.46204,Community Development Finance and Patient Capital
97,LE006,Workforce Childcare and Local Skills Resilience,5,7.37678,Community Development Finance and Patient Capital
97,LE004,Small Business Continuity and Digital Resilience Support,6,7.23067,Community Development Finance and Patient Capital
98,LE003,Local Procurement and Anchor Institution Access,1,8.02204,Local Procurement and Anchor Institution Access
98,LE002,Community Development Finance and Patient Capital,2,7.41614,Local Procurement and Anchor Institution Access
98,LE004,Small Business Continuity and Digital Resilience Support,3,7.39994,Local Procurement and Anchor Institution Access
98,LE006,Workforce Childcare and Local Skills Resilience,4,7.36975,Local Procurement and Anchor Institution Access
98,LE005,Commercial Anti-Displacement and Ownership Strategy,5,7.3321,Local Procurement and Anchor Institution Access
98,LE001,Emergency Microgrant and Liquidity Fund,6,7.17276,Local Procurement and Anchor Institution Access
99,LE005,Commercial Anti-Displacement and Ownership Strategy,1,7.69772,Commercial Anti-Displacement and Ownership Strategy
99,LE003,Local Procurement and Anchor Institution Access,2,7.68366,Commercial Anti-Displacement and Ownership Strategy
99,LE006,Workforce Childcare and Local Skills Resilience,3,7.65524,Commercial Anti-Displacement and Ownership Strategy
99,LE004,Small Business Continuity and Digital Resilience Support,4,7.45662,Commercial Anti-Displacement and Ownership Strategy
99,LE002,Community Development Finance and Patient Capital,5,7.44714,Commercial Anti-Displacement and Ownership Strategy
99,LE001,Emergency Microgrant and Liquidity Fund,6,7.38526,Commercial Anti-Displacement and Ownership Strategy
100,LE004,Small Business Continuity and Digital Resilience Support,1,7.88099,Small Business Continuity and Digital Resilience Support
100,LE002,Community Development Finance and Patient Capital,2,7.67011,Small Business Continuity and Digital Resilience Support
100,LE001,Emergency Microgrant and Liquidity Fund,3,7.62589,Small Business Continuity and Digital Resilience Support
100,LE003,Local Procurement and Anchor Institution Access,4,7.54809,Small Business Continuity and Digital Resilience Support
100,LE006,Workforce Childcare and Local Skills Resilience,5,7.53443,Small Business Continuity and Digital Resilience Support
100,LE005,Commercial Anti-Displacement and Ownership Strategy,6,7.53195,Small Business Continuity and Digital Resilience Support
101,LE003,Local Procurement and Anchor Institution Access,1,7.96732,Local Procurement and Anchor Institution Access
101,LE002,Community Development Finance and Patient Capital,2,7.61008,Local Procurement and Anchor Institution Access
101,LE004,Small Business Continuity and Digital Resilience Support,3,7.39982,Local Procurement and Anchor Institution Access
101,LE005,Commercial Anti-Displacement and Ownership Strategy,4,7.37843,Local Procurement and Anchor Institution Access
101,LE001,Emergency Microgrant and Liquidity Fund,5,7.33793,Local Procurement and Anchor Institution Access
101,LE006,Workforce Childcare and Local Skills Resilience,6,7.16457,Local Procurement and Anchor Institution Access
102,LE003,Local Procurement and Anchor Institution Access,1,7.77162,Local Procurement and Anchor Institution Access
102,LE005,Commercial Anti-Displacement and Ownership Strategy,2,7.49497,Local Procurement and Anchor Institution Access
102,LE004,Small Business Continuity and Digital Resilience Support,3,7.35668,Local Procurement and Anchor Institution Access
102,LE006,Workforce Childcare and Local Skills Resilience,4,7.33765,Local Procurement and Anchor Institution Access
102,LE002,Community Development Finance and Patient Capital,5,7.31534,Local Procurement and Anchor Institution Access
102,LE001,Emergency Microgrant and Liquidity Fund,6,7.18177,Local Procurement and Anchor Institution Access
103,LE003,Local Procurement and Anchor Institution Access,1,7.69509,Local Procurement and Anchor Institution Access
103,LE005,Commercial Anti-Displacement and Ownership Strategy,2,7.4662,Local Procurement and Anchor Institution Access
103,LE002,Community Development Finance and Patient Capital,3,7.45902,Local Procurement and Anchor Institution Access
103,LE001,Emergency Microgrant and Liquidity Fund,4,7.30467,Local Procurement and Anchor Institution Access
103,LE004,Small Business Continuity and Digital Resilience Support,5,7.17123,Local Procurement and Anchor Institution Access
103,LE006,Workforce Childcare and Local Skills Resilience,6,7.16748,Local Procurement and Anchor Institution Access
104,LE005,Commercial Anti-Displacement and Ownership Strategy,1,7.70997,Commercial Anti-Displacement and Ownership Strategy
104,LE002,Community Development Finance and Patient Capital,2,7.6347,Commercial Anti-Displacement and Ownership Strategy
104,LE006,Workforce Childcare and Local Skills Resilience,3,7.5512,Commercial Anti-Displacement and Ownership Strategy
104,LE001,Emergency Microgrant and Liquidity Fund,4,7.5309,Commercial Anti-Displacement and Ownership Strategy
104,LE003,Local Procurement and Anchor Institution Access,5,7.32703,Commercial Anti-Displacement and Ownership Strategy
104,LE004,Small Business Continuity and Digital Resilience Support,6,7.07893,Commercial Anti-Displacement and Ownership Strategy
105,LE004,Small Business Continuity and Digital Resilience Support,1,7.64323,Small Business Continuity and Digital Resilience Support
105,LE006,Workforce Childcare and Local Skills Resilience,2,7.56579,Small Business Continuity and Digital Resilience Support
105,LE001,Emergency Microgrant and Liquidity Fund,3,7.46876,Small Business Continuity and Digital Resilience Support
105,LE003,Local Procurement and Anchor Institution Access,4,7.32223,Small Business Continuity and Digital Resilience Support
105,LE002,Community Development Finance and Patient Capital,5,7.31603,Small Business Continuity and Digital Resilience Support
105,LE005,Commercial Anti-Displacement and Ownership Strategy,6,7.13466,Small Business Continuity and Digital Resilience Support
106,LE002,Community Development Finance and Patient Capital,1,7.81041,Community Development Finance and Patient Capital
106,LE005,Commercial Anti-Displacement and Ownership Strategy,2,7.8021,Community Development Finance and Patient Capital
106,LE001,Emergency Microgrant and Liquidity Fund,3,7.61222,Community Development Finance and Patient Capital
106,LE004,Small Business Continuity and Digital Resilience Support,4,7.52844,Community Development Finance and Patient Capital
106,LE006,Workforce Childcare and Local Skills Resilience,5,7.4025,Community Development Finance and Patient Capital
106,LE003,Local Procurement and Anchor Institution Access,6,7.31379,Community Development Finance and Patient Capital
107,LE006,Workforce Childcare and Local Skills Resilience,1,7.90493,Workforce Childcare and Local Skills Resilience
107,LE001,Emergency Microgrant and Liquidity Fund,2,7.61308,Workforce Childcare and Local Skills Resilience
107,LE003,Local Procurement and Anchor Institution Access,3,7.49692,Workforce Childcare and Local Skills Resilience
107,LE002,Community Development Finance and Patient Capital,4,7.47267,Workforce Childcare and Local Skills Resilience
107,LE004,Small Business Continuity and Digital Resilience Support,5,7.40857,Workforce Childcare and Local Skills Resilience
107,LE005,Commercial Anti-Displacement and Ownership Strategy,6,7.27158,Workforce Childcare and Local Skills Resilience
108,LE003,Local Procurement and Anchor Institution Access,1,7.88006,Local Procurement and Anchor Institution Access
108,LE004,Small Business Continuity and Digital Resilience Support,2,7.687,Local Procurement and Anchor Institution Access
108,LE002,Community Development Finance and Patient Capital,3,7.57786,Local Procurement and Anchor Institution Access
108,LE005,Commercial Anti-Displacement and Ownership Strategy,4,7.38713,Local Procurement and Anchor Institution Access
108,LE006,Workforce Childcare and Local Skills Resilience,5,7.38563,Local Procurement and Anchor Institution Access
108,LE001,Emergency Microgrant and Liquidity Fund,6,7.11314,Local Procurement and Anchor Institution Access
109,LE006,Workforce Childcare and Local Skills Resilience,1,7.64658,Workforce Childcare and Local Skills Resilience
109,LE003,Local Procurement and Anchor Institution Access,2,7.56817,Workforce Childcare and Local Skills Resilience
109,LE002,Community Development Finance and Patient Capital,3,7.54843,Workforce Childcare and Local Skills Resilience
109,LE005,Commercial Anti-Displacement and Ownership Strategy,4,7.5072,Workforce Childcare and Local Skills Resilience
109,LE004,Small Business Continuity and Digital Resilience Support,5,7.45253,Workforce Childcare and Local Skills Resilience
109,LE001,Emergency Microgrant and Liquidity Fund,6,6.98649,Workforce Childcare and Local Skills Resilience
110,LE003,Local Procurement and Anchor Institution Access,1,7.63423,Local Procurement and Anchor Institution Access
110,LE005,Commercial Anti-Displacement and Ownership Strategy,2,7.60378,Local Procurement and Anchor Institution Access
110,LE001,Emergency Microgrant and Liquidity Fund,3,7.5474,Local Procurement and Anchor Institution Access
110,LE002,Community Development Finance and Patient Capital,4,7.25639,Local Procurement and Anchor Institution Access
110,LE004,Small Business Continuity and Digital Resilience Support,5,7.25529,Local Procurement and Anchor Institution Access
110,LE006,Workforce Childcare and Local Skills Resilience,6,7.11583,Local Procurement and Anchor Institution Access
111,LE006,Workforce Childcare and Local Skills Resilience,1,7.78261,Workforce Childcare and Local Skills Resilience
111,LE003,Local Procurement and Anchor Institution Access,2,7.41956,Workforce Childcare and Local Skills Resilience
111,LE002,Community Development Finance and Patient Capital,3,7.39762,Workforce Childcare and Local Skills Resilience
111,LE001,Emergency Microgrant and Liquidity Fund,4,7.34552,Workforce Childcare and Local Skills Resilience
111,LE005,Commercial Anti-Displacement and Ownership Strategy,5,7.24882,Workforce Childcare and Local Skills Resilience
111,LE004,Small Business Continuity and Digital Resilience Support,6,7.20554,Workforce Childcare and Local Skills Resilience
112,LE002,Community Development Finance and Patient Capital,1,7.84472,Community Development Finance and Patient Capital
112,LE006,Workforce Childcare and Local Skills Resilience,2,7.65383,Community Development Finance and Patient Capital
112,LE003,Local Procurement and Anchor Institution Access,3,7.64772,Community Development Finance and Patient Capital
112,LE005,Commercial Anti-Displacement and Ownership Strategy,4,7.38144,Community Development Finance and Patient Capital
112,LE004,Small Business Continuity and Digital Resilience Support,5,7.35957,Community Development Finance and Patient Capital
112,LE001,Emergency Microgrant and Liquidity Fund,6,7.31766,Community Development Finance and Patient Capital
113,LE002,Community Development Finance and Patient Capital,1,7.96688,Community Development Finance and Patient Capital
113,LE006,Workforce Childcare and Local Skills Resilience,2,7.95159,Community Development Finance and Patient Capital
113,LE005,Commercial Anti-Displacement and Ownership Strategy,3,7.82165,Community Development Finance and Patient Capital
113,LE003,Local Procurement and Anchor Institution Access,4,7.5585,Community Development Finance and Patient Capital
113,LE004,Small Business Continuity and Digital Resilience Support,5,7.53578,Community Development Finance and Patient Capital
113,LE001,Emergency Microgrant and Liquidity Fund,6,7.35726,Community Development Finance and Patient Capital
114,LE006,Workforce Childcare and Local Skills Resilience,1,7.64922,Workforce Childcare and Local Skills Resilience
114,LE003,Local Procurement and Anchor Institution Access,2,7.59442,Workforce Childcare and Local Skills Resilience
114,LE002,Community Development Finance and Patient Capital,3,7.5063,Workforce Childcare and Local Skills Resilience
114,LE004,Small Business Continuity and Digital Resilience Support,4,7.49484,Workforce Childcare and Local Skills Resilience
114,LE005,Commercial Anti-Displacement and Ownership Strategy,5,7.47301,Workforce Childcare and Local Skills Resilience
114,LE001,Emergency Microgrant and Liquidity Fund,6,7.31164,Workforce Childcare and Local Skills Resilience
115,LE003,Local Procurement and Anchor Institution Access,1,7.63119,Local Procurement and Anchor Institution Access
115,LE005,Commercial Anti-Displacement and Ownership Strategy,2,7.46555,Local Procurement and Anchor Institution Access
115,LE004,Small Business Continuity and Digital Resilience Support,3,7.41811,Local Procurement and Anchor Institution Access
115,LE001,Emergency Microgrant and Liquidity Fund,4,7.3751,Local Procurement and Anchor Institution Access
115,LE006,Workforce Childcare and Local Skills Resilience,5,7.28351,Local Procurement and Anchor Institution Access
115,LE002,Community Development Finance and Patient Capital,6,7.13081,Local Procurement and Anchor Institution Access
116,LE003,Local Procurement and Anchor Institution Access,1,8.15268,Local Procurement and Anchor Institution Access
116,LE002,Community Development Finance and Patient Capital,2,7.55008,Local Procurement and Anchor Institution Access
116,LE005,Commercial Anti-Displacement and Ownership Strategy,3,7.53851,Local Procurement and Anchor Institution Access
116,LE001,Emergency Microgrant and Liquidity Fund,4,7.47979,Local Procurement and Anchor Institution Access
116,LE006,Workforce Childcare and Local Skills Resilience,5,7.42882,Local Procurement and Anchor Institution Access
116,LE004,Small Business Continuity and Digital Resilience Support,6,7.32364,Local Procurement and Anchor Institution Access
117,LE002,Community Development Finance and Patient Capital,1,7.71241,Community Development Finance and Patient Capital
117,LE005,Commercial Anti-Displacement and Ownership Strategy,2,7.65854,Community Development Finance and Patient Capital
117,LE004,Small Business Continuity and Digital Resilience Support,3,7.57998,Community Development Finance and Patient Capital
117,LE003,Local Procurement and Anchor Institution Access,4,7.5619,Community Development Finance and Patient Capital
117,LE006,Workforce Childcare and Local Skills Resilience,5,7.4083,Community Development Finance and Patient Capital
117,LE001,Emergency Microgrant and Liquidity Fund,6,7.36208,Community Development Finance and Patient Capital
118,LE002,Community Development Finance and Patient Capital,1,7.77871,Community Development Finance and Patient Capital
118,LE001,Emergency Microgrant and Liquidity Fund,2,7.68808,Community Development Finance and Patient Capital
118,LE005,Commercial Anti-Displacement and Ownership Strategy,3,7.49746,Community Development Finance and Patient Capital
118,LE003,Local Procurement and Anchor Institution Access,4,7.4586,Community Development Finance and Patient Capital
118,LE006,Workforce Childcare and Local Skills Resilience,5,7.38055,Community Development Finance and Patient Capital
118,LE004,Small Business Continuity and Digital Resilience Support,6,7.3372,Community Development Finance and Patient Capital
119,LE001,Emergency Microgrant and Liquidity Fund,1,7.70251,Emergency Microgrant and Liquidity Fund
119,LE002,Community Development Finance and Patient Capital,2,7.67393,Emergency Microgrant and Liquidity Fund
119,LE003,Local Procurement and Anchor Institution Access,3,7.57498,Emergency Microgrant and Liquidity Fund
119,LE004,Small Business Continuity and Digital Resilience Support,4,7.50158,Emergency Microgrant and Liquidity Fund
119,LE005,Commercial Anti-Displacement and Ownership Strategy,5,7.396,Emergency Microgrant and Liquidity Fund
119,LE006,Workforce Childcare and Local Skills Resilience,6,7.27333,Emergency Microgrant and Liquidity Fund
120,LE001,Emergency Microgrant and Liquidity Fund,1,8.07049,Emergency Microgrant and Liquidity Fund
120,LE004,Small Business Continuity and Digital Resilience Support,2,7.54538,Emergency Microgrant and Liquidity Fund
120,LE006,Workforce Childcare and Local Skills Resilience,3,7.50213,Emergency Microgrant and Liquidity Fund
120,LE003,Local Procurement and Anchor Institution Access,4,7.48774,Emergency Microgrant and Liquidity Fund
120,LE005,Commercial Anti-Displacement and Ownership Strategy,5,7.43279,Emergency Microgrant and Liquidity Fund
120,LE002,Community Development Finance and Patient Capital,6,7.42296,Emergency Microgrant and Liquidity Fund
121,LE002,Community Development Finance and Patient Capital,1,7.52571,Community Development Finance and Patient Capital
121,LE004,Small Business Continuity and Digital Resilience Support,2,7.48098,Community Development Finance and Patient Capital
121,LE006,Workforce Childcare and Local Skills Resilience,3,7.47871,Community Development Finance and Patient Capital
121,LE003,Local Procurement and Anchor Institution Access,4,7.35008,Community Development Finance and Patient Capital
121,LE005,Commercial Anti-Displacement and Ownership Strategy,5,7.14207,Community Development Finance and Patient Capital
121,LE001,Emergency Microgrant and Liquidity Fund,6,7.05091,Community Development Finance and Patient Capital
122,LE003,Local Procurement and Anchor Institution Access,1,7.83833,Local Procurement and Anchor Institution Access
122,LE002,Community Development Finance and Patient Capital,2,7.59866,Local Procurement and Anchor Institution Access
122,LE004,Small Business Continuity and Digital Resilience Support,3,7.4952,Local Procurement and Anchor Institution Access
122,LE006,Workforce Childcare and Local Skills Resilience,4,7.45495,Local Procurement and Anchor Institution Access
122,LE001,Emergency Microgrant and Liquidity Fund,5,7.41558,Local Procurement and Anchor Institution Access
122,LE005,Commercial Anti-Displacement and Ownership Strategy,6,7.33744,Local Procurement and Anchor Institution Access
123,LE002,Community Development Finance and Patient Capital,1,7.88188,Community Development Finance and Patient Capital
123,LE001,Emergency Microgrant and Liquidity Fund,2,7.60436,Community Development Finance and Patient Capital
123,LE005,Commercial Anti-Displacement and Ownership Strategy,3,7.4008,Community Development Finance and Patient Capital
123,LE003,Local Procurement and Anchor Institution Access,4,7.3897,Community Development Finance and Patient Capital
123,LE004,Small Business Continuity and Digital Resilience Support,5,7.25194,Community Development Finance and Patient Capital
123,LE006,Workforce Childcare and Local Skills Resilience,6,7.16965,Community Development Finance and Patient Capital
124,LE003,Local Procurement and Anchor Institution Access,1,7.79918,Local Procurement and Anchor Institution Access
124,LE002,Community Development Finance and Patient Capital,2,7.76902,Local Procurement and Anchor Institution Access
124,LE001,Emergency Microgrant and Liquidity Fund,3,7.58011,Local Procurement and Anchor Institution Access
124,LE004,Small Business Continuity and Digital Resilience Support,4,7.52139,Local Procurement and Anchor Institution Access
124,LE005,Commercial Anti-Displacement and Ownership Strategy,5,7.3271,Local Procurement and Anchor Institution Access
124,LE006,Workforce Childcare and Local Skills Resilience,6,6.98515,Local Procurement and Anchor Institution Access
125,LE001,Emergency Microgrant and Liquidity Fund,1,7.73479,Emergency Microgrant and Liquidity Fund
125,LE002,Community Development Finance and Patient Capital,2,7.4666,Emergency Microgrant and Liquidity Fund
125,LE006,Workforce Childcare and Local Skills Resilience,3,7.43556,Emergency Microgrant and Liquidity Fund
125,LE004,Small Business Continuity and Digital Resilience Support,4,7.35052,Emergency Microgrant and Liquidity Fund
125,LE003,Local Procurement and Anchor Institution Access,5,7.34008,Emergency Microgrant and Liquidity Fund
125,LE005,Commercial Anti-Displacement and Ownership Strategy,6,7.21186,Emergency Microgrant and Liquidity Fund
126,LE002,Community Development Finance and Patient Capital,1,7.93596,Community Development Finance and Patient Capital
126,LE005,Commercial Anti-Displacement and Ownership Strategy,2,7.68953,Community Development Finance and Patient Capital
126,LE006,Workforce Childcare and Local Skills Resilience,3,7.43421,Community Development Finance and Patient Capital
126,LE001,Emergency Microgrant and Liquidity Fund,4,7.3531,Community Development Finance and Patient Capital
126,LE003,Local Procurement and Anchor Institution Access,5,7.2876,Community Development Finance and Patient Capital
126,LE004,Small Business Continuity and Digital Resilience Support,6,7.18375,Community Development Finance and Patient Capital
127,LE002,Community Development Finance and Patient Capital,1,7.56928,Community Development Finance and Patient Capital
127,LE005,Commercial Anti-Displacement and Ownership Strategy,2,7.4992,Community Development Finance and Patient Capital
