simulation_id,strategy_id,strategy,rank,financial_resilience_value,winner
915,FR004,Payment and Clearing Infrastructure Hardening,3,5.62342,Higher Capital and Liquidity Buffers
915,FR002,Expanded Systemwide Stress Testing,4,5.60329,Higher Capital and Liquidity Buffers
915,FR006,Inclusive Finance and Household Balance Sheet Resilience,5,5.44876,Higher Capital and Liquidity Buffers
915,FR003,Resolution Planning and Bail-In Readiness,6,5.36101,Higher Capital and Liquidity Buffers
916,FR002,Expanded Systemwide Stress Testing,1,6.07638,Expanded Systemwide Stress Testing
916,FR006,Inclusive Finance and Household Balance Sheet Resilience,2,6.04838,Expanded Systemwide Stress Testing
916,FR003,Resolution Planning and Bail-In Readiness,3,5.92252,Expanded Systemwide Stress Testing
916,FR001,Higher Capital and Liquidity Buffers,4,5.84721,Expanded Systemwide Stress Testing
916,FR004,Payment and Clearing Infrastructure Hardening,5,5.84122,Expanded Systemwide Stress Testing
916,FR005,Non-Bank Financial Intermediation Oversight,6,5.58037,Expanded Systemwide Stress Testing
917,FR001,Higher Capital and Liquidity Buffers,1,6.37596,Higher Capital and Liquidity Buffers
917,FR002,Expanded Systemwide Stress Testing,2,5.90023,Higher Capital and Liquidity Buffers
917,FR005,Non-Bank Financial Intermediation Oversight,3,5.71868,Higher Capital and Liquidity Buffers
917,FR004,Payment and Clearing Infrastructure Hardening,4,5.51247,Higher Capital and Liquidity Buffers
917,FR006,Inclusive Finance and Household Balance Sheet Resilience,5,5.33318,Higher Capital and Liquidity Buffers
917,FR003,Resolution Planning and Bail-In Readiness,6,5.1843,Higher Capital and Liquidity Buffers
918,FR001,Higher Capital and Liquidity Buffers,1,6.18157,Higher Capital and Liquidity Buffers
918,FR004,Payment and Clearing Infrastructure Hardening,2,5.7122,Higher Capital and Liquidity Buffers
918,FR006,Inclusive Finance and Household Balance Sheet Resilience,3,5.65047,Higher Capital and Liquidity Buffers
918,FR003,Resolution Planning and Bail-In Readiness,4,5.49464,Higher Capital and Liquidity Buffers
918,FR005,Non-Bank Financial Intermediation Oversight,5,5.43803,Higher Capital and Liquidity Buffers
918,FR002,Expanded Systemwide Stress Testing,6,5.42118,Higher Capital and Liquidity Buffers
919,FR004,Payment and Clearing Infrastructure Hardening,1,6.31519,Payment and Clearing Infrastructure Hardening
919,FR001,Higher Capital and Liquidity Buffers,2,5.8939,Payment and Clearing Infrastructure Hardening
919,FR005,Non-Bank Financial Intermediation Oversight,3,5.76825,Payment and Clearing Infrastructure Hardening
919,FR003,Resolution Planning and Bail-In Readiness,4,5.66311,Payment and Clearing Infrastructure Hardening
919,FR002,Expanded Systemwide Stress Testing,5,5.61689,Payment and Clearing Infrastructure Hardening
919,FR006,Inclusive Finance and Household Balance Sheet Resilience,6,5.01326,Payment and Clearing Infrastructure Hardening
920,FR005,Non-Bank Financial Intermediation Oversight,1,5.76479,Non-Bank Financial Intermediation Oversight
920,FR001,Higher Capital and Liquidity Buffers,2,5.7221,Non-Bank Financial Intermediation Oversight
920,FR003,Resolution Planning and Bail-In Readiness,3,5.72065,Non-Bank Financial Intermediation Oversight
920,FR004,Payment and Clearing Infrastructure Hardening,4,5.69221,Non-Bank Financial Intermediation Oversight
920,FR002,Expanded Systemwide Stress Testing,5,5.67527,Non-Bank Financial Intermediation Oversight
920,FR006,Inclusive Finance and Household Balance Sheet Resilience,6,5.59792,Non-Bank Financial Intermediation Oversight
921,FR001,Higher Capital and Liquidity Buffers,1,6.10212,Higher Capital and Liquidity Buffers
921,FR004,Payment and Clearing Infrastructure Hardening,2,6.10206,Higher Capital and Liquidity Buffers
921,FR003,Resolution Planning and Bail-In Readiness,3,5.66645,Higher Capital and Liquidity Buffers
921,FR002,Expanded Systemwide Stress Testing,4,5.635,Higher Capital and Liquidity Buffers
921,FR005,Non-Bank Financial Intermediation Oversight,5,5.47372,Higher Capital and Liquidity Buffers
921,FR006,Inclusive Finance and Household Balance Sheet Resilience,6,5.33066,Higher Capital and Liquidity Buffers
922,FR004,Payment and Clearing Infrastructure Hardening,1,6.04199,Payment and Clearing Infrastructure Hardening
922,FR001,Higher Capital and Liquidity Buffers,2,5.94573,Payment and Clearing Infrastructure Hardening
922,FR002,Expanded Systemwide Stress Testing,3,5.93742,Payment and Clearing Infrastructure Hardening
922,FR005,Non-Bank Financial Intermediation Oversight,4,5.84866,Payment and Clearing Infrastructure Hardening
922,FR003,Resolution Planning and Bail-In Readiness,5,5.76059,Payment and Clearing Infrastructure Hardening
922,FR006,Inclusive Finance and Household Balance Sheet Resilience,6,5.68486,Payment and Clearing Infrastructure Hardening
923,FR001,Higher Capital and Liquidity Buffers,1,6.03713,Higher Capital and Liquidity Buffers
923,FR003,Resolution Planning and Bail-In Readiness,2,5.87572,Higher Capital and Liquidity Buffers
923,FR004,Payment and Clearing Infrastructure Hardening,3,5.85026,Higher Capital and Liquidity Buffers
923,FR006,Inclusive Finance and Household Balance Sheet Resilience,4,5.82559,Higher Capital and Liquidity Buffers
923,FR002,Expanded Systemwide Stress Testing,5,5.34355,Higher Capital and Liquidity Buffers
923,FR005,Non-Bank Financial Intermediation Oversight,6,5.28364,Higher Capital and Liquidity Buffers
924,FR001,Higher Capital and Liquidity Buffers,1,5.9179,Higher Capital and Liquidity Buffers
924,FR004,Payment and Clearing Infrastructure Hardening,2,5.81987,Higher Capital and Liquidity Buffers
924,FR003,Resolution Planning and Bail-In Readiness,3,5.71371,Higher Capital and Liquidity Buffers
924,FR006,Inclusive Finance and Household Balance Sheet Resilience,4,5.50295,Higher Capital and Liquidity Buffers
924,FR005,Non-Bank Financial Intermediation Oversight,5,5.37698,Higher Capital and Liquidity Buffers
924,FR002,Expanded Systemwide Stress Testing,6,5.32447,Higher Capital and Liquidity Buffers
925,FR001,Higher Capital and Liquidity Buffers,1,5.99726,Higher Capital and Liquidity Buffers
925,FR002,Expanded Systemwide Stress Testing,2,5.88328,Higher Capital and Liquidity Buffers
925,FR003,Resolution Planning and Bail-In Readiness,3,5.84262,Higher Capital and Liquidity Buffers
925,FR004,Payment and Clearing Infrastructure Hardening,4,5.71926,Higher Capital and Liquidity Buffers
925,FR005,Non-Bank Financial Intermediation Oversight,5,5.65306,Higher Capital and Liquidity Buffers
925,FR006,Inclusive Finance and Household Balance Sheet Resilience,6,5.46714,Higher Capital and Liquidity Buffers
926,FR002,Expanded Systemwide Stress Testing,1,5.95758,Expanded Systemwide Stress Testing
926,FR001,Higher Capital and Liquidity Buffers,2,5.87007,Expanded Systemwide Stress Testing
926,FR006,Inclusive Finance and Household Balance Sheet Resilience,3,5.65725,Expanded Systemwide Stress Testing
926,FR003,Resolution Planning and Bail-In Readiness,4,5.53536,Expanded Systemwide Stress Testing
926,FR005,Non-Bank Financial Intermediation Oversight,5,5.41782,Expanded Systemwide Stress Testing
926,FR004,Payment and Clearing Infrastructure Hardening,6,5.24832,Expanded Systemwide Stress Testing
927,FR003,Resolution Planning and Bail-In Readiness,1,5.95948,Resolution Planning and Bail-In Readiness
927,FR001,Higher Capital and Liquidity Buffers,2,5.72084,Resolution Planning and Bail-In Readiness
927,FR004,Payment and Clearing Infrastructure Hardening,3,5.6787,Resolution Planning and Bail-In Readiness
927,FR002,Expanded Systemwide Stress Testing,4,5.52035,Resolution Planning and Bail-In Readiness
927,FR006,Inclusive Finance and Household Balance Sheet Resilience,5,5.21059,Resolution Planning and Bail-In Readiness
927,FR005,Non-Bank Financial Intermediation Oversight,6,5.1569,Resolution Planning and Bail-In Readiness
928,FR002,Expanded Systemwide Stress Testing,1,5.87179,Expanded Systemwide Stress Testing
928,FR006,Inclusive Finance and Household Balance Sheet Resilience,2,5.81539,Expanded Systemwide Stress Testing
928,FR003,Resolution Planning and Bail-In Readiness,3,5.6756,Expanded Systemwide Stress Testing
928,FR001,Higher Capital and Liquidity Buffers,4,5.59985,Expanded Systemwide Stress Testing
928,FR004,Payment and Clearing Infrastructure Hardening,5,5.48516,Expanded Systemwide Stress Testing
928,FR005,Non-Bank Financial Intermediation Oversight,6,4.99012,Expanded Systemwide Stress Testing
929,FR001,Higher Capital and Liquidity Buffers,1,6.06478,Higher Capital and Liquidity Buffers
929,FR004,Payment and Clearing Infrastructure Hardening,2,5.77257,Higher Capital and Liquidity Buffers
929,FR006,Inclusive Finance and Household Balance Sheet Resilience,3,5.53981,Higher Capital and Liquidity Buffers
929,FR003,Resolution Planning and Bail-In Readiness,4,5.48484,Higher Capital and Liquidity Buffers
929,FR002,Expanded Systemwide Stress Testing,5,5.42403,Higher Capital and Liquidity Buffers
929,FR005,Non-Bank Financial Intermediation Oversight,6,5.1477,Higher Capital and Liquidity Buffers
930,FR001,Higher Capital and Liquidity Buffers,1,6.36756,Higher Capital and Liquidity Buffers
930,FR003,Resolution Planning and Bail-In Readiness,2,6.07023,Higher Capital and Liquidity Buffers
930,FR004,Payment and Clearing Infrastructure Hardening,3,6.05872,Higher Capital and Liquidity Buffers
930,FR005,Non-Bank Financial Intermediation Oversight,4,5.86861,Higher Capital and Liquidity Buffers
930,FR002,Expanded Systemwide Stress Testing,5,5.7084,Higher Capital and Liquidity Buffers
930,FR006,Inclusive Finance and Household Balance Sheet Resilience,6,5.53035,Higher Capital and Liquidity Buffers
931,FR005,Non-Bank Financial Intermediation Oversight,1,6.07872,Non-Bank Financial Intermediation Oversight
931,FR001,Higher Capital and Liquidity Buffers,2,5.85182,Non-Bank Financial Intermediation Oversight
931,FR003,Resolution Planning and Bail-In Readiness,3,5.83619,Non-Bank Financial Intermediation Oversight
931,FR004,Payment and Clearing Infrastructure Hardening,4,5.78517,Non-Bank Financial Intermediation Oversight
931,FR002,Expanded Systemwide Stress Testing,5,5.77226,Non-Bank Financial Intermediation Oversight
931,FR006,Inclusive Finance and Household Balance Sheet Resilience,6,5.54126,Non-Bank Financial Intermediation Oversight
932,FR002,Expanded Systemwide Stress Testing,1,5.86299,Expanded Systemwide Stress Testing
932,FR001,Higher Capital and Liquidity Buffers,2,5.78683,Expanded Systemwide Stress Testing
932,FR005,Non-Bank Financial Intermediation Oversight,3,5.75626,Expanded Systemwide Stress Testing
932,FR003,Resolution Planning and Bail-In Readiness,4,5.66698,Expanded Systemwide Stress Testing
932,FR006,Inclusive Finance and Household Balance Sheet Resilience,5,5.54582,Expanded Systemwide Stress Testing
932,FR004,Payment and Clearing Infrastructure Hardening,6,5.36013,Expanded Systemwide Stress Testing
933,FR001,Higher Capital and Liquidity Buffers,1,5.89911,Higher Capital and Liquidity Buffers
933,FR004,Payment and Clearing Infrastructure Hardening,2,5.74097,Higher Capital and Liquidity Buffers
933,FR002,Expanded Systemwide Stress Testing,3,5.70048,Higher Capital and Liquidity Buffers
933,FR005,Non-Bank Financial Intermediation Oversight,4,5.56376,Higher Capital and Liquidity Buffers
933,FR006,Inclusive Finance and Household Balance Sheet Resilience,5,5.53978,Higher Capital and Liquidity Buffers
933,FR003,Resolution Planning and Bail-In Readiness,6,5.41626,Higher Capital and Liquidity Buffers
934,FR002,Expanded Systemwide Stress Testing,1,6.15157,Expanded Systemwide Stress Testing
934,FR004,Payment and Clearing Infrastructure Hardening,2,5.99141,Expanded Systemwide Stress Testing
934,FR003,Resolution Planning and Bail-In Readiness,3,5.91231,Expanded Systemwide Stress Testing
934,FR001,Higher Capital and Liquidity Buffers,4,5.76325,Expanded Systemwide Stress Testing
934,FR006,Inclusive Finance and Household Balance Sheet Resilience,5,5.75154,Expanded Systemwide Stress Testing
934,FR005,Non-Bank Financial Intermediation Oversight,6,5.2585,Expanded Systemwide Stress Testing
935,FR004,Payment and Clearing Infrastructure Hardening,1,6.14073,Payment and Clearing Infrastructure Hardening
935,FR002,Expanded Systemwide Stress Testing,2,5.8084,Payment and Clearing Infrastructure Hardening
935,FR006,Inclusive Finance and Household Balance Sheet Resilience,3,5.69364,Payment and Clearing Infrastructure Hardening
935,FR001,Higher Capital and Liquidity Buffers,4,5.66118,Payment and Clearing Infrastructure Hardening
935,FR003,Resolution Planning and Bail-In Readiness,5,5.62365,Payment and Clearing Infrastructure Hardening
935,FR005,Non-Bank Financial Intermediation Oversight,6,5.42763,Payment and Clearing Infrastructure Hardening
936,FR004,Payment and Clearing Infrastructure Hardening,1,5.96079,Payment and Clearing Infrastructure Hardening
936,FR002,Expanded Systemwide Stress Testing,2,5.93973,Payment and Clearing Infrastructure Hardening
936,FR006,Inclusive Finance and Household Balance Sheet Resilience,3,5.72112,Payment and Clearing Infrastructure Hardening
936,FR005,Non-Bank Financial Intermediation Oversight,4,5.38724,Payment and Clearing Infrastructure Hardening
936,FR001,Higher Capital and Liquidity Buffers,5,5.19707,Payment and Clearing Infrastructure Hardening
936,FR003,Resolution Planning and Bail-In Readiness,6,5.06418,Payment and Clearing Infrastructure Hardening
937,FR004,Payment and Clearing Infrastructure Hardening,1,6.20559,Payment and Clearing Infrastructure Hardening
937,FR003,Resolution Planning and Bail-In Readiness,2,6.16844,Payment and Clearing Infrastructure Hardening
937,FR001,Higher Capital and Liquidity Buffers,3,6.07513,Payment and Clearing Infrastructure Hardening
937,FR006,Inclusive Finance and Household Balance Sheet Resilience,4,5.59989,Payment and Clearing Infrastructure Hardening
937,FR002,Expanded Systemwide Stress Testing,5,5.50166,Payment and Clearing Infrastructure Hardening
937,FR005,Non-Bank Financial Intermediation Oversight,6,5.18568,Payment and Clearing Infrastructure Hardening
938,FR006,Inclusive Finance and Household Balance Sheet Resilience,1,5.8921,Inclusive Finance and Household Balance Sheet Resilience
938,FR002,Expanded Systemwide Stress Testing,2,5.84767,Inclusive Finance and Household Balance Sheet Resilience
938,FR003,Resolution Planning and Bail-In Readiness,3,5.59936,Inclusive Finance and Household Balance Sheet Resilience
938,FR004,Payment and Clearing Infrastructure Hardening,4,5.55415,Inclusive Finance and Household Balance Sheet Resilience
938,FR001,Higher Capital and Liquidity Buffers,5,5.51046,Inclusive Finance and Household Balance Sheet Resilience
938,FR005,Non-Bank Financial Intermediation Oversight,6,5.4102,Inclusive Finance and Household Balance Sheet Resilience
939,FR002,Expanded Systemwide Stress Testing,1,5.91879,Expanded Systemwide Stress Testing
939,FR003,Resolution Planning and Bail-In Readiness,2,5.80422,Expanded Systemwide Stress Testing
939,FR004,Payment and Clearing Infrastructure Hardening,3,5.7851,Expanded Systemwide Stress Testing
939,FR006,Inclusive Finance and Household Balance Sheet Resilience,4,5.76129,Expanded Systemwide Stress Testing
939,FR005,Non-Bank Financial Intermediation Oversight,5,5.50519,Expanded Systemwide Stress Testing
939,FR001,Higher Capital and Liquidity Buffers,6,5.4934,Expanded Systemwide Stress Testing
940,FR001,Higher Capital and Liquidity Buffers,1,5.84911,Higher Capital and Liquidity Buffers
940,FR004,Payment and Clearing Infrastructure Hardening,2,5.78109,Higher Capital and Liquidity Buffers
940,FR006,Inclusive Finance and Household Balance Sheet Resilience,3,5.75651,Higher Capital and Liquidity Buffers
940,FR002,Expanded Systemwide Stress Testing,4,5.70544,Higher Capital and Liquidity Buffers
940,FR003,Resolution Planning and Bail-In Readiness,5,5.58453,Higher Capital and Liquidity Buffers
940,FR005,Non-Bank Financial Intermediation Oversight,6,5.17495,Higher Capital and Liquidity Buffers
941,FR002,Expanded Systemwide Stress Testing,1,5.89624,Expanded Systemwide Stress Testing
941,FR005,Non-Bank Financial Intermediation Oversight,2,5.5793,Expanded Systemwide Stress Testing
941,FR003,Resolution Planning and Bail-In Readiness,3,5.56309,Expanded Systemwide Stress Testing
941,FR004,Payment and Clearing Infrastructure Hardening,4,5.52081,Expanded Systemwide Stress Testing
941,FR006,Inclusive Finance and Household Balance Sheet Resilience,5,5.51738,Expanded Systemwide Stress Testing
941,FR001,Higher Capital and Liquidity Buffers,6,5.42196,Expanded Systemwide Stress Testing
942,FR006,Inclusive Finance and Household Balance Sheet Resilience,1,5.97144,Inclusive Finance and Household Balance Sheet Resilience
942,FR003,Resolution Planning and Bail-In Readiness,2,5.89369,Inclusive Finance and Household Balance Sheet Resilience
942,FR004,Payment and Clearing Infrastructure Hardening,3,5.88928,Inclusive Finance and Household Balance Sheet Resilience
942,FR002,Expanded Systemwide Stress Testing,4,5.70689,Inclusive Finance and Household Balance Sheet Resilience
942,FR005,Non-Bank Financial Intermediation Oversight,5,5.56588,Inclusive Finance and Household Balance Sheet Resilience
942,FR001,Higher Capital and Liquidity Buffers,6,5.41897,Inclusive Finance and Household Balance Sheet Resilience
943,FR003,Resolution Planning and Bail-In Readiness,1,6.25772,Resolution Planning and Bail-In Readiness
943,FR004,Payment and Clearing Infrastructure Hardening,2,6.06082,Resolution Planning and Bail-In Readiness
943,FR002,Expanded Systemwide Stress Testing,3,5.92052,Resolution Planning and Bail-In Readiness
943,FR001,Higher Capital and Liquidity Buffers,4,5.79013,Resolution Planning and Bail-In Readiness
943,FR006,Inclusive Finance and Household Balance Sheet Resilience,5,5.56741,Resolution Planning and Bail-In Readiness
943,FR005,Non-Bank Financial Intermediation Oversight,6,5.36036,Resolution Planning and Bail-In Readiness
944,FR002,Expanded Systemwide Stress Testing,1,6.32616,Expanded Systemwide Stress Testing
944,FR003,Resolution Planning and Bail-In Readiness,2,6.00547,Expanded Systemwide Stress Testing
944,FR004,Payment and Clearing Infrastructure Hardening,3,5.79809,Expanded Systemwide Stress Testing
944,FR001,Higher Capital and Liquidity Buffers,4,5.70764,Expanded Systemwide Stress Testing
944,FR005,Non-Bank Financial Intermediation Oversight,5,5.3801,Expanded Systemwide Stress Testing
944,FR006,Inclusive Finance and Household Balance Sheet Resilience,6,5.33766,Expanded Systemwide Stress Testing
945,FR001,Higher Capital and Liquidity Buffers,1,6.04493,Higher Capital and Liquidity Buffers
945,FR004,Payment and Clearing Infrastructure Hardening,2,6.03226,Higher Capital and Liquidity Buffers
945,FR006,Inclusive Finance and Household Balance Sheet Resilience,3,5.70022,Higher Capital and Liquidity Buffers
945,FR002,Expanded Systemwide Stress Testing,4,5.52781,Higher Capital and Liquidity Buffers
945,FR005,Non-Bank Financial Intermediation Oversight,5,5.45084,Higher Capital and Liquidity Buffers
945,FR003,Resolution Planning and Bail-In Readiness,6,5.43962,Higher Capital and Liquidity Buffers
946,FR001,Higher Capital and Liquidity Buffers,1,6.07289,Higher Capital and Liquidity Buffers
946,FR004,Payment and Clearing Infrastructure Hardening,2,6.06745,Higher Capital and Liquidity Buffers
946,FR006,Inclusive Finance and Household Balance Sheet Resilience,3,5.93294,Higher Capital and Liquidity Buffers
946,FR002,Expanded Systemwide Stress Testing,4,5.50107,Higher Capital and Liquidity Buffers
946,FR005,Non-Bank Financial Intermediation Oversight,5,5.49066,Higher Capital and Liquidity Buffers
946,FR003,Resolution Planning and Bail-In Readiness,6,5.43152,Higher Capital and Liquidity Buffers
947,FR001,Higher Capital and Liquidity Buffers,1,6.25473,Higher Capital and Liquidity Buffers
947,FR004,Payment and Clearing Infrastructure Hardening,2,5.82384,Higher Capital and Liquidity Buffers
947,FR003,Resolution Planning and Bail-In Readiness,3,5.56128,Higher Capital and Liquidity Buffers
947,FR002,Expanded Systemwide Stress Testing,4,5.44135,Higher Capital and Liquidity Buffers
947,FR005,Non-Bank Financial Intermediation Oversight,5,5.29935,Higher Capital and Liquidity Buffers
947,FR006,Inclusive Finance and Household Balance Sheet Resilience,6,5.25537,Higher Capital and Liquidity Buffers
948,FR002,Expanded Systemwide Stress Testing,1,5.99249,Expanded Systemwide Stress Testing
948,FR001,Higher Capital and Liquidity Buffers,2,5.82566,Expanded Systemwide Stress Testing
948,FR004,Payment and Clearing Infrastructure Hardening,3,5.68904,Expanded Systemwide Stress Testing
948,FR003,Resolution Planning and Bail-In Readiness,4,5.68086,Expanded Systemwide Stress Testing
948,FR005,Non-Bank Financial Intermediation Oversight,5,5.46612,Expanded Systemwide Stress Testing
948,FR006,Inclusive Finance and Household Balance Sheet Resilience,6,5.30791,Expanded Systemwide Stress Testing
949,FR005,Non-Bank Financial Intermediation Oversight,1,6.0714,Non-Bank Financial Intermediation Oversight
949,FR001,Higher Capital and Liquidity Buffers,2,5.72731,Non-Bank Financial Intermediation Oversight
949,FR004,Payment and Clearing Infrastructure Hardening,3,5.71848,Non-Bank Financial Intermediation Oversight
949,FR006,Inclusive Finance and Household Balance Sheet Resilience,4,5.64029,Non-Bank Financial Intermediation Oversight
949,FR002,Expanded Systemwide Stress Testing,5,5.5275,Non-Bank Financial Intermediation Oversight
949,FR003,Resolution Planning and Bail-In Readiness,6,5.46987,Non-Bank Financial Intermediation Oversight
950,FR002,Expanded Systemwide Stress Testing,1,5.79751,Expanded Systemwide Stress Testing
950,FR004,Payment and Clearing Infrastructure Hardening,2,5.71714,Expanded Systemwide Stress Testing
950,FR001,Higher Capital and Liquidity Buffers,3,5.64959,Expanded Systemwide Stress Testing
950,FR003,Resolution Planning and Bail-In Readiness,4,5.63461,Expanded Systemwide Stress Testing
950,FR006,Inclusive Finance and Household Balance Sheet Resilience,5,5.45765,Expanded Systemwide Stress Testing
950,FR005,Non-Bank Financial Intermediation Oversight,6,5.37438,Expanded Systemwide Stress Testing
951,FR003,Resolution Planning and Bail-In Readiness,1,5.86069,Resolution Planning and Bail-In Readiness
951,FR004,Payment and Clearing Infrastructure Hardening,2,5.76648,Resolution Planning and Bail-In Readiness
951,FR001,Higher Capital and Liquidity Buffers,3,5.74292,Resolution Planning and Bail-In Readiness
951,FR002,Expanded Systemwide Stress Testing,4,5.73892,Resolution Planning and Bail-In Readiness
951,FR006,Inclusive Finance and Household Balance Sheet Resilience,5,5.32467,Resolution Planning and Bail-In Readiness
951,FR005,Non-Bank Financial Intermediation Oversight,6,5.12207,Resolution Planning and Bail-In Readiness
952,FR001,Higher Capital and Liquidity Buffers,1,6.02546,Higher Capital and Liquidity Buffers
952,FR004,Payment and Clearing Infrastructure Hardening,2,5.74245,Higher Capital and Liquidity Buffers
952,FR002,Expanded Systemwide Stress Testing,3,5.56861,Higher Capital and Liquidity Buffers
952,FR005,Non-Bank Financial Intermediation Oversight,4,5.49568,Higher Capital and Liquidity Buffers
952,FR003,Resolution Planning and Bail-In Readiness,5,5.48706,Higher Capital and Liquidity Buffers
952,FR006,Inclusive Finance and Household Balance Sheet Resilience,6,5.30714,Higher Capital and Liquidity Buffers
953,FR006,Inclusive Finance and Household Balance Sheet Resilience,1,6.04519,Inclusive Finance and Household Balance Sheet Resilience
953,FR001,Higher Capital and Liquidity Buffers,2,5.96379,Inclusive Finance and Household Balance Sheet Resilience
953,FR004,Payment and Clearing Infrastructure Hardening,3,5.92487,Inclusive Finance and Household Balance Sheet Resilience
953,FR003,Resolution Planning and Bail-In Readiness,4,5.78254,Inclusive Finance and Household Balance Sheet Resilience
953,FR002,Expanded Systemwide Stress Testing,5,5.47673,Inclusive Finance and Household Balance Sheet Resilience
953,FR005,Non-Bank Financial Intermediation Oversight,6,4.93811,Inclusive Finance and Household Balance Sheet Resilience
954,FR006,Inclusive Finance and Household Balance Sheet Resilience,1,5.97009,Inclusive Finance and Household Balance Sheet Resilience
954,FR001,Higher Capital and Liquidity Buffers,2,5.66567,Inclusive Finance and Household Balance Sheet Resilience
954,FR003,Resolution Planning and Bail-In Readiness,3,5.52771,Inclusive Finance and Household Balance Sheet Resilience
954,FR002,Expanded Systemwide Stress Testing,4,5.4707,Inclusive Finance and Household Balance Sheet Resilience
954,FR004,Payment and Clearing Infrastructure Hardening,5,5.46374,Inclusive Finance and Household Balance Sheet Resilience
954,FR005,Non-Bank Financial Intermediation Oversight,6,5.46035,Inclusive Finance and Household Balance Sheet Resilience
955,FR001,Higher Capital and Liquidity Buffers,1,6.28346,Higher Capital and Liquidity Buffers
955,FR006,Inclusive Finance and Household Balance Sheet Resilience,2,5.76453,Higher Capital and Liquidity Buffers
955,FR003,Resolution Planning and Bail-In Readiness,3,5.57641,Higher Capital and Liquidity Buffers
955,FR002,Expanded Systemwide Stress Testing,4,5.52022,Higher Capital and Liquidity Buffers
955,FR004,Payment and Clearing Infrastructure Hardening,5,5.33085,Higher Capital and Liquidity Buffers
955,FR005,Non-Bank Financial Intermediation Oversight,6,5.28699,Higher Capital and Liquidity Buffers
956,FR004,Payment and Clearing Infrastructure Hardening,1,6.2897,Payment and Clearing Infrastructure Hardening
956,FR001,Higher Capital and Liquidity Buffers,2,5.91756,Payment and Clearing Infrastructure Hardening
956,FR006,Inclusive Finance and Household Balance Sheet Resilience,3,5.85567,Payment and Clearing Infrastructure Hardening
956,FR002,Expanded Systemwide Stress Testing,4,5.71087,Payment and Clearing Infrastructure Hardening
956,FR003,Resolution Planning and Bail-In Readiness,5,5.48964,Payment and Clearing Infrastructure Hardening
956,FR005,Non-Bank Financial Intermediation Oversight,6,5.18037,Payment and Clearing Infrastructure Hardening
957,FR003,Resolution Planning and Bail-In Readiness,1,6.18817,Resolution Planning and Bail-In Readiness
957,FR002,Expanded Systemwide Stress Testing,2,5.857,Resolution Planning and Bail-In Readiness
957,FR001,Higher Capital and Liquidity Buffers,3,5.82795,Resolution Planning and Bail-In Readiness
957,FR004,Payment and Clearing Infrastructure Hardening,4,5.61092,Resolution Planning and Bail-In Readiness
957,FR005,Non-Bank Financial Intermediation Oversight,5,5.56372,Resolution Planning and Bail-In Readiness
957,FR006,Inclusive Finance and Household Balance Sheet Resilience,6,5.20307,Resolution Planning and Bail-In Readiness
958,FR004,Payment and Clearing Infrastructure Hardening,1,5.99965,Payment and Clearing Infrastructure Hardening
958,FR006,Inclusive Finance and Household Balance Sheet Resilience,2,5.77779,Payment and Clearing Infrastructure Hardening
958,FR002,Expanded Systemwide Stress Testing,3,5.76961,Payment and Clearing Infrastructure Hardening
958,FR001,Higher Capital and Liquidity Buffers,4,5.71744,Payment and Clearing Infrastructure Hardening
958,FR003,Resolution Planning and Bail-In Readiness,5,5.66927,Payment and Clearing Infrastructure Hardening
958,FR005,Non-Bank Financial Intermediation Oversight,6,5.28706,Payment and Clearing Infrastructure Hardening
959,FR001,Higher Capital and Liquidity Buffers,1,6.32244,Higher Capital and Liquidity Buffers
959,FR002,Expanded Systemwide Stress Testing,2,6.27221,Higher Capital and Liquidity Buffers
959,FR004,Payment and Clearing Infrastructure Hardening,3,5.80081,Higher Capital and Liquidity Buffers
959,FR003,Resolution Planning and Bail-In Readiness,4,5.78733,Higher Capital and Liquidity Buffers
959,FR005,Non-Bank Financial Intermediation Oversight,5,5.37224,Higher Capital and Liquidity Buffers
959,FR006,Inclusive Finance and Household Balance Sheet Resilience,6,5.36163,Higher Capital and Liquidity Buffers
960,FR001,Higher Capital and Liquidity Buffers,1,6.34057,Higher Capital and Liquidity Buffers
960,FR006,Inclusive Finance and Household Balance Sheet Resilience,2,6.09415,Higher Capital and Liquidity Buffers
960,FR002,Expanded Systemwide Stress Testing,3,5.88817,Higher Capital and Liquidity Buffers
960,FR004,Payment and Clearing Infrastructure Hardening,4,5.78423,Higher Capital and Liquidity Buffers
960,FR005,Non-Bank Financial Intermediation Oversight,5,5.77873,Higher Capital and Liquidity Buffers
960,FR003,Resolution Planning and Bail-In Readiness,6,5.59815,Higher Capital and Liquidity Buffers
961,FR001,Higher Capital and Liquidity Buffers,1,6.04613,Higher Capital and Liquidity Buffers
961,FR003,Resolution Planning and Bail-In Readiness,2,5.57633,Higher Capital and Liquidity Buffers
961,FR006,Inclusive Finance and Household Balance Sheet Resilience,3,5.56921,Higher Capital and Liquidity Buffers
961,FR002,Expanded Systemwide Stress Testing,4,5.50035,Higher Capital and Liquidity Buffers
961,FR004,Payment and Clearing Infrastructure Hardening,5,5.44651,Higher Capital and Liquidity Buffers
961,FR005,Non-Bank Financial Intermediation Oversight,6,5.43496,Higher Capital and Liquidity Buffers
962,FR002,Expanded Systemwide Stress Testing,1,5.86143,Expanded Systemwide Stress Testing
962,FR004,Payment and Clearing Infrastructure Hardening,2,5.73505,Expanded Systemwide Stress Testing
